Homicide 30-44 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Totalt
Italy,,1.909387,1.980676,1.614373,1.696024,2.043231,1.914719,1.914326,1.802453,1.624789,2.024215,1.818716,1.447327,1.417011,1.153258,1.2962,1.282903,1.382044,1.372361,1.211269,1.344677,1.380785,1.564685,1.656452,1.94591,2.000945,1.951274,2.05498,2.008015,2.589723,2.75406,3.003745,3.357125,3.013387,2.744466,2.209612,1.994861,2.643388,3.027491,3.845366,4.777178,5.053565,3.861637,2.869771,2.61267,2.558145,2.344793,1.871202,1.86496,1.810317,1.477554,1.454208,1.441008,1.552212,,,1.294855,1.409383,,116.249687
Japan,2.154556,1.886589,1.919317,1.692664,2.134601,2.319479,1.952723,1.953245,2.275106,1.992185,1.90065,1.821786,1.598346,1.697227,1.665288,1.554011,1.551448,1.627666,1.537075,1.642649,1.477744,1.724924,1.421068,1.424437,1.31048,1.355041,1.387503,1.216731,1.191754,1.115196,1.070213,1.213934,1.023765,0.9555935,1.009208,0.9399142,0.9579917,0.7866073,0.6893843,0.5215108,0.5321924,0.4659974,0.5034103,0.5384822,0.5255943,0.3480195,0.5233535,0.4550695,0.4523592,0.5007491,0.4709955,0.4723012,0.5200248,0.447823,0.4423017,0.4104693,0.3738921,0.3168051,0.3282806,68.2977315
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.27048,18.86274,,,16.42291,10.21209,11.19024,12.92991,19.31248,22.38917,22.4394,26.05288,32.38342,30.93902,33.11222,32.70051,29.06536,29.82457,27.93329,27.27105,24.54101,21.60927,22.42742,25.38242,22.30351,22.09132,20.70363,19.03388,598.4042
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.185531,1.296134,1.32514,1.227366,1.905569,2.010852,2.13124,1.821855,2.65228,2.296989,2.744811,2.781647,3.134606,2.815337,2.564193,2.43479,2.335114,2.217838,2.02738,2.190059,1.912498,1.854919,,,46.866148
Kuwait,,,,,,,,,,,,,,,,,,,,,,,6.739207,,,3.670808,1.50355,0.9798509,1.773709,0.7140641,1.632373,0.6658645,0.3346225,0.6690357,1.623572,2.198629,1.953288,0.6894209,,,,,,2.627639,1.936848,0.5586495,2.315468,0.9676995,0.8444013,2.57923,1.075028,1.551267,1.551908,,,,,,1.126647,42.2827799
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.17834,16.73064,,,13.09655,5.643575,10.01848,11.99297,17.33402,31.15474,21.90203,23.59858,26.22661,30.8341,26.46544,24.23871,16.78635,14.15126,12.97046,15.26273,12.81143,14.32767,10.71918,13.01461,13.66335,13.39533,12.03356,,423.550715
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.232608,11.13214,12.76904,10.44871,10.62163,7.297105,8.600717,5.5069,12.27484,14.04734,15.06081,21.8937,31.29657,42.00344,42.48405,29.29346,24.56476,21.23486,20.87382,18.5151,18.76638,22.10335,17.40278,15.84908,15.49766,14.8582,12.11269,12.78145,8.92285,507.44604
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.33542,9.432429,,,10.35687,7.68786,6.741583,8.217149,9.623829,14.99467,13.56227,17.82974,21.08811,20.97546,20.76044,14.44535,13.1565,13.03003,11.71107,13.88539,13.95307,10.57459,13.18123,9.808515,11.49996,11.4159,11.48074,8.868155,329.61633
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.647086,3.043101,3.032737,2.078578,2.505491,2.053722,5.425736,3.387208,4.062194,2.941076,10.98779,5.746643,4.283692,,,,,,51.195054
Mauritius,,,,,,,,,,,,1.629787,1.59747,0.9256442,6.972352,4.825566,2.509217,6.30469,14.57596,6.489461,4.028755,3.298975,3.380712,3.303824,4.109789,3.975192,1.598173,1.468644,2.46794,3.605304,2.829488,1.433907,2.430653,2.135738,1.595843,0,2.429667,4.273097,3.911312,2.747218,3.502512,5.512188,2.511396,3.083767,3.394515,2.563972,4.043993,3.292272,3.571171,5.329609,2.773695,4.431659,3.434907,4.167491,7.851264,5.949593,7.620134,4.774235,5.323772,183.9865232
Mexico,,,,,,75.85896,72.54944,69.51366,69.7738,73.18774,72.664,64.89511,57.49979,49.21061,51.98053,48.10741,48.00093,47.92545,44.99361,25.21172,41.62838,35.19299,33.18966,29.48419,51.4632,41.39882,37.4552,43.49368,39.68653,39.35802,38.87362,37.58169,38.43167,36.71757,33.44792,37.30663,38.40903,37.94925,34.01431,32.41564,29.7892,29.2963,33.69116,31.16156,29.27898,29.00162,25.57173,23.75197,23.62015,21.54932,17.93946,16.18853,15.69571,15.65031,14.8476,14.68919,15.98157,13.22152,,2029.79664
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.07114,14.9091,,,9.664292,6.443482,9.004114,10.36582,12.77805,14.39328,14.81873,21.28917,19.64114,22.59321,27.39192,21.29443,19.20286,16.80581,17.29574,17.06034,15.01749,13.00384,13.07835,12.65594,11.93562,11.23148,8.933923,12.1181,387.997371
Netherlands,0.4503988,0.2935041,0.3345549,0.3365409,0.3284698,0.230475,0.1869513,0.2790856,0.462048,0.4150801,0.184309,0.5074194,0.3598972,0.3993423,0.4373738,0.4843914,0.3905966,0.5674522,0.5351273,0.3880507,0.7200049,0.7644612,0.7972525,0.8265538,0.8833167,1.349805,1.355179,0.6169742,1.450622,0.8576483,1.069299,1.278269,1.29282,1.3423,1.627677,1.362085,1.552556,1.504428,1.164088,1.488749,1.252412,1.647364,2.005089,1.873933,1.556703,1.810668,1.717191,1.544842,1.47893,1.942622,1.621493,2.104237,1.93417,1.733607,1.719778,1.676985,1.190336,1.062238,1.409164,62.156919
New Zealand,1.026522,0.9811628,1.464677,0.455136,1.180073,1.866971,0.9181497,0.9036381,1.322544,1.092122,1.336006,0.8465489,1.307451,0.8387806,1.644814,1.070993,0.8437172,1.367535,1.063333,1.8064,1.239194,1.06032,1.160645,1.661174,2.583628,0.9881736,0.6027516,2.213485,2.500585,1.710683,1.65973,1.449331,2.279559,1.55245,1.698183,2.822703,2.349775,1.544671,1.790001,2.766487,3.202003,2.174612,2.392388,1.484813,1.692176,0.8306274,1.86672,1.871314,1.951872,2.164072,1.692884,1.658957,1.851637,1.952987,1.432483,3.320148,2.236762,,,92.7465589
Norway,,0.3989785,0.2621754,0.6574469,0.6481867,0.130533,0.248539,0.3762236,0.4976133,0.2777876,0.3762404,0.6949862,0.3727622,0.9508739,1.228347,0.4785893,0.7720917,0.4109671,0.5546227,0.9589969,1.204714,1.171005,0.9784039,0.969768,1.08987,0.6099584,0.8385875,1.638421,0.6180255,0.7233304,1.435835,1.451315,1.184211,1.642707,2.026298,1.228288,0.9870003,2.61816,2.25211,2.069948,1.487751,2.84224,1.5154,0.9568539,1.682083,1.795966,1.454208,1.445723,0.7102934,1.312327,1.427884,1.393814,0.7899192,1.673032,0.689553,0.7808148,1.259242,0.7650785,,61.0161002
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.195603,8.788495,9.195596,12.90405,10.15419,9.332764,,,,,,,10.20056,13.8777,12.27053,12.30312,14.75722,14.9288,18.31175,13.41615,13.70265,,16.59694,,,194.936118
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8784,19.86756,23.21617,19.46033,19.43678,17.57179,22.28115,21.73886,20.32823,21.30923,21.36948,19.27605,20.3079,,,265.04193
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.786056,26.2559,,,,35.6978,35.10075,32.22552,34.84312,37.30914,36.95106,36.52845,,,,,,276.697796
Poland,,,,,,,,,,1.319314,1.181964,1.460285,1.299345,1.219063,1.050862,1.159872,1.434795,1.340213,1.169403,1.366569,1.372194,1.679739,1.118318,0.9983347,1.125174,1.171386,1.751291,1.695137,1.872894,1.597178,,,,1.854555,2.839689,2.188693,2.651224,2.608309,2.912067,3.490226,4.465841,4.872498,5.095572,4.406645,4.926572,4.14351,4.265693,,,3.273756,3.176682,2.551987,2.439128,2.091995,2.067626,1.864824,1.90418,1.576398,1.543199,101.5941997
Portugal,,,,,,2.4364,2.737064,1.948535,1.675307,1.238747,1.989855,2.827833,1.856673,1.456422,1.958287,1.766663,1.364118,1.957813,1.332545,1.699556,1.236614,2.110594,1.198555,1.097216,1.843851,2.503496,2.457349,2.392941,1.881219,2.339611,2.021469,1.970471,2.136021,2.551054,2.365273,1.94686,2.026151,1.87754,2.108667,2.228115,2.395057,2.483924,2.203753,2.812372,2.35765,2.479778,1.829358,2.096513,1.749854,1.329069,1.16037,2.273736,2.645017,2.002006,,,,,,98.357342
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.537436,7.914748,6.895423,6.270022,5.95981,6.371975,6.049722,5.495534,4.6614,4.091891,4.67932,4.715848,4.268085,4.869803,4.86234,3.756485,2.813249,2.955052,2.417348,2.543262,97.128753
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.30173,21.15429,21.10768,,,17.46045,12.26599,13.14958,16.65145,22.32306,25.50725,27.12822,39.54994,52.2086,54.4028,50.38008,43.55324,38.591,37.67654,41.52303,44.01552,45.37173,47.39612,44.90613,42.47416,39.40284,32.38267,,,851.8841
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.326726,3.543247,3.917831,3.900678,3.207107,3.15667,1.760098,2.507613,3.217491,3.323064,2.238262,36.098787
Singapore,,,,,,,,,,,,,,0.356948,1.986994,3.828836,2.1371,3.087898,1.499688,1.206283,2.951024,3.047208,2.469675,2.614798,3.4753,1.671263,3.060832,2.587227,1.691173,0.6832764,2.614169,1.414686,2.48507,2.761671,2.40186,3.529707,3.089271,2.398217,2.577754,2.52005,1.9304,0.6004337,1.072561,1.035907,0.8033814,0.8872382,0.4274718,0.7679929,1.067596,1.196375,1.056072,0.8922275,0.674718,0.8387293,0.6160225,1.01228,,,,79.0273847
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.026499,3.580629,4.315932,3.399573,3.33331,4.025617,3.761642,4.421679,3.132825,2.999933,3.372699,2.819404,2.415178,1.824997,,,,47.429917
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.154645,2.246327,2.390477,2.41789,4.32475,3.215354,4.547501,2.753173,2.381969,2.034248,4.037115,2.165339,3.600434,1.324002,2.133921,1.753479,0.7350625,1.690449,2.076612,3.686133,1.263562,1.099663,0.8612375,0.4569286,54.3502716
Spain,,0.8360857,0.6229284,0.6287099,0.5655735,0.5116307,0.6426569,0.7188083,0.7929941,0.7308351,0.3476031,0.2292257,0.1661118,0.1978963,0.1644645,0.2029896,0.28915,0.1078546,0.1371193,0.3672089,0.8492772,0.4042072,0.5108247,0.5840552,0.468375,0.9094912,0.6202639,0.858842,1.437348,1.418102,1.555037,1.355958,1.046093,1.64647,1.735806,1.792797,1.318172,1.689889,1.530114,1.070338,1.422954,1.427137,1.165918,1.525777,1.493006,1.34533,1.396675,1.447482,1.279751,1.29042,1.836909,1.56975,1.59104,1.65675,2.073059,1.17486,,,,54.7581248
Sri Lanka,6.644159,7.42442,7.240466,7.469656,10.51017,7.263222,8.020601,7.260122,9.709358,9.792437,7.098825,5.340593,7.003894,4.810296,5.008543,6.289268,5.828293,5.49045,4.2005,,,,,,,,,12.89398,,,3.775267,5.30074,5.965747,11.76482,9.53103,12.08012,13.17979,,,,,,,,,,,,,,,,,,,,,,,206.896767
Sweden,,0.8010326,0.7393501,0.6691403,0.8421185,0.4882783,0.8030915,0.622687,1.22425,0.6985216,0.3313217,0.3304457,0.2443838,0.6067679,0.681247,0.7683707,1.05597,1.329206,0.4697857,1.060954,1.011694,1.319204,1.197545,1.341997,2.023638,1.441046,2.173204,2.173262,1.700145,2.179771,1.785828,2.364722,1.729394,1.561103,2.166114,1.461421,2.306878,1.425399,1.882856,2.281096,1.570843,2.165684,2.085586,1.675203,1.425387,1.462114,2.310971,1.771532,1.643331,2.118744,1.459088,0.9219129,1.641404,0.9716772,1.251541,1.460271,1.202145,1.26794,,77.6986135
Switzerland,,0.6618424,1.294275,0.873314,1.080388,0.8706383,0.7608088,0.8684915,0.5769156,0.9590577,0.1967568,0.8399292,1.460964,0.4524797,0.7854881,0.8625866,0.421394,0.5946459,0.8325603,0.9844606,0.7307135,1.194943,1.336847,0.4622965,1.158286,0.9010253,0.6570774,0.3742318,1.279845,1.098945,1.145789,1.54648,1.748929,1.901181,1.195986,1.600204,1.50358,1.761482,1.563165,1.896263,2.249539,2.175381,1.636473,1.972686,1.460553,1.545743,1.290367,1.406173,1.324733,1.42946,1.088834,1.181251,1.395107,1.124735,1.501312,0.605464,0.8306478,0.7185407,,65.3712655
Trinidad and Tobago,,7.181248,7.068263,10.88373,8.341669,10.4421,11.87689,10.25863,7.236365,,8.645363,6.365355,9.499619,7.346335,,,,17.35546,6.968929,,5.650216,10.02584,6.813434,9.96058,13.80061,10.37083,13.39323,10.24617,7.636559,7.277982,1.74475,5.70321,7.24482,10.79621,8.552505,16.70902,12.79837,17.56147,14.58423,12.03684,12.43285,10.45554,16.73655,14.32971,16.21857,15.99612,15.06842,12.4026,11.04883,11.81712,21.33672,19.0975,17.84144,,,,,,,527.158802
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.70951,11.80831,,,10.16051,7.455909,8.611566,12.10581,13.80071,16.84941,11.39618,12.66305,12.47991,8.962353,8.225392,10.98203,11.26134,14.71767,,,,,,,,,,,188.18966
