Per capita government expenditure on health at average exchange rate (US$),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Bolivia,25.64398708,28.84157059,29.64958873,33.28665548,36.67865404,36.90724912,35.96067065,37.50208114,30.68671749,32.59996079,38.56219573,41.25261171,44.36192603,55.6030594,58.3737023,60.65349201
Bosnia and Herzegovina,30.02612169,41.48321637,39.52206818,40.71955944,61.84796094,60.88767251,67.07272338,78.79045249,123.092615,138.9196321,144.4628506,169.4373806,222.6940035,294.1922506,303.4947345,306.5268427
Botswana,65.34420764,65.59540474,77.70974771,71.28794723,75.4790169,94.37971997,126.2567332,145.2429393,180.4147025,346.1220547,310.9427803,290.8323947,386.0124102,407.2406372,441.9941821,445.7607231
Brazil,135.9002984,141.8709084,152.6753498,143.057917,103.4020004,106.7536815,96.30129687,90.66287565,94.77183957,121.0439067,155.5515846,204.9880961,255.086881,305.7357418,319.8447056,465.67404
British Virgin Islands,,,,,,,,,,,,,,,,
Brunei,375.088602,519.2387899,514.4783355,482.1617045,458.1237948,476.8449823,431.5820682,439.0893639,487.6687193,557.919248,581.775222,597.5045941,661.4752416,754.3002887,709.723508,748.322609
Bulgaria,60.51647544,38.45053184,45.7656738,57.82283902,63.89218565,59.52535931,75.45206292,94.32380116,124.7443141,144.7285266,166.6771776,169.3779779,218.0734328,277.5574139,256.0841118,236.9744713
Burkina Faso,4.15324741,4.55124611,4.47943313,4.97620851,5.46886125,4.31995506,4.10541823,5.55976816,8.17350386,12.15183052,15.74706853,14.87443847,17.96419923,21.56151702,19.3126159,20.27447781
Burundi,3.00991129,2.86477668,2.40966371,2.3334837,2.0773543,2.01390968,2.30144859,2.01354966,1.64916192,3.43966923,4.667533,6.17533156,6.65175068,6.80837092,6.72102469,7.90940238
Cambodia,3.21471026,7.42815436,5.56721914,3.28937185,3.23052842,3.80777278,5.26635134,6.58007492,8.41755226,9.25904436,7.21796047,7.98475091,10.2874399,12.65904548,14.97304379,16.82139011
Cameroon,5.86006897,5.96980053,6.10376025,5.14902175,5.45272824,5.5246363,6.78171512,8.55620152,10.80859562,10.38168348,10.58456982,10.76372672,11.86685153,13.04549914,15.64593849,18.17108644
Canada,1297.156262,1294.366554,1313.381693,1304.444253,1354.960612,1469.882028,1503.86074,1563.676245,1878.216324,2132.403387,2425.790126,2729.819306,3047.985636,3258.486529,3191.405747,3681.426135
Cape Verde,50.73669527,47.29737814,44.54623138,47.50117493,45.9813741,42.02368375,48.16935728,51.89797829,59.80442552,78.64092601,75.62507738,95.12335782,103.0432076,113.9037323,111.215548,116.0392246
Cayman Islands,,,,,,,,,,,,,,,,
Central African Republic,4.86327739,3.48334612,4.05406275,3.3957187,3.89734611,4.13021606,3.81834228,4.39277025,4.72110698,4.90437841,4.42546509,4.8386784,5.7184189,6.15473433,6.24655364,6.4365166
Chad,4.14184241,4.54608235,4.04403572,3.76510724,3.84266446,4.49340228,4.80916479,5.58609829,8.0942278,8.45104748,10.53202634,7.83017746,6.59563377,6.04398315,5.60810331,7.65331926
Channel Islands,,,,,,,,,,,,,,,,
Chile,127.4065827,141.7385982,155.7578568,162.6656862,157.6315956,168.5876461,159.3004021,156.9212744,134.200414,167.3311357,201.1180047,249.2792471,295.1038132,336.9105548,382.0569429,456.4062317
China,10.67774257,12.31596274,13.70728648,14.79219182,15.78363019,16.61727941,16.80674612,19.38332545,22.15497783,26.6265517,31.15907201,37.96834315,53.72577706,78.2202325,100.4264327,118.3884164
Christmas Island,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,
Colombia,109.2548218,149.0662886,175.393926,171.618899,157.202289,130.4813615,125.2198555,123.1469546,122.5332713,145.1684569,177.6525309,193.1543716,239.1719136,266.1789425,278.4425001,343.2471924
Comoros,13.50516984,12.33688076,10.54043721,8.81761275,7.98084558,5.46586374,4.17148035,6.94563015,9.46252379,11.8254847,13.45292869,15.41394391,19.1019218,23.22485312,12.60431807,22.33183442
"Congo, Dem. Rep.",0.19,0.14,0.27,0.23,0.6592288,0.54345903,0.31,0.27,1.15604805,1.41596712,2.19519292,2.7823269,3.69746663,6.45543787,7.47958038,6.69876027
"Congo, Rep.",14.48727395,15.52463203,13.99046085,14.03665211,13.50817818,12.51413648,11.56316868,11.77705306,13.45971595,18.42324314,24.6548485,31.74426896,34.68345531,38.70418191,31.80142026,33.78812427
Cook Is,244.429539,223.392995,171.0072864,160.7065982,144.1297113,157.9759119,229.5363929,208.0477303,295.7330008,327.6797831,414.0637133,358.5651224,427.0959761,420.0260321,407.6864366,505.5389081
Costa Rica,168.2605271,168.6714184,163.1555702,179.4750712,194.6289725,204.0027101,220.1150948,236.0791701,242.4763386,246.262528,252.8249334,282.815428,352.7053338,413.1338945,449.4451923,552.6003007
Cote d'Ivoire,8.55749206,10.57728913,10.96239625,10.82359974,9.90167667,8.34838753,5.97942732,6.92954707,7.68180406,9.35446933,7.7443313,8.50869532,13.64203621,17.05693465,12.73029336,12.89902835
Croatia,279.5663642,323.2831559,254.9414654,323.9468664,324.8871967,324.7809184,312.8649979,299.9270876,409.2205243,497.6903343,606.3849489,679.8036474,877.25859,1038.836199,943.7414136,905.3148175
Cuba,100.9153422,108.0096704,114.3153756,120.9911668,139.1578183,151.0828396,160.862651,171.6904807,180.5864894,185.8327482,281.8255265,332.2480206,556.6317096,557.0487718,623.2671946,555.2659669
Cyprus,253.1418547,257.417146,252.3814039,320.0884587,333.2511045,309.8909629,328.8113964,398.4901584,557.3329074,587.9303382,588.6310086,622.0162884,713.0556332,796.0664683,745.091645,707.4949201
Czech Republic,340.3137804,365.6984273,333.5317016,360.0354726,347.2969186,326.4299527,362.9827796,472.809242,598.2321961,687.248551,769.4165322,839.0037458,971.5002895,1216.59906,1254.765028,1238.410969
Czechoslovakia,,,,,,,,,,,,,,,,
Denmark,2333.210858,2372.069124,2162.725329,2192.235623,2457.316591,2187.759216,2294.812253,2550.329852,3171.551616,3692.80563,3924.454507,4238.812169,4800.050817,5390.313138,5486.623435,5465.086052
Djibouti,19.2017383,17.87635922,20.91595166,26.04898948,33.19013922,29.63939804,26.87293942,27.39419345,33.56469525,29.26797065,43.22846503,43.90938032,53.93754142,56.08224869,65.45350795,59.84327482
Dominica,130.5928708,140.080376,151.6068761,152.5261753,158.7233563,159.4774244,159.9941122,160.3311801,160.5651895,161.2995745,162.2106691,179.184301,192.8449634,204.2066128,223.1603115,291.9911514
Dominican Republic,22.64116566,26.09656002,34.95515801,44.06179636,50.74186746,60.35988891,54.09615092,57.53833366,43.843294,36.15062773,62.65970472,78.01417473,83.0574447,99.70800637,115.3919253,140.1778308
East Germany,,,,,,,,,,,,,,,,
Ecuador,40.36019064,47.39264896,47.10619537,32.49671863,25.56652923,16.74144099,26.98516489,36.24697924,32.10657473,37.55051908,40.51718398,48.82804266,55.4523846,71.6382421,111.9442361,122.1383946
Egypt,17.41366325,18.95690411,22.65953154,26.28456764,29.37529034,31.8134893,30.6662608,29.63563799,23.44559259,23.80943117,26.78763611,33.2453193,34.88115897,42.71494519,44.87343997,46.07898009
El Salvador,40.7102172,55.34064889,59.88933574,71.63888016,72.91375724,79.82755094,82.28256426,85.5010008,86.54370249,93.36862177,106.0405952,125.8212831,122.2940335,128.29494,137.2795788,146.1006011
Equatorial Guinea,12.44983469,13.89224486,21.0760073,23.21129466,18.21998279,21.4967933,38.6155637,114.0155227,82.74382879,108.2059406,134.971763,184.9153837,259.7430293,418.3547275,611.6523527,680.4943597
Eritrea,4.04002279,2.89209079,3.83865663,4.02614138,3.88547138,4.3284604,4.82887192,3.6769519,3.63425302,3.7806895,3.60111426,3.83343975,4.09336808,5.38802777,5.09138496,5.74167964
Eritrea and Ethiopia,,,,,,,,,,,,,,,,
Estonia,148.7532172,193.8250081,198.5967473,192.4988286,196.4416927,169.4265948,174.2927623,200.9248524,279.0233657,345.3433558,397.5675549,459.09962,638.9208813,836.0005608,757.9490211,671.3716873
Ethiopia,1.59852238,1.61060018,1.7996141,1.98730745,2.10124037,2.84813615,3.22993665,2.86462516,3.43005665,3.42651674,4.14290811,4.60563612,6.69566501,7.28726668,8.32716506,8.41369793
Faeroe Islands,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,
Fiji,62.53174925,71.73987971,76.34460954,53.94872688,60.33637981,67.11584736,53.55355319,64.42938977,76.50226654,96.15413165,107.3233272,112.8884493,113.267473,115.5430891,101.4838478,108.1926426
Finland,1441.006101,1440.577151,1331.102327,1341.20618,1329.255758,1210.482638,1283.814909,1470.610225,1914.769831,2225.737654,2371.539277,2466.168578,2783.914137,3166.920942,3046.940811,2990.412639
France,2183.163842,2177.602013,1939.578735,1973.64361,1947.876436,1748.609613,1773.692979,1982.937364,2493.046782,2861.502206,2983.865931,3108.358127,3511.865073,3839.004847,3771.881595,3651.849006
French Guiana,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,
Gabon,51.61388476,60.4915726,46.82914415,53.99114804,41.15175263,42.96361056,44.81891314,44.40504838,67.20445554,73.17871454,69.44045765,81.45212396,102.5436551,115.0856925,127.3278651,159.8757711
Gambia,6.18358208,5.59041606,5.29033421,6.97542318,6.89239095,6.34408962,6.80644175,5.9138284,7.62306031,9.96626366,10.40116047,10.9410757,10.36076967,12.65679575,14.30996948,13.2833014
Georgia,1.51330026,5.36372898,10.63093911,8.88309947,6.64642744,7.60714191,9.53887342,10.27922796,10.98147169,14.82560228,23.60587198,30.88649053,33.39486509,51.83188353,55.88835081,64.20004026
Germany,2543.513593,2541.816627,2176.837683,2183.92752,2147.267842,1897.746531,1903.195436,2062.442079,2516.989357,2706.498338,2778.183623,2864.478973,3233.320046,3611.940942,3630.05364,3598.298292
Ghana,11.46418065,11.69009926,11.19145481,11.85223084,10.29434537,6.00088862,8.64620641,7.24089382,9.20902477,15.98087472,23.10241233,27.10749444,40.8854507,39.76349477,30.89110204,39.8753492
Gibraltar,,,,,,,,,,,,,,,,
Greece,553.6710119,589.1470739,562.2020989,549.0051036,594.887556,550.4284099,640.0400368,707.8448753,942.7475592,1067.382848,1255.702281,1419.613416,1615.576642,1845.335169,1859.338884,1621.205318
Greenland,,,,,,,,,,,,,,,,
Grenada,82.93148834,88.26573282,95.30512302,106.1138792,138.8578286,176.5718359,230.898955,186.7981447,176.5290639,157.5728788,196.8406002,216.8965036,212.1172708,213.8970216,227.277779,197.513701
Guadeloupe,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,
Guatemala,19.31567792,18.97053327,23.6902775,35.43587338,39.03830616,37.67355047,38.80729007,38.61873693,42.32847392,42.07417242,45.98963083,56.45563501,61.38394096,68.5392064,68.81293245,68.65265464
Guernsey,,,,,,,,,,,,,,,,
Guinea,5.53496405,5.23917087,5.33528457,4.19575667,4.35105746,3.93401614,4.30716184,4.56350009,5.23160332,3.70477448,1.83262798,2.15751003,1.82546028,3.60337113,2.05708212,2.5971111
Guinea-Bissau,6.31330681,6.14899416,5.36939882,3.81764605,2.69059157,1.73910841,1.49115165,3.96286049,4.69637119,3.38795062,3.74130392,3.6466,4.44313513,5.07197533,5.08511028,4.70151059
Guyana,32.89314239,36.15688265,40.89847772,39.36491337,33.93519671,44.74515633,43.42738979,46.05981603,44.22050809,58.84473138,66.64265536,76.74629117,69.84049354,139.3928285,144.4209281,135.5978862
Haiti,9.24136247,9.08738335,9.68099209,9.15162779,8.16571286,7.11900681,5.87583233,4.29299397,3.01952537,4.1604993,4.17099326,6.97834329,8.24446187,8.92405727,8.72953902,9.95345094
Holy See,,,,,,,,,,,,,,,,
Honduras,20.36235054,17.59481888,19.17646116,25.80973382,25.85401808,41.53028009,43.60177438,47.39982413,58.96514343,55.34890609,53.6086973,54.27817003,62.8436123,70.81831128,89.17444164,
"Hong Kong, China",,,,,,,,,,,,,,,,
Hungary,271.3843117,257.310518,251.0207042,250.6401598,249.8078313,230.6185176,258.4808583,348.3415315,502.3603057,588.1576217,657.3987202,658.597168,719.5817457,794.0160016,667.1637724,653.761609
Iceland,1867.005052,1900.572326,2249.871384,2251.637271,2674.539584,2472.918087,2176.259761,2657.869951,3301.293869,3714.654742,4346.9631,4236.161679,5120.754384,4117.228351,3039.101493,3003.527697
India,4.09773063,4.07533927,4.61096966,4.71078943,5.09770195,5.08230115,4.99358646,4.88120375,5.39036747,6.00643062,7.31977194,8.2100212,10.42370188,11.92058097,13.42071482,15.82486231
Indonesia,7.07495167,8.17022239,7.12121391,3.25766101,5.24710267,5.47015315,7.15376637,7.61058516,10.7449321,10.69022253,11.47524084,16.42419098,23.14719097,24.80030645,25.98027564,37.74177117
Iran,30.49997812,40.82255483,53.35313887,65.07541812,75.34873398,96.18621655,128.2421054,44.82753799,44.27991109,50.74795515,69.01318439,80.8461461,98.09842754,128.0676512,118.0705052,127.1867995
Iraq,,0.03,0.04,0.3,0.48,0.39,0.43,0.27,8.32263132,45.04528515,41.71801973,42.14838735,75.00771462,119.9536694,156.461959,200.3189401
Ireland,897.4363738,950.1843172,1050.733217,1089.938778,1172.675319,1172.124431,1386.672675,1682.728208,2224.009927,2668.25988,2842.398905,3014.484497,3500.000333,4019.968481,3530.810697,2933.400094
Isle of Man,,,,,,,,,,,,,,,,
Israel,886.663655,980.8379002,1000.626074,917.1820153,873.3465115,932.2330036,949.83153,864.4600732,860.4107359,880.5043089,898.3531689,929.6865821,1032.328487,1251.194187,1209.062504,1316.98035
Italy,1017.512492,1153.671978,1136.681352,1162.757772,1162.604037,1126.754313,1202.244154,1324.741673,1626.517456,1952.34602,2066.307516,2183.073001,2368.986084,2690.768796,2588.179735,2520.742869
Jamaica,50.81029056,73.87379989,99.9243686,102.5687666,81.28187127,99.71640305,77.35312872,103.1629062,82.11467475,103.9833745,83.22973525,102.1956937,119.7316459,145.813855,126.007263,132.3107766
Japan,2378.709944,2140.166741,1918.577145,1785.65442,2102.168492,2290.386005,2076.129616,1993.845488,2164.588704,2352.091729,2388.310007,2221.027682,2255.307744,2627.896816,3090.291205,3355.070098
Jersey,,,,,,,,,,,,,,,,
Jordan,78.96340943,78.95922043,85.05463816,89.57704862,85.60559648,81.2452912,87.49050371,92.90129335,91.82544981,107.1068174,108.4319203,119.6331711,150.7792512,203.9407889,262.4304952,241.8386953
Kazakhstan,30.85875588,36.93732256,42.98166464,44.84978575,25.68383248,25.91916865,29.23114925,31.95989527,41.51922177,65.77788127,94.93908938,121.9754346,120.8744447,192.8559922,192.9768275,233.45774
Kenya,6.51912364,7.10565859,7.24783938,9.46781907,7.07943474,8.80818417,8.36946755,7.75885741,8.50528863,8.32559084,9.685073,11.47990469,13.61399948,13.09886831,15.4009249,16.32270669
Kiribati,66.8857474,76.10130045,77.93363294,55.06350275,72.22923224,60.9313246,62.64809759,71.00578719,96.13376303,111.8745469,109.0998594,104.7312607,147.5601728,144.280328,134.4353024,131.4131294
North Korea,,,,,,,,,,,,,,,,
South Korea,170.0322492,205.9242624,201.5936485,153.3991797,211.9732836,,295.930171,319.2632928,365.3971443,414.9817787,526.0669445,659.182655,761.6666245,692.2814736,688.9708981,848.4361655
"United Korea (former)
",,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,
Kuwait,515.0484395,533.253488,534.1698027,515.2164806,472.934051,370.4013255,509.6433439,524.0563093,583.4004329,595.9849431,677.5122682,789.2181858,786.8458975,873.8055228,1348.850085,983.1405978
Kyrgyz Republic,12.86229905,12.30357627,10.69510573,11.99875413,7.40527561,5.72630892,6.02842394,6.89828748,7.89142986,10.02955722,11.61524874,16.52530125,23.91327321,27.26202019,30.24635346,30.04684327
Lao,9.10709003,10.19851074,12.72737791,6.95711936,3.21110768,3.79576682,3.61211149,3.46390285,4.58597183,3.36217385,2.58358629,3.10770519,3.30656579,9.55544934,11.06180514,15.36749733
Latvia,76.37946403,81.24573645,89.27390861,104.086082,114.5183911,106.9139294,110.2140722,129.3889493,155.9032776,218.9163759,251.8546598,378.4507627,535.5154869,608.6408763,466.2867657,438.7428921
Lebanon,102.2277991,122.8074711,151.6809796,149.2013942,142.5165155,148.3832111,161.5986688,185.857336,170.2946576,194.5766105,198.186917,189.9989852,212.2832842,241.0183276,258.6224138,254.9553139
Lesotho,17.0539293,16.86472634,14.37122593,14.10507623,13.42146405,13.64189099,15.52824888,12.51725409,19.27115052,23.74531933,21.92428712,28.60495774,42.45953196,46.44791055,55.74243208,83.00086917
Liberia,,,,2.03001806,2.48619623,2.63408248,2.85916762,1.91769505,1.56482778,1.9551535,2.66680317,3.37054219,5.88302741,9.06686013,9.66351771,9.48724976
Libya,92.80243293,91.52578312,90.32426536,111.3034558,108.0876058,123.8234644,143.2683976,117.881913,121.3484689,128.5010906,137.8290773,147.3798703,224.3295795,329.5527533,282.4928826,332.6929661
Liechtenstein,,,,,,,,,,,,,,,,
Lithuania,73.91639801,91.97301199,117.8955024,146.3668893,144.6427558,147.9497071,159.6386407,196.6739937,266.8499282,252.6958355,302.2328098,383.7407478,529.0097532,676.4639561,613.5253453,574.2377845
Luxembourg,2602.905554,2608.045422,2285.02095,2387.171385,2574.744535,2955.015079,2854.167202,3577.409878,4168.272582,5179.52269,5464.80323,5944.163061,6414.460518,6770.178177,6942.290108,6905.530344
"Macao, China",,,,,,,,,,,,,,,,
"Macedonia, FYR",117.4701417,118.6134796,107.0674479,119.8002674,98.09099444,90.12107078,85.24349916,102.9413308,127.8621801,141.1433066,146.8734865,164.0036796,176.1840096,222.7318556,207.0586114,202.0099712
Madagascar,3.6105769,5.50189669,5.24811379,4.98065046,4.88437462,6.23316254,7.58348185,6.95370565,7.34521488,5.99243099,6.91845663,7.92518463,10.59951635,14.86741267,11.45714755,9.58503812
Malawi,2.6372706,2.86171921,4.13056708,3.10297534,3.69872411,4.31429361,3.29785584,6.55987679,9.1407055,12.03233915,13.03385834,14.63257591,12.70010056,13.25724954,16.51971563,15.42124932
Malaysia,74.69914675,84.19392784,72.93796378,56.79719224,62.92302586,73.44648772,84.30116837,89.32519082,114.0776438,108.4196368,97.93904691,128.6950031,143.2565634,169.1080758,176.3120869,204.2446495
Maldives,58.75640886,63.89788094,69.54345776,72.12592795,81.92576902,94.83867059,88.51105405,87.73829388,109.5565587,132.8989783,173.852205,206.6502126,221.8604735,315.6693918,215.5668785,231.3700866
Mali,7.53242489,8.54257716,6.58518744,5.85245681,4.87411394,4.86616855,7.44688566,6.74618532,9.40192167,12.060951,11.64713399,12.78233262,14.21734474,15.63293527,15.62985912,14.74603617
Malta,399.2357532,437.0373984,441.882287,466.1827556,458.8219534,465.7837864,468.0742814,583.7666268,751.8912554,854.7465551,956.9491688,1002.155491,1057.172522,1035.751978,1080.507906,1111.115639
Marshall Islands,309.4750359,352.9541811,352.0169724,328.3901446,319.9235145,409.5671877,354.544628,356.1620251,320.4019038,350.7758259,349.6129585,383.8277204,409.0247046,390.8392353,453.7032425,433.1318518
Martinique,,,,,,,,,,,,,,,,
Mauritania,17.37150714,11.3838498,11.71396872,14.19869119,18.70303947,16.13067853,11.71961884,16.22688738,15.16402167,18.62680443,18.61847995,19.09764893,22.40216844,24.37511567,20.01657036,22.6685411
Mauritius,70.32803721,73.22334859,68.85560931,69.44801484,68.21193826,75.46162965,75.2503167,85.14411938,99.51634684,120.4216972,110.7452394,110.1776366,114.4026107,133.8922111,141.9421858,187.2208408
Mayotte,,,,,,,,,,,,,,,,
Mexico,74.20426593,75.77692755,99.88697064,108.4063585,132.3410519,152.6524609,167.0912415,173.5251409,175.326646,198.6838716,215.1767004,232.5875367,256.1334596,280.8001629,253.1964575,
"Micronesia, Fed. Sts.",180.0335134,165.1024417,139.5473014,132.1181347,145.599226,159.9694873,179.1090119,165.8598706,204.2276462,217.2109907,258.4377485,254.2649215,258.9403312,276.5722259,304.6786056,333.8228409
Moldova,19.32057103,26.37949171,27.44887433,17.39688222,8.16012425,11.43160454,13.08196155,18.5372301,21.74744774,30.14881629,34.7142177,44.8478256,60.53275693,91.41377875,92.42500552,87.19891761
Monaco,2576.385274,2478.922658,2348.546046,2327.984122,2456.371134,2120.715908,2170.479974,2400.013048,3443.759276,4047.64108,4228.13975,4350.907024,4913.326159,5869.560715,5857.177066,5569.664754
Mongolia,15.42577971,17.55748097,15.42317291,15.09343587,14.74428164,17.72348654,19.9175002,21.49380419,21.78283897,26.02728142,26.29112699,33.84222094,48.54764447,68.06621585,52.94669124,66.1692474
Montenegro,98.51512053,72.1122169,72.03209298,73.68817348,71.64239985,80.66829778,109.5547748,120.3357969,181.3926569,206.4922378,216.9946417,241.5566457,317.358313,404.1167271,442.8571736,388.4850538
Montserrat,,,,,,,,,,,,,,,,
Morocco,15.42954315,16.42960049,13.80060447,16.10008544,16.05305569,15.81122907,18.49063533,18.9197479,23.3471238,27.06218522,28.07936326,36.6517211,45.56066502,54.340858,58.71159882,56.15651369
Mozambique,4.88472919,5.1317259,6.67850428,7.42195074,9.12097472,10.21112242,8.64986923,9.82247319,9.72063858,9.91204806,13.63886125,13.16785805,12.95589054,12.89819009,16.77045023,15.30809273
Myanmar,0.49,0.4,0.28,0.2,0.27,0.45,0.31,0.46,0.49,0.66716483,0.46,0.83561604,0.88191069,1.17505794,1.61881102,2.08765066
Namibia,93.71092377,97.58135588,102.1855183,93.38433773,93.4862661,86.87731433,63.65096619,60.92391604,91.39530158,103.6897823,124.97429,117.8324071,154.0541061,150.1934551,163.1077321,210.9457666
Nauru,431.231446,389.9911793,354.1926213,299.860833,301.8470916,271.3784965,252.2735075,275.5187482,321.8583273,291.4317237,302.0232555,315.147808,412.0392542,430.5239273,407.8255233,488.6378673
Nepal,1.59726662,1.67235288,2.22962961,2.37762175,2.10173767,2.4746983,3.55393652,3.5822962,3.53452631,4.74571701,5.72940663,7.02647531,6.96268672,8.9028667,9.60108593,9.8985135
Netherlands,1603.209373,1462.944309,1334.992113,1325.999097,1320.132647,1214.056076,1301.48448,1502.176845,1983.622893,2234.858951,2326.799496,3049.457386,3478.576893,3943.438724,4545.568622,4431.118412
Netherlands Antilles,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,
New Zealand,917.4274281,979.927267,1002.66837,865.9116304,893.6938103,820.2913392,803.5894741,969.1871439,1254.828077,1571.716694,1823.176709,1837.781783,2219.993577,2336.346125,2243.254437,2728.495433
Ngorno-Karabakh,,,,,,,,,,,,,,,,
Nicaragua,37.20088414,34.53633388,23.44865177,26.15936746,23.66116273,29.01567893,29.47815717,29.97596097,34.84380602,36.66055244,40.21245348,42.90352052,50.83599009,57.70872616,56.96380852,
Niger,2.81026806,2.54166605,2.96497652,3.29037605,3.08094581,2.3224676,2.993863,3.36856378,3.66074574,4.26197149,7.72255381,8.60331052,8.17924626,10.08084024,9.55398497,9.30410717
Nigeria,9.30922799,10.63464652,12.53762189,15.90169344,4.69766473,5.72473199,5.70092598,4.55433767,8.59454941,14.65178305,15.46138954,20.09591372,26.82488471,32.64534422,23.36574202,23.78939026
Niue,345.0651396,462.2265546,407.4985718,316.2391479,379.3610314,313.2335117,1441.397585,455.0796489,699.582908,1020.367756,1035.671771,1263.026134,1573.704773,1718.235179,1811.763711,2302.086465
Norfolk Island,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,
