Ratio of girls to boys in primary and secondary education (%),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Burkina Faso,,56.471,57.543,58.255,58.695,59.331,58.762,57.558,,58.612,60.017,58.902,59.257,58.881,58.905,59.172,58.995,,,,,,,,63.972,,,,,68.534,70.163,71.428,72.674,73.905,76.846,78.407,80.097,81.931,84.1,85.653,87.696,89.271
Burundi,,47.43,48.83,54.761,57.391,58.371,60.479,61.981,61.362,62.593,62.735,62.862,61.76,62.933,65.196,67.878,70.199,73.176,77.21,78.526,79.053,81.738,79.813,79.95,,,,,,,,,,79.765,81.907,83.881,88.582,89.999,91.298,92.662,93.863,95.335
Cambodia,,68.247,,,,,,,,,,,,,,,,,,,,,,,,,,,79.227,81.194,81.716,83.229,84.46,85.506,87.046,88.333,89.233,89.803,90.992,,93.771,94.221
Cameroon,,71.013,73.044,73.798,74.888,75.15,76.252,77.029,77.385,78.421,78.929,78.894,79.387,79.321,79.653,79.738,80.344,80.962,81.367,81.677,82.127,82.81,87.121,,,84.719,,85.456,80.656,82.671,,85.36,,84.796,84.086,82.616,82.784,,84.187,85.544,85.55,86.056
Canada,,99.022,99.153,99.352,100.012,99.835,100.668,100.721,100.893,100.993,101.281,101.195,99.914,98.882,98.793,98.908,98.96,99.038,99.195,99.289,100.029,99.439,99.232,99.01,99.03,99.381,99.397,,99.641,100.942,101.074,,100.565,,,98.439,98.618,98.604,98.633,98.786,,
Cape Verde,,,,,,,,,,,,,,,,,,97.664,99.304,99.729,99.454,,,,97.246,,,,,,,99.195,98.684,99.677,100.151,100.981,103.598,104.441,101.187,103.607,103.972,103.382
Cayman Islands,,,119.312,109.308,110.486,111.611,109.989,106.358,,,106.066,97.939,,,,,,,,,,,,,,,,,,94.133,,,,,,,,,,,,
Central African Republic,,46.04,46.104,46.867,,,51.3,50.237,49.945,50.779,54.439,53.399,52.553,,,,58.172,57.456,57.146,58.022,59.08,60.524,61.968,,,,,,,,,,,,,,,,,68.58,,69.334
Chad,,31.29,31.059,,31.79,,,,,,,,,,,34.266,,36.291,,39.035,40.932,,,,44.097,44.236,45.229,48.192,50.514,53.305,55.862,57.759,59.174,59.884,59.691,61.056,61.389,64.205,63.638,63.646,65.767,67.699
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,101.491,100.502,100.269,100.798,101.215,100.903,101.806,101.085,100.86,101.121,100.874,101.516,99.368,99.966,99.715,100.076,99.882,,,100.622,100.971,99.609,99.971,100.882,,,,,99.947,99.934,99.568,,99.457,99.246,98.184,98.256,98.616,98.623,98.524,98.82,100.001,
China,,,,,,,83.991,84.714,85.193,83.767,82.93,81.014,79.376,78.845,79.087,79.492,81.414,82.969,83.41,84.196,84.707,85.925,87.423,88.329,90.64,92.286,93.873,94.884,,,,99.036,,99.69,,,102.681,103.207,103.925,104.76,103.437,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,102.706,103.099,103.539,103.834,104.506,104.211,103.972,103.732,103.929,103.757,103.247,103.478,103.055,106.553,101.761,102.959,103.103,101.903,101.977,102.032,,107.533,110.408,107.14,,105.197,101.614,,102.698,104.228,103.677,,103.561,,103.752,103.375,104.14,104.509,104.238,104.503,103.712,102.558
Comoros,,45.899,,49.911,,,,,,,,67.954,,,,,72.861,76.21,,,,,,,,,,,,83.829,84.179,,82.297,82.132,84.273,84.368,,,,,,
"Congo, Dem. Rep.",,55.322,57.49,59.07,61.875,60.876,61.3,62.09,61.913,62.152,63.328,64.548,65.49,66.794,68.163,60.344,60.619,70.5,67.928,,,,69.846,70.655,67.286,67.011,,,,80.13,,,73.625,,,,,73.848,76.229,77.233,78.533,
"Congo, Rep.",,73.885,75.948,77.408,76.954,78.39,79.3,80.18,82.451,83.08,83.758,85.911,86.125,,86.638,88.863,89.632,87.508,91.106,89.776,88.679,,88.749,,,,87.998,,,,85.753,,88.927,86.425,91.471,,,,,,,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,99.956,100.28,100.872,101.399,100.958,101.654,102.367,103.149,,103.771,104.047,103.147,103.007,102.263,101.069,100.986,100.281,99.956,99.855,99.578,100.215,100.814,100.911,101.51,101.661,101.993,102.514,102.495,102.185,101.898,101.398,102.236,101.315,101.483,101.449,101.382,101.792,101.456,101.852,101.943,101.831,101.888
Cote d'Ivoire,,53.388,54.165,54.845,55.296,,,,,,,62.259,,63.555,64.53,,,,,,,,,,,,,,,69.034,69.277,70.607,68.551,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,102.364,101.551,101.41,101.211,100.699,100.474,100.634,100.912,100.895,100.904,100.763,,101.899,101.852,102.046,102.26,102.404,104.741,
Cuba,,,98.572,97.81,97.36,96.926,,,98.461,99.329,98.845,99.275,99.607,100.448,99.438,99.287,100.181,100.287,101.368,103.326,104.749,106.129,107.254,105.834,104.661,104.866,100.299,102.445,,100.244,99.55,99.98,97.532,97.176,98.708,98.94,99.337,98.586,98.507,98.542,98.348,98.479
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,100.918,100.581,100.364,100.73,101.171,,101.296,101.198,100.584,101.154,101.033,101.149,100.908,100.742,100.612,100.065,100.186,99.878,
Czech Republic,,103.379,103.405,103.405,103.39,103.358,103.353,103.302,103.291,103.352,,,104.679,104.567,102.682,102.546,102.457,109.953,110.204,96.317,93.993,97.962,107.749,104.761,100.638,101.723,101.742,101.698,102.392,101.924,100.727,101.419,101.186,101.029,100.301,100.448,100.573,100.492,100.487,100.528,100.14,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,98.716,98.73,98.478,99.327,99.593,99.194,99.221,99.473,99.754,99.949,100.322,100.444,101.292,100.801,100.938,101.428,101.544,101.763,101.335,,102.294,102.872,102.357,102.681,102.595,102.738,102.304,101.728,101.642,101.558,101.718,101.212,100.603,
Djibouti,,41.626,,49.076,52.391,54.121,51.47,,,,,,67.934,69.323,69.599,69.381,69.374,70.697,71.86,72.244,,,71.431,77.604,76.525,75.337,74.416,73.49,,71.4,70.985,70.676,71.516,73.502,75.272,75.629,75.833,79.441,79.987,81.712,,85.202
Dominica,,,,107.306,112.752,112.531,109.283,114.156,112.5,113.091,113.875,111.841,110.865,,110.313,,107.066,106.455,,,101.849,100.401,101.414,104.977,,,,,,112.785,105.696,104.272,104.957,105.72,103.731,103.56,102.499,102.065,100.375,103.664,103.084,102.742
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.572,104.902,104.115,,107.13,107.313,102.621,103.6,104.012,103.552,102.916,96.495,97.279,98.962
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,94.206,94.275,94.523,95.491,96.244,96.024,96.312,96.376,98.158,97.044,97.886,97.962,99.688,100.276,99.616,99.99,100.083,100.306,,,,,99.558,,,100.693,,100.906,100.637,100.071,100.535,100.022,100.341,99.797,100.031,100.141,100.23,101.511,,100.555,
Egypt,,58.471,58.722,58.99,59.493,59.112,60.388,61.411,62.18,63.544,64.258,65.972,67.419,69.07,70.954,72.809,74.565,76.058,75.252,78.749,80.42,81.049,84.216,84.899,83.713,87.163,79.931,86.436,,91.083,92.064,92.95,,93.926,94.649,,,,,95.793,89.831,
El Salvador,92.074,91.262,91.524,90.968,91.393,91.822,93.077,92.385,93.229,93.924,97.53,,,97.359,99.166,,,,101.542,99.365,,101.452,100.916,100.525,,,,,97.716,96.797,96.971,97.668,96.845,98.311,98.592,98.748,99.077,101.422,98.768,98.348,97.572,97.174
Equatorial Guinea,,68.819,,,,,,,,,,,,,,,,,,,,,,81.671,86.589,,,,,67.983,81.335,,82.841,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,82.128,78.418,78.01,78.892,78.695,,77.649,77.294,77.861,74.378,74.824,70.733,71.783,72.107,77.853,77.315,77.424,80.05,80.434
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,102.759,102.391,105.156,104.42,103.506,,100.685,100.341,100.315,99.491,99.538,100.345,100.084,99.817,100.594,100.919,101.05,100.504,99.495,
Ethiopia,,43.027,43.766,,44.736,,,,,,,,,,59.237,,64.231,,,,,68.433,74.771,73.427,66.627,62.785,59.724,,,61.53,64.969,68.02,69.074,69.305,72.78,77.458,80.528,82.591,85.094,87.918,88.755,89.798
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,92.947,,96.281,95.367,98.112,99.249,100.108,100.128,100.67,,101.361,101.263,,101.308,100.167,100.119,100.403,100.659,,,,98.376,99.82,,,,,,102.597,104.306,103.111,102.781,103.848,103.075,102.284,,103.907,104.416,103.089,103.668,,
Finland,,,101.501,102.421,102.772,,105.02,104.908,105.165,105.398,105.84,105.692,106.658,106.442,108.492,108.91,108.493,108.56,108.311,107.662,108.682,109.37,110.573,109.132,108.581,107.769,109.206,107.38,105.175,104.75,104.821,105.424,105.614,105.221,101.987,101.987,102.058,102.231,102.261,102.394,102.293,
France,,103.287,103.35,107.278,100.192,103.523,,103.787,104.593,104.378,105.036,109.434,104.978,105.07,,104.276,103.859,103.636,103.441,103.31,102.995,102.475,102.095,101.66,98.96,98.671,98.918,99.123,99.247,99.46,99.696,99.952,99.9,100.08,99.922,99.711,99.609,99.628,99.575,99.685,99.974,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,105.038,110.986,105.128,106.088,109.39,,,,,,,,,,,,,,,,,,
Gabon,,83.976,84.135,84.633,84.258,,85.766,86.666,86.885,87.612,89.341,89.452,89.547,89.85,90.38,91.196,91.114,92.444,92.62,95.948,,,,,96.645,94.943,96.499,,,95.963,95.879,,,,,,,,,,,
Gambia,,40.845,,42.221,43.906,46.728,47.033,45.813,46.753,45.88,47.313,50.227,,52.782,55.125,55.817,56.996,58.315,,58.029,,,65.085,66.396,68.05,68.995,73.361,,,,,,,,,,,,100.765,100.664,99.349,
Georgia,,,,,,,,,,,,82.311,,,,,87.279,,,,,98.242,96.665,95.871,93.574,94.009,98.27,97.422,,98.528,98.487,100.006,99.173,97.747,97.087,96.781,100.267,,96.659,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,98.787,97.473,97.913,98.064,98.22,98.459,98.345,98.564,98.888,98.958,98.727,98.458,98.493,98.511,98.296,98.303,97.941,96.046,96.052,
Ghana,,76.212,,76.746,77.113,75.889,75.13,74.946,75.052,75.51,76.436,76.333,76.467,75.411,74.968,74.196,,75.66,76.72,77.811,78.153,,,,,84.631,,,,89.105,90.201,91.674,91.894,94.354,91.203,92.522,94.462,95.456,95.819,95.864,,96.383
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,90.372,90.379,90.123,89.734,89.576,90.065,90.729,92.108,92.975,93.32,95.13,96.198,98.615,99.123,99.205,98.762,97.991,97.756,97.926,98.599,98.71,99.299,100.933,98.201,101.818,101.85,102.471,102.604,102.523,103.439,102.768,101.068,100.6,99.544,98.573,98.616,97.356,,,97.665,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,95.137,99.478,,,,,100.946,100.753,100.701,100.845,107.231,108.568,106.412,102.541,102.2,93.918,,96.047,,,,,104.353,,,,,,,,,103.276,98.717,101.345,,,97.932,93.056,96.822,101.375,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,80.204,81.727,82.164,82.093,83.586,83.946,84.538,84.946,83.838,83.763,84.105,84.93,86.668,85.773,,,,,,,,,,86.817,,,85.972,,86.835,85.895,88.825,89.391,89.918,90.439,90.987,91.612,92.237,92.958,93.693,94.721,94.912,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,42.558,,,,,,,,,,48.987,48.454,47.308,47.258,45.367,45.467,43.534,,43.577,43.889,44.869,,45.274,46.965,,50.599,,,57.973,,64.22,66.846,69.271,70.288,72.567,74.398,76.107,76.89,76.992,,79.378
Guinea-Bissau,,44.263,63.225,,,,53.607,,46.553,44.024,43.843,44.427,43.922,45.683,46.599,48.257,,52.498,52.646,54.9,,,,,,,,,,,65.394,,,,,,,,,,,
Guyana,,98.19,97.198,97.171,97.715,,98.966,,,,,,,,98.448,99.472,100.04,99.103,,,,,,,,,,,,99.628,,97.767,,,101.056,102.187,,101.883,105.198,104.835,106.827,106.723
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6395474282642,,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,99.052,,,,,,,,,,100.558,,101.699,101.676,103.285,,,,,,,104.354,,,,,,,,,,,,,,,105.632,106.488,107.337,,107.178,106.737
"Hong Kong, China",,92.659,93.323,93.911,94.338,94.322,95.157,96.226,98.013,100.004,100.596,101.236,101.789,102.335,102.163,101.757,101.936,101.961,102.104,,,,,,,,100.912,,,,,98.393,97.77,98.213,98.47,98.767,98.717,99.36,99.962,100.96,101.722,102.849
Hungary,,91.942,93.327,95.569,94.899,95.829,96.356,97.016,97.263,97.818,97.965,98.496,99.666,99.711,99.733,99.985,100.263,100.561,100.798,101.022,100.437,100.328,100.28,,101.909,102.042,101.853,101.517,100.904,100.323,99.887,99.9,99.913,99.617,98.891,98.717,98.823,98.92,98.316,98.632,98.473,
Iceland,,91.905,,,,92.786,92.29,94.546,,,,,,96.137,95.685,,96.056,,97.524,97.531,,,,98.993,98.969,98.429,98.92,,100.542,101.614,102.425,102.311,102.328,102.533,100.498,99.931,100.949,103.076,101.902,101.642,101.012,
India,,58.142,58.516,59.507,,60.346,60.73,61.161,60.405,,61.525,62.322,61.994,64.405,63.114,,66.007,66.943,67.809,67.448,,,,73.351,74.515,74.519,75.232,76.443,,78.36,78.805,79.482,81.437,89.732,89.961,90.286,90.344,92.181,94.85,,,
Indonesia,80.629,80.031,79.913,78.647,77.205,81.588,83.566,83.536,83.776,,,83.812,85.711,89.657,89.97,,,,90.328,91.584,92.206,92.955,93.731,92.125,92.964,92.882,92.978,,,,96.013,97.769,98.07,98.263,98.582,97.318,97.892,97.549,97.983,97.614,101.098,
Iran,,57.153,57.555,58.196,58.253,60.396,62.602,64.168,,,,,,,,76.501,,,78.673,,82.075,84.532,85.519,86.871,87.936,89.182,,91.895,,93.321,94.134,94.568,94.852,94.826,96.328,96.972,97.539,100.142,,97.694,97.511,97.18
Iraq,,42.557,42.326,43.321,44.794,48.178,50.121,54.758,57.992,69.659,73.668,77.335,78.614,78.91,77.402,75.956,75.464,76.298,78.554,76.95,,,,78.663,,,79.054,,,78.016,77.245,77.475,78.47,81.229,79.095,,,81.385,,,,
Ireland,,102.653,102.088,103.071,103.139,103.88,103.691,103.945,104.521,104.75,105.495,105.377,105.327,104.882,104.643,104.577,104.761,104.52,104.267,104.404,104.759,104.574,104.134,101.894,102.237,102.87,103.752,104.125,102.178,102.173,102.876,103.157,103.256,102.949,102.737,103.462,102.886,102.883,102.983,102.683,102.115,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,103.867,103.665,104.231,104.723,104.377,103.933,104.591,104.981,,,103.796,104.699,104.882,104.917,104.391,105.063,104.003,104.456,104.024,102.537,102.692,101.871,,,,,99.05,99.51,99.57,99.166,98.794,99.93,100.017,100.277,100.676,101.183,101.316,101.368,
Italy,,91.674,92.051,92.548,93.074,93.696,94.059,94.464,95.296,95.999,96.928,97.674,98.39,98.587,98.794,98.939,98.995,98.898,99.052,99.108,100.112,99.505,99.551,100.566,100.915,98.899,99.266,99.507,99.037,99.231,97.566,98.308,97.064,99.059,99.289,99.111,99.151,98.813,98.695,98.785,98.642,
Jamaica,,,,102.442,102.092,106.115,106.308,104.264,102.663,104.286,106.008,105.584,,104.422,104.066,103.814,105.188,102.714,102.294,103.661,,102.41,,99.955,,,,,,99.831,100.329,99.94,100.176,100.179,100.245,100.182,,100.714,100.257,98.22,98.914,
Japan,,99.508,100.073,100.255,100.42,100.624,100.743,100.716,100.755,100.791,100.904,101.083,101.158,101.251,101.281,101.072,101.141,101.076,101.111,101.184,101.307,100.886,100.862,101.128,100.788,100.759,,,100.724,100.661,100.575,100.513,100.404,100.272,100.129,100.073,100.073,100.04,100.002,100.082,100.08,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,77.99,80.644,82.433,84.093,85.755,87.182,89.105,90.752,93.715,96.728,98.137,100.021,101.729,102.731,105.101,103.719,103.666,105.336,102.514,101.361,101.36,103.605,103.811,103.517,,102.29,,,102.453,102.419,,101.879,101.897,101.487,101.604,102.692,102.918,102.486,,102.498,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.928,103.82,100.315,101.686,98.999,99.095,100.614,99.058,99.069,99.196,99.41,98.994,98.363,98.31,98.292
Kenya,67.046,69.245,71.119,73.311,78.177,81.096,,,,,87.5,88.746,89.222,89.175,90.297,89.822,90.527,90.74,91.691,,,,,,,,,,,96.714,97.602,,95.123,97.159,94.059,95.825,96.033,95.14,95.841,95.355,,
Kiribati,,86.138,89.518,86.154,,,,87.823,89.119,91.134,89.191,92.435,93.485,93.907,93.789,95.566,96.494,96.059,97.345,98.269,99.204,100.997,101.839,103.879,103.363,105.748,106.004,,,107.286,106.195,108.244,106.679,106.584,109.573,106.906,107.164,109.032,106.948,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,88.726,89.337,89.525,89.639,89.741,89.979,90.314,90.946,92.059,94.142,95.469,95.794,95.957,96.83,97.647,98.134,99.322,97.699,97.918,98.279,99.023,99.528,100.054,99.874,101.185,101.591,101.473,100.842,100.369,100.079,100.15,99.923,99.606,99.242,98.988,98.787,98.74,98.9,98.875,98.8,
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,78.63,83.378,83.41,84.222,84.998,87.025,87.996,88.354,90.001,91.661,91.872,93.471,95.158,96.358,96.434,95.38,93.064,91.814,91.288,92.839,,96.843,97.688,99.728,102.975,100.083,103.422,104.412,102.731,103.022,103.866,103.066,103.88,104.99,103.556,103.998,103.075,105.15,,,
Kyrgyz Republic,,,,,,,,,,,,97.03,,,,,97.747,,,98.623,100.283,,102.115,,,,,,,100.713,101,99.19,99.397,100.027,100.067,99.471,99.593,99.722,99.686,99.907,98.862,99.219
Lao,,57.977,64.883,68.331,,,,70.046,80.753,77.092,80.817,81.369,,,,,81.387,,78.872,,77.119,,77.13,76.282,76.33,77.814,78.197,78.797,79.868,81.177,81.344,81.91,82.326,82.92,83.725,84.044,85.014,85.899,87.124,88.391,89.557,90.629
Latvia,,,,,,,,,,,,,,,,,,,,,,100.981,102.839,102.2,104.734,103.709,103.632,103.304,101.628,101.309,100.99,100.485,99.537,98.536,98.367,98.806,99.228,99.621,99.599,99.34,98.334,
Lebanon,,80.137,,,,,,,,,,,96.571,,,92.992,,,,,,,100.987,,101.327,103.325,102.571,101.764,101.891,101.885,,,,,,,102.989,103.739,103.402,103.714,103.8,103.46
Lesotho,146.825,,146.201,143.625,,142.144,141.826,143.809,145.319,144.802,142.456,138.437,133.69,131.738,128.722,127.493,126.941,127.531,126.911,125.117,124.211,123.779,121.336,119.083,117.272,,115.056,113.579,114.063,111.946,107.481,105.646,105.473,105.064,104.072,104.179,104.167,104.987,105.408,107.545,106.064,
Liberia,45.296,46.335,47.957,,,45.343,44.034,,50.86,51.854,50.082,,,,,,,,,,,,,,,,,,,72.495,73.271,,,,,,,,,,,88.438
Libya,,55.243,61.375,68.194,74.171,77.598,80.065,83.095,85.42,86.656,87.124,86.99,,87.451,,,90.708,,,,,,,,,,,,,,,,103.249,101.621,,108.31,106.042,,,,,
