Female 40-59 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Belgium,27.86922725,27.70255272,25.08576329,24.2726517,23.74847375,23.47530494,24.49263828,22.96090494,23.47500984,24.16602017,25.77794852,27.59398496,27.81748213,27.51351351,26.39701969,24.98685824,23.99029295,23.4525447,23.04800957,22.6344452,22.5335371
Belize,14.70588235,15.38461538,14.89361702,14.81481481,14.28571429,11.94029851,11.42857143,10.12658228,9.782608696,10.18518519,12.09677419,14.89361702,16.66666667,18.49710983,19.78609626,20.60301508,21.96261682,24.55357143,25.73839662,26.33744856,26.48221344
Benin,18.72146119,18.3908046,17.5145955,16.5771297,15.63585823,14.88833747,14.27792916,14.17061611,13.84111384,13.24756606,12.91192331,12.82903143,13.05397104,13.51197263,14.09106015,14.79847014,15.64348626,16.67062174,17.80393004,19.0405392,20.51964745
Bhutan,13.75,13.54166667,13.88888889,14.17322835,15.06849315,15.20467836,15.12195122,15.58441558,15.24163569,13.2,13.66906475,14.61038961,16.16766467,17.12707182,18.97435897,21.73913043,25.11520737,27.65486726,28.81355932,28.39506173,27.14570858
Bolivia,15.14705882,15.1354924,14.6572104,14.24802111,14.34599156,14.15562914,14.25939573,14.31885979,14.42164734,14.70666313,15.16746411,15.78033427,16.50755768,17.58322604,18.56554564,19.72855065,21.11877395,22.68661094,24.16666667,25.50013702,26.36716139
Bosnia and Herzegovina,16.46120377,16.875412,15.44615385,15.89595376,18.26182618,20.31496063,22.80966767,22.57293161,22.93577982,23.86231039,25.36610879,28.3095723,30.2409021,30.59431525,30.22524882,29.98932764,30.43240285,29.26553672,28.47915443,26.33190447,23.69607212
Botswana,15.02347418,12.91666667,12.5,12.5,12.22222222,12.82660333,12.5748503,12.01353638,11.91860465,12.899106,14.26927503,15.27627302,15.31440162,14.53154876,14.66302368,16.36205396,18.70805369,21.05691057,22.49408051,22.81776417,23.23682257
Brazil,14.98639606,14.79616079,14.2285448,14.03483859,14.2895777,14.36509988,14.76558526,14.98149259,15.78800521,17.43665805,19.21098939,21.44629677,23.14785886,24.48212383,25.91629671,27.25132593,28.20198929,28.54601571,28.66490411,28.3340841,27.58118771
Brunei,17.39130435,16.12903226,15,14.58333333,15.87301587,15.38461538,12.22222222,12.14953271,13.2231405,13.66906475,16.35220126,18.07909605,20.81218274,22.53521127,24.56896552,26.19047619,26.39405204,26.92307692,26.73267327,26.34920635,25.67975831
Bulgaria,21.7810863,23.13829787,22.46192893,24.14129111,25.12953368,26.0989011,26.91702271,26.14292055,25.87787967,26.31332083,27.37457379,28.01908109,27.47224374,27.74382142,28.53611645,29.17855106,29.57117332,28.05979446,25.03259452,22.67759563,21.08282539
Burkina Faso,14.2194745,14.97148289,15.32118056,15.25961157,14.85857501,14.20729738,13.43713956,12.89002558,12.22023277,11.75897036,11.71384981,11.90200058,12.1595092,12.61849589,13.16344303,13.78251737,14.40580543,15.12751159,15.97833052,17.10498296,19.19241539
Burundi,15.1326053,15.22516083,15.06221349,14.6882494,14.15249589,13.44450234,12.64582361,12.04771372,11.74047374,12.51580278,13.20132013,13.56291391,13.68663594,13.81977838,14.87208858,17.21398305,20,21.97016781,22.84122563,22.81944444,22.91197882
Cambodia,14.29885057,14.25619835,14.28045639,14.14602347,14.0796307,14.24139876,14.6051905,14.26237162,14.26319937,14.52296221,15.56704165,16.78616617,17.66927083,17.90272092,17.62144054,20.08153878,22.68459029,25.7325921,27.76474833,26.66030865,25.69729458
Cameroon,16.02986386,15.96470116,15.79330422,15.53017945,15.16902629,14.69026549,14.13280909,13.54875283,13.11342216,12.90002832,12.93482356,12.96897749,12.88706283,12.99241055,13.72468302,15.07347372,16.65731913,18.19664644,19.26011843,20.35642426,21.69600523
