"SBP female (mm Hg), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Cuba,126.513,126.5068,126.5159,126.5022,126.5144,126.5343,126.5114,126.4896,126.4361,126.3496,126.2285,126.1032,126.0368,125.8397,125.6814,125.522,125.4324,125.3517,125.3096,125.333,125.3943,125.4991,125.4713,125.6351,125.7717,125.858,125.9402,126.0193,126.0594
Cyprus,130.503,130.3639,130.221,130.0552,129.8339,129.5627,129.3634,129.1356,128.857,128.6207,128.4155,128.1878,127.9985,127.744,127.3872,127.1035,126.7186,126.3746,126.0223,125.6878,125.3252,124.935,124.5562,124.1485,123.791,123.4697,123.2031,122.9174,122.6309
Czech Rep.,135.9513,135.6808,135.3821,135.0708,134.7367,134.3907,134.0325,133.6653,133.2764,132.8776,132.4544,131.9518,131.4293,130.9018,130.407,129.9195,129.4739,129.043,128.617,128.2232,127.8608,127.5133,127.2116,126.9481,126.6583,126.3931,126.1516,125.9175,125.678
Denmark,129.9942,129.4966,129.0305,128.5743,128.1538,127.727,127.382,127.0723,126.7681,126.4891,126.2338,126.0034,125.7523,125.4821,125.1774,124.8122,124.4529,124.0879,123.6697,123.2706,122.8896,122.4678,122.0758,121.6822,121.2744,120.8508,120.4327,119.9982,119.5815
Djibouti,130.6216,130.5218,130.4377,130.3124,130.2306,130.1219,130.0487,129.9803,129.9053,129.8415,129.7892,129.6738,129.5532,129.4335,129.3052,129.2046,129.0866,128.9764,128.8751,128.8062,128.737,128.7203,128.7091,128.7435,128.8253,128.941,129.0673,129.2121,129.3376
Dominica,130.8465,130.8348,130.7654,130.6713,130.5742,130.4815,130.4211,130.4482,130.5817,130.6284,130.5684,130.4843,130.4183,130.3346,130.1641,130.033,129.9852,129.9794,129.991,130.0176,130.0752,130.1229,130.1799,130.2829,130.4123,130.5891,130.749,130.9328,131.1026
Dominican Rep.,128.0439,128.1017,128.1092,128.1049,128.0834,128.028,128.0127,128.0158,127.9941,127.9968,127.959,127.8658,127.7528,127.6535,127.5423,127.3551,127.1694,127.0017,126.8565,126.7198,126.5375,126.4508,126.396,126.4265,126.4261,126.4165,126.4314,126.4172,126.3884
Ecuador,127.098,127.0498,126.9562,126.7895,126.5974,126.4271,126.2512,126.063,126.0327,125.9804,125.8612,125.7048,125.583,125.4433,125.3528,125.1429,124.9068,124.7118,124.4653,124.3042,124.0952,123.9204,123.7925,123.637,123.5279,123.4309,123.2942,123.135,122.9864
Egypt,124.5519,124.6403,124.7371,124.809,124.8519,124.8865,124.9129,124.9448,124.9671,124.9993,125.0332,125.0536,125.0939,125.1319,125.1646,125.2091,125.2656,125.3015,125.333,125.3731,125.4206,125.4726,125.4958,125.4763,125.4433,125.3818,125.309,125.21,125.0931
El Salvador,122.9391,122.7232,122.4795,122.2418,122.0095,121.7911,121.5859,121.3952,121.2395,121.1039,120.9851,120.8822,120.7878,120.6958,120.5975,120.4773,120.324,120.1875,120.0579,119.9565,119.9023,119.8618,119.8362,119.819,119.7997,119.7913,119.8384,119.8926,119.9321
Equatorial Guinea,130.4484,130.4787,130.4917,130.4793,130.5238,130.4977,130.4708,130.4919,130.5338,130.589,130.6473,130.6941,130.7389,130.7843,130.7784,130.8201,130.8995,131.0912,131.2755,131.4868,131.6684,131.8673,132.0235,132.118,132.2025,132.2278,132.1974,132.1354,132.0392
Eritrea,117.4954,117.8446,118.1676,118.5095,118.7894,119.0446,119.2902,119.5687,119.8682,120.1616,120.4659,120.8203,121.1838,121.4825,121.8593,122.1954,122.4899,122.7634,123.0054,123.2267,123.4249,123.6622,123.9032,124.1735,124.4847,124.8166,125.1285,125.4481,125.7948
Estonia,137.7143,137.4186,137.1177,136.8101,136.4815,136.1351,135.7728,135.3635,134.9198,134.4292,133.8932,133.2842,132.6191,132.0559,131.5484,131.1877,130.8985,130.7004,130.4832,130.2793,130.1854,130.1075,129.9921,129.8773,129.759,129.6701,129.5979,129.5624,129.5161
Ethiopia,116.6236,117.0292,117.4135,117.8444,118.1783,118.4478,118.7317,119.0315,119.3878,119.7169,120.0726,120.4205,120.7711,121.1002,121.4216,121.7438,122.062,122.364,122.6542,122.9617,123.2946,123.6419,123.9984,124.3722,124.7941,125.2501,125.7065,126.1723,126.6251
Fiji,124.38,124.4693,124.5321,124.6102,124.7124,124.8171,124.892,124.9667,125.0997,125.235,125.425,125.5826,125.698,125.8493,126.0015,126.1456,126.3041,126.4463,126.6147,126.7273,126.84,126.938,127.0538,127.1665,127.2704,127.3532,127.4067,127.4447,127.4768
Finland,138.4208,137.9415,137.4362,136.9318,136.4311,135.9397,135.4948,135.1057,134.745,134.4209,134.0747,133.6866,133.28,132.8562,132.4177,131.9184,131.414,130.9147,130.3987,129.9365,129.493,129.0869,128.6964,128.3291,127.9756,127.6283,127.2743,126.9188,126.5645
France,132.0924,131.593,131.1215,130.6444,130.1658,129.6983,129.2905,128.9064,128.55,128.2122,127.9024,127.5696,127.2634,126.9342,126.5782,126.1979,125.765,125.2837,124.7804,124.2757,123.7922,123.3061,122.8281,122.3257,121.8503,121.389,120.9448,120.478,120.0146
French Polynesia,128.6862,128.4431,128.218,127.9755,127.7415,127.5396,127.3748,127.2565,127.1088,126.9262,126.7377,126.5695,126.3956,126.218,126.0366,125.8447,125.6413,125.4589,125.3026,125.1897,125.0703,124.9137,124.775,124.6361,124.4775,124.3343,124.1924,124.0502,123.9001
Gabon,138.8162,138.4747,138.1485,137.8822,137.6329,137.3243,137.0339,136.6971,136.4271,136.2087,136.0113,135.8222,135.5638,135.2502,134.9725,134.6402,134.3394,134.0209,133.6889,133.3217,132.9702,132.6101,132.3095,131.9946,131.6497,131.3128,130.9896,130.6728,130.3625
Gambia,126.4045,126.5689,126.7554,126.9074,127.0469,127.1477,127.2761,127.4326,127.6026,127.7827,127.9788,128.1509,128.3497,128.5379,128.6811,128.7875,128.8734,128.9687,129.0923,129.2083,129.3356,129.4746,129.5809,129.7175,129.84,129.9648,130.0428,130.1235,130.208
Georgia,135.1444,135.0548,134.9654,134.8598,134.7429,134.6185,134.4834,134.3612,134.2544,134.1381,133.9932,133.7772,133.377,132.9283,132.5144,132.1148,131.8352,131.6083,131.4408,131.2765,131.1606,131.0693,130.9868,130.9425,130.8453,130.7736,130.7013,130.6481,130.5789
Germany,135.3171,134.9539,134.6098,134.2333,133.8742,133.5259,133.2518,132.9995,132.8069,132.6308,132.4601,132.2798,132.1137,131.8859,131.6122,131.2764,130.9147,130.4979,130.0262,129.5291,129.0619,128.5426,128.0019,127.456,126.934,126.4192,125.9101,125.4044,124.9044
Ghana,125.7317,125.8309,125.8966,125.9283,126.1473,126.3798,126.6436,126.908,127.1872,127.4538,127.59,127.8447,128.041,128.2444,128.4257,128.5944,128.7672,128.8955,128.9776,129.018,129.0109,128.9738,128.9192,128.8432,128.7366,128.6494,128.5485,128.4326,128.2953
Greece,131.7056,131.3393,130.8904,130.4248,129.9645,129.5064,129.0916,128.6944,128.4442,128.1744,127.8997,127.646,127.4106,127.1423,126.8746,126.5229,126.1854,125.8312,125.4566,125.1569,124.8459,124.5943,124.3581,124.1031,123.9091,123.6787,123.4277,123.1853,122.9342
Greenland,137.3222,136.8022,136.2203,135.635,135.0039,134.3965,133.8399,133.3607,132.8965,132.4727,132.0164,131.5509,131.102,130.6056,130.1637,129.7176,129.2452,128.7726,128.3185,127.901,127.52,127.1389,126.8099,126.4917,126.1786,125.8585,125.5636,125.2784,124.9943
Grenada,125.0683,125.0694,125.0647,125.0249,125.002,124.9571,124.9162,124.9133,124.9127,124.9583,124.9942,125.0084,125.0171,124.994,124.9877,124.9909,124.983,124.9736,124.9872,125.0057,125.0265,125.0417,125.0969,125.1708,125.2376,125.3122,125.3864,125.4974,125.6017
Guatemala,123.0122,122.9101,122.7523,122.5601,122.355,122.1808,121.9906,121.8231,121.6501,121.5061,121.3884,121.2672,121.1459,121.0306,120.8977,120.7699,120.6364,120.5256,120.449,120.399,120.3752,120.3628,120.3851,120.4315,120.4994,120.5871,120.7127,120.8344,120.9596
Guinea,128.7188,128.843,128.9523,129.0352,129.1202,129.1962,129.2899,129.3938,129.5087,129.6505,129.7976,129.9373,130.0838,130.22,130.3342,130.4474,130.5557,130.6568,130.7629,130.8786,130.9867,131.1133,131.2604,131.4173,131.5868,131.7603,131.9376,132.1088,132.2765
Guinea-Bissau,125.8832,126.028,126.2188,126.3773,126.5765,126.8878,127.1901,127.4689,127.7378,128.0323,128.2953,128.5248,128.662,128.75,128.882,129.0055,129.1212,129.2486,129.268,129.3284,129.4397,129.5119,129.6245,129.7746,129.926,130.1029,130.3005,130.525,130.7627
