"SBP female (mm Hg), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Turkmenistan,132.1678,132.0272,131.8907,131.7526,131.6127,131.468,131.3329,131.1864,131.0644,130.9221,130.7682,130.5816,130.3513,130.1635,129.9246,129.6833,129.4777,129.2813,129.1384,129.0526,129.0004,128.9876,128.9949,129.0138,129.048,129.0822,129.1159,129.149,129.1787
Uganda,126.3266,126.4646,126.7267,127.091,127.3351,127.572,127.8255,128.1172,128.4614,128.8366,129.2108,129.5496,129.808,130.0887,130.4025,130.7043,130.9419,131.1791,131.4655,131.7386,132.0322,132.3769,132.7281,133.0637,133.3713,133.663,133.9508,134.2373,134.5204
Ukraine,136.0755,135.9581,135.8386,135.6994,135.5477,135.3794,135.2016,135.0167,134.8228,134.6244,134.3929,134.121,133.8088,133.4859,133.0742,132.6411,132.2631,131.9419,131.6607,131.4368,131.316,131.2733,131.2511,131.2885,131.357,131.4186,131.4633,131.4869,131.4962
United Arab Emirates,134.5369,134.1822,133.6435,133.0023,132.4744,131.9216,131.2633,130.6584,129.9304,129.3502,128.7999,128.2487,127.7504,127.26,126.8347,126.3157,125.8086,125.3305,124.8362,124.3872,123.9708,123.5992,123.2669,122.9627,122.6801,122.4202,122.1904,121.9592,121.7369
United Kingdom,131.0317,130.9925,130.9512,130.9255,130.9341,130.9614,131.0599,131.1781,131.3436,131.4704,131.5776,131.6088,131.5905,131.5307,131.376,131.1159,130.7655,130.367,129.8952,129.4008,128.8871,128.3659,127.7889,127.1716,126.5565,125.9355,125.3251,124.7046,124.0845
United States,125.3505,124.9475,124.5245,124.1041,123.7271,123.3636,123.0279,122.7663,122.5227,122.2921,122.07,121.8345,121.6112,121.3864,121.1598,120.9321,120.7042,120.5143,120.3276,120.1758,120.0618,119.9299,119.7817,119.5971,119.4168,119.2029,118.9686,118.7307,118.4777
Uruguay,129.0226,128.8669,128.6329,128.362,128.0948,127.8223,127.5913,127.3957,127.1841,126.9777,126.7821,126.5821,126.4178,126.2336,126.045,125.8373,125.6366,125.4676,125.2881,125.0933,124.9236,124.7784,124.619,124.5225,124.447,124.3858,124.3387,124.3055,124.2604
Uzbekistan,126.9597,126.8265,126.6906,126.5401,126.3931,126.2228,126.0618,125.8997,125.7349,125.5746,125.404,125.224,124.9828,124.7523,124.4965,124.27,124.0651,123.9115,123.7769,123.6928,123.6534,123.6617,123.7023,123.7556,123.8433,123.9485,124.0884,124.218,124.3462
Vanuatu,124.8248,125.0508,125.3212,125.6346,125.9421,126.2153,126.4767,126.6949,126.9253,127.181,127.4534,127.7247,127.9799,128.2495,128.5109,128.7681,129.0024,129.2715,129.5454,129.8112,130.0848,130.3563,130.6318,130.9046,131.1835,131.4527,131.6923,131.9058,132.1081
Venezuela,132.2448,131.9131,131.5262,131.1202,130.7205,130.3194,129.93,129.5669,129.2399,128.861,128.5352,128.2534,127.9876,127.6835,127.354,127.0478,126.7141,126.4018,126.0919,125.7926,125.5304,125.2766,124.9664,124.6912,124.4685,124.2583,124.0539,123.8766,123.7029
Vietnam,117.117,117.2861,117.4682,117.6367,117.8167,117.9924,118.1809,118.3846,118.5862,118.7982,119.0155,119.2403,119.482,119.7265,119.9687,120.2081,120.4431,120.6607,120.8651,121.0523,121.2064,121.3575,121.4875,121.6101,121.7133,121.8003,121.8712,121.9161,121.9367
West Bank and Gaza,127.0914,127.2162,127.3237,127.409,127.4909,127.5676,127.6486,127.7166,127.7735,127.8208,127.8804,127.9232,127.9818,128.0369,128.0975,128.1294,128.2303,128.2846,128.3159,128.308,128.2632,128.1633,128.0281,127.8941,127.7742,127.6321,127.4807,127.369,127.2788
"Yemen, Rep.",123.5039,123.7156,123.8853,123.9931,124.1002,124.1695,124.2453,124.3342,124.4476,124.5944,124.7192,124.8029,124.9112,125.0239,125.1176,125.2144,125.2831,125.3393,125.4326,125.5215,125.6419,125.7573,125.8695,125.9661,126.0559,126.1325,126.2154,126.2912,126.3708
Zambia,127.2273,127.2752,127.2843,127.3063,127.3229,127.324,127.3397,127.3958,127.4855,127.6195,127.7462,127.8646,127.9677,128.0878,128.174,128.2397,128.343,128.457,128.598,128.8036,129.0495,129.3551,129.7063,130.1026,130.5382,131.0159,131.5008,131.9837,132.4493
Zimbabwe,128.7457,128.982,129.2042,129.427,129.5677,129.7208,129.859,129.9719,130.1199,130.2812,130.4089,130.5379,130.5598,130.5842,130.6095,130.5943,130.6034,130.6165,130.6295,130.6823,130.754,130.8354,130.9397,131.067,131.2206,131.3989,131.5834,131.7722,131.9745
