"Foreign direct investment, net inflows (% of GDP)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Australia,2.154106906,2.518025061,2.006158589,0.2286445613,1.48425773,0.4637460963,0.9836356916,1.024211776,1.404544457,1.094529887,1.236458664,1.314511988,1.20741373,1.670174485,0.1920157783,1.132520476,2.908765805,2.764161721,3.093317456,2.400905704,2.582466475,1.309372534,1.734524753,1.370707946,1.534618017,3.242648332,1.531488728,1.743765402,1.484727203,0.8482972864,3.266590565,2.171380832,4.278456651,1.712984884,5.983225722,-5.111614581,3.522892402,4.792704034,4.453781979,2.948023571,2.70198663,
Austria,0.738168719,0.805082506,0.6639631462,0.5486440994,0.5068051291,0.198939775,0.2139211898,0.1892938192,0.231322055,0.2553272699,0.2937416717,0.4645660813,0.2941573747,0.302281441,0.1709657917,0.2516765569,0.1899532234,0.3327222776,0.3296897339,0.4452512658,0.3962589827,0.2091416635,0.7470034817,0.5996518149,1.052018326,0.7966475676,1.881169816,1.262487696,2.176569544,1.417001628,4.438680216,3.081135939,0.1532892338,2.795184148,1.335500641,26.77132198,1.234981199,17.05728413,1.594065538,3.018148164,-6.762872176,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,10.81256385,19.74587488,28.1332208,23.00665415,11.13931939,2.464373862,3.968608099,22.32888757,45.14985707,40.96646642,12.68302373,-2.783230697,-14.36904677,0.03024411269,1.068613848,1.087668693,
Bahamas,,,,,,,2.273789245,4.403927073,-0.1321480059,0.8422529804,0.3070471132,2.411496727,0.1774060664,-0.3462603882,-0.2400666273,-1.301331549,-0.5338726055,0.3979366437,1.302388289,0.8295231875,-0.5464308275,-0.04178505766,0.009649404953,0.8764553687,0.71801166,3.114610674,2.432806872,4.232916001,2.743986951,2.48007798,3.954926012,1.570898917,2.195890886,2.736959618,3.856555856,7.311166224,8.867895251,8.574953035,10.43860511,8.504951999,11.18578574,
Bahrain,,,,,,,,,,,-13.60487845,0.1196717469,0.7805660681,1.716035263,3.602315247,2.774743122,-1.045569393,-1.058491471,5.998132251,4.680938678,-4.31966786,13.41821722,18.28257886,-5.288191128,3.740326847,7.361126435,33.56601633,5.186228649,2.901942476,6.852817746,4.561239756,1.013488777,2.555437523,5.300795052,7.701436914,7.790385279,18.38328827,9.507406632,8.19069147,1.248607967,,
Bangladesh,,,0.001431241747,0.02900696836,0.01765751751,0.00795700649,0.05375297122,0.07246324408,0.05789752919,-0.05139240236,0.04697856306,0.02712146296,0.03848067673,0.002354763894,-0.002812734476,-0.03081445838,0.01151451964,0.01347728097,0.00716978224,0.0009241604948,0.01074979333,0.004491469929,0.01173758043,0.04236164139,0.03301223044,0.004998377636,0.03327061017,0.3293480863,0.4310542337,0.3931866016,0.5949815876,0.1671220369,0.1100236073,0.5167911955,0.7936695469,1.34929476,1.126322627,0.9541981995,1.269098617,0.7983269462,0.9136452678,
Barbados,4.765840218,7.892872704,7.404178023,1.971658756,0.7008905769,5.702645139,1.583034053,0.9896658301,1.62785079,0.798134993,0.325415489,0.8870587085,0.469977156,0.3474652271,0.004367075297,0.4047805009,0.5890995813,0.490106399,0.7495649201,0.4900457003,0.654803831,0.4386049497,0.9096632226,0.5727422352,0.7498801073,0.6320106816,0.6707359607,0.6750706476,0.666091424,0.702883465,0.7581530624,0.7262584544,0.7027163312,2.16150649,-0.428470255,7.928831809,10.72563782,13.24957694,12.58884955,11.55777317,16.27515818,
Belarus,,,,,,,,,,,,,,,,,,,,,,,0.04112281675,0.1081056342,0.07032066496,0.1052056199,0.7081451549,2.488602326,1.334908698,3.657787508,0.9327262197,0.775405865,1.693054218,0.9637912905,0.7078166027,1.009596401,0.9577424845,3.987347565,3.588668534,3.824541371,2.563918463,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15227813,11.08282034,12.27991969,8.928703136,14.71427992,21.02759793,36.45644027,12.88549003,15.53436004,
Belize,13.31867232,5.641194595,,,,,,,1.467351431,-0.03293807642,,-1.036806636,,,-1.754385965,1.769065264,2.018872065,2.476947967,4.445855827,5.135618664,4.164144938,3.05809898,3.010747916,1.643562544,2.646445074,3.394987314,2.585489034,1.827428055,2.56215783,7.313461013,2.805135781,7.015383542,2.721921513,-1.10552174,10.55531337,11.38320534,8.971077994,10.99459998,12.48755792,8.068205072,6.884359535,
Benin,2.017721498,0.8410210113,1.170631389,0.6933376533,-0.4220873503,0.2792002199,0.351183361,0.4167587779,0.08110156722,0.3007858932,0.307202842,0.1618972414,-0.0009601937821,0.0009583233638,0.001088621364,-0.008606513119,0.08232763569,0.006400432934,0,4.133445642,3.380779096,6.432002306,4.775712916,0.06664795138,0.9118401804,0.6634146897,1.608527935,1.252591009,1.625667577,1.64467206,2.64926008,1.849177878,0.4811685116,1.257216788,1.577401525,1.237187372,1.123596178,4.602161525,2.541395635,2.022969658,1.672381517,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.183158775,3.280366226,1.819859206,1.922292821,1.135720502,0.1371523315,0.3081314455,18.54303395,0.8976741817,4.820630971,9.787876197,-2.389553527,-1.51557477,3.642934165,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.414256845,0.5018424453,1.111741842,0.6820631419,6.171105517,0.2462942039,0.5174811269,1.252591032,
Bolivia,1.943034757,0.1734439834,1.288549492,0.3642068611,2.106082734,2.561527848,-0.2964769796,-0.03718121429,0.3059958512,1.515376455,2.005515015,2.527324177,1.094006162,0.239734908,0.2107146264,0.3533386612,0.5052624642,1.568129106,-0.2196790869,-0.5173899528,0.5587989216,0.9731887457,1.649578933,2.158786407,2.176813803,5.84795805,6.40939672,9.218073916,11.17152199,12.19665043,8.768307132,8.668609634,8.557893503,2.442344924,0.7457726085,-2.498849039,2.451804766,2.791766736,3.072474487,2.439678146,3.165428526,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.621115827,3.77274415,2.653033477,2.061148278,4.025867739,4.561334721,7.082319753,5.646925025,6.269383217,13.58759351,5.303432021,1.408303764,1.396675034,
Botswana,,,,,,-10.78196841,3.030881767,2.708874035,6.911461844,15.59400591,10.51178247,8.2385245,2.077139593,2.029922992,5.007715108,4.810261045,5.055212137,5.779867332,1.509914957,1.368055631,2.529019868,-0.208307136,-0.03772825463,-6.89733053,-0.3261785096,1.475014642,1.482925775,1.932739834,1.836380527,0.6251114326,1.015130376,-1.156142956,12.01394385,9.528431458,7.444739052,4.801162139,6.670529057,5.229769321,6.697768576,7.18236157,1.783163371,
Brazil,,,,,,1.052466706,1.018483208,1.040464686,0.9989995469,1.075256921,0.8131063762,0.956135069,1.03307874,0.7914236416,0.762592174,0.6463541598,0.1286654624,0.3975053227,0.8486750055,0.2657454096,0.2140916084,0.2707826062,0.527694958,0.2947756014,0.5623969737,0.6318996738,1.333836306,2.255509674,3.781938579,4.869277954,5.084403071,4.056733444,3.290262932,1.836034126,2.736786467,1.707837557,1.724852363,2.531869712,2.726447876,1.627390895,2.32323061,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08362189,3.93049838,1.88828156,1.438021793,1.836754984,0.7657693543,2.103556049,1.543688044,3.033671546,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,0.01929915092,0.5108032267,0.4001195345,0.3692762351,1.086051814,0.691708574,1.22605339,5.021152458,4.113973274,6.189635353,7.761461828,5.861746435,5.661485604,10.14501053,10.52954424,14.92434563,23.35982037,31.37826758,19.25979339,7.051888654,4.936495637,
Burkina Faso,0.0876717904,0.208627196,-0.1210701652,0.6515171196,0.3547839729,0.03177099533,0.2100141366,0.4393193572,0.07837896633,0.08549707592,0.001227115385,0.1369792676,0.1110149054,0.1238099751,0.1145948538,-0.09190197663,0.1541415608,0.05616196892,0.1418146219,0.2169229574,0.01483244336,0.01818149443,0.1389591231,0.1362931736,0.9693203316,0.412552401,0.6272853953,0.3989844567,0.1571222261,0.2629134798,0.8893281929,0.3258128499,0.4883018174,0.7219727923,0.07495372691,0.5890036327,1.286111706,5.469550154,1.894968731,1.292298892,0.420932027,
Burundi,,,,,,,,,,,,,,,,0.04683271687,0.1268200297,0.1208797725,0.1105524993,0.05092150132,0.1108942102,0.07645205329,0.05540789109,0.0504648857,0.0004278614081,0.1981073785,0.00001150703155,0.0000102785881,0.2237710145,0.02953434417,1.647741889,0.001454539615,0.000001710566109,0.0007762021154,0.006698185914,0.07341932847,0.003491404119,0.05103775083,0.3279329101,0.02620470913,0.04848208498,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,2.13614124,2.468264337,4.382185096,8.3725542,5.915641847,7.781726634,6.602863776,4.064101226,3.753881462,3.387147777,1.802838111,2.461977042,6.057165016,6.642578825,10.03903209,7.874745736,5.182818505,6.961200809,
Cameroon,,,,,,,,0.258751473,0.919483013,1.068580154,1.926014845,1.772981796,1.521803599,2.896578712,0.2264544543,3.880956974,-0.8539573384,0.9422982826,0.7392968775,-0.7696050944,-1.011796983,-0.1165965916,0.2562563847,0.03784123206,-0.09767061953,0.0835020091,1.041023329,0.7960491377,2.233781858,-0.1477595765,1.576187234,0.7635276904,5.530866976,2.468599232,0.5459280804,1.410709378,0.09123992243,0.9234867624,-0.1019475021,3.012946343,-0.002451948985,
Canada,2.115844151,2.332279516,1.902375401,2.469764633,2.364065718,1.983877393,1.208248538,1.622782205,1.742258258,2.223888868,2.161940976,0.2207477426,0.02924536269,0.5989943263,1.36939677,0.3813986987,0.7722297699,1.92504974,1.218696441,1.084895383,1.300893242,0.4804995673,0.8242507633,0.8424969577,1.456837457,1.578131999,1.569845431,1.80740125,3.687375519,3.74868867,9.124364028,3.873366666,3.001791766,0.832224563,-0.07470947816,2.284502889,4.715570431,8.261843382,3.85161689,1.679526814,1.495645808,
Cape Verde,,,,,,,,,,,,,,,,,-0.004090186614,1.072555617,0.2048418549,0.05895092955,0.07458161792,0.4965177368,0.1143780533,1.003191752,0.5181157472,5.336353125,5.680874064,2.285907812,1.67553587,9.138609061,6.198647082,1.618545229,2.38441943,4.822725503,7.312583919,8.275982592,11.89787621,14.41308442,13.62853053,7.548182862,6.777745704,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,121.6570941,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,-0.5608457551,0.9965077068,3.247504982,0.670425858,0.8320930523,1.223256216,0.6784833443,0.8073166147,0.3459043579,0.7285006836,0.9819315025,-0.298345218,0.1013056912,0.04691394388,-0.3470738449,-0.7444519075,-0.7683836239,0.4223071104,0.5526807792,1.021008773,0.1492550951,0.7259626026,0.3593393755,0.08783756227,0.5357888634,0.5374628442,1.948317337,2.251304924,2.401325392,2.343829127,3.344705277,5.906207363,2.133701511,3.578500647,
Chad,,,,,,,,2.261534636,3.064485539,-0.1284451763,-0.04162612485,-0.01254358543,-0.01438205624,-0.01081187487,0.9994770183,5.193246757,2.640914169,0.701550427,0.08695833894,1.307067516,0.5406616096,0.2258498783,0.104193611,1.036064653,2.294761722,2.255427363,2.455351982,2.867500946,1.243610843,1.595724132,8.315392324,26.90308752,46.48782003,26.04128354,10.57297247,-1.873701941,-4.578078589,-0.9902815993,2.795020001,6.752585138,10.2978459,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,0.6919000909,-0.01014451074,0.1571956834,1.175368079,1.177051043,0.7725142309,1.173231705,1.647532988,0.6828389199,0.4055585005,0.875287473,1.780219197,4.260338185,3.928020098,4.521748331,2.095128232,2.258665172,2.10511183,2.168616933,4.681599492,4.144405129,6.354334201,6.365734255,5.830424912,12.002167,6.461883522,6.124934516,3.790838997,5.821653463,7.49870817,5.905981571,4.972578151,7.627801751,8.872996387,8.00321719,7.095411622,
China,,,,,,,,,,,,,0.2116316547,0.2783906508,0.4886724574,0.5409782714,0.6295497985,0.8558572378,1.031911641,0.9864126807,0.9769233689,1.15055616,2.639468075,6.246298263,6.041757376,4.924291958,4.693460662,4.643560064,4.291591697,3.577382952,3.20401361,3.339430035,3.391597337,2.868854517,2.844026841,5.193324989,4.57369268,4.580688968,3.873382134,2.288292127,3.122876006,
Colombia,0.5973571694,0.551484797,0.212850632,0.2311275784,0.3305546476,0.2829978323,0.1629577094,0.3338301708,0.4599477508,0.4545391203,0.4704621253,0.7282542765,0.9392317216,1.595669579,1.526672828,2.931700868,1.928884066,0.8770166414,0.5176914594,1.456749574,1.241489447,1.107916999,1.478705624,1.718738965,1.770422713,1.046802259,3.202627642,5.214927828,2.873546017,1.749593195,2.427628409,2.574237888,2.172164947,1.812637236,2.573327196,6.994572545,4.088248395,4.362720113,4.331308508,3.02630418,2.393319454,
Comoros,,,,,,,,,,,,,0.1400703259,,,,,3.841801298,1.815659462,1.643618151,0.1571804581,1.015372273,-0.5435892118,0.07235599809,0.09566876017,0.3835915255,0.2212645196,0.00942959309,0.1783788383,0.1217535697,0.04637728315,0.5205975672,0.1713720987,0.2446318856,0.1852418352,0.1443387847,0.1429355734,1.617940955,1.418709619,1.697928095,1.735688252,
"Congo, Dem. Rep.",0.1318248326,0.1025958107,0.1695900072,0.2251519802,0.5416298396,0.08908561395,2.471140006,0.1473539702,0.6354159296,0.9546454014,0.7615182505,0.5553596576,-0.01736051675,-1.751567486,-0.4129691824,0.9616343321,0.06855773042,-0.7189074981,-0.04446300216,-0.06772437303,-0.1546563004,0.1363341476,-0.008895683584,0.06415888338,-0.02577149856,-0.3960350942,0.4295277447,-0.7281425249,0.9863607403,0.2368786674,1.672164226,1.711490559,2.544879216,6.901077256,6.2810251,,2.997662062,18.14787132,14.79903635,5.924565592,22.3610298,
"Congo, Rep.",,,,,,,,,0.4609160442,1.374897797,2.346830679,1.547158058,1.636050101,2.673916654,1.593212497,0.5872450653,1.213433486,1.890922055,0.4110757078,-0.2981756337,0.8057713187,1.202025139,0.0933793484,14.90665803,0.1689857079,5.908274644,2.856656826,3.408574883,1.681331561,22.86465654,5.152480615,2.763028622,10.96529977,9.243035732,-0.1832396775,8.437412402,19.24256667,31.42945961,20.93954419,21.71770668,23.45091576,
Costa Rica,,,,,,,,2.034222374,1.379424295,1.077928141,1.088700717,2.652634046,1.108714972,1.526485675,1.216828694,1.457273595,1.113566337,1.374733301,2.015251472,1.475299576,2.194920467,2.490734277,2.635995566,2.559582233,2.81884101,2.873995397,3.605013661,3.181625698,4.349343238,3.921543248,2.562103914,2.806566446,3.9143952,3.282795515,4.268761708,4.312780398,6.521614808,7.203462209,6.966669719,4.602522059,4.090344885,
Cote d'Ivoire,,,,,,1.773575894,0.9606212407,0.2338785135,1.054446828,0.817516456,0.9303658626,0.3884067707,0.6273889243,0.5487815238,0.3177813309,0.4178867423,0.7724739093,0.8675074322,0.5041747368,0.1895455873,0.4456719647,0.1554026464,-2.069706787,0.7958296965,0.9380893102,1.922545821,2.217432629,3.54288088,2.972907582,2.577768477,2.253062338,2.585806226,1.851095589,1.203622134,1.827906696,1.906207667,1.836005795,2.155908055,1.905473992,1.652964756,1.834626222,
Croatia,,,,,,,,,,,,,,,,,,,,,,,0.126465545,1.322748594,0.7850036816,0.4901345547,2.110105047,2.302541311,3.747373335,6.293472547,5.158228485,6.86451913,4.146915669,6.000589998,2.630417824,3.989374629,6.943468144,8.420058842,8.621781256,5.174460976,0.6697517403,
Cuba,-0.001756541505,0.001446203042,0.0002458467,-0.002503076359,,,-0.0002900741017,,,,0.00005021872815,,0.00004772470041,0.000450334499,0.0007903696818,0.0006980348465,0.0007017171949,0.0005155944654,0.0004005972609,0.0008510575199,0.004084420211,0.03935375359,0.03269060198,0.01202650937,0.04552113062,0.01774643987,0.07702669753,0.004021098943,0.05898214993,0.0315526365,-0.03353486972,0.01372963044,0.007889158807,-0.0202219963,0.009187808223,0.03658176258,0.04910688046,0.1087144567,0.03982904101,,,
Cyprus,,,,,,3.69453722,5.624095312,5.634857963,5.915428198,5.473196591,3.94434141,3.751128922,3.312311945,3.164179218,2.312588126,2.38454372,1.498648706,1.402624252,1.452463392,1.528434072,2.26457722,1.417992943,1.554380408,1.265998545,1.012349395,2.628465584,2.500878688,6.136835589,3.615417511,8.316650295,9.177455893,9.760441239,10.45194141,6.818157335,7.073678862,6.836022402,10.14831492,10.50945111,3.764875472,14.88829339,8.152507976,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,1.903040889,2.137321818,4.646583249,2.314570718,2.251677801,5.982810006,10.48741096,8.792323139,9.121111437,11.28726388,2.212484819,4.544899063,9.315224526,3.87191634,6.087918111,3.041642153,1.508288153,3.499453576,
Denmark,0.6268635125,0.6751083621,0.7259511313,0.7075672813,0.7197142351,0.6742101302,-0.4356975106,0.1551531548,0.1508778428,0.3237285083,0.1493625767,0.1647303226,0.2271064556,0.1015640429,-0.0266082461,0.1815302454,0.1890412283,0.07885228676,0.4445241038,0.9899881751,0.8334523964,1.135759912,0.6773740983,1.217952951,3.259374693,2.274613206,0.4193567758,1.637963924,3.843674374,9.685790628,22.49670882,5.786781474,2.54812629,0.5572452347,-3.597531252,4.98078381,0.8819692217,3.792158325,0.6371986417,1.259415855,-2.467086039,
Djibouti,,,,,,,,,,,,,,,,,,,,,,0.4952416452,0.479043307,0.3054574136,0.2895283321,0.6466491562,0.6606298506,0.6167726095,0.6170934655,0.5993322092,0.5961294458,0.5927420068,0.5806493373,2.286739804,5.786694826,3.132332723,14.08394014,23.03889364,23.17013807,9.233046734,,
Dominica,,,,,,,,0.2199592707,,,,7.248727685,0.2775778809,0.2502317004,2.559874731,3.043053627,4.626569811,10.69941978,8.295335007,11.21199658,7.749348515,8.436307058,10.64413313,6.586218041,10.4892216,24.1444884,7.528195622,8.590889379,2.519382725,6.706321878,5.352715309,5.084515842,6.043051322,9.081655922,7.020697182,5.225082167,6.570236136,9.545710016,12.18715181,8.864766246,5.219177522,
Dominican Rep.,4.82025023,3.9006241,2.188899547,1.471403651,1.832102817,1.775345159,1.518449182,1.558718962,1.332104558,0.3109769332,1.397979175,1.096738711,-0.01757910541,0.5590350184,0.6630914747,0.7176018677,0.8167094493,1.527359246,1.974210504,1.645082997,1.877383471,1.491097783,1.593410776,1.458801234,1.425112516,2.532628897,0.5322137394,2.146635749,3.305428177,6.162409423,3.970969843,4.334621459,3.450455794,2.882215688,4.12464452,3.301667109,3.016729225,4.035854882,6.265640834,4.628084519,3.140648596,
Ecuador,,,,,,,-0.3499377486,0.4981719549,0.6247807422,0.6612020928,0.5882004575,0.429347354,0.3031606489,0.4468929089,0.4391181017,0.5236187637,0.7856493772,1.351743132,1.703603538,1.679337362,1.216690234,1.409885469,1.483735076,3.144878571,3.101565222,2.239369702,2.348318861,3.061444169,3.739251784,3.88688487,-0.1470323323,2.534440247,3.168806171,3.06768747,2.563711587,1.335630737,0.6508303416,0.4266886242,1.855241475,0.6130055403,0.2885508049,
Egypt,,,,,,,,0.7158882154,2.142546028,6.70129836,2.392954597,3.215374605,1.147105459,1.741456381,2.379485896,3.394598869,3.3930314,2.339576941,3.395669718,3.153167541,1.701815291,0.6843283775,1.096630505,1.058425263,2.420132556,0.9940284409,0.9404149845,1.135375928,1.268437026,1.174392827,1.236997243,0.5222672463,0.7363631059,0.2862873406,1.589570738,5.993818979,9.343527188,8.873615645,5.831412619,3.551410104,2.917207326,
El Salvador,,,,,,,0.5566340665,0.6336601159,0.7468126283,-0.2875587649,0.1645233911,-0.1664145148,-0.02941878066,0.8008332836,0.337549664,0.3262841411,0.6398670882,0.4628546731,0.4047848626,0.3284376203,0.03953985636,0.4741200324,0.2571003096,0.2368416149,0.02696166426,0.4003710638,-0.04650515029,0.5302653246,9.191153645,1.731295396,1.320222698,2.019149841,3.285174079,0.9384117448,2.299424622,0.3224560952,0.09449778175,0.5228078727,1.731837058,1.118048497,-0.0262082424,
Equatorial Guinea,,,,,,,,,,,,,,,,3.06566046,5.695556362,1.403329954,0.3930751908,0.7948265373,8.380559029,31.64334634,3.903332708,14.65958155,13.5158542,77.40219945,145.2018887,10.73880245,60.28259208,17.69419897,12.31835051,54.18664714,15.06416453,23.36366638,6.504955721,9.360088385,4.889066466,9.882599514,-4.308998075,13.38728072,4.962238286,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,5.291989368,5.986634803,19.92126707,12.08005545,4.399548128,1.759756345,2.960857215,2.528059949,-0.7096175855,-0.09468374408,0.03715363548,-0.008346081721,-0.01690622054,0.001914970636,2.626347968,
Estonia,,,,,,,,,,,,,,,,,,,,,,,2.06370529,4.203094044,5.408080914,4.62869103,3.176832151,5.2699841,10.3698937,5.348959063,6.823910222,8.693707856,3.884547115,9.334259944,8.027531325,21.15528699,10.6348864,12.55838043,7.419681685,9.904642212,8.009287411,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,0.00120584375,0.03993812059,0.2503210777,0.1859138294,0.2585205914,3.244805123,3.230336883,0.8940767949,1.646059588,4.277359762,3.273617146,5.434665692,5.421738939,2.154222593,3.595618757,1.135394786,0.407385571,0.6928785704,0.9700557898,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,0.9973668308,3.021376531,2.933065366,3.084362592,2.844453567,1.979148258,1.899050005,0.6225815456,1.371872325,2.847147693,0.7410285288,6.873698694,0.3721948531,6.762843661,5.57613642,3.700730103,3.529455481,0.1137884873,0.7442820162,6.458614594,-1.709648129,0.03511499871,2.48789853,1.664662411,1.740715522,9.188561758,5.179054856,13.28902221,9.994139496,8.6185908,1.947606687,6.150693489,
Finland,0.1604538664,0.2019627234,0.2539818766,0.06756425973,0.1425458516,0.2344250956,0.1842463828,0.1451897532,0.09433886784,0.0626536469,0.05272771186,0.1924011089,0.001745159455,0.1679837632,0.2613000334,0.2046414767,0.480734361,0.2939918143,0.4961076579,0.4196888126,0.5847869948,-0.1858762309,0.3597760832,0.9886187005,1.486392303,0.798224348,0.8715282225,1.730670123,9.2696831,3.56742601,7.492540473,3.000133292,6.122002155,2.113985293,1.518410353,2.454651438,3.713994136,5.152631142,-0.8404354142,0.190270557,2.970904138,
France,0.4226305032,0.3211176223,0.3267735608,0.4304333616,0.654455756,0.4397772777,0.2661323483,0.4677360704,0.4942287407,0.4278033844,0.4755412887,0.4080543525,0.2758986229,0.3135620706,0.4596609844,0.4775645912,0.429239998,0.5599453107,0.8480077761,1.023220451,1.059610484,1.216691064,1.590678062,1.600152739,1.154754138,1.509884485,1.397013575,1.62138954,2.009597812,3.157505404,3.195231427,3.761700483,3.413750125,2.402722272,1.596987988,3.978202569,3.18440532,3.807037041,2.349681422,1.338209942,1.315292344,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,2.366302515,1.816616427,0.7366339813,1.413046282,3.641333253,3.298030128,0.2281215196,0.4518464038,3.23910657,2.736521211,3.456775974,-0.7293118925,1.234107252,-1.010362176,2.269864642,-2.597049741,-2.376672754,-6.342699382,-8.589392042,-5.843948261,3.270480381,-3.358834411,-0.8411163131,-1.89038507,0.7901489544,2.609245273,4.451095621,2.796472585,2.805423649,2.327608943,1.438060494,0.2999463668,1.297005195,
Gambia,,,,,,,,,1.165844807,5.639377135,0.116143664,1.042476633,0.1249974992,-0.1874289516,-0.958590338,-0.221514322,-1.073943715,0.6694314862,0.4389608686,5.204998532,4.45534815,2.903364459,1.821610695,3.020164583,2.678183577,2.02323236,2.721589942,2.848010858,,,,,,5.199805389,13.85388362,11.63698764,16.17301028,11.99744988,9.56482375,5.378128845,4.632994267,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.907767515,7.341911985,2.939260161,4.29219545,3.411717687,4.71797418,8.384306896,9.60499634,7.061960377,15.10673605,17.20500354,12.22371949,6.115079573,6.999932316,
