Male 5-9 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Chile,12.51244607,12.64916468,13.01931728,14.01497426,14.19805332,12.49513429,11.47570703,9.939759036,10.28080405,10.42953397,9.925265504,8.383976188,7.433628319,7.179139858,6.976744186,6.694032207,6.459895245,6.188168787,5.938716439,5.796526055,5.739492466
China,10.34990675,11.75601014,14.273026,12.18736805,13.28106717,14.186113,12.48454296,9.179388188,9.028314039,10.39923954,8.733409449,7.573918589,6.811478524,6.6101585,6.681955972,6.391848939,5.781029535,5.330256523,5.184441482,5.239158481,5.256900049
Colombia,13.62799263,14.93100944,15.74457408,15.63683584,15.72557877,15.2789412,13.36171484,13.138833,12.52959388,11.95006935,11.45987261,10.61141753,9.897296348,9.41670786,8.804051422,8.300233862,7.825529185,7.384679032,6.989012466,6.621380993,6.365676739
Comoros,12.82051282,11.49425287,14.73684211,15.23809524,15.38461538,14.70588235,15.15151515,15.625,16.58986175,14.17004049,13.13868613,12.58064516,12.71676301,13.05483029,12.17183771,10.81677704,10.04098361,9.523809524,9.369369369,8.888888889,8.333333333
"Congo, Dem. Rep.",14.58369851,14.65235651,14.56773315,14.59966738,14.69179827,14.791758,14.9307646,15.06680503,15.42258542,15.75506155,15.86928833,15.62841904,15.53242118,14.72916667,14.26008969,13.71151595,12.94639543,12.07387809,11.22517644,10.47768937,9.789903306
"Congo, Rep.",13.13131313,13.12217195,13.57285429,13.98601399,14.37216339,14.78599222,14.98335183,15.0997151,14.77832512,14.30635838,14.34236616,13.43896714,13.58550879,12.86052009,11.95744681,11.38147567,10.68952937,10.03755548,9.482481517,8.993902439,8.56144438
Costa Rica,11.96754564,13.2173913,15.06646972,15.29850746,15.92632719,13.84615385,11.75,11.93595342,12.06896552,12.15375919,10.81081081,9.49568378,8.616298812,7.600477517,7.515971439,7.022572555,6.707946336,6.356073211,6.063553826,5.914149444,5.771643664
Cote d'Ivoire,13.86918834,13.08474576,13.00627496,13.24411629,13.59762875,13.80314502,14.10314925,14.58676929,14.31189858,13.61351038,13.31759946,13.27982117,13.33151084,12.85248574,12.33108108,11.6434243,10.96652004,10.36056338,9.803306131,9.264425195,8.735759421
Croatia,8.165487207,10.20084567,9.932747025,8.85179565,7.994041708,7.274490786,7.36196319,7.539315449,7.502287283,6.533333333,6.036866359,5.791686128,5.032925682,5.123339658,5.268199234,5.194174757,5.039525692,4.891578417,4.837879568,4.944765913,5.102040816
Cuba,11.93590582,11.46515783,12.08550288,10.87493821,13.87635379,12.87625418,11.51064685,7.52857706,7.360120165,8.28769624,6.631825554,6.591840371,5.982905983,5.271593945,5.089285714,4.939823963,4.715950473,4.480386689,4.265493497,4.145180484,4.108736252
