"GNI per capita, PPP (current international $)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Mauritius,,,,,,,,,,,,,,,,,,,,1740,1950,2150,2240,2400,2630,2940,3320,3640,3960,4370,4720,5070,5370,5580,5920,6260,6700,7120,7320,8070,8450,8690,9030,9770,10140,10900,12050,12650,12940,13800,14760
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,3750,4330,4320,4260,4510,4720,4510,4680,5170,5490,5900,6280,6550,6690,7000,6490,6860,7410,7740,8070,8780,8890,9140,10480,11140,11970,13130,13790,14520,13590,14390,15060
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2530,2530,2610,2550,2360,2450,2590,2770,2860,2900,2990,3000,3200,3340,3380,3290,3400,3470,3610
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3280,3310,2870,2070,2100,1470,1480,1500,1550,1460,1440,1490,1700,1870,2140,2400,2650,2860,2980,3300,3020,3370,3670
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,1040,1160,1240,1320,1390,1550,1590,1670,1640,1730,1630,1470,1420,1490,1610,1680,1760,1850,1910,1950,2040,2150,2310,2600,2800,3120,3450,3750,3630,3660,4360
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6620,6870,7170,7530,8050,8320,10500,12410,13850,12870,12790,13720
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,1090,1120,1280,1270,1330,1410,1530,1500,1680,1720,1870,2020,1950,1930,2150,2020,2280,2250,2440,2460,2520,2740,2850,3060,3280,3460,3810,3990,4240,4400,4580,4910
Mozambique,,,,,,,,,,,,,,,,,,,,210,230,220,190,180,190,180,210,240,250,270,290,260,280,290,300,330,360,390,420,420,460,510,540,570,630,650,720,770,840,900,980
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,1970,2380,2400,2490,2440,2100,2290,2630,2440,2650,2930,3230,3320,3270,3460,3690,3670,3780,3870,3840,4020,4030,4260,4610,5070,5120,5610,5890,6080,6100,6270,6600
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,270,310,340,330,370,390,410,420,460,480,510,550,570,590,640,660,690,720,730,760,800,840,830,860,910,960,1010,1050,1120,1160,1210,1260
Netherlands,,,,,,,,,,,,,,,,,,,,9960,10650,11110,11800,12610,13100,13710,14460,15310,16530,17510,18510,19050,19710,20740,21890,22860,24430,25220,27220,30040,31010,32230,32060,34070,35270,39100,41400,42000,40050,41830,43260
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,8340,9380,10230,10660,11350,11650,12270,12530,13230,13740,14170,13460,13930,14680,15730,16520,16790,17590,18070,18990,19870,20970,21740,22400,23180,23650,25240,26550,27090,28280,28970,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,1240,1360,1410,1490,1500,1440,1480,1510,1160,1060,1330,1070,990,1030,1180,1320,1430,1510,1610,1720,1800,1850,1890,1950,2100,2260,2420,2550,2640,2550,2660,2840
Niger,,,,,,,,,,,,,,,,,,,,440,470,490,470,390,430,460,450,490,510,500,510,470,480,490,490,500,510,550,540,520,560,560,590,580,610,640,660,710,680,720,720
Nigeria,,,,,,,,,,,,,,,,,,,,750,710,730,710,670,740,730,700,840,850,920,980,1010,1010,1020,1060,1120,1150,1130,1190,1140,1230,1200,1320,1460,1540,1800,1860,1990,2040,2140,2300
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,9280,10280,10860,11720,12880,14070,14940,15600,15860,16510,17390,18410,19620,20450,21940,23330,25770,27690,27120,29550,35650,37110,37170,38500,42550,47950,53890,55660,61060,55010,57940,62970
Oman,,,,,,,,,,,,,,,,,,,,4490,5490,6220,7130,8190,9100,9310,8890,9150,10340,10310,10960,11450,11930,12230,12900,13320,14320,14770,15000,16210,17750,18070,18680,19690,20350,21950,23440,25540,24870,25770,
Pakistan,,,,,,,,,,,,,,,,,,,,630,720,790,870,900,950,950,1040,1100,1150,1220,1270,1340,1350,1390,1460,1500,1500,1520,1560,1620,1650,1730,1870,2010,2190,2350,2510,2570,2660,2780,2880
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10920,10150,9190,9370,10690,11770,11980,11750,11510,11650,11950,11590,11500,12440,13290,13840,14460,11420,10450,10950,12330
Panama,,,,,,,,,,,,,,,,,,,,2790,3200,3690,3780,3770,4130,4080,4510,3780,3770,4170,4540,4950,5330,5540,5560,5770,6090,6450,6590,6830,6910,7270,7310,7800,8500,9350,10690,11810,12220,13050,14740
Papua New Guinea,,,,,,,,,,,,,,,,,,,,900,940,960,1000,1030,1070,1130,1140,1200,1190,1170,1300,1390,1640,1760,1720,1780,1740,1650,1640,1620,1580,1580,1530,1620,1720,1700,2050,2190,2290,2400,2590
Paraguay,,,,,,,,,,,,,,,,,,,,1950,2260,2240,2190,2240,2320,2300,2360,2590,2830,2960,2940,3060,3210,3350,3520,3510,3580,3560,3490,3380,3450,3460,3560,3670,3870,4080,4390,4660,4400,5050,5310
Peru,,,,,,,,,,,,,,,,,,,,2770,3190,3280,2880,3050,3170,3550,3860,3320,2880,3140,3130,3230,3340,3790,4120,4280,4600,4610,4640,4790,4860,5100,5290,5530,6030,6820,7620,8280,8390,9320,10160
Philippines,,,,,,,,,,,,,,,,,,,,1330,1460,1540,1590,1460,1360,1400,1470,1590,1710,1810,1840,1870,1920,2020,2120,2250,2400,2430,2260,2390,2460,2530,2660,2870,3040,3220,3490,3670,3690,3960,4160
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5530,5730,6100,6750,7320,8000,8730,9310,9840,10480,10920,11520,11870,12650,13470,14650,16110,17590,18210,19190,20480
Portugal,,,,,,,,,,,,,,,,,,,,5270,5720,6050,6280,6300,6710,7290,8070,9060,10070,10970,11900,12370,12380,12680,13530,14040,14840,15610,16580,17430,18030,18840,19270,19640,21050,22270,23430,24050,23920,24620,24480
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73180,74220,71970,76470,87030
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5330,5180,4730,4420,4580,4880,5340,5680,5460,5290,5280,5620,6370,6940,7590,8550,9280,10880,12670,14610,14630,14300,15140
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7990,8000,7830,6780,6330,5690,5570,5450,5600,5250,5720,6660,7260,7880,8970,10030,11560,14500,16350,19850,18270,19190,19940
Rwanda,,,,,,,,,,,,,,,,,,,,390,440,460,490,470,480,500,490,510,510,520,540,630,630,340,480,520,560,570,560,580,610,680,690,750,830,910,970,1070,1090,1150,1240
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,2590,2960,3060,3190,3680,4040,4650,5220,5810,6290,6950,7160,7480,8160,8800,9490,9920,10990,11230,11330,11530,11490,11600,11730,12750,13930,15200,14870,15610,14600,14190,14490
St. Lucia,,,,,,,,,,,,,,,,,,,,2010,2250,2100,2260,2820,2690,3100,3210,3590,4030,4920,5120,5620,5730,5850,6030,6440,6510,6880,7090,7130,6780,7170,7290,7690,8200,9120,9300,9900,8390,8860,9080
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,1550,1770,1930,2100,2330,2500,2560,2850,3300,3530,3770,3920,4400,4470,4360,4530,4710,5460,5780,6020,6330,6680,7040,7310,7950,8380,9570,10250,10400,10400,10250,10560
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,1550,1630,1600,1750,1910,2000,2360,2690,2780,2750,2680,2870,1910,2080,2340,2370,2440,2510,2710,2970,3130,3190,3510,3610,3720,4080,4090,4120,4250,4430
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390,1570,1710,1830,1890,1970,2080
Saudi Arabia,,,,,,,,,,,,,,,,,,,,16240,17530,16190,15190,14230,13520,14100,13260,14220,14100,14890,16010,16410,16140,15890,16100,16600,17170,17720,17540,18070,17920,17600,18500,19480,20780,21570,21860,22760,22550,23150,24870
Senegal,,,,,,,,,,,,,,,,,,,,710,790,880,840,870,900,930,980,980,1020,1030,1060,1080,1070,1060,1120,1150,1180,1240,1290,1330,1390,1380,1470,1560,1650,1710,1800,1870,1850,1910,1960
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5730,5910,5340,5770,6170,6550,6920,7750,8410,9310,9910,11200,10900,11090,11640
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,5210,5280,5420,5460,5840,6660,6710,7040,7580,8800,9820,10390,11320,12080,12220,11790,12520,14240,15150,15270,15930,16300,15100,15260,15510,17220,19060,20930,20540,21120,22660,25320
Sierra Leone,,,,,,,,,,,,,,,,,,,,380,420,460,450,470,450,430,480,440,460,450,490,400,440,410,420,460,390,380,350,360,420,520,560,570,610,660,720,760,790,820,850
Singapore,,,,,,,,,,,,,,,,,,,,6850,7850,8610,9820,11120,11540,11860,12970,14720,16480,18040,19210,20690,22490,25150,26930,27910,30660,29260,31180,33540,32860,33870,36460,38890,42330,47600,51350,53280,52120,56890,59790
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,5920,6290,6650,6940,7330,7630,7720,6790,6470,7090,7660,8360,9110,9770,10340,10350,10950,12070,12920,12920,14060,15720,17810,20220,21680,21340,21880,22230
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10470,11060,12100,13150,13940,14910,15740,16770,17570,18480,19650,20360,22010,23280,25150,26650,28260,26630,26550,26960
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,1300,1380,1290,1410,1500,1460,2350,2360,2330,2010,1850,1750,1860,1980,2080,2250,2310,2250,2010,2200,2360
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,4010,4500,4650,4630,4920,4860,4840,5000,5280,5480,5540,5620,5520,5610,5800,5980,6190,6330,6290,6370,6620,6760,7070,7320,7840,8420,9080,9620,10090,10040,10330,10790
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,6770,7300,7790,8190,8620,9120,9610,10410,11280,12290,13220,14010,14410,14590,15010,15910,16560,17550,18710,19640,21140,22210,23700,24470,25610,27000,29860,31480,32270,31450,31440,31660
Sri Lanka,,,,,,,,,,,,,,,,,,,,750,850,930,980,1030,1130,1180,1220,1280,1330,1450,1550,1650,1780,1880,1990,2080,2230,2330,2420,2610,2680,2820,3030,3240,3510,3850,4200,4450,4670,5040,5560
Sudan,,,,,,,,,,,,,,,,,,,,500,560,620,630,590,560,590,670,680,740,680,690,750,800,830,880,950,1060,1090,1100,1130,1220,1260,1360,1390,1530,1690,1830,1950,2000,2020,
Suriname,,,,,,,,,,,,,,,,,,,,3110,3520,3630,3570,3480,3430,3480,3050,3340,3770,3760,3920,3970,,3880,4000,4110,4300,5140,3600,4400,4160,4670,5010,5500,5990,6370,6970,7370,7570,7710,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2960,3050,3160,3170,3100,3450,3690,3790,3770,4020,4030,4390,4220,4290,4640,5240,5250,5630,5740,5570,5570,5970
Sweden,,,,,,,,,,,,,,,,,,,,10660,11560,12250,12930,13980,14700,15510,16520,17440,18450,19090,19270,19130,18890,20230,21370,22170,23000,24070,25740,27720,28020,29160,30790,32490,32940,36160,39350,41000,38040,40140,42200
Switzerland,,,,,,,,,,,,,,,,,,,,14550,16220,16740,17510,18770,19920,20410,21090,22540,24060,25390,25740,26020,26420,26850,27560,28350,30040,31220,32060,34070,33830,34740,36100,37310,39160,42530,43550,42940,46740,49990,52320
Syria,,,,,,,,,,,,,,,,,,,,1640,1890,1970,2000,1930,2040,1920,1890,2140,1900,2080,2250,2540,2660,2970,3130,3190,3080,3300,3130,3180,3350,3480,3480,3750,4010,4270,4600,4790,5040,5090,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,1960,2010,1970,2260,2130,2140,2010,1430,1190,930,810,650,700,740,760,820,910,1010,1110,1280,1450,1250,1560,1930,2000,2120,2310
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,550,590,610,600,610,610,630,670,680,700,730,760,800,860,910,990,1050,1130,1220,1300,1350,1430,1510
Thailand,,,,,,,,,,,,,,,,,,,,1050,1180,1300,1410,1510,1590,1680,1860,2150,2460,2810,3110,3370,3730,4110,4550,4830,4780,4250,4490,4800,4900,5140,5530,5960,6350,6890,7420,7720,7550,8150,8390
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1060,920,940,920,1320,1830,2780,3960,5980,4410,5210,
Togo,,,,,,,,,,,,,,,,,,,,550,560,550,520,550,580,590,590,630,670,680,690,660,560,620,680,750,840,810,810,790,780,770,810,830,840,890,920,950,960,990,1030
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,1440,1580,1630,1730,1920,2030,2110,2200,2220,2220,2420,2460,2590,2880,2970,3030,3070,3240,3370,3470,3630,3860,3980,4120,4140,4320,4400,4580,4590,4560,4690
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,6940,7980,8830,8120,7610,7370,7170,6950,6810,6820,7210,7570,7550,7620,7890,8300,8710,9300,10220,10750,11390,12290,13540,15650,17850,19560,22170,23970,25380,24230,24400,24940
Tunisia,,,,,,,,,,,,,,,,,,,,1870,2090,2150,2290,2470,2580,2500,2670,2710,2830,3140,3270,3520,3540,3680,3830,4100,4390,4630,4920,5150,5480,5600,6020,6480,6820,7400,7960,8390,8690,8960,9090
Turkey,,,,,,,,,,,,,,,,,,,,2130,2370,2540,2710,2930,3080,3300,3650,3780,3890,4360,4470,4770,5190,4880,5280,5700,6160,8580,8140,9120,8470,8570,8700,10090,11320,12800,13790,14880,14260,15470,17340
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,1860,1680,1560,1430,1490,1720,1930,2430,2840,3410,4060,4430,5080,5790,6700,7040,7460,8350
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,310,330,330,320,320,330,350,380,400,420,420,460,490,540,580,610,630,670,670,700,750,790,840,880,980,1070,1150,1210,1250,1320
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,5300,5600,6100,5960,5620,5050,4330,3480,3120,2890,2890,2880,2920,3180,3630,3940,4450,5160,5520,6130,6850,7250,6190,6590,7080
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64210,62170,65520,68980,67920,67610,62610,56450,50200,46990,48220
United Kingdom,,,,,,,,,,,,,,,,,,,,8260,8930,9660,10470,11150,11770,12540,13480,14650,15450,16050,16370,16850,17530,18770,19580,20820,22370,23530,24150,26020,27730,29310,30250,32210,33290,35210,36230,36670,34960,35860,35940
United States,,,,,,,,,,,,,,,,,,,,12130,13510,14070,14950,16560,17520,18220,19330,20830,21920,22850,23300,24210,25050,26400,27550,28920,30500,32060,33690,35690,36460,37070,38400,40680,43170,45680,46800,47320,45440,47310,48890
Uruguay,,,,,,,,,,,,,,,,,,,,3590,4090,3830,3420,3420,3550,4030,4500,4700,4880,5080,5470,6020,6280,6810,6840,7340,8110,8550,8520,8500,8340,7890,7750,8350,9400,10150,11090,12020,12410,13560,14740
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290,1260,1190,1190,1200,1260,1310,1370,1430,1500,1570,1650,1820,2000,2180,2530,2830,2940,3150,3440
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,1120,1220,1420,1720,1920,2170,2190,1870,2000,2210,2540,2350,2320,2510,2460,2640,2620,2720,3080,3120,3210,3190,2940,3010,3140,3270,3600,3820,4230,4190,4300,4500
Venezuela,,,,,,,,,,,,,,,,,,,,5560,5870,5760,5550,5620,5640,6060,6240,6700,6040,6800,7580,7880,7900,7670,8050,8020,8480,8480,8040,8380,8660,7770,7200,8570,9770,11000,12320,12910,12300,12040,12620
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2570,2720,2670,2960,3370,3590,3300,2660,2350,2500,2580,2710,,,,,,
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610,610,670,740,800,890,990,1080,1170,1230,1300,1400,1510,1620,1750,1920,2120,2330,2560,2740,2840,3060,3260
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1330,1410,1430,1480,1500,1470,1520,1650,1620,1730,1800,1830,1860,1910,2020,2160,2230,2270,2380,2470,2180
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,680,800,770,750,730,730,670,710,800,810,820,800,800,870,800,780,830,850,820,840,870,910,940,1000,1020,1060,1100,1150,1250,1300,1370,1490
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Åland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bonaire, Saint Eustatius and Saba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
