General government expenditure on health as percentage of total expenditure on health,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Comoros,71.232986,69.60815251,66.88549371,63.66118172,60.60169576,52.75315869,47.51008817,57.28150841,58.16875007,60.44341387,61.01911974,63.72913995,65.27695508,67.40308807,53.21090772,67.22031057
"Congo, Dem. Rep.",4.04092509,3.26466702,4.94845425,3.69823879,5.73227051,4.08442809,5.18503847,5.85762782,21.1814497,21.83365121,29.96644007,31.06027358,36.18354856,47.10576691,44.70874038,42.52034017
"Congo, Rep.",59.63064667,60.50919148,59.81805742,58.78336437,57.48280854,57.72043633,55.00424088,52.67193445,49.91846177,53.83900573,59.47637867,63.29292551,57.59793261,48.13565753,47.492373,46.73634041
Cook Is,91.33845399,91.79605878,89.78479026,90.53335429,89.4714653,90.50272287,93.3019815,91.30348345,91.32139603,90.42527689,94.28505322,93.43810243,93.49900055,93.61770299,93.76546451,93.84541894
Costa Rica,76.50066331,76.16402771,75.42698281,76.10514245,76.28041089,76.83396997,75.30607525,74.62789833,74.1060672,72.11478448,70.27285186,68.99122257,67.26667522,66.88279794,67.40656782,68.10135408
Cote d'Ivoire,22.56356201,23.66070911,23.5173363,20.43845336,23.0639511,26.27466271,24.21165132,29.96266732,25.84051714,25.37445609,19.84348995,19.22242038,22.27228148,23.74489304,20.85385578,21.590047
Croatia,86.45754164,87.57810721,84.47738019,87.03762318,87.34089298,86.13874997,83.27703371,80.04710455,82.60753014,81.05995322,86.02453482,86.07130295,87.02566184,84.86865423,84.86865423,84.86865423
Cuba,89.57154406,89.84522461,90.03558719,89.84635939,90.5011655,90.10165864,89.62385838,88.13823449,89.45348683,90.25317549,93.46114142,92.77162303,94.99745772,95.28086467,92.71995658,91.47299317
Cyprus,35.83647542,34.0951734,35.22928543,41.87599024,42.66439506,41.65226698,42.35541962,44.98191514,45.13050697,43.83703181,41.80623362,42.43035664,42.59439014,41.5128701,41.52333307,41.50679201
Czech Republic,90.88823736,90.66788266,90.28552484,90.43042634,90.48153034,90.31912418,89.76540234,90.47356293,89.80143687,89.15079267,87.31026702,86.72940506,85.19376655,82.54686117,83.95571639,83.67624803
Czechoslovakia,,,,,,,,,,,,,,,,
Denmark,82.52435388,82.41536762,82.27683924,82.0812172,83.95490106,83.86148201,84.18008441,84.48671516,84.54694926,84.26799952,84.47582648,84.63604869,84.73247534,84.9475983,85.04146857,85.10605508
