"Murdered women, per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.256560802
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.28999519
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.785446167
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08225934207
Costa Rica,,,,,,,,,,,,,1.038296,1.581003,1.605682,2.266906,1.242536,2.068988,0.3086489,1.843709,0.8395232,3.247028,2.179145,2.025138,0.7171823,1.361417,3.592238,0.946291,1.071965,1.294448,2.953504,1.528592,1.130767,0.685303,1.648567,1.88087,1.922743,1.846042,1.070637,2.143386,1.91874,1.667716,1.593174,1.467768,1.503361,1.406942,1.173667,1.087742,1.425418,1.75395,2.059837,1.339007,1.56201,1.727641,1.760159
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.19398117
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.632076,1.732785,1.785133,1.319598,1.350178,1.490452,1.904648,2.273986,2.154236,1.382619,1.59753,1.652599,1.189631,1.981149,1.226867,1.455493,1.045784,1.0233,0.7773264,1.321114
Cuba,,,,,,,,,,,,,,,2.449621,,,,2.139204,2.883482,2.981457,2.520349,2.789029,2.75389,2.626162,3.068645,2.506291,2.585149,,,,,,,,,,,,,,,2.938848,3.089795,3.455719,3.520859,2.781042,2.799954,3.156349,2.735108,2.76811,2.796337,3.115792,2.609999,2.465534
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2677249,,,,0.9279646
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.031495,1.128552,0.75225,0.8834352,1.753227,1.352989,1.613677,1.52715,1.765878,1.138993,0.9602915,0.941691,0.8212335,0.9976671,0.9207102,0.9374091,0.9393133,0.8600367,0.7330121
Czechoslovakia,,,,1.108079,0.9649517,1.086306,0.9507902,0.9496346,0.6786699,0.8706003,0.9416297,0.8889505,0.8854198,0.8536891,0.785591,0.9580182,0.8511518,0.9143096,1.089742,1.13982,1.128343,1.009701,0.86712,0.909586,1.037524,1.144033,0.8316228,0.9456235,0.8283821,0.9821773,1.01092,0.9665709,0.8587744,1.160448,0.9223348,1.172053,0.9645714,1.203167,0.9324022,1.028893,1.539938,1.525406,,,,,,,,,,,,,
Denmark,,0.9008362,0.8058109,1.504203,0.8236544,0.6947491,1.199798,0.6205136,0.7082976,0.5130665,0.7578273,0.4470676,0.5182379,0.8797709,0.6201892,0.8643645,0.5839081,0.5940864,0.8644001,0.5675624,0.7000064,1.074679,0.6747143,1.081056,0.9697346,0.7085876,0.8375089,0.7488047,0.4513734,1.250041,1.490915,1.108775,1.164118,0.8892019,1.020444,1.102408,1.122811,0.9257759,1.211287,1.358827,1.073493,1.662173,1.196,0.9836256,0.906718,0.8356226,0.8374932,1.002744,0.8935317,1.04286,1.249833,0.5773889,0.3953992,0.9251363,0.4361713
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4927751422
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.811512232
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.549872398
East Germany,,,,,,,,,,,,,,,,,,,,,,,,0.4867369,0.5056725,,,,,,,,,,,,,,,0.7217267,0.820673,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.546875477
Egypt,,,,,,,,,,,,,,,,,,,,,,,,0.7633277,0.68955,0.6855073,0.6885783,1.264836,0.5602375,0.4030884,0.422985,,,,,,,0.2431583,,,,,,,,,,,,,0.0397693,,,,0.736640811
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.278216362
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.02255344
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.121097565
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.196007,5.140313,,,3.695446,4.217808,3.090009,3.111175,3.286182,3.701328,4.388675,6.571338,8.65687,9.937966,5.551657,7.934679,5.647567,6.680382,7.748675,4.346596,5.057451,4.020995,4.841776,1.9585
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.355026245
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08866576105
Finland,,,2.250678,1.60701,1.923079,1.508607,1.329049,1.848684,1.573729,1.270084,1.869239,1.3375,1.769305,1.56843,1.310827,1.10175,1.573898,1.543068,1.03571,1.51084,0.9691474,1.763957,1.853951,1.490865,1.077674,1.622273,1.988656,1.445379,1.094217,1.218676,1.737389,1.583555,1.617107,2.052214,1.616296,1.310168,1.820461,1.873007,1.56425,1.517446,1.569162,1.400914,2.287992,2.04089,2.070743,1.958025,1.927348,1.297968,1.168927,1.16638,1.710435,1.590438,1.72838,1.022805,1.091506
France,0.4894281,,0.4544466,0.4926082,0.5097584,0.4842169,0.5000935,0.4965582,0.5021466,0.7423842,0.5859087,0.684188,0.5730461,0.5066989,0.6023082,0.6918378,0.6049184,0.6969165,0.5951936,0.6130962,0.4983327,0.5957469,0.6363424,0.5222186,0.6765261,0.6619542,0.608623,0.7079331,0.737359,0.80048,0.7347683,0.6814343,0.9136056,0.9108614,0.956946,0.8194241,0.9023976,0.8089068,0.7489911,0.8497137,0.7439785,0.6698182,0.7115858,0.7700076,0.7709357,0.7328137,0.7509828,0.6717288,0.5230461,0.5051669,0.6147791,0.622817,0.6255583,0.5691059,0.5440899
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22787571
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.974684238
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.131011,0.7625781,,,0.7445942,0.7618343,1.013964,1.439363,1.145276,1.084838,0.5220215,0.0489405,,0,0,0.2165796,0.4711908,0.7994543,0.7883413,0.8757357,1.069041,,,0.9672205448
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8199502,0.9069606,0.9403679,0.9547422,0.9128116,0.865707,0.8046156,0.6814215,0.6652572,0.7217028,0.6859,0.5544455,0.6747351,0.5851778,0.5778946
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.094996452
Greece,,,,,,,,,,,,0.5898281,0.7185281,0.4174792,0.48196,0.639365,0.6723334,0.4357608,0.2239507,0.4013409,0.2853865,0.3879819,0.3663145,0.3896644,0.2399049,0.4054721,0.4298111,0.4885451,0.2662681,0.3847781,0.4477369,0.5668511,0.498931,0.6474211,0.5662667,0.5788242,0.6697355,0.5332823,0.6490313,0.5562729,0.5973493,0.8247228,0.4988626,0.6453686,0.478885,0.6379052,0.829182,0.5234168,0.4924504,0.5052934,0.5426434,0.4511303,0.3177131,0.4463614,0.3771144
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.539279461
Guatemala,,,,,,,,,,,,,,2.996351,3.241634,2.284662,3.072476,3.798168,3.69431,3.220981,4.251084,4.127154,,,1.776837,,,1.164189,,7.990167,11.33564,19.81211,,,1.410353,,4.120491,5.751541,4.86608,4.85967,3.881473,6.360267,5.587501,4.271922,6.506069,4.01977,4.056145,5.858747,4.616919,4.3666,4.978795,4.546434,5.212581,5.362458,6.761126
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.70702076
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.488048553
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.97544003
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.073843479
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.086993694
Hungary,,,,,,1.119506,1.291587,1.468544,1.1981,1.405861,1.140129,1.367051,1.438136,1.158139,1.248377,1.200399,1.610214,1.356904,1.678807,1.737098,1.308405,1.629007,1.731695,1.678396,1.512743,1.419008,1.448772,1.439148,1.881037,1.8893,1.823487,1.962723,1.87547,1.835092,1.650895,2.012395,2.133466,2.000936,1.975597,2.161151,1.966076,2.560142,2.548921,2.761305,1.801026,1.879393,2.279862,2.053128,2.160329,2.054676,1.954654,1.177862,1.869586,1.341329,1.338706
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7918743491
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.424062729
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.935049295
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17791903
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.805670023
Ireland,0.2353068,0.134766,0.1927575,0.4090472,0.1488846,0.2327588,0,0.1961254,0.2685003,0.3171575,0.0751241,0.0602656,0.2165152,0.2882751,0.5851129,0.1795304,0.2715086,0.3893377,0.2255556,0.1499429,0.3206543,0.2820146,0.4853573,0.1288849,0.2703915,0.6736464,0.1315242,0.4674509,0.2732111,0.44428,0.3474669,1.490689,0.1628034,0.4725735,0.2297235,0.5764409,0.6199476,1.055724,0.5056033,0.1990749,0.1787744,0.3863899,0.3770014,0.306598,0.255864,0.2158859,0.7774862,0.4989573,0.3290339,0.3191994,0.4248777,0.3406015,0.4531248,0.4110398,0.1767539
