"Traffic mortality men, per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.83482361
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.43837738
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.032886982
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.09812927
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.60067,28.25083,30.17768,32.64749,40.0983,35.50398,34.84823,35.1517,34.03234,32.34664,30.31248,30.18535,31.12315,35.3346,33.01364,35.00068,30.26727,28.3824,27.14684,28.17527,29.26759,29.10084,30.80024
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8822155
Bulgaria,,,,,,,,,,,,,,,10.17474,11.49111,20.36951,21.49357,21.95355,19.93902,19.84406,20.91647,21.04752,20.09439,17.66979,20.11103,18.31454,19.32683,19.86311,20.78471,19.67515,19.48513,21.14923,17.36562,19.03415,18.47905,17.13939,18.75761,18.11592,19.33135,24.76552,16.52025,20.13936,19.35949,21.47175,19.59555,15.75554,14.80253,15.25667,16.06332,15.59334,17.49824,16.35814,15.76298,16.3201
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.92242813
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.15232849
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0999527
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.30072021
Canada,25.89885,29.95803,31.54502,32.58235,29.00815,30.47133,34.86539,35.87607,32.78003,33.00284,32.5615,34.31199,37.26221,37.36819,39.80009,40.08452,42.05814,40.83297,39.80772,40.87053,36.92287,38.14296,42.47589,41.99895,40.04438,36.33175,31.62428,31.44902,30.32629,33.64967,30.79656,30.87874,22.75507,23.30007,22.07276,21.90795,21.38971,22.8297,21.78973,21.96798,19.05712,17.7268,15.76738,15.99271,14.53768,14.09801,13.3896,13.02008,12.25384,12.67975,11.83008,11.51657,11.79282,11.40002,11.40209
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.03695107
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.92332077
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.45381165
Chile,,,,,,8.172752,12.48643,13.93949,13.76847,12.61634,16.34753,18.32866,11.54429,13.75124,11.29342,11.54899,32.3895,14.74039,49.34702,38.60678,33.06711,39.75727,41.00409,30.91978,22.4507,18.56413,16.33623,16.86679,22.01487,22.61165,24.93086,23.65397,18.51884,15.47135,14.0561,12.39104,12.02924,12.54387,13.0602,13.6492,13.22424,16.85819,19.55098,21.24365,21.50179,19.71998,19.64764,20.4058,21.60403,17.56923,23.15062,20.51655,20.5992,22.79568,22.31728
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.36604118
Colombia,,,,15.41973,12.50181,15.22923,14.84254,14.54239,16.8773,16.41418,15.17647,15.71105,22.08815,21.78369,22.94972,22.6369,22.05161,21.61579,23.54806,19.29027,,,23.53709,,26.99471,26.87965,27.5785,28.46893,,,,,,,31.95158,30.10246,26.58747,24.37066,23.90204,22.39985,23.51585,25.00706,29.14643,30.31945,33.04178,33.72746,31.53481,29.53206,33.86803,29.79015,28.21243,28.02907,27.04994,,24.31504
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.48599625
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.97460938
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4176178
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.24787903
Costa Rica,,,,,,,,,,,,,12.54653,16.62997,16.34939,25.96257,29.9823,22.55545,25.84665,23.61132,30.36073,35.10623,35.38076,31.53876,36.99791,36.05482,36.98909,42.22276,45.37045,44.2142,37.26975,27.56913,27.01196,16.02378,25.21252,30.15443,26.15126,28.61306,25.01831,27.62254,28.02884,27.01233,29.2804,28.52806,32.51884,29.32596,22.78917,28.08128,28.2309,31.21848,30.57052,30.52474,29.76817,26.29764,25.95093
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.095047
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.34233,31.55214,30.33669,29.44632,28.65526,32.2184,28.74892,25.66395,18.9849,17.81048,19.36035,17.98965,18.43528,19.67427,18.04599,20.98298,18.47298,19.46904,22.64132,21.83006
Cuba,,,,,,,,,,,,,,,17.27277,,,,17.9249,19.29488,21.65075,19.82908,17.7854,17.01443,18.08828,21.42324,20.9712,27.53914,,,,,,,,,,,,,,,27.10539,25.67978,28.89641,27.27594,25.63011,24.06519,23.59933,20.52872,21.45318,19.15296,17.68292,15.2469,15.13738
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.88533,19.04419,,,,24.83591
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.94227,14.37991,15.44045,16.74391,19.33244,19.89153,22.60514,21.58933,20.62237,18.99599,17.61791,18.24574,16.45589,13.5198,14.72276,13.03199,13.60806,13.28925,12.28924
Czechoslovakia,,,,12.02241,13.60071,15.10386,17.8574,17.90528,17.36289,24.49294,23.49759,22.93076,22.22788,22.10173,26.49979,25.96745,26.58482,27.76122,34.77333,38.07338,32.22573,33.03965,31.53647,30.5415,28.12761,27.21975,29.13067,27.11144,26.51498,23.09676,20.92037,19.33731,17.48298,17.58776,16.04449,16.98822,15.72192,15.53696,16.41161,17.89474,21.64269,22.37574,,,,,,,,,,,,,
Denmark,,15.34141,15.33485,19.19648,24.08086,23.92816,22.50581,21.67008,22.85935,26.17085,24.85126,26.33382,26.1766,24.99677,27.84336,29.43382,31.03279,32.15386,33.96461,34.03212,32.55965,33.13171,31.53049,31.83057,22.15504,22.52762,22.49435,22.17645,23.50856,19.49013,17.91489,18.21507,17.24158,17.16596,16.53162,21.00195,18.61699,16.38076,18.05624,16.71657,15.05544,15.67887,15.27468,14.03916,13.74968,14.39713,13.49714,12.91194,13.07938,14.10552,11.80721,10.92934,10.3161,10.35179,8.862256
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.4746933
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.88826942
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.62112427
East Germany,,,,,,,,,,,,,,,,,,,,,,,,22.94431,21.7508,,,25.24885,,,18.31785,18.47434,17.46557,16.63454,16.90272,16.14781,15.59383,15.53039,16.46685,16.86425,29.18375,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.23932266
Egypt,,,,,,,,,,,,,,,,,,,,,2.969965,2.776209,3.453904,2.669713,3.027083,3.701185,3.84508,3.026745,3.969085,5.098797,11.59534,,,,,,,12.14404,,,,,,,,,,,,,10.87972,,,,22.40333366
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.47734833
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.82196426
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.11231232
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.17528,36.25031,,,21.88651,25.32391,25.73093,30.72184,40.76329,53.65554,55.15897,33.41861,41.00883,46.27253,43.52565,25.97262,37.04409,35.9866,28.85486,24.67755,23.52248,25.8685,20.04012,18.91925
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.80944824
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.596173286
Finland,,,12.7428,14.5986,15.43114,17.30816,19.64343,20.6571,21.68569,24.29063,29.01773,29.80368,31.8323,34.05998,36.73614,38.0359,38.15592,36.9119,33.73584,34.28087,35.6851,38.40194,37.59911,35.27898,26.42128,27.86225,24.00044,21.96472,19.66002,19.38645,17.45892,17.00985,15.94864,16.72552,14.68447,15.38719,16.5623,14.92541,18.17157,20.72584,18.19995,16.41865,15.42238,12.40252,12.91523,12.02894,10.95085,10.89817,10.66007,11.00256,9.486851,11.48653,10.91034,9.829119,9.388697
France,12.44543,,15.21132,20.39927,28.82311,30.79241,30.92369,31.71965,29.07429,29.0294,27.97148,30.55775,32.38549,32.62416,35.15035,38.03801,37.98752,41.18351,43.66526,33.31728,33.82071,37.00816,39.76105,37.26556,33.20575,32.39712,34.16471,31.75529,29.67956,29.61377,29.59478,29.4119,29.47031,28.95128,28.83934,25.73096,26.99802,24.20312,26.01813,26.18182,25.63412,24.01589,22.29621,21.67463,20.16091,19.75328,18.81817,18.96119,20.13942,19.92711,18.60557,18.50443,17.76185,14.64201,13.008
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3067131
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.43536377
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.881845,6.814182,,,16.29129,16.65771,17.4222,28.17549,29.02337,22.6391,10.31605,16.12766,,3.530284,3.815501,9.945007,11.43544,8.853843,10.0082,7.94355,12.26256,,,12.13299084
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.06434,20.19416,18.85936,17.82916,17.61633,16.75887,15.70287,15.56498,13.28825,13.71175,13.17203,12.13553,11.88089,11.3739,9.88608
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.37522316
Greece,,,,,,,,,,,,9.730842,12.63118,12.88176,17.89879,18.17562,19.18558,20.05442,18.17791,17.89571,17.84038,18.19463,19.44299,22.58233,22.39446,25.4208,26.82355,28.84587,31.07463,28.3281,25.89969,22.85604,29.44384,31.61579,31.17689,30.25847,28.20849,27.7851,26.6202,29.84233,31.58041,32.03345,31.55238,27.74437,29.89641,32.21693,32.31994,30.07474,29.13347,28.02736,27.68593,25.21655,22.96542,23.27506,24.6883
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.546566963
Guatemala,,,,,,,,,,,,,,23.40179,17.17611,16.16259,13.8542,10.90495,12.85085,13.46753,18.13946,15.65891,,,6.72788,,,11.22696,,40.29629,37.30116,23.37771,,,2.308526,,9.114516,11.35404,9.916382,8.848125,6.948186,9.492977,9.83035,11.21305,8.920693,10.38113,9.543144,11.05892,10.15109,6.406507,8.128821,6.978052,7.118614,7.427306,6.995038
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.27323914
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.03670502
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.84869385
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.960289
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.32581329
Hungary,,,,,,8.877307,13.96675,13.21469,9.372379,12.09303,11.16848,12.46786,13.43612,16.18335,16.20778,14.92217,14.56313,15.23926,19.78998,21.71947,25.65334,28.42206,28.30936,25.29267,26.22166,26.90118,23.38419,25.20973,28.53804,26.6594,26.01623,25.82975,25.06029,24.77587,25.23619,27.18234,25.73798,25.21172,26.12386,32.66473,38.67734,35.23374,34.4015,27.26822,25.609,26.97115,19.42048,19.97299,20.19637,18.58949,17.64139,18.26327,21.99966,20.7625,20.76326
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.16183281
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.55706978
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.37486649
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.33861542
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.369339
Ireland,8.001123,8.886488,9.743128,10.10174,11.33644,12.64406,14.38126,9.427283,13.65281,14.15727,13.84117,16.67582,15.14994,15.79541,16.22205,16.91295,20.22695,20.02105,23.25457,22.62828,23.79935,27.5909,31.73934,32.5519,29.60833,29.19773,24.85185,26.45187,30.157,28.28509,25.18491,27.32323,23.68583,22.55866,19.92942,20.22348,19.29323,18.95868,19.97116,20.09722,19.7454,17.67212,15.17751,16.82348,16.26838,17.37498,18.06009,16.38441,18.00092,14.60141,15.57158,14.82986,13.34348,11.28724,10.21025
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,26.13352,22.07759,21.47144,20.81099,18.67766,14.96447,15.54432,14.4856,16.02481,14.7596,13.62065,14.76313,15.88057,14.06707,14.25964,11.21458,8.699514,9.46154,14.27556,16.30302,16.01952,13.14274,13.64588,10.34811,8.823124,8.852178,10.28788,9.787869,8.096229,8.395966
Italy,,16.71564,19.05481,22.11297,25.04459,28.57677,27.6988,28.38197,28.51699,27.42022,29.98139,32.34977,35.05776,36.37101,36.68963,34.53537,33.77927,35.36938,35.76455,37.44752,38.46025,38.26085,40.2813,39.16788,34.07314,33.0264,30.70189,28.11532,28.05399,28.39281,29.01451,26.76333,25.72246,25.59872,23.39091,22.9866,23.32705,22.07666,21.87781,21.98522,22.52307,23.97159,23.98629,21.07791,20.56325,19.95211,18.61722,19.29964,20.12249,19.64739,18.34999,18.91382,18.84872,16.80214,18.19241905
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.50591469
Japan,5.665598,6.338423,7.333651,9.473152,11.22588,11.46751,12.75035,14.79549,16.73629,20.65922,24.99207,27.31734,25.11316,26.94568,29.2378,27.69345,30.49896,29.02402,29.54192,32.55625,33.45191,32.34092,30.64783,28.15339,22.8604,20.49418,18.51182,17.01503,16.74414,16.40037,16.16351,16.07049,16.51467,16.86853,16.1727,16.19338,15.51874,15.38652,16.19319,16.81994,16.57486,16.10346,16.1058,15.09551,14.46919,14.24588,13.15456,12.63016,12.08671,11.55584,11.36134,10.83361,10.019,9.104828,8.584973
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.79882431
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.93638,27.58601,,,19.84157,18.62023,20.81667,31.45199,39.23955,37.40419,36.47937,34.32027,30.90001,22.591,22.56084,20.35012,20.16104,23.40109,17.35846,,20.24649,19.88997,21.9308,32.0661
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.25911713
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.01957989
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.02418518
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.75515,25.14027,29.96441,29.94131,40.51855,51.42217,51.12453,47.66885,47.10134,52.23484,59.06223,57.79933,49.71431,38.29306,37.8011,35.9746,,26.06941,26.02674,22.67571
Kuwait,,,,,,,,,,,,,,,,,,,,,,,73.8874,,,67.51257,65.4891,81.62957,77.25733,72.12663,75.70351,64.119,67.55018,74.93363,55.34391,57.25949,44.48851,46.27237,,,,,,40.72606,33.73347,35.62861,31.85295,39.63007,25.78988,30.86862,33.17468,27.9062,26.15314,,26.67786598
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1847,36.05724,,,25.87786,25.86671,28.78375,33.32809,47.91832,44.29176,45.80204,31.63191,27.86531,19.65378,20.38933,20.32064,19.57038,14.60605,14.91107,15.0211,17.06578,21.15525,23.6757,25.72336
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.91185379
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.58341,46.96981,43.54984,46.93368,42.569,35.02456,30.66183,33.14267,38.59995,56.51196,63.94948,66.02708,51.8589,47.85301,58.15392,48.97526,39.18497,33.18525,43.57376,39.96136,41.39786,,34.80811,31.54086,29.23009
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.23976135
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.60299873
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.78746796
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.59894562
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.49105,43.09306,,,33.39739,28.42539,27.91187,41.59904,49.47147,47.49826,60.45547,39.90153,47.68652,36.56868,34.87682,33.77007,33.99488,41.13743,31.85037,33.56116,32.1274,31.42244,32.98417,33.00374
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.87164116
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.70526,12.33014,10.49346,8.169972,7.041601,11.30031,10.46575,10.38316,9.514688,7.972793,8.336687,10.35755,9.990118,15.49941826
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.67994308
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.48404694
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.36608315
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.23599243
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.70757294
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.818430424
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.92255974
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.08733368
Mauritius,,,,,,,,,,,,27.56441,19.64474,12.451,22.44893,20.47464,20.78851,15.88548,16.00323,25.13551,27.57413,23.02159,28.41128,34.10116,41.1839,45.84832,44.06035,35.99789,35.63588,30.99023,8.227135,13.05655,3.045365,0.644393,1.987235,3.195196,3.981828,17.64455,29.18445,29.00311,30.5974,35.99622,30.62821,33.12312,30.48357,32.31994,23.04678,22.99875,24.30014,26.96846,27.78751,24.94751,31.23667,26.23227,23.94694
Mexico,,,,,,3.365051,4.858398,5.047631,5.328476,5.872328,5.612168,5.97441,6.308974,11.98946,14.15968,13.39675,13.82269,14.27423,16.13238,14.62907,14.27462,16.4236,17.9332,17.44876,30.68232,31.98381,36.52187,40.92141,38.79294,44.12783,44.16084,50.37575,45.57814,42.37513,32.70707,32.96886,32.06602,31.53361,32.1635,33.37511,33.06828,32.27784,32.08146,31.66907,31.4493,28.71562,29.19874,28.61056,22.29318,21.93144,18.80032,18.58875,19.63076,19.47267,19.81849
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.32562828
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.04272,43.81577,,,31.51914,33.66985,28.52897,40.75732,52.21965,48.55775,43.42078,40.62064,26.10578,28.9911,28.93444,25.09678,26.85453,25.39773,19.27331,20.08458,22.66555,22.05723,21.49296,23.06459
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.42757607
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.22715759
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.99567795
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.84006882
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.62389565
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.91668701
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.95244026
