Per capita total expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Cote d'Ivoire,72.09804102,84.43055827,98.24177685,108.72274108,92.48621471,81.17284353,63.72527433,54.87882337,59.31743875,68.32968295,71.60548727,79.54970039,101.1188445,104.83338568,94.7907354,97.58286434
Croatia,546.85676412,639.68618562,563.33401843,673.0303089,731.75557647,846.93424722,843.92767724,788.56464584,864.22851017,960.14554498,1072.0439622,1182.39235625,1409.4579087,1580.92269873,1555.70653017,1513.5670308
Cuba,117.83652101,126.94950404,129.15776996,127.55136127,136.04445484,148.21687621,160.22153814,171.57092399,170.69482776,171.89165111,245.23346845,276.6408699,398.76206549,430.94383539,477.53389692,431.2323381
Cyprus,723.8596226,815.29704612,891.10793527,950.16089721,1000.51735237,1106.85243768,1201.12259809,1298.59421045,1472.07546486,1474.50762609,1549.07337684,1651.47158174,1719.95670483,1867.26434037,1874.16436802,1841.63714849
Czech Republic,896.6590257,915.30840132,921.15695705,925.27784536,938.48387613,981.40106503,1081.24419852,1194.85166229,1338.41108058,1386.81028532,1474.71135533,1556.49055874,1660.7430473,1838.50080928,2107.26818227,2050.95167881
Czechoslovakia,,,,,,,,,,,,,,,,
Denmark,1867.54512104,1974.79878792,2058.61191207,2131.90905033,2410.83761511,2507.27873344,2678.86749355,2870.45390246,2893.47150338,3125.11240323,3243.22472938,3575.32057946,3747.49200842,4030.66940217,4345.36491541,4537.0678976
Djibouti,68.69169518,64.74853816,71.37291547,82.11789199,97.12011076,90.37762971,86.0207578,89.01301185,105.22573289,99.35208592,132.56745441,137.74266314,160.12524603,158.0389037,179.58042689,170.00924292
Dominica,303.85235856,322.24962035,343.10464093,352.89702455,365.39222991,378.05174037,387.35692501,398.11890677,410.7982946,421.60603613,452.59811906,502.88659748,550.62763635,569.55107201,591.61033421,730.68950963
Dominican Republic,201.99861496,209.10595106,239.73765402,264.21706091,286.06688976,325.51786895,325.72355719,352.91393894,332.43356822,305.8087058,349.64738289,399.6877966,424.93502507,479.52576343,506.64572733,577.57245818
East Germany,,,,,,,,,,,,,,,,
Ecuador,189.19504561,207.62141672,216.79708655,215.18105083,222.00338578,201.41613689,237.58062451,295.11365101,366.11238584,401.90356715,429.61318595,472.92971257,507.2355441,551.45630087,691.69074164,653.1706615
