Income share held by highest 20%,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income: nonOECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income: OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,61.21,,58.47,,59.28,,,57.01,,55.4,,,,58.33,,60.05,58.44,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,50.74992147,,,,,,,,,,,
Hungary,,,,,,,,,,32.38,,35.41,,,,37.9,,,,,34.85,37.4,,,36.43,,38.73,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.34,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.27215445,,
Iran,,,,,,,,,52.54,,,,49.24,,,,48.94,,,,49.68,,,,,,,44.97,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,42.04918848,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,44.92956589,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,42.02375409,,,,,,,
Jamaica,,,,,,,,,,,49,,48.31,,,42.57,,,47.26,,,49.98,,,53.48,,51.15,,,
Japan,,,,,,,,,,,,,,,,35.65,,,,,,,,,,,,,,
Jordan,,,,,,,,,,43.54,,,,,49.83,,,,,44.2,,,,,,45.72,,,45.35,
Kazakhstan,,,,,,,,,,,35.12,,,,,40.39,,,42,,,,,39.34,42.21,41.25,,,,
Kenya,,,,,,,,,,,,,,,61.84,,48.09,,,49.08,,,,,,,,52.96,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,37.45098329,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,36.02,,,,,57.04,,,,,43.53,42.18,,,40.29,,41.36,,,
Laos,,,,,,,,,,,,,,,40.06,,,,,43.48,,,,,41.59,41.39,,,,
Latin America & Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,32.73,,,,,36.5,,,39.54,,41.07,,,,43.13,,42.73,,,
Least developed countries: UN classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,59.99,,,,,,62.18,,66.58,,,,,,,,56.35,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.95
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,32.89,,,,,41.9,,,40.33,,38.44,,,,40.14,,42.75,,,
Low & middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,38.85278343,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,36.68,,41.23,,45,45.24,,,,
Madagascar,,,52.52,,,,,,,,,,,,,51.85,,,,,,48.26,,53.33,,,,53.49,,
Malawi,,,,,,,,,,,,,,,,,,,,,55.98,,,,,,46.53,,,
Malaysia,,,,,,,53.78,,,52.46,,51.83,,,52.88,,,53.61,,54,,,,,,,44.36,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,56.13,,,,,,,46.65,,,,,46.01,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,48.64,,,,,,56.06,,,44.07,,,,45.66,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,51.67,,,,,59.16,,,55.59,,56.51,,53.38,,53.52,,56.35,,54.52,,51.01,,53.29,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,34.18,,,,41.41,,,,,43.55,,44.06,,,44.09,,43.14,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,40.76,,,38.15,,,,40.49,,,40.48,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,46.3,,,,,,46.44,,,,,,,,46.18,,47.33,,,,,,47.88
Mozambique,,,,,,,,,,,,,,,,,,,,50.69,,,,,,53.29,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,78.25,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,45.74,,,,,,,,54.24,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,38.68380275,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,43.75873777,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,59.94,,,,,57.87,,,55.3,,,,56.88,,
Niger,,,,,,,,,,,,,,,43.91,,48.13,,,,,,,,,,,50.32,,
Nigeria,,,,,,,,,45.01,,,,,,,49.37,,,52.2,,,,,,,,48.61,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,37.22816052,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,42.08,,,,41.68,,40.14,,,,38.95,,42.12,,,40.07,,,40.51,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,53.43,,,,,,,,,,,,59.98,,,,60.4,59.69,52.25,,,59.81,,60.17,,58.69,,58.04,
Papua New Guinea,,,,,,,,,,,,,,,,,,,56.35,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,45.78,,,,,62.37,,,59.49,59.9,,,60.94,,,57.61,,57.42
Peru,,,,,,,,,51.13,,,,50.04,,,,50.38,,51.1,,,,,,58.52,,,56.54,53.97,
Philippines,,,,,,,,48.08,,,47.77,,,50.46,,,49.54,,,52.33,,,52.3,,,50.68,,,50.41,
Poland,,,,,,,,34.97,,35.27,,36.06,,,,38.93,,,41.07,,,41.03,,,41.78,,,42.38,,
Portugal,,,,,,,,,,,,,,,,,,,,45.87384114,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,33.24,,,34.64,,37.15,,,,38.18,,38.41,,39.4,,,39.92,,
Russia,,,,,,,,,,,33.63,,,,,53.34,,,51.05,,,43.73,,,42.5,,,44.05,,
Rwanda,,,,,,,,38.92,,,,,,,,,,,,,,,52.57,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,48.34,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,58.62,,,,48.51,,,,,,48.39,,,,45.88,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,63.79,,,,,,,,,,,,,49.29,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,48.96812013,,,,,,,,,
Slovak Republic,,,,,,,,,,,31.4,,,,31.32,,,,34.81,,,,,,,,,,,
Slovenia,,,,,,,,,,33.99,,,,,,38.63,,,,,37.32,,,,37.76,,39.43,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,64.33,,61.83,,,,,62.65,,,,,,,
South Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,42.00280287,,,,,,,
Sri Lanka,,,,,,,,41.12,,,,,,41.5,,,,,43.91,,,,,,47.97,,,,,
Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,56.36,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,64.33,,,,,,55.9,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,36.63463552,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,41.32999153,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,39.87,,,,40.85,41.44,,,
Tanzania,,,,,,,,,,,,,,,41.61,,,,,,,,42.31,,,,,,,
Thailand,,,,51.4,,,,,,,50.73,,,,52.72,,,,49.76,,,50.3,,,48.61,,48.99,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,46.79,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,47.97,,,,45.89,,,,,,,,,,,,,,,
Tunisia,,,,,,,,49.49,,,,,46.33,,,,,47.59,,,,,47.15,,,,,,,
Turkey,,,,,,,,,,50.03,,,,,,,47.68,,,,,,,,48.81,,,48.81,,
Turkmenistan,,,,,,,,,,,36.33,,,,,42.54,,,,,47.23,,,,,,,,,
Uganda,,,,,,,,,,,,49.92,,,49.1,,,,44.94,,,49.64,,,52.24,,,49.33,,
Ukraine,,,,,,,,,,,33.5,,,,35.36,,,,42.51,,,37.77,,,37.22,,,37.16,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,44.01527149,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,45.81592728,,,,,,,
Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,,,,,,,,,,,,,,,47.62,,,,48.85,,49.92,,49.78,49.77,,,,49.87,51.06,
Uzbekistan,,,,,,,,,,,35.6,,,,,,,,,,49.56,,,,42.9,44.19,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,59.87,,,,,,57.99,,49.29,,,,47.45,,,53.01,,52.78,,,,,52.08,,51.79,48.64,
Vietnam,,,,,,,,,,,,,,,,43.98,,,,,44.01,,,,45.57,,46.89,,45.36,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,45.91,,,,,,40.98,,,,,,,45.29,,
Zambia,,,,,,,,,,,,,,62.36,,56.61,,,54.72,,57.6,,,,,48.79,55.18,,,
Zimbabwe,,,,,,,,,,,,,,,,,,55.74325656,,,,,,,,,,,,
