Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Cape Verde,20.76834,20.92917,21.08539,21.26476,21.42395,21.56972,21.69703,21.78503,21.91598,22.04334,22.16677,22.29279,22.42647,22.57888,22.73411,22.88982,23.04963,23.2206,23.37736,23.55057,23.73321,23.89848,24.05403,24.21206,24.36821,24.51781,24.66432,24.81388,24.96136
Central African Rep.,19.86438,19.94146,20.0128,20.06132,20.10716,20.15377,20.21535,20.27017,20.33582,20.41186,20.49137,20.5693,20.63324,20.69771,20.77622,20.86568,20.94705,21.04252,21.14819,21.26699,21.39235,21.52312,21.65306,21.77313,21.89388,22.01089,22.1374,22.26918,22.40158
Chad,19.17238,19.19621,19.22638,19.27967,19.3374,19.44676,19.53491,19.60911,19.71453,19.81982,19.90881,20.02533,20.14354,20.22948,20.33359,20.43496,20.53392,20.64782,20.76043,20.87342,20.97976,21.08121,21.18393,21.30248,21.44518,21.58676,21.72089,21.8377,21.95424
Chile,23.98293,24.14295,24.26083,24.36695,24.47601,24.57872,24.6857,24.79781,24.91001,25.02951,25.16493,25.30107,25.47528,25.65157,25.82232,26.01776,26.2099,26.38454,26.55244,26.70035,26.84574,26.98724,27.13405,27.26867,27.39912,27.53305,27.67001,27.79856,27.92807
China,21.91721,21.90834,21.91792,21.93416,21.96185,21.99321,22.02733,22.05982,22.08346,22.09101,22.10147,22.11669,22.15367,22.19982,22.25368,22.31248,22.37993,22.43812,22.49949,22.54523,22.60003,22.64198,22.67688,22.72156,22.77469,22.82195,22.85678,22.88607,22.91041
Colombia,23.41736,23.5646,23.69855,23.82533,23.94818,24.06766,24.18964,24.31597,24.43749,24.56007,24.68184,24.79842,24.91628,25.03867,25.16083,25.28646,25.4035,25.51138,25.608,25.68912,25.76325,25.82815,25.88257,25.93727,25.99028,26.04024,26.09901,26.16262,26.22529
Comoros,20.83725,20.87352,20.91591,20.96267,21.01693,21.07429,21.13969,21.20464,21.27295,21.3604,21.46055,21.55173,21.63533,21.7114,21.76424,21.81977,21.87054,21.91443,21.94603,21.97908,22.00916,22.04251,22.08826,22.13929,22.19608,22.2568,22.31975,22.38153,22.44433
"Congo, Dem. Rep.",19.78312,19.84035,19.89003,19.94744,20.01279,20.08304,20.16304,20.24448,20.32624,20.40642,20.48744,20.55164,20.59772,20.62202,20.6396,20.65093,20.6667,20.68731,20.72047,20.75519,20.79511,20.84604,20.91397,21.01189,21.12111,21.24306,21.37516,21.51727,21.6677
"Congo, Rep.",19.84067,19.98163,20.14729,20.31211,20.48106,20.63071,20.75161,20.86476,20.96354,21.05274,21.13824,21.2176,21.29751,21.37147,21.43806,21.50901,21.59139,21.68085,21.77958,21.88073,21.99779,22.12915,22.26737,22.40105,22.54009,22.68496,22.83381,22.97,23.10824
Cook Islands,26.32511,26.65851,27.00489,27.32601,27.66007,27.98246,28.29098,28.57985,28.85948,29.11959,29.36968,29.62896,29.89055,30.15101,30.40101,30.63062,30.86255,31.08613,31.31149,31.55542,31.81515,32.08724,32.34657,32.62107,32.89217,33.16385,33.42907,33.69174,33.94976
Costa Rica,23.37917,23.49898,23.59381,23.6941,23.79899,23.90999,24.02919,24.14956,24.2835,24.40838,24.54989,24.69795,24.85564,25.02416,25.19336,25.3609,25.52029,25.66899,25.81207,25.94772,26.07532,26.18898,26.29537,26.40918,26.53201,26.65358,26.7814,26.90884,27.03497
Cote d'Ivoire,21.2528,21.34631,21.43125,21.51484,21.58632,21.65411,21.73472,21.81085,21.88209,21.96782,22.0378,22.10582,22.17643,22.2521,22.31907,22.40325,22.50263,22.6079,22.71985,22.83242,22.9484,23.05647,23.16914,23.27574,23.38481,23.49302,23.60347,23.71021,23.82088
Croatia,25.17299,25.17183,25.16529,25.15844,25.14873,25.14191,25.13127,25.10691,25.07624,25.03804,24.98815,24.89799,24.79636,24.68412,24.60722,24.56832,24.55297,24.55187,24.56338,24.5901,24.63296,24.69418,24.78217,24.86884,24.94352,25.01465,25.06832,25.12974,25.17882
Cuba,23.79721,23.9242,24.05473,24.19075,24.32081,24.46398,24.60699,24.72643,24.84021,24.93768,25.02521,25.08469,25.08819,25.07141,25.05412,25.059,25.09156,25.1423,25.20769,25.3054,25.441,25.57658,25.73888,25.88304,26.03661,26.18459,26.32865,26.45295,26.57614
Cyprus,23.79843,23.8853,23.98458,24.08281,24.1944,24.29863,24.38792,24.45966,24.53225,24.62185,24.70891,24.79323,24.88728,24.98829,25.06992,25.18044,25.24982,25.3215,25.39555,25.46393,25.52631,25.57712,25.63186,25.67421,25.71934,25.77066,25.83593,25.87751,25.92587
Czech Rep.,26.80407,26.80145,26.80246,26.7959,26.78716,26.77398,26.75867,26.74115,26.71264,26.68982,26.66406,26.60544,26.55507,26.50459,26.46325,26.44868,26.45455,26.45674,26.46605,26.45971,26.45268,26.46389,26.46608,26.47052,26.48232,26.47911,26.50878,26.50704,26.51348
Denmark,23.38133,23.43183,23.49431,23.54211,23.59034,23.648,23.71487,23.77701,23.84211,23.89212,23.94259,24.01299,24.09891,24.18169,24.26514,24.34591,24.39996,24.47449,24.5407,24.59536,24.64453,24.69374,24.74319,24.7987,24.8695,24.92329,24.98768,25.0482,25.10627
