"Expenditure per student, tertiary (% of GDP per capita)",1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Poland,36.31026482,21.105,17.6453,18.03366,21.11352,19.72595,21.43321,21.43112,17.09561,16.58335,18.37913,,,
Portugal,,27.13817,25.89706,26.38255,24.09343,25.34529,22.61341,26.26249,27.93735,,26.65398,,,
Puerto Rico,,,,,,,,,,,,,,
Qatar,,,,,,,,35.81991,,,,337.722,,
Romania,,,,32.59451,26.2411,22.91733,22.13675,23.67413,,26.16254,,,,
Russia,,,10.94678,10.94642,11.91317,12.12651,10.85492,12.62824,13.15953,,14.24632,,,
Rwanda,,,1228.14349,,,,,325.06673,,260.88061,216.84537,,186.75129,
Saint Kitts and Nevis,,,,,,,,,,,,,,
Saint Lucia,,,,,,,0,,,,,,,
Saint Martin,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,
Samoa,,212.56163,137.02419,213.07418,,,,,,,,,,
San Marino,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,
Senegal,,,,,,,,208.05539,200.06747,,159.87077,162.67308,186.86933,
Serbia,,,,,,,,,,37.29526,40.99961,43.25672,,
Seychelles,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,27.91326,28.71979,
Slovak Republic,,32.84855,28.58929,30.63097,30.68179,28.76016,32.09277,24.00435,24.50036,19.5593,18.30573,,,
Slovenia,,,,27.77578,25.53064,25.4645,24.88746,22.3031,21.56703,21.06532,21.20439,,,
Solomon Islands,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,
Spain,,19.63549,20.54092,21.4437,21.88321,22.66006,22.57044,22.68619,23.41699,25.07081,27.25748,,,
Sri Lanka,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,
Swaziland,,,434.88128,279.18295,257.28147,362.07577,345.82593,295.14607,321.92846,,,,,
Sweden,,51.70923,49.79654,49.12967,48.60407,44.98509,42.21692,40.05836,38.85551,38.29457,41.3449,,,
Switzerland,,53.83731,53.13503,55.42901,59.65022,64.10573,62.31265,55.20526,53.05378,46.73135,43.84923,,,
Syria,,,,,,,,,,,,,,
Tajikistan,,,,,24.69512,12.25793,8.74206,14.03039,10.86997,11.5326,21.22344,,17.45104,
Tanzania,,,,,,,,,,,,,873.25659,
Thailand,45.72671814,,36.50882,33.17186,,,23.86326,25.92311,29.62255,,22.31215,22.65243,17.64811,
Timor-Leste,,,,,,,,,,,,83.92033,,
Togo,,,,,,,,,,137.91096,,,,
Tonga,0,,,,,,126.69518,,,,,,,
Trinidad and Tobago,,148.34242,,81.12562,,,,,,,,,,
Tunisia,,81.08051,71.3386,63.7915,57.06855,62.1668,60.9158,50.12976,48.61841,49.82366,46.14043,,,
Turkey,,35.31359,32.0699,35.02406,37.12772,33.20972,29.63461,,26.91394,,,,,
Turkmenistan,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,
Uganda,,,,,,,211.30353,,,,,104.3112,,
Ukraine,,,36.48026,37.23602,41.66947,36.04503,32.42741,32.29733,31.17488,25.13825,,,,
United Arab Emirates,,,26.23147,21.69915,17.67264,17.32691,,,,,,19.87342,,
United Kingdom,32.45645964,25.60873,22.9532,22.69473,28.16263,27.25315,26.73489,31.62236,28.76407,24.3317,22.20171,,,
United States,27.45149749,26.76646,,30.95055,25.29195,26.23233,23.09902,23.07108,24.95813,21.71872,21.15433,,,
Uruguay,,,,,,,,,18.31936,,,,,
Uzbekistan,,,,,,,,,,,,,,
Vanuatu,,117.79128,145.93231,263.02956,,,,,,,,,,
Venezuela,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,60.62971,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,
Zambia,,,160.37991,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,75.39536,
