"5-9 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Brazil,7013000,8613000,10423000,12090000,13966000,14311000,15065000,16829000,18312000,17533000,16637000,17348000,17228000,15162000,13757000,13025000,12259000,11621000,11267000,10855000,10781000
Brunei,6000,7000,13000,16000,19000,21000,24000,29000,29000,32000,36000,36000,35000,36000,36000,36000,38000,39000,39000,39000,40000
Bulgaria,610000,704000,688000,654000,632000,630000,660000,662000,585000,521000,409000,326000,330000,355000,347000,318000,285000,261000,256000,262000,261000
Burkina Faso,533000,550000,592000,687000,785000,894000,1016000,1170000,1352000,1544000,1772000,2034000,2366000,3021000,3271000,3456000,3627000,3829000,4028000,4158000,4198000
Burundi,322000,353000,434000,467000,506000,546000,590000,677000,839000,976000,994000,998000,1035000,1146000,1257000,1292000,1260000,1219000,1213000,1243000,1265000
Cambodia,592000,662000,744000,854000,976000,1018000,925000,921000,1611000,1739000,1878000,1700000,1542000,1644000,1787000,1869000,1825000,1729000,1677000,1682000,1691000
Cameroon,567000,623000,711000,797000,935000,1099000,1313000,1549000,1842000,2072000,2271000,2380000,2686000,2983000,3113000,3141000,3162000,3218000,3288000,3323000,3306000
Canada,1316000,1735000,2027000,2260000,2349000,1935000,1813000,1816000,1924000,1992000,2045000,1850000,1796000,1859000,1962000,2089000,2170000,2190000,2196000,2240000,2305000
Cape Verde,15000,22000,31000,37000,45000,43000,41000,48000,57000,63000,64000,63000,61000,58000,59000,59000,58000,55000,52000,49000,46000
Central African Rep.,153000,161000,183000,210000,239000,272000,311000,357000,414000,467000,507000,565000,604000,625000,650000,667000,677000,687000,686000,683000,678000
Chad,294000,321000,393000,443000,496000,567000,651000,768000,911000,1065000,1250000,1492000,1722000,1921000,2130000,2348000,2539000,2685000,2783000,2856000,2920000
Channel Islands,6000,7000,7000,8000,9000,9000,8000,7000,7000,8000,8000,8000,8000,7000,7000,7000,7000,7000,7000,7000,6000
Chile,748000,839000,973000,1186000,1329000,1271000,1250000,1171000,1317000,1461000,1488000,1328000,1237000,1249000,1261000,1249000,1236000,1203000,1169000,1147000,1136000
China,55749000,68795000,92056000,87058000,107776000,128579000,122337000,96510000,102871000,124066000,106775000,94800000,86987000,87421000,91323000,89381000,81616000,75472000,73269000,73533000,72853000
Colombia,1610000,2031000,2481000,2849000,3292000,3592000,3521000,3854000,4054000,4227000,4410000,4414000,4419000,4479000,4426000,4378000,4298000,4191000,4069000,3928000,3827000
Comoros,19000,21000,27000,32000,36000,40000,49000,59000,72000,70000,72000,77000,87000,98000,100000,97000,96000,98000,102000,103000,100000
"Congo, Dem. Rep.",1708000,1916000,2148000,2466000,2891000,3379000,3966000,4642000,5616000,6975000,7963000,9140000,10427000,11303000,12394000,13343000,13936000,14214000,14313000,14339000,14249000
"Congo, Rep.",104000,116000,135000,158000,189000,226000,268000,316000,357000,394000,430000,454000,506000,539000,558000,577000,582000,584000,585000,585000,581000
Costa Rica,117000,149000,201000,243000,288000,283000,276000,321000,370000,418000,419000,407000,396000,373000,391000,383000,380000,372000,366000,362000,359000
Cote d'Ivoire,346000,379000,459000,579000,737000,950000,1236000,1590000,1873000,2109000,2364000,2606000,2915000,3142000,3345000,3476000,3575000,3662000,3730000,3767000,3768000
Croatia,298000,380000,378000,343000,315000,295000,304000,317000,319000,287000,255000,241000,208000,211000,213000,208000,199000,190000,183000,183000,185000
Cuba,716000,752000,870000,865000,1206000,1205000,1121000,748000,767000,882000,717000,717000,651000,573000,551000,532000,503000,468000,433000,406000,382000
Cyprus,53000,65000,68000,66000,65000,51000,44000,51000,60000,61000,62000,54000,49000,51000,55000,58000,60000,59000,58000,59000,62000
Czech Rep.,722000,880000,844000,718000,687000,688000,846000,873000,691000,647000,592000,443000,471000,550000,567000,539000,503000,473000,476000,507000,538000
Denmark,393000,419000,371000,368000,392000,389000,364000,314000,267000,297000,346000,342000,328000,319000,301000,301000,313000,320000,315000,305000,296000
Djibouti,9000,11000,12000,17000,24000,34000,50000,58000,80000,90000,102000,101000,104000,106000,108000,113000,116000,116000,115000,114000,114000
Dominican Rep.,366000,422000,522000,640000,741000,808000,847000,884000,953000,1006000,1049000,1039000,1068000,1080000,1064000,1039000,1012000,983000,952000,916000,877000
Ecuador,430000,501000,650000,748000,870000,1003000,1129000,1257000,1347000,1389000,1403000,1444000,1413000,1363000,1334000,1319000,1288000,1246000,1196000,1147000,1098000
Egypt,2456000,3452000,3939000,4577000,5032000,5523000,6009000,7072000,8096000,9201000,8180000,8489000,9027000,9610000,9864000,9643000,9358000,9266000,9288000,9214000,8932000
El Salvador,305000,330000,409000,489000,576000,639000,703000,743000,727000,741000,764000,746000,615000,591000,602000,608000,608000,571000,539000,515000,499000
Equatorial Guinea,25000,26000,31000,33000,36000,37000,32000,30000,46000,68000,78000,84000,91000,103000,116000,126000,131000,134000,137000,141000,144000
Eritrea,165000,185000,199000,238000,278000,317000,392000,474000,459000,502000,540000,596000,725000,841000,883000,879000,866000,879000,917000,954000,963000
Estonia,87000,94000,95000,99000,103000,99000,110000,112000,116000,112000,77000,62000,65000,78000,84000,82000,74000,65000,62000,66000,70000
Ethiopia,2577000,2894000,3111000,3507000,4119000,4749000,5092000,5836000,6955000,8499000,10027000,11088000,12002000,13304000,14270000,14988000,15417000,15591000,15584000,15522000,15312000
Fiji,44000,52000,63000,75000,78000,75000,82000,94000,92000,88000,92000,93000,88000,83000,79000,76000,74000,71000,68000,63000,58000
Finland,375000,494000,442000,406000,383000,350000,300000,324000,327000,315000,328000,297000,289000,298000,305000,306000,302000,294000,286000,285000,287000
France,2715000,3979000,3957000,4100000,4283000,4171000,4160000,3689000,3861000,3802000,3625000,3704000,3942000,3933000,3761000,3694000,3643000,3644000,3704000,3734000,3692000
French Guiana,2000,3000,4000,5000,6000,7000,8000,10000,14000,15000,21000,24000,27000,27000,28000,30000,32000,33000,33000,33000,33000
French Polynesia,9000,11000,12000,14000,17000,19000,20000,21000,23000,28000,22000,24000,23000,24000,24000,24000,23000,22000,21000,21000,21000
Gabon,43000,43000,49000,51000,56000,66000,83000,103000,127000,150000,175000,175000,176000,182000,189000,194000,196000,194000,192000,191000,189000
Gambia,33000,37000,35000,43000,54000,68000,84000,104000,125000,151000,185000,218000,245000,268000,288000,305000,320000,331000,340000,345000,348000
Georgia,266000,296000,402000,490000,517000,442000,434000,434000,454000,430000,357000,240000,223000,241000,234000,220000,198000,182000,176000,176000,170000
Germany,5131000,4475000,5255000,5680000,6458000,6039000,4364000,3953000,4271000,4654000,4177000,3947000,3651000,3369000,3269000,3302000,3261000,3155000,3039000,2958000,2939000
Ghana,718000,859000,934000,1122000,1292000,1508000,1660000,1929000,2178000,2451000,2682000,2863000,3052000,3293000,3510000,3637000,3736000,3800000,3888000,3983000,4052000
Greece,647000,732000,722000,740000,700000,759000,703000,711000,657000,570000,543000,525000,522000,545000,521000,496000,476000,472000,480000,493000,500000
Grenada,12000,13000,14000,17000,17000,12000,12000,12000,13000,14000,12000,10000,9000,10000,10000,9000,8000,7000,6000,6000,6000
Guadeloupe,25000,34000,39000,44000,46000,47000,37000,36000,34000,35000,36000,34000,36000,34000,32000,31000,30000,28000,28000,27000,26000
Guam,4000,7000,9000,10000,12000,12000,13000,13000,13000,15000,16000,17000,17000,16000,16000,16000,16000,16000,16000,15000,15000
Guatemala,431000,538000,624000,686000,789000,906000,1046000,1204000,1356000,1468000,1659000,1824000,2005000,2144000,2249000,2305000,2316000,2290000,2235000,2158000,2069000
Guinea,339000,359000,413000,463000,523000,550000,642000,746000,886000,1088000,1212000,1307000,1446000,1646000,1813000,1939000,2032000,2107000,2174000,2227000,2259000
Guinea-Bissau,65000,68000,92000,73000,77000,70000,134000,128000,132000,153000,176000,205000,229000,256000,280000,301000,322000,337000,351000,362000,373000
Guyana,54000,71000,92000,99000,114000,110000,106000,99000,95000,80000,76000,84000,75000,62000,57000,55000,53000,49000,42000,36000,31000
Haiti,419000,429000,515000,582000,657000,701000,741000,867000,1062000,1115000,1157000,1202000,1210000,1241000,1261000,1278000,1281000,1263000,1236000,1205000,1174000
Honduras,195000,236000,303000,359000,418000,490000,554000,649000,747000,825000,898000,921000,927000,956000,973000,971000,948000,913000,870000,823000,805000
"Hong Kong, China",125000,326000,419000,523000,528000,409000,414000,418000,426000,391000,393000,315000,220000,262000,317000,323000,320000,305000,295000,305000,330000
Hungary,773000,814000,924000,796000,643000,709000,793000,837000,647000,622000,592000,497000,479000,495000,491000,474000,458000,441000,428000,432000,442000
Iceland,14000,18000,20000,23000,23000,21000,21000,21000,21000,21000,23000,21000,21000,24000,24000,24000,23000,22000,21000,21000,21000
India,44238000,48775000,62163000,68125000,74191000,80922000,89091000,99476000,108460000,116171000,123219000,124131000,125239000,123399000,121855000,118247000,112963000,106503000,101365000,100337000,98279000
Indonesia,9812000,9976000,11935000,14354000,16251000,18215000,19793000,20832000,21477000,21003000,20666000,20532000,21005000,20447000,19434000,18280000,18015000,18001000,17831000,17372000,16705000
Iran,2061000,2628000,3142000,3587000,4189000,4927000,5609000,6971000,8895000,8507000,7034000,5372000,5911000,6609000,6730000,6416000,5704000,5410000,5528000,5683000,5595000
Iraq,711000,756000,1236000,1197000,1455000,1894000,2167000,2465000,2702000,3044000,3462000,4042000,4267000,4518000,4663000,4856000,5059000,5190000,5208000,5169000,5120000
Ireland,282000,298000,289000,298000,314000,326000,354000,348000,333000,287000,266000,276000,319000,355000,358000,334000,315000,313000,329000,348000,356000
Israel,114000,207000,269000,290000,312000,356000,433000,449000,470000,522000,558000,629000,679000,703000,689000,677000,677000,687000,694000,686000,664000
Italy,3839000,4284000,3991000,4100000,4552000,4545000,4321000,3599000,2981000,2772000,2736000,2681000,2851000,2920000,2694000,2476000,2409000,2426000,2498000,2566000,2571000
Jamaica,167000,183000,222000,256000,307000,313000,289000,271000,283000,280000,288000,285000,255000,248000,243000,238000,225000,208000,190000,176000,166000
Japan,9452000,11144000,9278000,7829000,8235000,8887000,10114000,8589000,7516000,6568000,6026000,5895000,5654000,5211000,4748000,4375000,4196000,4119000,4060000,3949000,3795000
Jordan,70000,100000,127000,156000,244000,294000,368000,417000,503000,588000,627000,700000,716000,766000,772000,742000,720000,702000,684000,666000,666000
Kazakhstan,572000,799000,1208000,1597000,1757000,1541000,1615000,1657000,1729000,1719000,1411000,1099000,1188000,1470000,1443000,1333000,1194000,1119000,1129000,1164000,1153000
Kenya,707000,949000,1237000,1487000,1787000,2158000,2660000,3226000,3833000,4332000,4477000,4952000,5748000,6693000,7134000,7276000,7409000,7680000,8000000,8198000,8212000
"Korea, Dem. Rep.",1598000,1381000,972000,1659000,1731000,2269000,2162000,1516000,1870000,1871000,2067000,1891000,1637000,1536000,1557000,1619000,1602000,1506000,1405000,1360000,1362000
"Korea, Rep.",2678000,2867000,3782000,4463000,4532000,4455000,4431000,3936000,3807000,3115000,3471000,3164000,2435000,2263000,2207000,2125000,2070000,1985000,1870000,1745000,1656000
Kuwait,17000,22000,32000,60000,111000,155000,186000,214000,264000,172000,192000,215000,235000,261000,264000,260000,260000,266000,279000,292000,298000
Kyrgyzstan,132000,164000,262000,370000,436000,416000,450000,476000,549000,601000,590000,539000,501000,570000,575000,539000,486000,448000,447000,448000,434000
Laos,214000,251000,304000,329000,367000,418000,475000,518000,597000,703000,782000,830000,747000,790000,833000,873000,885000,861000,832000,821000,819000
Latvia,163000,151000,155000,171000,176000,163000,177000,175000,188000,198000,135000,96000,101000,113000,119000,115000,105000,91000,85000,90000,96000
Lebanon,151000,186000,255000,318000,347000,367000,362000,359000,362000,365000,388000,396000,335000,321000,329000,334000,331000,318000,299000,287000,284000
Lesotho,96000,109000,118000,133000,149000,167000,190000,218000,242000,256000,260000,270000,265000,264000,266000,265000,260000,252000,245000,239000,232000
Liberia,109000,120000,137000,183000,218000,243000,257000,322000,318000,283000,407000,479000,577000,636000,689000,728000,756000,777000,795000,807000,813000
Libya,140000,155000,189000,226000,285000,379000,480000,601000,699000,586000,544000,589000,663000,717000,724000,673000,603000,562000,574000,613000,630000
Lithuania,233000,214000,249000,284000,298000,272000,272000,264000,281000,281000,237000,183000,147000,149000,154000,154000,149000,137000,123000,120000,124000
Luxembourg,20000,19000,22000,25000,26000,25000,22000,21000,22000,24000,28000,29000,28000,29000,30000,33000,36000,38000,39000,39000,40000
"Macao, China",15000,22000,25000,29000,33000,21000,20000,19000,33000,40000,34000,25000,20000,23000,25000,25000,24000,21000,19000,19000,20000
"Macedonia, FYR",132000,169000,175000,176000,170000,169000,167000,169000,168000,161000,153000,134000,117000,109000,109000,109000,104000,98000,92000,89000,89000
Madagascar,485000,549000,719000,828000,948000,1095000,1292000,1485000,1551000,1923000,2284000,2614000,2836000,3060000,3273000,3452000,3589000,3689000,3759000,3805000,3829000
Malawi,416000,471000,501000,580000,673000,796000,919000,1141000,1419000,1427000,1788000,2145000,2396000,2621000,2894000,3166000,3366000,3483000,3557000,3633000,3710000
Malaysia,752000,964000,1222000,1465000,1646000,1703000,1851000,1836000,2317000,2469000,2641000,2655000,2731000,2721000,2714000,2662000,2559000,2447000,2448000,2450000,2424000
Maldives,9000,10000,14000,15000,16000,18000,22000,27000,35000,39000,39000,31000,26000,28000,30000,31000,30000,28000,26000,26000,27000
Mali,553000,584000,618000,726000,806000,907000,999000,1085000,1260000,1420000,1559000,1694000,1902000,2167000,2364000,2490000,2581000,2643000,2730000,2824000,2891000
Malta,30000,45000,42000,36000,28000,23000,25000,28000,28000,28000,26000,24000,20000,19000,19000,20000,20000,19000,18000,17000,17000
Martinique,25000,32000,42000,47000,45000,45000,32000,30000,29000,30000,30000,28000,27000,25000,23000,23000,23000,22000,21000,20000,19000
Mauritania,91000,103000,117000,144000,169000,195000,224000,258000,291000,327000,362000,399000,438000,471000,492000,494000,496000,504000,511000,514000,508000
Mauritius,73000,85000,102000,117000,132000,118000,115000,107000,102000,97000,111000,103000,96000,88000,92000,92000,91000,87000,84000,82000,81000
Mayotte,2000,2000,3000,4000,6000,7000,9000,11000,14000,18000,22000,26000,25000,24000,25000,27000,28000,28000,26000,25000,26000
Mexico,3865000,4481000,5817000,6892000,7915000,9218000,10707000,10749000,10605000,10825000,11298000,10758000,10400000,9854000,9230000,8578000,8268000,8113000,7796000,7372000,6949000
"Micronesia, Fed. Sts.",4000,5000,7000,8000,9000,10000,12000,13000,15000,16000,14000,14000,14000,13000,12000,12000,12000,11000,10000,9000,8000
Moldova,205000,211000,334000,407000,399000,339000,360000,376000,415000,418000,319000,216000,176000,207000,210000,198000,172000,149000,142000,147000,150000
Mongolia,103000,117000,134000,154000,180000,208000,239000,266000,299000,320000,277000,239000,216000,236000,243000,243000,236000,217000,202000,200000,205000
Montenegro,46000,52000,58000,61000,57000,54000,52000,52000,52000,53000,44000,43000,40000,37000,38000,37000,37000,36000,35000,34000,33000
Morocco,1284000,1463000,1686000,2063000,2456000,2603000,2776000,3026000,3410000,3394000,3240000,3048000,2933000,3086000,3176000,3128000,2972000,2806000,2706000,2664000,2658000
Mozambique,850000,921000,1022000,1161000,1317000,1493000,1704000,1950000,2093000,2280000,2579000,2972000,3493000,3697000,3823000,3952000,4100000,4240000,4321000,4344000,4337000
Myanmar,1794000,2108000,2940000,3251000,3571000,4005000,4583000,4812000,5118000,4893000,4641000,4366000,4457000,4531000,4524000,4363000,4155000,3998000,3908000,3858000,3827000
Namibia,61000,70000,82000,94000,109000,129000,158000,182000,202000,230000,255000,259000,266000,279000,288000,296000,300000,299000,295000,293000,292000
Nepal,1103000,1093000,1261000,1428000,1617000,1828000,2083000,2380000,2672000,2990000,3358000,3632000,3609000,3460000,3544000,3717000,3783000,3719000,3614000,3541000,3495000
Netherlands,932000,1186000,1107000,1152000,1214000,1204000,1051000,891000,887000,956000,996000,992000,1005000,938000,907000,923000,956000,965000,955000,931000,911000
Netherlands Antilles,12000,16000,18000,21000,19000,18000,18000,17000,17000,17000,16000,14000,14000,13000,12000,11000,10000,9000,9000,9000,9000
New Caledonia,8000,8000,10000,12000,14000,17000,18000,18000,18000,20000,21000,22000,21000,21000,21000,21000,21000,21000,21000,21000,21000
New Zealand,177000,232000,254000,293000,304000,304000,296000,256000,251000,287000,303000,288000,286000,295000,300000,300000,297000,292000,290000,292000,295000
Nicaragua,185000,195000,286000,344000,372000,425000,507000,583000,650000,678000,721000,690000,656000,674000,677000,664000,638000,611000,586000,560000,534000
Niger,400000,428000,454000,546000,660000,780000,904000,1063000,1240000,1441000,1709000,2069000,2504000,3252000,3763000,4341000,5025000,5805000,6560000,7138000,7507000
Nigeria,4922000,5313000,6204000,6988000,7874000,8913000,10614000,12681000,14557000,16107000,17778000,19772000,22007000,24138000,25198000,25450000,25489000,25771000,26229000,26482000,26302000
Norway,265000,317000,302000,308000,311000,331000,312000,263000,258000,285000,310000,307000,298000,306000,301000,309000,319000,325000,323000,321000,322000
Oman,62000,70000,86000,99000,115000,139000,174000,225000,274000,294000,293000,306000,291000,300000,327000,339000,340000,333000,323000,318000,318000
Pakistan,4812000,5171000,5910000,6822000,8073000,9954000,11976000,13812000,16308000,19476000,20261000,20986000,22301000,24017000,25656000,25986000,25867000,25758000,25915000,26128000,26006000
Panama,114000,134000,158000,188000,220000,250000,269000,269000,280000,300000,309000,330000,342000,344000,342000,342000,342000,339000,332000,323000,312000
Papua New Guinea,227000,251000,295000,314000,364000,408000,488000,507000,567000,639000,731000,846000,906000,959000,999000,1022000,1055000,1080000,1088000,1084000,1071000
Paraguay,229000,263000,312000,344000,384000,422000,436000,505000,601000,651000,683000,706000,723000,736000,743000,740000,729000,717000,705000,693000,681000
Peru,1003000,1168000,1399000,1640000,1928000,2161000,2397000,2645000,2742000,2909000,2980000,2961000,2938000,2923000,2833000,2763000,2710000,2652000,2583000,2507000,2428000
Philippines,2841000,3293000,4173000,4804000,5478000,6156000,6826000,7665000,8409000,9256000,9885000,10154000,10337000,10802000,10950000,11054000,11025000,10892000,10729000,10533000,10275000
Poland,2022000,2923000,3499000,3448000,2804000,2534000,2865000,3224000,3389000,2937000,2472000,1995000,1772000,1845000,1849000,1756000,1588000,1435000,1362000,1363000,1372000
Portugal,796000,816000,852000,857000,861000,820000,857000,803000,671000,557000,536000,542000,556000,526000,497000,469000,448000,444000,448000,448000,442000
Puerto Rico,319000,318000,329000,328000,339000,329000,330000,330000,317000,301000,306000,291000,256000,253000,253000,248000,240000,231000,220000,215000,213000
Qatar,3000,5000,6000,8000,14000,18000,25000,34000,42000,49000,52000,54000,83000,89000,102000,106000,101000,101000,103000,108000,113000
Reunion,31000,40000,54000,59000,70000,71000,63000,61000,63000,65000,68000,69000,74000,74000,73000,73000,72000,71000,70000,68000,66000
Romania,1378000,1581000,1815000,1779000,1419000,2020000,1909000,1984000,1698000,1746000,1209000,1122000,1058000,1045000,995000,937000,862000,808000,787000,783000,772000
Russia,7405000,10005000,12522000,13344000,12022000,9353000,10078000,10725000,11703000,11778000,8170000,6448000,6985000,7572000,7753000,7268000,6470000,5900000,5899000,6207000,6364000
Rwanda,320000,368000,429000,490000,585000,686000,758000,900000,1221000,971000,1126000,1227000,1424000,1650000,1872000,1935000,1920000,1937000,2024000,2129000,2179000
Saint Lucia,11000,12000,13000,15000,18000,18000,18000,18000,17000,18000,17000,16000,14000,15000,15000,14000,14000,14000,13000,13000,13000
Saint Vincent and the Grenadines,11000,12000,13000,15000,15000,15000,15000,14000,14000,12000,11000,10000,9000,9000,9000,8000,8000,7000,7000,7000,7000
Samoa,13000,14000,18000,21000,23000,22000,21000,19000,21000,22000,24000,26000,24000,20000,18000,19000,20000,20000,18000,16000,13000
Sao Tome and Principe,6000,6000,7000,8000,11000,12000,14000,16000,19000,18000,20000,21000,22000,23000,23000,23000,24000,24000,24000,24000,23000
Saudi Arabia,428000,488000,564000,671000,832000,1044000,1348000,1863000,2228000,2615000,2694000,2698000,2825000,2857000,2964000,3024000,3013000,2939000,2824000,2730000,2770000
Senegal,319000,348000,382000,477000,570000,703000,848000,1003000,1152000,1311000,1489000,1642000,1815000,2053000,2159000,2191000,2215000,2263000,2327000,2369000,2363000
Serbia,525000,732000,787000,696000,661000,678000,711000,742000,758000,754000,670000,579000,591000,564000,554000,542000,522000,508000,503000,497000,484000
Sierra Leone,242000,259000,259000,290000,328000,373000,432000,497000,565000,544000,562000,710000,851000,940000,1015000,1064000,1119000,1168000,1214000,1251000,1277000
Singapore,132000,168000,234000,297000,281000,235000,224000,206000,212000,247000,327000,284000,240000,204000,202000,222000,242000,241000,219000,196000,189000
Slovak Republic,321000,381000,489000,470000,410000,380000,440000,479000,445000,409000,360000,288000,259000,274000,280000,267000,246000,225000,216000,218000,222000
Slovenia,127000,146000,150000,137000,136000,135000,142000,147000,136000,121000,101000,93000,90000,98000,102000,98000,91000,87000,86000,90000,94000
Solomon Islands,13000,13000,16000,20000,24000,30000,36000,42000,47000,51000,58000,64000,69000,73000,75000,77000,79000,80000,81000,80000,79000
Somalia,287000,330000,406000,458000,521000,605000,953000,981000,891000,927000,1038000,1214000,1383000,1559000,1749000,1925000,2123000,2308000,2446000,2529000,2584000
South Africa,1706000,1947000,2352000,2756000,3089000,3561000,4049000,4423000,4815000,5033000,4991000,5008000,5162000,5085000,5063000,4903000,4768000,4660000,4553000,4424000,4253000
Spain,2530000,2667000,2701000,2978000,3228000,3262000,3298000,3120000,2506000,2094000,1943000,1979000,2256000,2509000,2591000,2457000,2274000,2220000,2322000,2484000,2555000
Sri Lanka,1002000,1221000,1336000,1559000,1627000,1732000,1767000,1878000,1895000,1747000,1688000,1474000,1719000,1754000,1697000,1565000,1426000,1363000,1353000,1325000,1271000
Sudan,1285000,1478000,1641000,1877000,2145000,2529000,2997000,3511000,3918000,4358000,4878000,5299000,5534000,5758000,5919000,6062000,6196000,6272000,6268000,6215000,6141000
Suriname,26000,35000,45000,54000,63000,62000,49000,41000,48000,47000,46000,52000,52000,47000,46000,45000,45000,43000,41000,38000,36000
Swaziland,37000,45000,51000,59000,68000,80000,97000,112000,137000,160000,163000,155000,153000,158000,166000,171000,169000,165000,163000,163000,162000
Sweden,588000,618000,533000,526000,564000,581000,557000,484000,486000,570000,599000,473000,503000,553000,556000,573000,579000,563000,553000,566000,584000
Switzerland,380000,424000,411000,455000,506000,493000,407000,363000,381000,412000,429000,399000,374000,376000,379000,395000,411000,418000,420000,426000,441000
Syria,461000,542000,710000,836000,996000,1191000,1438000,1764000,2127000,2258000,2183000,2278000,2616000,2882000,2921000,2745000,2597000,2531000,2527000,2491000,2465000
Tajikistan,149000,168000,266000,382000,486000,506000,564000,615000,746000,886000,876000,855000,839000,872000,936000,953000,917000,856000,806000,777000,757000
Tanzania,1118000,1305000,1459000,1727000,2026000,2400000,2814000,3310000,3814000,4464000,4988000,5636000,6619000,7780000,8766000,9347000,9844000,10345000,10842000,11246000,11489000
Thailand,2712000,3170000,3993000,4746000,5561000,6138000,6310000,6005000,5684000,5375000,5353000,4951000,4839000,4842000,4808000,4674000,4544000,4433000,4350000,4294000,4236000
Timor-Leste,55000,61000,66000,74000,83000,91000,78000,71000,98000,112000,132000,161000,163000,198000,235000,271000,293000,301000,306000,319000,337000
Togo,175000,194000,216000,238000,304000,359000,418000,514000,597000,653000,744000,821000,895000,953000,1014000,1045000,1067000,1085000,1099000,1106000,1103000
Tonga,7000,9000,11000,13000,16000,16000,14000,12000,13000,13000,13000,13000,13000,13000,12000,11000,11000,12000,12000,11000,10000
Trinidad and Tobago,86000,102000,120000,127000,151000,121000,121000,127000,151000,140000,107000,91000,90000,94000,96000,91000,84000,78000,75000,74000,73000
Tunisia,427000,525000,609000,704000,811000,830000,885000,984000,1056000,1063000,963000,810000,764000,795000,832000,829000,807000,747000,705000,697000,706000
Turkey,2675000,3325000,4050000,4695000,4987000,5607000,6283000,6715000,6956000,6570000,6846000,6898000,6527000,6553000,6461000,6319000,6140000,5969000,5884000,5803000,5712000
Turkmenistan,110000,137000,204000,281000,346000,356000,391000,425000,484000,575000,575000,484000,504000,512000,519000,503000,465000,432000,428000,431000,429000
Uganda,722000,839000,1016000,1199000,1425000,1672000,1959000,2277000,2762000,3329000,3977000,4626000,5387000,6305000,7164000,7927000,8522000,8971000,9328000,9599000,9752000
