Exports of goods and services (% of GDP),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Brazil,7.279410239,3.86876139,9.036455012,6.385409109,7.735761494,6.8247353,5.768970982,6.000526034,6.620403844,7.029436303,6.413306687,7.259175667,8.271677798,8.013119393,7.538572813,7.03571356,7.252368475,6.675578869,7.123904951,9.052729825,9.420354308,7.609682701,11.42182159,13.54758492,12.24795967,8.816588678,9.459943218,10.88821671,8.92960968,8.199990015,8.6769732,10.8682498,10.50327025,8.456924949,7.256806223,6.566741512,6.820657469,6.932774825,9.411088649,9.978193817,12.18144648,14.09662327,14.98687019,16.42509216,15.12835081,14.36845084,13.36438031,13.6631968,10.9789949,10.87158512,11.88916767
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,90.0542772,90.05919723,93.65490174,94.63423867,95.01268346,95.06158666,93.36150697,93.1432598,89.3430497,88.27041199,,,,,,61.81131839,61.80849397,66.67709148,57.87234043,54.76334037,51.08121096,59.71684054,59.93345349,57.18543475,50.4719764,55.81633962,67.35433198,69.52530623,67.12183026,69.28925184,68.79904735,70.16844729,71.72469796,67.85311836,78.29923669,72.78271007,81.43877501,81.27721194
Bulgaria,,,,,,,,,,,,,,,,,,,,35.70780549,35.63843517,34.28290777,37.14824449,40.13116139,42.79512762,40.03363835,40.7853002,45.56566577,46.42059504,33.11919343,43.47826087,47.11155378,38.20675811,45.04756469,51.92103087,59.39021938,58.68229522,59.0944153,55.98300511,50.46241313,48.72180677,47.44515972,48.52706723,51.93084314,40.53696451,61.20932185,59.46657208,58.21740234,47.50760118,57.41038773,66.51280871
Burkina Faso,5.428886003,5.531983716,5.579492086,2.798836153,4.65259654,5.05173086,4.928506192,6.204738117,5.817213728,5.455240203,5.511467502,6.399727166,6.311797558,8.320763183,7.348254355,8.20525246,7.960266855,7.468419228,8.246134401,8.950521012,9.276410612,8.195716131,7.884149392,10.96091363,9.92146469,8.990563139,11.3588168,10.99870019,8.748862596,10.96669141,10.44754844,8.846480367,8.951543279,14.20162114,14.14055654,10.56360521,10.812531,12.80810302,9.518368068,9.076834781,9.243405094,8.815803532,8.794341759,10.73933392,9.920909303,11.38349932,,,,,
Burundi,12.93103466,13.11475371,7.518797055,14.09395953,10.3479635,10.77615982,10.80058971,10.29569557,9.658715376,10.68877683,8.435749897,11.73444345,11.0161732,9.753397451,8.275645724,13.72648388,17.59561023,11.70769278,14.16264464,8.809380565,9.143350509,10.211975,9.045580083,11.50400691,11.02661918,11.72322842,9.744902911,12.59077007,9.745743975,7.872992294,9.917377718,8.749180528,9.381960864,10.27176507,12.92634285,5.820321034,9.835580938,7.999789417,7.575757576,6.58483042,5.522607615,4.958244862,6.596136027,7.079715043,8.202499172,7.531546303,7.033421727,6.512722906,5.399425076,6.134763092,5.485552759
Cambodia,12.88888904,13.8528137,17.25490179,14.96350393,11.51315789,7.8125,8.902077219,8.579088766,6.954436494,5.764410991,,,,,,,,,,,,,,,,,,,,,,,16.05707363,25.79195939,31.18418153,25.36400674,33.61693558,31.23814579,40.54418618,49.84623523,52.5965254,55.42213759,56.52047049,63.60589491,64.08470725,68.59402347,65.32596805,65.5432507,49.2207635,54.08278279,54.08075591
Cameroon,,,,,23.75939247,20.99473487,20.62527265,22.12355168,23.38342861,26.20993167,23.01815777,20.39186958,20.69372591,25.43808981,22.68495913,22.64259686,25.05995287,23.65519781,21.0785468,27.88474819,21.86705334,33.21433786,30.39760327,33.4785942,33.44877106,23.2813706,16.69425643,16.03297487,20.70703664,20.1829144,19.99888046,20.54702225,16.17966076,21.12065521,23.57528282,23.38144448,21.42819582,21.43044402,21.50241224,29.16820912,27.49614759,25.00430374,23.95698295,22.71028811,24.46515283,29.30477375,31.01956086,31.06591982,23.51840352,25.56597181,30.67218846
Canada,17.75291513,17.7825631,18.25308649,19.18762474,18.53610766,19.3370651,20.26860949,21.19723319,21.24546163,22.31561672,21.44693129,21.67168579,23.17999938,24.51343175,22.43392216,22.14716441,23.18337534,25.047677,26.8809666,28.08231814,26.91728322,25.69005868,25.45905792,28.63971422,28.2839284,27.85299127,26.82051493,26.72379766,25.68478155,25.81373424,25.1195345,27.09342165,30.20748531,34.00391504,37.32358044,38.38712144,39.49144305,41.44417376,43.18406907,45.5785327,43.54170577,41.56326844,38.12088116,38.42107791,37.80885034,36.13301112,34.95827964,35.11716845,28.74632518,29.43060726,31.16629526
Cape Verde,,,,,,,,,,,,,,,,,,,,17.07476822,21.46913769,22.92743044,24.62794582,22.77305584,22.63847867,17.60986227,18.09904102,16.70766222,19.2254452,17.13196947,16.56407353,17.28300756,13.26083109,15.04629954,17.13695268,20.19915754,27.44172629,22.7961529,20.97594569,27.00721855,29.80941288,32.54495665,31.36435115,32.0041731,37.77736046,45.13220524,42.82535413,45.3363987,35.60888869,38.56699686,42.23914718
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,26.49006578,24.59016504,25.23659245,28.44826947,27.10026829,28.35051546,26.30272953,34.31229777,27.33466412,31.93849789,29.79923284,24.93480078,28.61804189,27.7368239,21.13034662,22.18686623,25.20439767,23.42031764,22.43256736,25.22154523,24.38345002,22.17775213,24.14899932,23.39399428,20.54330893,16.56004926,16.23383216,15.26892353,16.8449517,14.76434154,12.53839398,11.50340772,13.98549819,23.99078788,20.38786547,17.31823164,19.5159798,17.00857883,11.14785107,20.72637437,17.15594711,16.29813748,13.50114902,13.75092954,12.72761339,14.19165535,14.11124059,11.00769569,9.525508929,10.59117083,11.85406087
Chad,13.91103304,14.03038303,12.94827503,13.727622,13.50025498,13.9126155,14.36189542,14.94101236,13.20678759,16.25983697,15.91238485,14.5650983,15.72877745,18.39108074,14.40266715,16.08392819,15.3540415,16.42274124,17.77860103,16.94490673,15.10046021,6.561971483,16.41887661,18.01780726,11.9066351,13.39410443,15.44924827,15.0191433,13.78142451,13.48020825,11.95163306,11.09074639,13.32344612,16.105602,21.92901755,17.54350925,18.54383608,18.49162606,18.31812077,16.89009643,14.66578755,12.6899406,24.63296691,51.00885806,61.00235479,63.15239917,54.8,52.8,40.6395933,39.00146572,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,12.04144303,11.92182045,12.26463059,12.60988962,13.60544218,14.80932988,14.26940639,13.97738952,16.45623493,14.61295419,11.02856705,9.82187448,13.65382542,20.38232612,25.43768625,25.12495983,20.62094266,20.58267366,23.27683516,22.81990502,16.41762447,19.36858554,24.0096037,24.23391277,28.14750689,29.08959353,30.12732525,34.24779743,35.38887949,33.98603476,32.39637932,29.81192677,26.62315803,28.23788939,29.30278588,27.27677488,27.08376461,26.29991077,29.59801438,29.28715138,30.87198151,31.54330541,33.92225271,37.85515411,38.38236955,42.50489291,43.88091567,41.50668497,37.03443743,38.06155983,38.06753913
China,,,,,,,,,,2.609658847,2.76069824,3.18474132,4.330631826,4.975581128,4.591018449,4.814424404,4.693963765,6.603506083,8.518141133,10.64783566,12.57527183,11.67025534,10.19102379,10.41128712,9.212934962,9.999601119,14.48780634,14.83316445,13.9028079,16.07398949,17.36586111,18.64780893,19.64967613,21.26640659,20.2250747,20.05385556,21.75388803,20.34659897,20.16989305,23.32640567,22.60021221,25.13333351,29.5560886,33.9517253,37.08125479,39.13380833,38.41398138,34.97950937,26.71271302,30.6145489,31.37390004
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,12.95578027,12.19137696,11.97623121,11.9199757,11.42068108,12.1127855,11.97638016,12.98421413,13.2264231,14.31067766,12.82988851,14.23945516,15.21631826,14.57888681,15.79825627,17.09658565,16.89875711,16.60276691,15.22521931,16.21145821,11.85208819,10.93181533,10.44484862,11.87579493,13.81425983,18.83724644,16.95297828,16.28968816,18.00126168,20.56542915,21.34318258,17.70846422,16.42893196,14.99836183,14.53374289,15.1994617,14.84154374,15.00735084,18.34657875,15.91513972,15.38713577,14.81556968,16.57529971,16.77075142,16.84991592,17.63749746,16.53923243,17.78948399,16.03080966,15.92045565,18.95369214
Comoros,,,,,,,,,,,,,,,,,,,,8.699318299,11.7580757,15.68627086,19.82774819,9.018906391,16.99781893,16.44037729,15.24519592,17.98498354,14.88240919,14.25213738,20.0114893,18.04053479,19.96998606,20.0734315,19.76339677,18.32368373,18.14294638,11.35431204,12.7113697,16.73669663,15.52121638,15.7312271,17.51592582,15.11393075,14.14389467,14.19671882,14.73080191,13.90981033,14.66632205,15.63318825,15.3150902
"Congo, Dem. Rep.",9.857812448,7.749461054,31.79652975,33.50286038,25.92305925,31.11946015,15.55093766,14.51582039,13.18203295,15.45995826,12.13879884,11.25110272,13.44157872,16.18110676,9.963134762,12.15317872,10.32819466,12.34875225,12.64879749,16.47847393,14.14090063,12.14958933,16.23824275,26.01301076,27.51106859,24.71098029,25.98135782,25.49899624,25.48973974,29.50380373,20.38013365,16.67806077,11.32799094,22.62527448,28.48228888,30.00276338,18.7500003,29.79008828,23.63567001,22.39188166,18.63457641,21.10334812,26.64195544,30.67507685,33.61753494,34.20510993,65.16437366,61.3007213,45.20530472,68.33612962,68.27663167
"Congo, Rep.",19.45955548,30.48959737,36.47289904,38.1526018,36.00822304,29.88929889,30.47945727,30.38583601,32.07549032,34.73682895,32.58172517,28.30917874,31.62251656,53.22918382,35.88807786,40.37715474,45.58499468,43.72143722,47.41176471,60.01664817,58.02104486,55.26760563,57.94544545,61.62754304,56.7882159,39.83370093,41.73430613,40.62215478,48.52420202,53.68024672,45.06673605,42.86611798,44.21918169,62.99603099,64.70457016,68.45821343,75.59663937,76.27762977,72.29007107,80.29714722,77.42002685,81.51642548,80.8123656,80.52979283,84.15817311,84.15967781,78.52948416,75.15148738,70.41798479,85.11967127,87.28304928
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,21.77991574,23.58936717,22.87759055,25.26186572,23.46951667,25.13291634,25.44508961,28.3983859,27.14268099,28.21978779,27.25234701,30.66895443,31.12060051,33.53057437,30.06200738,28.90895445,30.86891024,28.18119003,26.92283148,26.47788371,43.26835587,45.08389789,29.92263265,29.00421722,27.12023186,27.02579517,26.67870085,29.3484766,30.26984484,30.21885594,33.56068143,35.21624776,35.77347077,35.56101714,37.55544883,39.31493466,40.74751849,47.46391068,51.74490286,48.62292161,41.47720072,42.38635644,46.6691075,46.25595446,48.50005334,49.12906013,48.71106421,45.43520025,42.280301,38.05935703,37.38405774
Cote d'Ivoire,35.29251943,34.39262457,33.93545169,35.88603004,36.8234113,36.40699068,36.22371933,40.69987209,36.76179757,35.7693255,32.20999269,33.51212082,35.75389081,45.69688757,36.72858255,41.74147026,42.62604184,36.52120307,34.60332237,35.00162933,35.17500349,36.42322868,36.95985992,45.3119277,46.77491298,39.49590841,33.4299902,30.48812849,32.03333564,31.68987467,30.01172635,31.90948693,29.44245287,40.52740186,41.75929966,41.10099509,41.41979922,39.41334819,40.3505368,40.42768347,41.84292571,50.02829421,45.83661086,48.5557976,51.0520459,52.65058265,47.81593,46.51204624,42.19507198,40.64433533,43.74003291
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.65150657,59.63229706,52.39089452,45.84373962,33.12761077,35.89262193,35.67513736,35.29915868,36.52940903,41.68604682,43.42826819,40.92579484,42.56618566,42.93230483,42.34924965,42.84123557,42.28488918,42.0644641,36.59968822,39.35816934,41.77999662
Cuba,,,,,,,,,,32.62535906,32.62576133,32.62630507,32.62411648,32.61374888,32.6368635,32.62777273,32.62902375,32.61317358,32.56191083,32.75243663,32.58231888,32.63527882,32.53392274,32.30559705,33.70506566,31.7317301,32.90007854,32.02714236,31.16396861,30.23904545,21.93117964,16.91826684,13.19420981,13.23971393,13.4015117,15.31340313,14.92379623,14.25246536,14.53712811,14.13012184,13.23536374,11.52710298,12.95182653,16.02186227,21.01786409,18.71313429,20.33649867,20.56763948,17.93649825,19.61354547,
