Exports of goods and services (% of GDP),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Lao,,,,,,,,,,,,,,,,,,,,,,,,2.764227723,4.037559013,3.613744056,6.092436844,13.62861981,12.13067521,11.32876329,12.95372648,17.02575542,21.46161926,24.98694072,23.22038891,22.69874962,23.89222479,36.45587276,35.87584152,30.09584692,28.48836029,29.38452051,29.68558157,30.55276261,34.15752654,40.39814945,34.49914783,32.016149,30.88155367,35.54263191,37.68051451
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.70980141,35.24856096,79.94409448,73.23790048,46.45777234,42.67276462,46.81577322,46.84666985,47.18030183,40.36807468,41.64179343,41.57739299,40.87473354,42.07091189,43.9601886,47.84912409,44.8843496,42.34600444,42.81595421,43.88745677,53.81151835,59.31572629
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.35950315,18.00284432,13.20865479,11.37779583,9.674738945,7.870608735,10.80645488,12.84632,14.53195876,13.76343264,14.06398963,14.17755573,15.604916,16.09864228,16.73658134,20.05967059,21.38370505,21.2528824,23.01644031,24.42827214,20.6217934,22.17457339,23.74430165
Lesotho,12.54901961,14.3812709,14.88095238,15.3638814,15.56122449,10.86419753,12.04819277,12.07564365,13.58234295,12.21995927,12.79707495,16.07717042,14.26872771,13.65853659,14.46654611,17.91277259,11.89767995,17.25625539,22.10397053,21.00565308,19.29133858,15.81805683,14.12067855,14.41661944,14.06066233,14.08395457,13.20580546,21.21977957,21.74073906,18.08626065,19.01966064,20.59779265,24.1429502,25.03429904,23.68813125,30.63995605,29.71809294,29.34816549,29.62467166,34.21843337,46.48035598,61.08641025,54.88657419,56.3685014,48.87304367,53.54442135,52.10260762,56.27882293,45.81619256,43.80931136,46.39827948
Liberia,34.5800748,36.58883481,38.70556292,61.93786138,62.89780682,67.98673508,78.72830713,84.31451856,89.22927432,74.31142127,73.72423347,74.65405194,85.25241428,83.62168577,69.89879333,78.28375952,68.2010195,69.71162898,68.00415777,71.77859443,69.46130312,62.38910114,59.14681999,55.51115167,54.85754099,55.17474832,,,,,,,,,,,8.786752281,10.78976649,14.55409556,26.13914599,28.56137767,35.71367911,91.51394621,26.45942207,23.81697295,30.80652478,32.37171193,34.36582383,15.26439928,19.14365233,27.48452983
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.67623702,33.83142189,30.58903679,28.24474925,27.03521621,29.17602996,28.65353038,26.78634532,19.36901585,23.86307377,35.63056188,31.85624564,46.21031746,62.38501027,63.25502122,66.43285411,71.30306409,67.5594924,67.3843117,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.08955224,29.63855422,23.35290664,82.54443679,55.3762408,47.41164042,49.96825557,51.57868094,45.05600206,38.62984357,44.74711829,49.78483415,52.70587151,51.15468211,52.05206562,57.53215358,59.08376091,54.09170652,59.87738738,54.62957657,68.5767761,77.7786163
Luxembourg,89.01087595,81.78585848,79.50808941,80.63047519,83.00136797,79.46322545,80.7670299,82.82834973,86.70251955,91.44151344,90.68180667,85.26783379,91.90237696,105.5885995,95.13556068,90.6606639,89.35890939,86.18696759,93.54035182,91.06792812,89.14041572,91.56509464,92.83456369,104.00041,111.5775739,102.1088226,99.26611029,100.8601192,103.687941,101.5482046,101.4389463,100.4134235,100.6845383,104.0196256,106.4018639,111.145652,120.9226122,127.5244795,134.2833147,150.0145465,146.6371289,140.709961,137.0333939,152.3911895,155.8370637,169.8901047,175.8974099,181.7796984,163.5398942,172.3667164,176.4903366
"Macao, China",,,,,,,,,,,,,,,,,,,,,,127.1357716,128.6655908,129.3179378,120.93287,123.5183861,123.6166117,119.3926873,117.0306611,109.9681987,102.9876907,91.33484339,84.88505292,82.23949979,82.70395269,83.44426783,83.69599012,84.59521618,86.95570555,100.4228954,100.2966059,104.1463865,105.5495538,107.1110939,94.60177734,90.06773232,93.4905885,97.05710421,94.14157064,106.2945111,112.3633336
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.81947054,22.9076149,54.34522323,46.75010236,38.1943733,33.01121025,28.18024299,37.31219233,41.20649876,42.17177335,48.63065273,42.69268435,38.02970696,38.06304711,39.93767938,44.13459322,46.62234151,52.36075608,50.89690194,39.01963849,47.58049371,49.39779926
Madagascar,14.60474921,13.75502923,12.78044804,13.30279747,13.21170445,17.29471534,17.5142528,17.75033868,18.10926958,19.16033773,14.4446684,14.26297437,14.24785582,15.52616127,15.85951839,15.16374183,16.44499125,17.15103829,14.57538181,13.34275567,11.50527276,11.22469004,10.5705515,13.28297236,12.24165481,12.14855791,16.56455034,16.29924254,18.44881395,16.60214882,18.10962522,16.383779,15.31751945,22.03226938,24.13448467,20.49243353,21.8661423,21.5205757,24.46541817,30.67932053,29.07857445,16.00837948,23.08574441,32.63643678,28.21640011,29.73209236,30.32365474,26.59250237,28.82573365,23.76375922,26.06117805
Malawi,20.60946271,21.40672783,21.86353632,19.48238677,19.46308725,21.50537634,24.05322416,23.83749388,23.47629797,24.24617926,23.45191041,23.28725038,27.63736264,28.01733478,29.12969605,30.44117647,30,23.19220589,23.19259774,24.84329838,25.66555439,22.49518304,20.75156669,28.37062306,24.19147554,22.91070894,25.45252856,23.32220552,18.7799093,23.78207359,23.27158354,23.20622533,16.13030205,29.63282211,30.3684814,22.82575284,21.35650942,32.77016205,28.02228058,25.60365249,27.99122635,20.80266364,26.69671517,24.95985935,24.04686159,22.61955872,28.3287712,28.18877426,24.6489341,29.37604345,29.58560696
Malaysia,46.09596041,44.17229668,42.5635959,40.84084342,41.82729548,40.20892206,37.33796503,39.44271119,42.89976709,41.40788853,38.22108632,34.01669532,39.18477537,45.63175588,43.02276144,48.94697584,47.36152638,48.32339255,55.17866618,56.68654275,51.55823812,50.13025274,50.41550944,53.45964338,54.08874761,55.45694041,62.89449732,66.41550121,71.37684812,74.54169592,77.82612721,75.98386152,78.92074246,89.15122903,94.08959516,91.57579314,93.28944692,115.7437334,121.3113911,119.8097087,110.4024914,108.3053028,106.9434461,115.3733377,112.8991845,112.1849169,106.1693733,99.49983635,91.41666363,93.74591211,91.55748347
Maldives,,,,,,,,,,,,,,,,,,,,153.5433562,166.3635019,159.7969159,132.6306107,77.16645078,71.64488259,68.07510349,78.71508637,75.85530938,79.19365005,85.45299645,76.9300869,78.02659274,67.12858684,77.73587242,92.65773727,91.71288436,91.22254541,92.4309165,90.50591267,89.47284827,57.86199763,59.79165846,61.47118436,64.02626604,48.82102191,59.62570327,105.1053589,95.34091331,82.66087376,96.71886292,113.5085733
Mali,,,,,,,11.36164067,10.22256993,11.20363202,12.46955562,13.41591099,10.02927277,10.18791935,12.72372535,9.661185026,11.005708,12.75569509,11.59798482,11.99242118,14.69700373,13.42787919,14.32878225,16.13707597,17.79598654,16.75926383,15.30968767,16.5561591,16.36907542,16.65948593,17.14942342,18.2364305,15.43397512,15.83832257,23.00623035,21.11179665,20.03381013,26.11792116,24.78636454,26.45091077,26.78220132,33.296959,31.87500922,26.42133041,25.37520649,25.62191208,32.11269483,26.17518248,,,,
Malta,,,,,,,,,,44.1808667,45.5107661,46.52572073,57.8978287,74.64138519,73.69200132,75.41418136,76.9238286,73.5535236,79.38917954,80.93356882,72.53552452,61.59885447,59.80599585,62.4184565,64.5000329,64.3349147,69.58023604,70.40500474,72.13422755,75.8336232,77.37196437,81.75957827,84.81218357,85.96184288,83.08336711,77.42134285,76.27575229,78.87560919,82.88444591,90.55706858,80.45484429,83.12209061,78.83166248,78.41267739,76.81433198,86.48653975,89.21926271,87.77869105,78.7763923,88.1840453,97.98373221
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,14.34019771,14.53453068,25.1982932,43.53881478,42.19499494,42.99815783,41.60739478,38.00216342,38.84045169,40.81239248,40.22033706,48.22486671,46.83330132,48.29591993,38.44037072,37.94484324,32.78007377,33.3667173,33.1855607,36.82315258,45.06645848,40.0644792,45.73718715,45.58724622,59.90893878,56.15324891,49.08930177,50.26847011,49.83239674,45.64190624,34.74317456,31.49400631,34.6632764,48.54022248,58.02733729,55.78221821,44.83489779,30.85586628,27.23883384,29.96143443,29.3975729,28.33830696,21.44964549,25.64941146,30.72416694,47.807779,43.17561491,58.96263677,50.24153185,62.01006203,74.10663754
Mauritius,,,,,,,,,,,,,,,,50.55292591,48.6014046,43.04383898,42.49164348,50.95300809,44.53813125,46.95837136,46.44750613,48.46630243,53.30236578,60.24942147,64.29515791,64.45396933,63.93468292,64.95689655,62.30528893,59.30459745,58.24253936,56.72276007,58.6575877,63.58556983,61.46210553,65.68373843,63.93519691,61.38569565,68.45676379,61.81901098,56.67803777,54.02084255,59.85487294,61.61466118,57.86382001,52.93318631,48.96095259,52.52589337,54.13011658
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,8.416077888,8.557250555,8.331765737,7.636821162,7.637845702,7.465729319,6.868679077,7.037058326,7.538179615,7.749879916,7.640236648,8.064080577,8.413335064,8.411406916,6.894142429,8.490028544,10.31762551,10.46918884,11.19091537,10.70529843,10.40875567,15.33109898,19.00240487,17.38113668,15.41489157,17.34074123,19.49826778,19.92787403,18.99694164,18.60079267,16.36487066,15.23779325,15.24761386,16.78871487,30.36237365,32.07649964,30.26688826,30.69435993,30.73750869,30.93905966,27.5590038,26.82257791,25.35489778,26.60531815,27.10142825,27.96842049,27.92758653,28.04789633,27.72170936,30.30954705,31.66823636
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,3.38028169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.22463345,32.43243243,38.93511123,21.12308247,38.24205553,49.34582592,55.26713093,54.78709105,48.5282925,52.08641852,49.77801408,49.85354864,52.74042712,53.48120396,50.7067987,51.14430437,45.25596575,47.45246223,40.81904378,36.87212252,39.22521538,45.01759271
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,23.87088343,26.25875766,26.60817064,29.17961263,26.72974898,30.17820837,30.803297,28.44898862,22.48677544,18.2747015,54.06845998,28.93299325,59.33218993,44.63069351,40.54137212,35.52432564,52.66634508,47.84351451,50.15844062,53.99675147,50.31834099,50.72661598,52.35204953,60.78777492,58.76938379,59.44326508,59.61444843,54.01703592,50.27799933,54.69989518,62.34172847
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.81499185,38.42375106,35.36268834,30.61181379,42.02161995,46.80234531,48.45260528,43.71465784,38.83374024,32.07707771,34.7113831,40.17631089
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,21.75397253,18.02026597,17.922214,19.4901494,18.16353887,18.96125309,17.90347691,18.48384174,18.37761784,17.63698117,16.9533203,18.57399871,20.836714,27.55664878,22.47287908,17.91505336,16.8959627,16.37088878,17.01013813,17.38831151,20.17048294,19.24902339,21.27267061,23.82431245,25.34946478,22.00604168,23.60826232,25.93008008,23.5979965,26.45157549,24.11112294,25.07515206,26.0655176,24.89181688,27.41926078,26.28128407,28.46096796,24.41172262,26.32267968,27.98228689,29.41144741,30.15158522,28.66477576,29.37041474,32.31377409,34.20127342,35.74857121,37.47806104,28.7038415,33.000437,34.59230351
Mozambique,,,,,,,,,,,,,,,,,,,,10.861856,9.949562045,8.313642066,6.117053429,4.145656684,2.859610753,2.524707541,6.64118328,8.070918137,8.223468134,8.174069035,10.15558232,13.05457303,12.93435405,14.07262135,15.60108965,14.78647789,13.35393004,12.24917262,13.16647572,16.48020546,23.38529495,27.33869423,28.8854919,30.87775654,31.72793024,38.35786836,35.35039071,32.26696971,24.78881276,26.28441961,28.90171851
Myanmar,16.49302494,20.54186783,17.93980552,17.215425,14.4937052,13.77795903,9.540075784,5.524032807,5.567322922,5.214426017,5.595477525,6.16412937,5.794631413,6.015814711,5.401030752,5.304991603,6.327233466,5.484276641,8.221775213,9.098914972,8.861940299,7.019717736,6.76996575,5.845476341,4.583043478,4.098055215,2.409094923,3.116351275,2.934240106,1.943249174,1.566307499,1.439485282,1.173343635,1.14329444,0.83227363,0.6929467916,0.5758774606,0.4179463478,0.3215511889,0.4946463261,0.4607617025,0.354739474,0.1829688039,0.1839093576,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,78.92243931,65.30373832,61.74668029,53.88552815,54.6705588,61.49006623,67.22063037,55.47093171,54.45339946,58.50615114,51.91580332,53.12409183,52.19325343,51.9028166,48.48878497,49.48843066,50.58290587,47.52552086,45.96838576,46.16128408,40.87741935,41.17242509,46.00338696,43.38676817,39.81114834,40.45087381,39.85155845,50.73371885,54.15512845,48.15602743,42.55333264,42.62641305
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,7.765084076,5.644810959,6.874512792,6.845113437,7.013149712,4.90419708,5.403893256,5.661104973,6.61049223,5.449719144,8.901092759,10.77383014,11.78819407,10.57165984,11.78482946,11.54126236,12.90145416,11.59158413,10.23104303,10.6524501,11.52921437,11.66229991,11.81327508,11.44716927,11.06760466,10.52730912,11.49075129,15.95972613,18.43296411,18.99393793,24.97315898,22.81757512,26.32783507,22.82205122,22.84847209,23.28400371,20.79661351,17.73712952,15.69994576,16.682658,14.58368679,13.44718716,13.04966702,12.11733349,15.25531433,9.575271074,8.900491445
Netherlands,46.60737373,45.94260423,46.03269184,44.61095862,42.81078663,41.65148079,40.46763101,40.93762636,42.45680874,44.75918241,45.03300205,44.9886861,46.83882667,53.35417939,49.07559726,50.08358189,47.19942568,45.2093773,49.65478548,52.31006003,56.95050333,56.96151295,56.63780272,60.58682604,62.14951177,52.68900373,51.30387688,53.67583193,57.0942821,56.45387684,57.17416221,55.37627796,54.58366091,56.7868077,59.36526448,59.6312802,63.3160646,62.56235102,63.04024154,70.08230453,67.27610999,64.1532714,63.00474898,66.39283853,69.62370984,72.8366061,74.19535375,76.27527204,68.56699259,78.21670007,82.99707794
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.48762379,16.90891998,13.71048336,13.11114971,13.59617687,15.56380927,15.34627819,16.4920122,11.99030623,13.08238566,,,,,,,,,,,,
New Zealand,,,,,,,,,,,22.60743177,24.60470294,24.14452033,20.73303131,23.27426807,26.89260451,26.40103797,26.90261757,28.93875165,29.12471762,28.2614652,28.05276466,28.6004275,31.80411411,29.12519076,26.34743365,25.77841764,25.9462874,26.07459289,26.5286792,28.91107188,30.92721203,30.27296944,30.32373571,28.6902391,27.73045328,27.7024982,28.9812199,30.15523422,35.02612143,34.58865102,32.0476296,28.6806819,28.61388663,27.35933012,28.62061164,28.31477826,30.82337042,27.91475698,28.46336332,30.03456637
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,23.40189562,26.43155771,28.82429092,28.87396634,29.30051867,27.11517043,26.46189259,26.68486856,24.38595822,26.73240089,26.29968981,35.28925154,28.21031937,29.07488934,28.04275751,32.99472073,32.09133352,34.40969822,42.02458021,24.22880036,22.34416571,15.97882151,19.4003056,16.44303871,14.76619964,12.77631327,11.77068287,17.98087853,32.53679354,24.94835351,21.82198402,17.25122713,20.42792688,13.13987697,16.09508641,16.84735802,19.41954522,19.33444057,18.53027961,20.10816583,19.04191082,18.84713582,20.70499893,23.05985573,24.38213093,27.03885878,29.0760976,31.90969847,31.17881283,36.9713471,41.09306311
Niger,8.121235152,9.283574932,9.311149977,9.266660513,9.484851029,12.45271436,8.429535614,7.977598564,9.357655989,10.77238306,12.36783976,14.21370631,15.51476948,12.27056307,19.24652939,22.26365398,19.64259194,22.53064788,28.54114855,24.58490671,24.15663648,20.9653102,20.82666305,22.91307617,20.68912316,20.00303181,20.80167005,18.30094165,16.59715229,15.01332601,14.05215929,16.75514182,15.64217512,16.53197328,17.15498538,16.94646918,16.39163798,17.76856402,15.89409196,17.79912527,16.92145863,15.20359598,16.03149606,16.07762897,15.03813819,,,,,,
Nigeria,9.185127308,8.269141369,8.779166096,9.202128662,10.89344868,10.41382647,11.07732874,9.927321669,11.39106947,8.407074708,10.83428109,10.96812781,15.91792092,25.17853499,18.33875199,18.21581607,24.87241328,19.55260311,24.81613535,29.37517447,22.52999953,16.34323355,13.61227764,14.85080438,16.0984037,17.09507047,28.61000138,23.12194047,32.69426673,43.43097872,37.21676496,42.23878647,47.12120586,41.75570396,44.28773897,48.14499783,44.95152656,33.52500269,36.89762235,53.97695944,42.99423334,31.86742244,42.70272738,43.95148654,46.53743932,42.86761803,41.01997583,42.75459592,34.98743603,35.20435133,39.6155063
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,34.95089395,33.77229493,34.46614316,36.02150609,35.71887388,35.81114982,36.79378497,37.86115793,37.14581374,36.71846646,35.02932164,35.23319259,37.72968273,40.25751592,36.4477526,36.34111035,34.65135957,36.37999221,39.6896737,43.24082136,43.27808063,41.48312558,41.84226845,42.92377912,42.73811075,34.23554718,32.37448765,33.05984615,38.01112437,40.14605678,39.94162895,37.87152866,37.91623027,38.12054296,37.95907941,40.78078276,41.36046641,37.64662037,39.3909028,46.5363526,45.76445763,41.12981276,40.33115166,41.79906345,44.09116921,45.3716318,44.11936985,46.76289907,39.42613911,41.1445903,42.09444664
Oman,,,,,,,33.7628866,70.13977128,74.6,73.68913858,65.7873701,59.375,67.82762692,73.72035455,67.55039913,62.3317856,58.30163977,58.32012087,61.06241586,62.65911408,64.68711243,58.54602324,53.651595,50.28061361,49.82783205,39.24652258,48.87793938,40.00620251,,47.23007412,43.06549256,44.71689048,43.05104502,43.001228,44.03534883,49.8101901,50.03694879,41.96959085,48.68760348,59.18158962,57.27136424,49.33194967,49.9698177,51.56529988,58.61314483,56.78750618,56.72521879,58.78993473,52.64150943,,
Pakistan,,,,,,,9.170747477,9.159165928,8.664317901,7.768792242,7.142331393,11.77431686,13.52682824,13.68056459,10.85361625,10.72160504,9.284637882,9.240688477,10.69262308,12.4872847,12.31717104,9.945594906,11.91851138,11.07038959,10.42334879,11.90074831,13.23483006,13.5864232,13.88311014,15.53830689,16.99694312,17.35930183,16.30647519,16.28251545,16.70996966,16.90310178,16.08195323,16.48479118,15.35349933,13.44132462,14.65953961,15.2236172,16.71896741,15.6668995,15.68949543,15.22981476,14.19346254,12.84804936,12.85914448,13.57410503,14.15537215
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.39234393,32.62543814,23.31800756,15.08494259,14.56156746,12.85269355,10.43343079,9.456188203,11.96105212,9.600961097,61.05121294,65.86915575,69.52121765,78.2884097,77.2010892,68.93764287,70.17516798,83.85326252,85.11031366,91.26932171,103.2520379
Panama,,,,,,,,,,,,,,,,,,,,98.1864945,94.04549354,85.77245157,71.16866657,67.19738362,68.60977416,71.12599533,71.51091641,75.20361063,78.90332481,86.78197696,96.80091745,100.0105399,97.03834434,99.78536056,100.6969302,83.43184476,90.10511702,79.17768123,66.53980779,72.5751904,72.72072835,67.45950262,63.59756286,67.60912034,75.48934024,76.71471086,81.19721249,85.19189969,81.49800042,76.95396439,80.79864516
Papua New Guinea,16.10247027,16.20926244,17.41071429,18.3052091,18.02798568,16.7860212,17.36814993,18.85964494,18.91508255,18.47674815,21.36995597,31.20904893,44.87811104,46.8844841,39.97878792,41.77373025,44.97497223,41.93643547,45.47960718,43.18248427,38.24054057,36.83398308,36.19603471,39.44281581,42.11459624,43.57967275,43.16645095,43.25100299,40.6474702,40.62479579,42.26481118,47.84987052,52.64325911,53.53460812,61.0389865,59.40450781,49.15752254,54.04149029,63.11836391,66.17835957,65.32996777,60.91581069,69.41796642,72.16404946,73.63026015,82.08265016,80.94808224,74.56989184,57.77091503,55.85211637,50.98852316
Paraguay,19.21729151,12.62950047,11.55975145,12.25663298,14.95780325,13.24633911,12.21845666,12.35536443,13.57767557,14.91708586,13.3753698,13.76691245,14.96368664,15.50845782,13.20895435,14.66022577,19.45397027,18.42023621,16.05824636,15.30973599,11.51646605,12.1405321,13.25021439,15.88047884,22.09923196,26.48718435,26.35458677,34.42388218,35.69937684,33.24740516,30.17048871,28.07129118,36.93057698,53.99810219,59.42774119,50.34299626,44.03592235,50.23729023,36.75622645,38.2291416,34.77194552,43.42772324,45.70171848,46.89242198,50.23697369,52.71910802,51.2782051,50.91940921,48.36216484,51.59945899,48.53203779
Peru,21.37535086,20.5106887,18.95004179,19.01747621,16.09792305,15.98746082,15.84429857,18.60249867,17.94129914,17.8928566,14.21709999,14.1247833,13.68903889,14.49913819,10.85061531,12.0488811,15.89670612,20.73318267,27.74132504,22.40206354,16.09446131,16.52620415,19.70797506,19.3476003,22.96744946,13.94270616,10.96843373,18.83763119,12.38840438,15.7635542,12.64801422,12.76475772,12.19142988,12.24783227,12.59479661,13.29872222,14.3592895,13.13596431,15.03300334,16.00130576,15.65460251,16.07388782,17.72263007,21.45467254,25.08932568,28.53011309,29.00936886,27.25071661,23.97778957,25.49829658,28.67962025
Philippines,12.59242822,16.94768482,18.61723689,18.18491683,19.38364947,20.44778519,19.96481641,16.90296631,14.72687678,21.5764694,20.45416387,19.68046342,24.76696564,25.02111283,21.01806392,19.326945,21.0586383,20.66738815,21.56086742,23.57260953,23.83379025,20.33438742,21.33972044,24.02413052,24.01557661,26.32820211,26.64214868,28.39278162,28.11201974,27.51622902,29.59725515,29.12976792,31.35961239,33.82569412,36.35728306,40.50665724,48.956482,44.7642293,45.48930623,51.36929375,46.02685204,46.74700517,47.15705519,48.57264858,46.13698479,46.57805687,43.26079826,36.91204053,32.23235348,34.80329295,31.02013528
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.19559325,21.50853959,21.67083928,20.97393469,21.61797246,23.199554,22.30846803,23.40803294,25.98127482,24.19151314,27.1243911,27.05602106,28.63483795,33.3138826,37.49234753,37.0850461,40.35504622,40.75728051,39.8991871,39.44395331,42.24585833,
Portugal,13.4718076,15.26210142,15.93713657,21.39173068,22.43474137,22.68234191,22.79720835,20.96030146,20.4586329,19.39486845,19.94292521,21.65558326,21.25228508,21.36433838,16.2209518,13.86272603,14.64968696,15.99625824,21.51238867,21.77481422,20.63345766,20.99170529,24.91706348,29.61414777,29.6778475,26.38204964,27.74574303,28.04828855,29.90404174,29.60362096,26.94295585,24.82295563,23.95164579,25.50790255,27.16843748,27.20945326,27.75564803,27.92714029,27.08353348,28.93472901,28.07510313,27.60082751,27.62272978,28.04493931,27.65881867,30.90514835,32.18660376,32.44615314,28.03251681,31.01939715,35.50913059
Puerto Rico,45.35412683,45.4976366,46.11087342,45.31201447,43.68494517,46.36254747,47.97183106,47.17951168,46.6204839,44.30540588,41.31085219,40.15168111,45.11946045,52.95908724,48.0971897,46.80998454,60.78762009,60.32064545,64.537254,65.12908368,68.36302857,70.41612301,66.05176841,67.39586488,67.54479937,66.60309179,66.33804864,67.08851421,71.70673724,,,77.49834827,71.8033638,71.47481016,72.02661756,67.69795195,66.44123311,70.04644421,71.89882609,74.79270945,80.52660468,78.33125999,84.14359045,84.21362882,82.78441585,84.29312828,82.46883536,82.7304032,77.8407176,77.91259759,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.87575813,44.33866821,43.72574226,48.28080956,51.09563091,60.04078828,67.2833586,65.89285714,60.34277283,61.69758239,64.28732502,67.33879719,63.21659522,57.33877624,50.71941759,47.09631648,,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.72689125,17.60061709,27.79141511,23.01629966,24.9013535,27.61649809,28.14103179,29.17682938,22.62164566,28.01800219,32.6913315,33.39410332,35.40243588,34.69487615,35.92703369,32.9227624,29.55487147,30.72413488,30.98396497,33.32339666,23.48656844,22.33236038
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.90226878,18.16206203,13.27136217,62.32246186,38.20459448,27.75837904,29.28946447,26.07331408,24.72998933,31.22147855,43.2202687,44.06072054,36.89342099,35.24933157,35.24998177,34.41789105,35.20306596,33.73047544,30.16406048,31.30956033,27.9381012,29.95013716,31.05139985
Rwanda,11.47540839,9.27999943,5.9375,12.00000047,12.09677586,11.27936905,10.51203171,8.739836117,7.678853476,11.50522873,10.21142675,8.281938606,11.59836167,12.16875762,9.171881686,14.57895343,14.26776605,14.78099795,21.04606311,14.4365216,9.825505522,11.55255878,11.58176752,12.63143363,10.78250667,12.58431789,7.450052531,6.619559833,6.139288957,5.614609178,7.31660444,5.568408197,5.175245964,6.30258592,5.150791919,6.031370025,7.797339371,5.585063573,6.222051113,6.319815445,8.478552336,7.035364936,8.453400504,11.12400531,11.42440447,11.05772167,11.16450232,14.45654703,10.13562794,10.04622995,13.42351583
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,63.81660471,63.35135135,59.70287837,66.89814815,60.37982973,49.81458591,48.91371819,55.05023797,55.36562203,61.43981117,63.89934954,59.32748538,55.28955533,51.74936875,58.93989105,61.65792564,58.32077634,54.646729,51.15409053,49.68325792,53.18059299,53.76774194,46.99161115,36.04199246,33.57389981,32.09957753,35.82219413,38.98088501,42.25478879,37.44334498,33.46059721,31.08607572,24.61450016,29.60629384,32.70298254
St. Lucia,,,,,,,,,,,,,,,,,,,63.12209094,66.95630448,51.76616552,57.78328284,63.60629015,52.64215883,61.39990018,74.05511811,74.55228898,87.37935005,80.18975983,72.55926365,69.92369136,67.74111069,67.65852824,65.6920196,67.54502621,62.34632488,59.34212175,58.42857595,55.16186483,49.29953036,46.28222297,44.14650148,49.92961199,54.09050735,57.77459587,43.23949642,40.36765987,45.62678707,46.33598793,52.02909664,44.43311696
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
