Angola,,,,,,,,,,,,91.91276751,101.6039346,116.7156962,142.3864997,147.4924476,64.47601925,62.80804916,61.10424133,63.79064559,66.25516014,64.03547515,65.93331724,69.14127246,57.14446382,66.63984891,64.8021528,63.48693686,62.35931519,61.08764057,60.9647291,62.61307551,61.53002729,59.79516989,58.24532385,56.75363273,59.10723184,80.60110443,85.70857471,84.45210788,88.61803973,97.32168634,101.2321572,112.6380619,102.7745691,128.3819952,170.303139,157.2871723,204.210437,225.132287,246.6606688,248.4577927
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,1753.778361,1678.100785,1587.215821,1548.057803,1486.401602,1428.784935,1375.001438,1325.200998,1279.593956,1699.0505,2274.918645,2648.095858,3095.887164,3310.510178,3286.391291,3238.70051,4220.660898,4312.937164,4328.449646,4355.288815,4505.697381,4854.101164,5306.59534,5619.932491,6430.44308,6875.783029,7673.344003,7802.303808,7414.460972,7576.830691,7201.118208,7381.490559,8542.36828,8564.372764,8400.96244,8332.065642,8467.911074,8399.116534,8605.476673,8547.840697,8506.513953
Bulgaria,,,,,,,,,,,,2292.653983,2486.06609,2683.109679,2842.231221,3035.636188,3247.551349,3437.797692,3648.387027,3772.289411,3973.690788,4125.353429,4397.890565,4582.125337,4772.2946,4678.285823,4646.260939,4838.620325,4940.518487,4963.178886,4758.731903,4361.144516,3735.525454,3807.696906,3825.386616,4211.125131,4350.443259,3970.131139,3932.401784,3613.367267,3673.606871,3853.729831,3838.485459,3973.256666,3939.000877,4121.629478,4311.327935,4455.750856,4594.278533,4400.583194,4476.467521,4863.691441
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.37146926,19.83659872,24.04361266,26.44340786,30.0155504,32.56190792,36.31965336,50.04195341,51.18146854,55.36380178,66.33512084,80.2652649,100.0924691,114.1277534,127.4725197,143.7528659,164.3860527
Cameroon,,,,,,,,,,,,146.643033,149.6977871,147.2459816,163.2202275,168.3419903,159.8090332,149.367843,150.135769,149.5330809,150.6920921,191.6065673,213.8041765,206.7436292,198.2964774,217.0290657,202.4957721,201.9668196,204.302507,205.0870639,194.2775687,187.7663996,184.4206585,186.5710317,163.3578279,156.2861753,161.6266147,171.0467832,168.057671,172.8155193,170.7087515,160.9131008,151.1138929,163.0351762,187.8363515,182.271942,240.5445494,248.8784499,262.4645663,260.7945853,257.8991244,255.5270607
Canada,5630.629813,5605.111926,5791.12496,5966.04092,6468.926261,6909.89938,7359.088188,7630.168528,8030.418434,8532.908503,8962.202213,9300.717143,9903.776327,10297.94821,10820.67514,10436.94257,11043.83876,11762.48109,12231.86054,12384.14961,12763.71325,13196.82731,12937.26688,13409.72659,14290.40542,14800.05397,15302.58739,15736.76083,16326.41755,16402.57131,16109.27998,16104.46975,16080.34624,16235.99131,16325.65705,16503.27042,16572.68325,16608.55298,16385.40196,16625.3869,16990.57839,16807.14499,16959.60079,17191.15419,17235.41178,17319.23125,16761.0437,16847.8844,16449.95378,15119.76414,16153.78784,16405.70729
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,775.8817929,801.6468001,770.2662953,813.2450728,742.8236237,781.5395242,808.1264096,850.2213986,894.1845371,921.072758,936.7944066,902.7776635,920.0748675,979.1519779,998.7667144,1037.650596,1062.968123,1129.48912,1216.005014,1243.309144,1317.729842,1458.506685,1513.28471,1584.402262,1738.214748,1916.681279,2057.359987,2163.290553,2376.857255,2481.17009,2607.98301,2704.569708,2871.34171,3035.39513,3066.273083,3193.123343,3311.677825,3313.908279,3276.06449,3289.94167,3568.084003
China,,,,,,,,,,,,151.2022875,162.456063,173.7918679,172.279669,196.3771081,200.5598027,217.591724,246.5557723,267.3742654,281.6246873,285.8177757,299.1979219,317.0202578,336.4116413,362.8120719,391.351625,426.5544932,461.7975182,487.373173,510.5634764,548.8981387,604.5966849,662.5377618,727.0091917,770.1831341,820.9855858,852.6463834,870.5238197,913.8708506,993.3385869,1077.046822,1195.447516,1380.201025,1586.777,1783.87077,2041.967323,2330.262504,2457.547814,2632.724637,2943.690874,3297.970434
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,417.0897093,402.3783125,434.5957023,474.0604953,455.6545483,470.4033737,513.5144168,568.3502054,606.9990408,636.4678045,633.0269009,657.6749287,662.0080299,717.7450393,752.0483168,805.4853084,780.9331654,799.9306696,846.2734755,866.2458675,866.0880613,774.5280732,868.6217785,906.3234486,916.6373994,907.1835726,913.4501197,889.5444458,822.7788495,839.9171246,859.4467942,866.0407784,868.2880139,902.4957732,897.9246168,947.4156487,972.1700044,969.1263956,1041.994137,1009.090404,1122.73484
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
