GDP per capita growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,,2.149274725,2.003969957,-1.260754717,8.383374233,2.250778443,12.34545455,11.0966736,0.1787487587,1.520936744,4.379341589,4.195283883,2.564073979,2.238205024,1.632827387,4.551271534,8.529004074,5.500816287,1.074229338,1.768239125,7.544132918,1.628151261,-5.976759618,1.269733437,-0.2414873353,-2.703459433,4.979496192,2.134515571,2.460814296,-1.072925382,-1.468676813,-4.325085179,-0.05973715651,3.008567444,0.1072822565,3.722330042,2.457732418,4.454474521,3.755448401,3.238816884,9.165067322,5.959204236,-1.97390242,2.998795665,2.141414576,1.574998218,5.240145888,2.610277722,0.6191842587,-5.121623333,-2.203333529,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,5.537890021,4.78780131,4.904548895,1.457092744,4.546499637,16.16637104,11.50814923,3.844193151,8.054014036,5.415662434,3.837605833,5.600862576,5.582632726,7.025265234,5.797193336,3.861678926,3.170194906,4.00492001,4.527433978,3.932725262,5.685884471,5.377944829,4.946330751,5.98635496,4.412357285,15.54518404,2.76174681,4.888623199,5.617933093,
Bolivia,,-0.159868107,3.245120585,4.065016886,2.458928394,3.251722438,4.088220666,4.4752794,-14.18615529,0.6994883621,-2.838468449,2.558295846,5.37080837,3.186594151,0.460083166,4.743898119,2.127918399,2.493665049,-0.3239242856,-2.150143385,-3.564934598,-1.894036728,-5.970561976,-6.048154985,-2.292758392,-3.763826067,-4.669572133,0.2364073876,0.6462942381,1.478649626,2.277874499,2.866189152,-0.6903220626,1.873185874,2.288167095,2.342643048,2.083573442,2.712246382,2.830220499,-1.64074462,0.4292609401,-0.3489991035,0.4712129987,0.739439289,2.236556593,2.552142456,2.995283374,2.831455908,4.438274313,1.718093441,2.49535575,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.51055511,90.46821779,31.99600181,11.79118855,5.913036959,2.86485495,2.87726964,4.532730755,3.812109656,6.138131777,5.009914041,6.183515021,6.910204762,5.556028906,-2.742990119,1.005969787,
Botswana,,3.857232454,4.065137299,3.232274602,4.02266735,2.940072597,3.358624621,2.849823166,7.26198769,11.5953363,13.45062069,21.81554937,22.27255005,17.27327762,5.045357841,4.55272788,6.522014607,7.729237347,9.934271481,7.900288328,7.869556495,5.191952716,8.304931944,9.354562534,4.975391967,3.650954294,4.721154294,8.382831869,15.78599359,9.655167914,3.619080289,4.348786991,0.01177796056,-0.8660798871,0.9221823182,1.821270612,3.077539694,7.725875298,8.28767512,3.084135689,4.093880431,1.957582409,7.542745599,4.996267091,4.800568303,0.3726273197,3.740373819,3.349353504,1.431910969,-6.21680363,5.865513597,
Brazil,,7.015310482,2.078906258,-2.117486684,0.4832296406,0.1628167762,1.333100371,2.167093248,8.590628535,7.004286321,6.109164342,8.619320011,9.403933692,11.31395726,6.503373572,2.75862803,7.233300515,2.17444152,0.834967165,4.290219768,6.586512218,-6.600777296,-1.727896963,-5.589752888,2.963689486,5.674673616,5.811686537,1.596275091,-1.955164135,1.440999138,-5.938075428,-0.1537125955,-2.034913784,3.062548784,3.739967841,2.836462552,0.5995852193,1.809690591,-1.462333795,-1.222301939,2.819690587,-0.09392418333,1.277199056,-0.1561233293,4.424299684,1.987349809,2.865109025,5.063116833,4.205955146,-1.520402823,6.552630469,
Brunei,,,,,,,,,,,,,,,,-3.846014007,15.28683505,6.569879061,2.768897168,18.2101243,-10.09877767,-22.32718151,0.9061392296,-2.323049233,-2.177220619,-4.210602684,-5.409181296,-0.813841923,-1.704707092,-3.821444309,-1.722439199,0.2697842668,1.838388621,-2.465426346,0.3549845341,1.731944592,0.2564076436,-3.908477072,-2.94409008,0.6542447732,0.5278596192,0.4970878385,1.671408193,0.7837448657,-1.520773064,-1.597446672,2.369627742,-1.75534428,-3.768813318,-3.555890809,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,4.551143989,2.03229416,3.172521174,3.154807295,2.684953314,4.235241376,5.898612508,10.82009065,-2.151690628,-7.463207752,-7.534068869,-6.271263755,-0.691213487,2.164358492,3.319348988,-8.559683594,-1.044924596,5.563444569,2.537407122,6.249438442,6.097902639,6.669317945,6.111021143,7.32991702,6.925297362,7.128125238,6.945295965,6.706649308,-5.0232847,0.8800273693,
Burkina Faso,,2.470251603,4.518405314,-2.792879088,0.6446290808,2.022946329,-1.232578732,6.828807933,1.123305697,0.06202055388,-1.832123093,-0.580312218,0.2742749012,-1.583225552,6.04986938,0.8210881852,6.188000803,-1.84587707,2.25011862,1.281028868,-1.565627471,1.766416768,6.901280403,-2.129174378,-4.234793884,5.770716578,5.192338987,-2.816270753,3.03385014,-0.5390938607,-3.239926243,6.154946076,-2.46423492,0.6628163277,-1.435726063,2.838052364,7.984589167,3.405880051,4.357042416,4.433757255,-0.9887783797,3.659818809,1.747593679,4.97813764,1.644053907,3.291340052,2.447395988,0.578084373,1.926652322,0.4617527325,6.034697209,
Burundi,,-15.25613601,7.183036514,2.338910235,4.399153744,2.077744355,2.613619368,11.57296967,-2.20532521,-3.124257495,19.65749839,1.694284608,-7.1188631,6.146715369,-1.603128534,-0.5638678129,6.15293861,9.231871129,-3.246205974,-0.9706615015,-1.840779544,8.809260601,-4.165838633,0.3610907247,-3.099690093,8.198907649,0.0009815092518,2.272453672,1.977370007,-1.362555357,1.018307423,2.753283738,-0.9122149602,-7.792138875,-5.169894568,-8.97326765,-8.801699863,-2.246465412,4.042714085,-1.95752893,-2.267329362,0.08828592257,1.992021013,-3.86246991,1.843764756,-2.04834518,1.989420102,0.4629268278,1.400407835,0.6186682712,1.282704211,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.856934919,3.515626788,2.748020753,3.167924023,2.775525164,9.72834223,6.822179046,6.273504058,5.097033814,7.015053646,8.920582255,11.86291853,9.473638116,8.97117182,5.512274438,-1.025012035,4.755755987,
Cameroon,,-0.947821962,0.8113142934,1.442504508,1.204848629,-0.3228354733,2.163717938,-13.03876972,3.759558061,2.300757839,0.486364371,0.8218647534,-0.00537300935,2.546994684,7.698568787,8.103143915,-8.245607064,10.35314255,18.33669617,2.87014192,-4.842626635,13.71989298,4.481246489,3.871936217,4.443400964,4.972557847,3.676178327,-5.002651575,-10.51158843,-4.652670238,-8.76874798,-6.488506183,-5.752214875,-5.789314585,-5.033521698,0.7017157708,2.448854446,2.625959301,2.624476534,2.024105034,1.845813335,2.158960364,1.674127148,1.704829708,1.39464603,0.03363908549,0.9515968893,1.234695114,0.6577967819,-0.2142079793,0.9675437318,
Canada,,1.119386965,5.1429394,3.240538916,4.706261139,4.723611892,4.617864589,1.080057912,3.610129103,3.838380119,1.15945396,2.57103435,3.776952363,5.167344563,1.848470568,-0.08508437034,3.81710223,2.249565778,2.915612321,2.774441915,0.849910562,2.226996735,-4.023063102,1.692887764,4.80169273,3.810712434,1.396731277,2.894589434,3.627895278,0.805319507,-1.292331034,-3.415184998,-0.3554012555,1.224724981,3.801611454,1.960528868,0.5300722849,3.130034543,3.200239576,4.66222755,4.308170605,0.7614408517,2.005290889,0.8711407099,2.091839062,2.008378923,1.989510262,1.102412779,-0.4879156077,-3.953353186,2.016298809,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,3.521655257,8.277746425,7.943049045,5.955059806,1.177379611,1.644147045,5.092548357,4.530106816,-0.8923767995,-0.7229731215,0.6927389376,4.175275827,4.075109748,4.81585893,1.630290009,3.172416079,5.281083468,6.557163773,14.71929447,4.263795866,3.504918205,3.024109966,2.771373226,5.147040979,8.901863757,7.579366534,5.250202106,2.670992132,4.479296137,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7395320348,,,,,,,,,,,,,,,,,
Central African Rep.,,3.187707843,-5.410178741,-2.529895045,0.1385581653,-1.030805947,-1.390889831,2.503266063,-0.7159082246,4.887070091,0.2869883057,-0.8252124891,-1.892627112,-0.04060756117,4.263197503,-1.654347823,3.176769999,1.503591163,-1.149929272,-4.88615825,-7.005161304,-4.327171514,4.52527568,-10.86011774,6.370299144,1.20390597,1.128825807,-6.994370297,-0.3931446721,-0.1822752784,-4.356973134,-2.952186703,-8.778265696,-2.229147599,2.264558847,4.614672169,-6.219066264,2.955372989,2.477018655,1.526940148,0.3842274399,-1.481270334,-2.196690935,-9.045046381,-0.5896658158,0.7281388195,2.03118653,1.870557086,0.1462448569,-0.1880829609,1.354833538,
Chad,,-0.7286958935,3.115298057,-3.709255656,-4.589963519,-1.513493881,-3.837199431,-1.288069864,-2.499254949,4.621518592,-0.3868865389,-4.511488992,-1.277030983,-10.59053314,2.510603435,6.604518144,0.8486518764,0.2149739751,-2.401277884,-23.0004719,-8.007902187,-1.171181771,2.935899678,12.88908872,-0.5643920008,18.48046926,-6.851017359,-5.345956637,11.89258653,1.621971897,-7.115497592,5.268417911,4.787533328,-18.20948477,6.845964304,-1.83414885,-0.9142685228,2.398025546,3.596218945,-3.896524016,-4.198970588,7.7830161,4.642874628,10.67748672,29.10351716,13.60233855,-2.762899566,-2.579907247,-3.035644648,-4.14906738,1.606696597,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.224886201,5.300166125,-1.961564848,-2.055529048,-3.620210671,-0.2506318676,0.832557014,4.238355315,5.190649486,,,,
Chile,,1.44094426,2.555331941,3.492746437,0.2066662911,-1.887663961,7.598978426,1.484597903,1.688909117,1.491297888,0.2315265117,7.057609701,-2.547833918,-6.537439111,0.8501312808,-12.71420066,1.912577795,7.195200274,6.005280386,7.185492053,6.601598538,3.17180398,-11.71446126,-5.323826499,6.21660837,5.358248291,3.851311423,4.820921363,5.503672989,8.660101743,1.875432687,6.028407259,10.23355614,5.058321658,3.877322299,8.827015479,5.78840274,5.102265218,1.864064155,-2.014378358,3.213352177,2.155530962,1.020160026,2.772236337,4.907752638,4.461769886,3.529670062,3.565321956,2.660370657,-2.610485847,4.227208729,
China,,-26.35780938,-6.872551006,7.663247064,13.1797017,13.62471984,7.657029508,-8.093274137,-6.571451627,13.74042147,16.14767541,4.100801921,1.280348712,5.464132481,0.2082101405,6.796790685,-3.110861355,6.143595614,10.2152071,6.174224075,6.456393219,3.861032212,7.50508462,9.30907252,13.69836954,11.96494662,7.19368573,9.824649573,9.522340078,2.516142672,2.288058775,7.720156763,12.80897877,12.69693833,11.82887229,9.701583593,8.853065583,8.187073959,6.770551599,6.672365664,7.549211378,7.516179974,8.371473758,9.316982304,9.448018055,10.647338,12.07246571,13.60512033,9.03986019,8.648414427,9.829150415,
Colombia,,2.183673516,2.378749212,-0.1022373109,3.501668007,0.03796128453,2.299596174,1.228553515,3.46600977,3.663092911,4.216719207,3.373511714,5.170877922,4.321261633,3.37902208,-0.05188274997,2.437156795,1.772761491,5.988562494,2.991961476,1.760561825,-0.009221600201,-1.273400652,-0.6259652681,1.136704938,0.9091829455,3.63652658,3.214643431,1.965112204,1.370930275,3.979535499,0.3233872305,3.061721617,0.4756842273,3.908943278,3.311068033,0.2428921591,1.616513618,-1.167583955,-5.829628955,2.683232215,0.02203857751,0.8678298638,2.29059239,3.707591684,3.113484828,5.09574886,5.320010659,2.043371896,0.2081538559,2.56128489,
Comoros,,,,,,,,,,,,,,,,,,,,,,0.2327669231,2.870466723,1.552421753,1.029327926,-0.6066211748,-0.8699534285,-0.9621853263,0.156750984,-5.517385739,2.575205105,-7.652222292,5.947286835,0.5443764087,-7.561504266,1.077947748,-3.739802921,1.412537142,-1.29857921,-0.7008879878,-1.21555067,0.6277632916,1.410174553,-0.2334445541,-2.886649901,1.458198752,-1.453056504,-2.180912399,-1.695200578,-0.8552030842,-0.5707137415,
"Congo, Dem. Rep.",,-13.11205144,18.1010514,2.483211761,-5.030169325,-1.753997402,3.78773318,-3.813875976,1.326771035,6.196291346,-3.063128784,3.065286384,-2.588492952,5.185917781,0.2803119775,-7.662526058,-8.048559816,-2.207913184,-8.141088998,-2.486346014,-0.6904858839,-0.4581224376,-3.14299488,-1.318850931,2.650290066,-2.368992609,1.704444908,-0.3289969185,-2.600481206,-4.505773856,-9.874908638,-11.9287504,-14.10236798,-16.91909146,-7.434097328,-2.53831984,-3.705825849,-7.803733755,-3.709586777,-6.358073026,-9.144429479,-4.717279151,0.5079016158,2.649027187,3.471306639,3.375123181,2.117996469,3.312661783,3.302984477,0.03098581678,4.338685497,
"Congo, Rep.",,5.602265763,2.479023705,-6.55731891,1.04265706,0.872048869,-1.40803477,-0.6976242102,4.624138858,4.484881874,3.26400117,4.550250232,5.338031527,4.946672732,4.635815202,4.536080929,-2.02138353,-11.56337989,3.335468825,6.68519918,14.26055133,14.21515144,20.00504422,2.784016957,3.905717414,-3.977947278,-9.451815911,-2.560361451,-0.9951353758,-0.1601730676,-1.700219058,-0.3138772047,-0.09743734217,-3.603795585,-8.011922384,1.192953797,1.426785566,-3.375616577,0.8230880942,-5.217406021,4.84337393,1.294681032,2.195861077,-1.483925067,1.079208391,5.132991356,3.347415168,-4.282008418,2.660559674,4.602780617,6.019898265,
Costa Rica,,-4.355123371,4.409596446,1.199296744,0.6956679937,6.352785002,4.615461003,2.598436083,5.395200014,2.799866364,4.800465864,4.221600155,5.691706807,5.267578277,3.103741089,-0.3608711003,2.859244843,6.062809734,3.421814137,2.089091152,-1.999047597,-4.940613112,-9.836390843,0.03635042495,3.302286918,-1.688282205,2.959115972,4.053567782,1.117408896,2.377897032,1.295517631,0.05569546237,6.532312993,4.859133519,2.220478344,1.39185251,-1.614289566,2.939848693,5.722658806,5.653952624,-0.4765559813,-1.038732719,0.879747904,4.429050335,2.409216221,4.072844978,6.982116938,6.219375797,1.143070847,-2.767323164,2.701411806,
Cote d'Ivoire,,5.882834348,-2.623329332,10.04854567,13.02245523,-6.885427422,7.246374342,0.5321369312,8.125848868,5.140263535,5.820638591,4.830106458,-0.250180415,1.308163975,-0.2895818464,3.420197504,7.850099239,2.494844971,5.945443496,-2.152387716,-14.86413798,-0.9827505466,-4.071070028,-7.898096768,-6.611522854,0.4699585615,-0.5449478659,-3.865029703,-2.318762938,-0.5096706654,-4.390588697,-3.267658111,-3.494145468,-3.358757437,-2.256303222,4.036548063,4.782909565,2.974323083,2.203169627,-0.6921739639,-5.667614326,-1.86310245,-3.081894493,-3.105460814,0.2074652386,-0.368458854,-0.9918979387,-0.03509789699,0.4962149548,1.803582912,0.9852152325,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.364489,-10.92325299,-11.39533437,5.642796182,6.317442584,10.04491236,4.725968835,3.585375212,-2.194548152,6.750850884,3.329154709,4.878265707,5.371067629,4.151894871,4.209378197,4.98250782,5.154663282,2.215393124,-5.886581487,-0.9435144243,
Cuba,,,,,,,,,,,,6.694391607,3.028146963,1.741400575,-0.5181082122,8.059481972,4.27227797,7.705195803,5.768001069,0.4143654042,-5.410713808,19.08080801,8.442189181,4.950910811,7.362668615,0.9146606286,-0.751618627,-3.368788292,2.607050503,-0.350403045,-3.835745289,-11.39508541,-12.18204282,-15.37987023,0.1862644113,1.959492724,7.361950021,2.382140813,-0.1996269971,5.836672535,5.573146361,2.850134758,1.108515484,3.489520309,5.517244586,11.01128893,11.95755154,7.228222191,4.133295402,1.487642219,2.106593117,
Cyprus,,,,,,,,,,,,,,,,,21.24486926,16.34797691,7.378349452,9.054347063,4.610640812,0.8288256531,4.774514362,4.715044021,7.357754512,3.615236469,2.521407353,5.907271039,7.500786351,6.419510602,5.139969953,-1.83474417,6.527836047,-1.702628065,3.732202287,4.193719137,0.2383779984,0.9079623823,3.763167651,3.680144991,3.931414043,2.91033121,0.8273445198,0.1832488907,1.826924769,1.438485884,2.136746603,3.598059358,2.438219602,-2.519070886,0.5693039998,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.39925726,-0.6168447227,-0.041188536,2.182169035,6.010054325,4.148578619,-0.6238219468,-0.6649257359,1.44310234,3.764315675,2.814995988,2.212747928,3.576828374,4.396126155,6.110573863,6.461437344,5.463205394,1.577296367,-4.723319431,2.027177344,
Denmark,,5.638743553,4.847446966,-0.1526100554,8.400119265,3.743684868,1.919198017,2.609414586,3.343837718,5.736151451,1.262315119,2.288608751,3.580826465,3.133919053,-1.27667596,-1.505789444,5.827168398,1.66173945,1.957378706,3.69510939,-0.6084795512,-0.8587465367,3.790220823,2.72236859,4.22014991,3.982285139,4.8089884,0.1629856622,-0.1911763827,0.51258716,1.44250993,1.037874813,1.638813719,-0.4219190151,5.169630935,2.529641021,2.254221025,2.770487438,1.790120615,2.221653845,3.183205942,0.3446385964,0.1453850216,0.1111476903,2.032461209,2.163318627,3.055466444,1.133772206,-1.365085129,-6.33625737,0.8590757205,
