Debt servicing costs (% of exports and net income from abroad),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Bolivia,,,,,,,21.55595725,23.90595119,52.52407932,33.41687657,34.9504638,35.6885278,59.25751307,51.32358176,63.26367925,49.56712775,36.65857936,33.49084634,54.01828737,32.76771079,38.69924661,35.0369466,36.41014291,36.86348085,28.96649442,29.46795024,30.77679962,31.41484352,29.22939431,28.45970434,39.41588872,33.1507524,28.80235083,21.27952501,19.67586461,15.57901324,9.229181908,13.91366931,12.97179666,14.39895007
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.150773933,14.1500829,13.82196838,7.757220295,7.57864339,6.848692894,6.7608436,7.060280899,6.464091382,5.527414185,10.54280677
Botswana,,,,,,3.214084206,1.552458062,1.88854669,2.460431607,1.611770803,1.89169341,1.613745097,2.24585667,3.006198811,3.711770631,5.35025149,4.254897242,3.871391319,4.243158849,3.339353026,4.348714456,3.429216864,3.905461706,3.618202591,4.0107105,3.147617545,5.243627662,2.825146736,2.595365892,2.158224142,2.033110369,1.729546039,1.957948721,1.246645394,1.026067553,0.9238474572,0.9726834127,0.7806852759,1.147445687,1.216818774
Brazil,,,,,,43.4598853,37.91739786,42.46220577,58.05181172,62.84135459,63.40464447,66.38956654,81.87353956,54.65652192,45.38804171,39.13475042,46.22525964,41.61966585,45.74524889,36.36808872,22.45126765,23.21995424,21.08049465,24.23278846,31.12004804,38.45533887,43.58527205,63.92128111,80.65279911,120.1855029,95.0714218,76.99552297,70.99959108,67.10123582,47.83672734,45.68680322,37.97802944,28.01456719,23.43677968,23.38026775
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,0.7151712545,1.712417665,2.989183003,4.118854007,10.22765625,15.60209882,17.19500432,22.16683727,26.82621127,19.44096181,6.571425164,8.750824954,6.576146201,13.03598908,16.4613852,19.77634686,15.62534295,21.9295641,20.17282961,17.7040642,17.22422486,16.46361652,9.860227348,15.15841504,22.43286154,12.44851943,15.26867218,16.83347193,21.29661493
Burkina Faso,,,,,4.478915451,5.500697775,4.392872798,4.618990708,5.257388742,5.074068976,9.836537498,9.391851641,10.76300751,11.52697449,12.36014245,17.59465469,18.22154229,12.52969787,13.65158979,15.18873232,9.351245987,12.95124475,10.33893886,12.11408013,15.27167439,,,,,,18.57093402,13.69387841,,,,,,,,
Burundi,,,,,,,,,,,,,,,,20.42051342,24.50410868,41.32726007,33.28938051,36.43075217,43.41542402,29.93792134,36.53473193,36.19229659,39.48074613,27.64952506,53.95082974,30.32819141,42.33918779,47.5097384,39.44034595,49.70731758,59.1937344,63.54929792,134.099964,39.84506937,18.85915737,19.39654217,13.26509946,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,4.146403565,9.889620538,0.3535224154,0.7463479416,1.078021978,0.9702981149,1.141446071,2.20225876,1.665194671,1.024287481,0.8857965689,0.9508555785,0.8087430742,0.757846621,0.6022072134,0.5265252181,0.651547973,0.8266631431
Cameroon,,,,,,,,6.913782473,9.559772413,10.35471177,13.3344436,16.58985986,21.50915168,19.04235178,20.41020678,30.22534699,26.11486062,30.78208628,29.1029211,17.2861405,20.52429808,17.64991414,16.51180054,24.56572667,21.30078819,21.00663749,20.08528313,20.27071349,21.13674816,24.73182996,21.45238538,12.22517921,11.86140519,13.47294672,15.49683545,19.17845927,10.50596295,8.015192948,6.41854818,7.351236008
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,1.153473293,4.403431494,7.755139575,16.22474737,15.65364154,12.61914122,16.23096631,17.03078432,11.45861613,9.084012608,14.74221502,18.85174834,12.35302063,14.33357554,11.15488078,7.634308062,10.47841932,16.08663524,15.12213262,10.46509267,7.660049911,11.22460959,6.894223517,7.549628161,9.381291081,6.284930115,4.865323084,4.17204671,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,3.311967355,3.576730951,2.348697213,4.864108862,6.0878985,5.054085736,12.84464542,16.27423517,14.21840364,15.0838127,14.06821277,13.78393085,15.6678817,13.21255638,8.320196149,9.257105041,4.963052913,12.92945503,,,,,,,,,,,,,,,
Chad,,,,,,,,2.604709302,5.398173368,3.903396408,8.390092034,8.70733465,2.797129459,1.05487675,5.188450356,17.51718459,5.390208664,4.116909221,4.241745283,5.868956647,4.310433691,4.308068201,4.106647247,6.703243764,8.036255261,,,,,,,,,6.030181663,1.705780888,1.680319914,1.527449902,1.79720015,3.160652164,2.767095971
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,34.55906623,40.44482474,46.16417398,53.55991957,44.00630004,43.11046845,64.7740114,71.32570819,54.46611468,59.8767472,48.35394749,40.64655188,36.28740918,25.78213209,27.06921551,25.8901064,23.18324688,20.83887165,23.08055537,18.88779633,24.54114919,28.34165418,17.40333023,17.52268022,22.45609153,24.80085296,27.83681906,32.62768092,28.4954604,23.58902551,14.91679252,20.81462507,13.81018615,19.01578654,22.6097143
China,,,,,,,,,,,,,8.592462291,10.88090156,7.953745996,8.360190277,9.690942867,9.593810247,9.633988308,11.3647887,11.68547631,11.92306621,10.20935886,11.14197628,8.914135673,9.883620977,8.802234687,8.661556523,8.65454443,11.71369377,9.273602393,7.945340143,8.316682517,7.381549247,3.438052086,3.124479179,2.461567286,2.258258415,2.055133707,2.901000942
Colombia,28.19097154,27.09773846,26.55703377,22.37776402,21.34080004,14.47528889,13.11291215,10.81131001,11.67040212,14.47340537,16.23267876,22.34516826,29.9836105,38.99739215,30.47012012,42.71343154,34.04440581,40.0417129,47.05440925,51.3217637,43.09146909,39.56802664,41.34337641,35.26993416,49.14872075,33.49456466,38.92562125,29.79642661,31.47868782,44.32305512,30.29090169,39.48147032,45.73670065,53.09714006,38.1574176,40.21409343,34.39892032,23.93313608,17.81333915,22.42371817
Comoros,,,,,,,,,,,2.87297937,4.342429298,3.751317709,6.449413163,26.00843932,10.64548869,7.591207017,5.851899492,2.576623422,3.832779794,2.907173996,15.40942674,11.02824626,3.880939083,6.60623641,1.960357038,,,,,,,,,,,,,,
"Congo, Rep.",,,,,,,,,5.37094335,13.33919339,10.55873124,20.43721754,19.88760598,28.56369393,26.6466309,34.3211404,46.23552834,45.03458556,46.06878477,27.92685938,34.57177148,26.11283687,14.71616422,13.3399071,51.97784139,13.49288863,19.50434834,6.661970147,3.068322339,1.509730479,1.683665537,4.232470061,1.202427864,2.311073777,5.784424957,2.246445202,1.369939655,1.74354651,,
Costa Rica,,,,,,,,21.57537922,39.85609756,34.8870692,29.08238963,27.60526974,21.39653665,59.72539655,32.32572125,41.46102976,34.71406749,22.41459492,24.27122016,17.72247847,24.11339861,18.34069277,20.26722858,18.40363902,14.78560318,14.18236791,12.09159098,10.30017577,7.797096731,6.611539878,8.124281515,9.932432285,9.248522255,9.962643576,10.41191107,7.997898491,6.469986692,6.67359662,10.969972,9.615231346
Cote d'Ivoire,,,,,,9.463224905,11.26470178,10.92720495,15.31712453,20.11076013,38.65948796,52.57581706,54.14587112,49.93745902,37.54968577,34.824662,35.44815569,38.39862589,32.38702399,33.22679408,35.4379511,37.86126819,32.07798838,33.22314381,35.17179343,23.1122534,26.52597423,26.18788726,25.66788888,26.78308551,22.61311861,13.26408051,13.82946626,8.608240248,4.962244288,3.501440818,2.807963467,4.369339005,9.007619828,9.458708761
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,4.02490827,4.709999937,3.616991531,4.666356546,5.049653987,5.421609415,3.132183902,2.20195722,4.331061447,6.070074031,4.454410006,4.935044149,5.62953812,6.315134563,4.884599416,6.190219507,6.617059593,6.153782186,
Dominica,,,,,,,,,,,,2.483606557,2.813455657,5.630815109,9.893048128,9.917098446,7.692573089,11.1870604,8.022197208,8.951014349,6.170450493,5.99245356,5.648748567,7.114891884,7.157666068,6.146378169,5.604182137,7.512116827,6.661041054,6.578567004,7.224577954,12.84653708,9.581980906,12.42490865,12.2283615,11.99999524,11.81879152,12.36204572,10.77078517,12.02578749
Dominican Rep.,17.29980658,16.96537539,13.42462433,15.30015492,9.150571273,10.66164303,12.62454577,14.87802022,19.62558907,27.62615701,28.85050644,25.98786408,34.53428721,29.87571074,19.22437109,22.47887533,26.13023743,19.50619087,17.77019251,15.55370067,12.10333681,13.59140006,17.59227795,6.67522724,9.433000112,6.981464097,7.087267321,6.33380088,4.898734674,4.610264098,5.618080743,7.185174063,7.855181462,9.9554217,8.10944346,9.615635216,11.30765086,10.81827226,11.22835617,12.14856708
Ecuador,,,,,,,10.62327141,12.08338458,19.37919926,45.31602572,33.88731466,46.63716194,78.43262619,29.5893522,37.69108044,32.96298409,43.11017583,33.92206478,39.75860255,35.54709343,32.97179799,32.16262362,26.02957634,24.00789832,21.22026013,26.55379588,23.0292794,30.4511792,34.14901714,41.23405268,31.4241947,34.93646224,34.79496115,32.8618551,41.53935094,36.30495789,29.25268754,22.58113971,13.14078704,40.80559421
Egypt,,,,,,,,13.78755788,15.93697925,11.82696404,18.95609267,22.36587578,23.74113919,28.62628386,32.82728045,38.67654588,42.25577765,22.91821588,32.08583802,36.47353937,28.57926801,22.08491573,21.78627754,17.55181673,16.55582416,16.04567327,14.58243997,12.41159473,13.01879374,12.8470517,9.779060582,11.31113848,12.12214565,12.99398702,7.998851907,7.061876968,6.290671628,6.158622424,5.611092185,6.450764238
El Salvador,,,,,,,10.50831444,13.08229759,10.65172989,7.678950785,7.53926784,9.554421769,14.89352876,21.69868076,24.85663984,27.21094013,27.10013665,27.36193802,21.03716167,18.22080507,20.72732964,26.60616047,23.15113658,20.99330826,20.35247671,13.37655438,13.88635702,9.209524155,14.23374353,10.21863974,9.701149123,10.09529502,11.8284748,19.07495375,21.85008979,17.8831224,21.96667547,18.12129425,15.80934495,25.19460461
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,0.1053427235,,0.2226744235,2.924733224,4.255425037,2.781219176,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,5.761404535,6.727438073,5.333894233,7.821241352,10.89531144,13.08215143,18.78291261,20.73619828,24.56463941,29.74906526,36.93713282,44.91130645,40.78107872,38.9838445,30.62609633,23.82587573,18.92374806,15.82229374,18.497152,41.62430152,9.965232184,12.23162416,16.27165117,13.67596479,18.36386693,7.916332714,7.243521467,5.886084678,4.734789577,6.158853259,4.874347357,3.138050606,3.062192155
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,3.903948748,6.002974033,5.41958752,6.811418649,7.977402557,10.19606331,11.7154048,11.48187874,11.80920119,10.14046228,8.498445068,9.146219628,9.403190571,6.946261252,5.941932946,6.246436757,3.719497087,2.126976218,1.614383819,2.109447159,2.506779076,2.407582415,1.708541632,1.649918884,1.186203645,0.8148036753,0.8653701742,0.8902849347,1.597232388,1.230070525,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,18.44562334,16.07442451,17.74891247,13.49971963,13.02692112,10.81830426,12.77348368,11.61883881,16.64827839,6.86024398,9.372343065,7.543199846,6.394390362,11.98357434,16.30995082,5.874715112,10.29464344,15.30798127,10.62289733,13.09357513,14.05088044,18.7593707,9.912414887,16.20183341,15.27526692,10.9980748,5.573302373,3.423810035,2.727443975,36.79664849,8.9471039,8.138829707
Gambia,,,,,,,,,4.735659312,6.464588011,6.237495046,10.48066483,20.16299488,16.9902232,10.85907186,10.27642944,33.24306532,20.43590536,15.63190779,14.16078485,22.23393066,13.42485731,12.74737066,11.54138972,14.12572577,15.49308911,12.37825781,11.45441816,,,,,,12.27307108,20.22797697,15.45966823,15.3692014,14.08886719,7.589767256,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.097884641,23.39269205,14.31947743,13.94822275,8.526820134,10.99152101,12.32812365,12.31061441,7.640915383,9.255958028,4.93414657,4.55140004,7.261208889
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,6.376730005,5.808804741,3.715088648,7.414136408,8.894641418,13.11087297,14.25083036,15.55680624,30.41122278,21.71963381,23.55857988,28.31732382,45.78898576,56.64076353,50.53008949,38.37299747,27.39957066,27.31627122,24.54379835,24.62798437,24.21629583,25.39941724,30.00380622,18.69695904,17.07270024,15.81413623,11.57728458,6.887728258,14.11422633,7.026610417,7.117405034,4.5103786,2.872897503,3.201671278,2.942979728
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,2.0302299,3.235119048,4.727720555,5.956521739,3.676923077,7.11227154,11.62878788,12.18203883,11.37879511,8.236032915,7.138001545,7.942764309,3.817099932,3.440376569,3.658013128,5.991799446,7.650250499,7.076925262,6.135480528,6.088206522,5.087561881,6.682882686,5.312839391,6.001439306,8.566389339,16.06679381,16.94177347,14.45398198,6.4801493,8.784922748,8.746553064,11.07653235,10.92086747
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,3.86828271,5.867837818,7.279252577,7.900054526,8.932760994,11.3137479,15.68298755,21.67427846,28.11718291,32.33036902,30.59162169,28.50611209,21.04186142,14.92262654,18.04010955,26.82484238,15.65299563,13.7421253,12.49501742,13.44420154,11.15244631,10.06195853,10.64086269,9.565656813,9.958020481,10.18407736,10.7148035,18.56812027,17.75024403,18.22959082,19.12268079,17.10854654,18.36882005
Guinea,,,,,,,,,,,,,,,,,12.64927874,27.20510907,22.06847435,16.07928457,20.0033283,16.0193556,12.60254969,10.97869586,14.35804755,24.85482421,14.92534998,21.09236703,19.79587568,17.33621398,20.67424537,12.64674677,13.17339984,15.06026618,21.85721771,,,11.93985741,9.635934973,
Guinea-Bissau,,,,,,,,,,,,,32.6091954,33.28104575,28.37795276,51.96685083,77.19587629,69.77922078,61.02515723,54.22965116,32.29885057,68.63880597,36.86078758,14.74339036,19.78619268,52.41297736,38.89044452,15.33591277,,,,7.049749672,5.887186599,10.74117729,11.59482703,,,7.252712312,5.540110438,
Guyana,,,,,,,,12.65199288,16.95856767,31.51318639,22.76583874,25.98105608,20.8838734,24.2375666,24.17461954,27.66014674,,,,,,,20.67343226,17.21632843,16.39062487,17.00134871,14.38218232,17.30151757,19.21622782,12.79309331,10.10293903,6.783370787,9.593554163,8.62270351,6.375461184,4.918070432,4.288389282,3.077101262,2.575803941,
Haiti,,12.4399376,8.948389782,9.029635464,7.608087994,8.180192053,11.49752999,17.61573546,12.37128388,10.03943583,9.493814364,14.06089717,10.17487791,8.70985265,10.62681585,13.95816291,16.88524037,19.81142506,22.16613305,23.07233408,11.1231148,13.21867539,7.186005314,6.508850682,5.818778922,50.97733417,15.44624217,9.897916117,8.742005615,9.500809397,8.796307326,5.912835982,6.800047495,11.44474715,19.22327663,9.447997752,8.409132652,10.2891458,6.718350755,4.639786978
Honduras,,,,,9.993467936,13.2141941,28.56825294,17.9031742,18.6168436,20.83798883,21.44007442,26.06908769,31.10899809,24.93244984,22.88443492,24.69991885,29.15046838,35.37946752,35.21015461,13.11085514,36.92527535,29.11199545,34.17411807,30.14869769,34.5637108,34.65934857,31.05552474,24.89360573,22.26472127,21.00238003,9.79831222,8.541669007,9.017145522,9.389672783,6.092104585,6.530433885,5.363162403,5.190759396,5.156407109,6.779451552
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,15.28518276,18.11584459,15.66824377,15.49355191,12.49405521,11.60808098,13.1331352,16.1469961,19.41881969,21.70164911,26.78491338,37.56203248,36.19149227,34.15411186,33.58082489,34.87024075,33.79370531,30.38363765,30.29619968,33.5382772,34.44893184,28.43263435,26.92413084,25.30667809,18.94300276,17.48562419,17.89795229,20.89940319,29.16355832,14.46192919,14.90064886,8.606372222,15.81358182,10.09479665,5.885526814
Indonesia,,,,,,,,,,,,14.03699654,18.12602708,18.83242223,21.87652131,28.91257759,37.46417481,37.17835599,40.44064109,38.69619063,33.48461823,34.36687242,32.77635574,33.87200317,30.9696058,30.2804883,37.15196476,30.32647249,32.26499758,30.60446184,22.74960534,23.8579837,25.13274362,26.22139268,24.16579563,19.78071007,24.04181523,17.86319675,13.48600144,18.38413721
Iran,,,,,,,,,,,6.812285938,5.570659539,5.435164326,4.600739865,4.100088125,4.100676128,7.289727436,3.581202947,5.594613457,3.29195187,3.242268654,4.107680892,5.169006469,9.336096298,16.45261317,29.69126057,27.10594381,31.04802635,18.14804835,17.30610871,9.680694302,,,4.186584577,4.498260956,3.929012483,3.251769504,2.759284112,2.493563734,2.148613333
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,,,,,,,70.19376392,28.25332671,59.12472217,24.72725039,19.70800506,25.48919856,26.36569178,29.81669419,33.07182445,40.38224609,47.85641389,45.89120059,41.53056387,31.99069189,28.4570052,30.78376696,29.72851231,21.62116556,18.63792773,18.84810055,18.95673507,17.72152827,13.83636055,16.51088299,18.61674952,20.78664276,24.65677617,22.36542785,20.36206614,22.4376141,15.97289705,23.38131355,20.06391404,33.93341902
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,7.926017716,9.780406593,5.943860294,5.120043033,4.877614297,8.470063433,9.836272999,12.05827627,12.2806459,14.48861201,14.0654767,19.38780086,20.60981255,25.09109743,31.39460738,33.35051921,41.60028538,24.85020477,24.37063269,28.5132352,25.86655858,20.91738046,18.69009252,16.68907875,25.89736146,22.60243735,22.16123804,13.71338163,17.58367256,14.94366623,11.70274724,21.51790002,10.65839159,8.300452006,7.540713539,7.203273596,19.65780202,4.83817202
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,3.897802216,4.589474134,6.180908509,14.43468262,19.39033827,32.16230717,32.21314784,34.80061112,34.88314426,38.09130284,42.2334946,33.65272864,49.06383438,41.97113581,80.21026777
Kenya,,,,,,14.93620359,14.81053786,20.4509853,13.97475875,18.37207593,21.02889385,26.96558146,30.48342807,33.77418627,34.79545021,38.6653307,35.60631927,39.76467643,38.98817022,36.63656514,35.40948469,32.61187333,31.1377664,17.05969237,20.56385105,25.26324831,22.38977045,15.56203498,14.8513603,15.77963027,20.94414662,15.77238923,16.285662,15.7585913,8.226127707,9.936593438,7.062994036,6.254111263,4.818855841,5.034739062
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.83851398
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,0.4053999736,4.393658018,13.25057213,13.09143814,11.39719886,18.8048969,20.46451589,29.36370332,30.75367216,19.94035511,21.62100951,16.90748786,13.19055506,6.59338792,8.605504602,11.7900668,13.99687503
Laos,,,,,,,,,,,,,,,11.59083192,9.205607477,10.5768262,11.48454746,13.48421053,20.15935335,8.549713193,6.140885984,4.753507014,8.300263389,4.935451589,6.123102867,6.524060495,6.270680147,6.21437247,7.687069146,7.805790438,9.012069644,19.52077275,21.83962264,22.63523164,17.3492459,16.19318891,15.23824829,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.59727768,25.96818741,33.87763456,23.84073585,26.20574658,23.72298318,17.6411193,17.96825078
Lesotho,,,,,,0.713939668,0.3151522176,0.2290171765,0.4701394994,0.8737426315,1.499619464,1.480288309,2.342749314,4.723775189,3.612785405,6.740733115,4.695693376,3.521110438,5.072069791,4.662308789,4.195747531,4.489264696,5.236048435,5.322351798,5.40329648,6.093757119,5.589933238,6.530683481,8.549372607,10.12010824,11.34020154,12.38219782,11.35946793,8.084438687,4.609601016,7.411230469,3.920702729,6.987325731,2.519916465,2.956194065
Liberia,,,,,,,,,,13.51192569,8.745234687,8.603849239,10.15647868,10.99089438,13.10489873,8.602946696,6.870209656,3.737865113,,,,,,,,,,,,,,,,,0.2166492565,0.2630291586,0.1587940606,114.184575,142.1980296,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,0.3273581828,2.852447965,1.340739907,2.909244889,10.35366529,14.71044489,16.21809561,20.90474689,16.57975095,16.92753665,22.57939749,14.58567733,16.96734547,22.72052312,38.5011813,31.67637985,31.04716508
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,4.393327493,8.75649334,10.79930025,10.63758292,8.237929595,13.48322951,16.86538485,13.51453229,12.72812491,10.3328283,17.99157962,16.10424802,9.073517484,14.79903238
