Breast Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Cuba,,,,,,,,,,,,,,,11.44,,,,12.82,11.92,12.35,13.13,13.9,12.39,12.97,15.26,16.02,14.9,13.74,13.51,14.73,14.55,13.79,13.7,15.55,13.95,14.29,15.15,14.61,13.66,14.29,14.77,14.78,14.67,15.68,13.9,15.02,14.38,13.31,14.17,13.01,14,13.87
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.64,21.85,21,20.63,21.36,21.97,21.31,21.73,21.79,22.02,19.9,20.19,19.8,19.34,18.86,18.7,18.3
Czechoslovakia,,,,11.6,11.91,12.14,13.04,13.21,12.86,13.42,13.54,13.08,13.66,14.47,14.62,15.14,15.1,14.96,15.06,15.7,16.08,16.1,17.51,17,16.89,17.23,17.59,18.17,19.16,19.81,18.62,18.48,19.2,20.2,19.85,19.14,20.3,19.91,19.88,19.65,19.95,21.01,,,,,,,,,,,
Denmark,,24.51,24.37,24.86,24.98,24.15,23.83,24.49,23.92,24.54,23.89,24.86,24.62,25.26,23.87,24.33,25.84,24.33,24.15,25.18,26.63,25.7,27.68,25.34,25.97,25.45,28.48,25.98,25.01,25.04,26.68,25.41,24.7,26.09,27.15,27.61,28.28,27.94,28.51,28.11,26.88,27.43,27.95,26.45,25.89,29.56,27.24,27.99,25.8,25.25,25.35,24.82,24.29
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2
Dominican Rep.,,,,,,,,,,,,,,,,1.12,2.2,4.04,2.45,4.14,1.66,2.34,3.82,2.86,2.93,3.25,3.27,2.95,3.17,3.99,4.76,4.15,4.81,5.99,5.15,4.48,4.9,5.3,4.53,5.17,5.27,4.33,4.8,,5.25,5.19,4.81,4.26,6.31,5.39,5.37,4.76,5.29
Ecuador,,,,,,,,,,,,2.45,,2.03,2.93,,,,2.96,3.2,3.06,3.03,2.82,2.96,3.76,3.18,,2.99,4.92,4.1,4.26,4.18,4.63,4.87,4.55,4.68,5.34,5.38,5.39,5.37,5.65,6.08,5.35,5.2,5.48,6.16,5.77,5.52,5.89,6.23,6.12,6.3,5.47
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3
El Salvador,0.75,1.51,1.24,0.92,1.23,1.66,1.71,1.33,1.02,1.98,1.05,0.65,1.05,0.96,1.45,0.74,0.97,0.94,2.21,1.1,1.61,1.42,1.34,0.9,0.85,,,,,,,1.38,1.13,2.05,0.74,,,,,,2.16,2.29,2.54,2.54,,1.94,3.14,2.76,3.73,4.67,3.85,4.08,4.23
