"ODA received, total (constant 2010 US$)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Haiti,57650000,76270000,28550000,20990000,24000000,37950000,24230000,20360000,31790000,28190000,39730000,29800000,31100000,33360000,54910000,202240000,240930000,271250000,257040000,231320000,241650000,248550000,296430000,310570000,318890000,354260000,354650000,378000000,237380000,333950000,257550000,266900000,147060000,179150000,845670000,971320000,492100000,462690000,593330000,376660000,297800000,248540000,220460000,270340000,360460000,497750000,650730000,731470000,906240000,1130970000,3064840000
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,28100000,36480000,38020000,61310000,84950000,75910000,65040000,68190000,112700000,105330000,109090000,77330000,77120000,62560000,104620000,178720000,132580000,181470000,262690000,248230000,244940000,261680000,369600000,450620000,663360000,577320000,521800000,438340000,528120000,422690000,687120000,448920000,523530000,482580000,407530000,502830000,455160000,416940000,460680000,1153680000,657690000,965190000,600340000,508590000,771970000,794310000,682370000,479020000,554730000,459540000,574200000
"Hong Kong, China",37820000,30280000,10660000,36450000,2000000,32380000,15370000,17130000,8300000,7030000,9810000,24270000,17320000,3390000,3830000,-4680000,9940000,7520000,6630000,29860000,25340000,23410000,20350000,22790000,36540000,59890000,45360000,40600000,39450000,70060000,59780000,54600000,-48670000,42490000,35890000,20460000,15580000,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,5301940000,4714530000,4459690000,6403330000,7947560000,8284000000,7946270000,8525570000,5794220000,5349290000,4717200000,5422650000,3293740000,3712560000,5264930000,5931040000,6306450000,3350110000,3303680000,3490020000,5118370000,4806730000,4155550000,4725680000,4462680000,4217630000,4208790000,3070550000,3314440000,3014330000,2151460000,3944280000,3322720000,2040830000,2908710000,2028040000,2363240000,2209500000,2203020000,1915170000,1869350000,2538430000,2443040000,770170000,859660000,2064710000,1483490000,1356620000,2112030000,2529760000,2806360000
Indonesia,831720000,1157460000,1411170000,802060000,552340000,463820000,765960000,2074150000,2493210000,2271760000,3154710000,3605200000,2730790000,2879690000,2877660000,2696310000,2487850000,1708460000,1766370000,1878580000,2335630000,2409770000,2352020000,1923410000,1784630000,1620510000,1517420000,2145130000,2521830000,2931500000,2643600000,2622280000,2602490000,2454890000,1867590000,1457250000,1254300000,1061750000,1704210000,2609660000,2184000000,2068420000,1856830000,2246420000,201520000,3030820000,1504200000,919330000,1207280000,1111630000,1392510000
Iran,147750000,770630000,367700000,183400000,55390000,168290000,123930000,294070000,97960000,142550000,186550000,82760000,58100000,-6180000,48200000,-21750000,-40380000,127640000,664220000,11050000,79650000,23060000,7350000,125440000,36940000,45560000,57670000,124220000,134840000,155160000,159120000,282820000,149160000,197760000,175280000,202750000,185680000,263100000,220720000,214700000,186360000,175050000,172470000,170970000,229720000,124930000,128670000,99390000,90140000,90290000,121190000
Iraq,9810000,5270000,14950000,31280000,72140000,74240000,26460000,24600000,17600000,29900000,52600000,96890000,120080000,64490000,18520000,387310000,27040000,254640000,171260000,42690000,21160000,630020000,17500000,33930000,12080000,69740000,65580000,147050000,19860000,23210000,96060000,813840000,194220000,250210000,358420000,441630000,444300000,312370000,175350000,124210000,166570000,204170000,179260000,2828180000,5359770000,24858710000,9906250000,9686990000,9931070000,2837680000,2191630000
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,957400000,929920000,868130000,918150000,777060000,946980000,819030000,523830000,432080000,366500000,356850000,385960000,396300000,739720000,433430000,1550630000,2024150000,2345650000,2454820000,2992880000,2041960000,1642270000,1758360000,2627740000,2389460000,3598580000,3430520000,2144820000,2056700000,1910620000,2103010000,2581290000,2974110000,1797810000,1731710000,460170000,2972320000,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,,94560000,107180000,21270000,25040000,69690000,66960000,59020000,111540000,89830000,60330000,122780000,87350000,87020000,107700000,85370000,87530000,105050000,369880000,316570000,292580000,361010000,399480000,396150000,379790000,363920000,347240000,305800000,334750000,440180000,418850000,234470000,174720000,151020000,161470000,143970000,77770000,106260000,28770000,-25930000,32720000,102470000,42670000,10720000,97570000,41610000,36380000,26130000,79860000,146250000,141230000
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,591960000,610830000,537650000,533510000,488930000,439240000,469220000,342840000,294570000,305100000,487320000,324360000,494310000,907090000,1268910000,1787200000,2001180000,1417940000,1336230000,3727790000,3691000000,3033580000,2231760000,2136940000,1788130000,1544790000,1301020000,1153060000,795900000,568070000,1426650000,1349680000,576590000,438350000,484040000,635700000,633050000,631970000,563710000,576530000,768790000,651650000,766150000,1603690000,698930000,800150000,623580000,653450000,724240000,739300000,954470000
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159850000,17380000,22300000,78130000,84210000,160630000,185100000,298400000,226790000,239300000,217960000,258280000,368520000,319540000,270510000,203100000,229590000,339250000,306500000,223930000
Kenya,200960000,571190000,425840000,486670000,483120000,554880000,400520000,280300000,451850000,411220000,396240000,428940000,413740000,470860000,512210000,473180000,578410000,539230000,724930000,890900000,921630000,1111150000,1239690000,1015500000,1108780000,1130860000,986600000,1038070000,1412080000,1818770000,1792350000,1325030000,1221760000,1290090000,913610000,870800000,754700000,620750000,580200000,417670000,730850000,724220000,556850000,655390000,766810000,855510000,1041470000,1354600000,1332950000,1789520000,1628570000
Kiribati,190000,2440000,2890000,3650000,2400000,3490000,4870000,11140000,10920000,11110000,16260000,17070000,25570000,33960000,28890000,24660000,18520000,25450000,35850000,25950000,43530000,35860000,37160000,44240000,32900000,33970000,30820000,35320000,27350000,30700000,32480000,30550000,38660000,24300000,24350000,21490000,18330000,23150000,28200000,30290000,28500000,24180000,35660000,28150000,21980000,34850000,33650000,32230000,29410000,30740000,22820000
North Korea,,,,,,,,,,,,,,,,,,,142680000,,,,,,,13940000,11380000,29910000,15620000,14570000,11890000,12830000,14910000,19860000,7790000,16830000,34750000,136400000,159790000,271900000,124480000,200060000,369010000,169480000,191600000,103230000,63030000,103800000,207790000,67350000,78840000
South Korea,1506660000,1361340000,1385430000,1589080000,1022850000,1553690000,1473440000,1678550000,1484820000,2156650000,1661640000,1942550000,1862670000,1363680000,1136590000,950340000,732500000,781570000,447130000,343190000,345270000,829130000,92660000,29400000,-75980000,-2810000,-24100000,19290000,11860000,79370000,73540000,74120000,-11040000,-46320000,-123620000,42350000,-169310000,-190420000,-61520000,-57930000,,,,,,,,,,,
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773040000,619810000
Kuwait,,-1230000,-18270000,-7200000,-6010000,-8730000,-9580000,-9710000,100000,2220000,2160000,3020000,3080000,1900000,1610000,1350000,780000,1680000,2550000,3010000,22020000,22830000,14880000,13380000,12460000,11630000,10280000,5720000,9150000,7950000,19570000,17420000,9100000,2840000,6060000,5170000,,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36070000,137700000,228820000,342890000,290450000,334400000,339080000,381660000,299340000,278010000,264000000,252800000,316430000,314770000,364950000,288980000,353250000,321430000,380370000
Lao,200460000,306500000,188090000,234690000,277920000,406830000,417130000,437350000,355080000,370240000,366970000,359550000,315510000,321010000,240340000,142820000,106150000,99570000,196920000,132410000,90290000,82710000,95990000,76210000,89060000,94960000,95670000,98500000,119580000,236800000,224340000,205440000,228690000,284680000,285830000,362680000,421110000,455430000,393530000,391790000,394690000,376940000,411340000,391130000,322420000,352700000,419160000,429170000,498770000,433580000,413790000
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,88170000,84510000,62320000,54330000,25920000,60510000,57190000,58540000,128320000,57840000,114820000,34550000,74030000,56870000,582550000,54840000,143620000,442030000,668910000,315550000,695950000,1125650000,478640000,317350000,190120000,206060000,133140000,184610000,250570000,210080000,437600000,184250000,154890000,208490000,321640000,243680000,310490000,374730000,495970000,282230000,311160000,300570000,300160000,688860000,314380000,265510000,926520000,1007310000,1031650000,576530000,447930000
Lesotho,14950000,38730000,53180000,50020000,48690000,77020000,95660000,102890000,104320000,95690000,55990000,97680000,75640000,68370000,89930000,109860000,101430000,123580000,150510000,170670000,213440000,246630000,224270000,261560000,245320000,233400000,177940000,190590000,190160000,233880000,212420000,184260000,201960000,216430000,167140000,146470000,133610000,130430000,86060000,43910000,58440000,85420000,112710000,99870000,112100000,75140000,76240000,129340000,139140000,121140000,256230000
Liberia,61480000,195100000,648090000,283570000,102930000,228350000,237670000,146610000,87090000,85810000,63810000,59520000,56860000,43580000,58340000,70560000,88240000,104100000,131040000,203140000,228740000,245300000,243610000,268770000,284120000,196400000,186340000,137900000,107010000,101720000,174320000,235360000,168000000,178620000,91710000,158600000,216040000,108680000,107050000,130810000,99230000,57810000,79660000,137650000,248160000,252540000,287900000,723650000,1213370000,512890000,1419260000
Libya,290820000,271430000,229680000,181560000,141260000,59170000,14610000,22050000,46880000,54490000,30950000,20900000,43210000,72850000,62580000,6040000,35570000,28050000,19020000,9880000,31670000,11640000,266980000,14060000,13030000,14670000,25300000,11140000,9410000,17550000,12400000,10920000,4530000,4120000,5480000,7150000,4660000,5480000,7770000,6670000,,,,,,27990000,41010000,19900000,71380000,40220000,8540000
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao, China",15520000,14410000,,5900000,,,1840000,740000,860000,450000,1280000,1380000,460000,550000,120000,70000,,,,50000,10420000,30000,1800000,1410000,1150000,1080000,730000,220000,550000,520000,340000,160000,170000,220000,430000,-5050000,390000,480000,710000,410000,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5140000,150060000,97060000,135330000,138020000,150450000,397910000,393240000,395600000,423200000,340740000,312890000,263090000,231780000,210680000,200430000,192010000,187170000
Madagascar,29410000,15310000,45480000,77690000,399160000,413360000,372080000,333350000,358230000,322100000,330170000,307150000,324290000,255940000,286160000,320590000,235340000,212410000,276590000,362020000,547670000,587920000,634800000,491960000,427620000,503970000,662500000,608400000,509540000,620310000,609810000,676540000,511180000,515650000,396280000,375970000,453930000,1209490000,694790000,504770000,476970000,575890000,555830000,706000000,1488310000,1052420000,877850000,943590000,819430000,441190000,470080000
Malawi,40120000,77120000,104750000,146720000,274660000,268950000,242240000,226810000,344420000,206450000,247500000,194000000,204450000,154840000,190450000,246020000,239730000,278040000,296890000,367030000,334260000,335310000,304370000,292600000,482460000,302090000,409110000,497680000,632800000,721850000,764680000,816000000,810860000,711190000,626170000,549050000,633740000,477030000,618210000,628940000,642640000,632970000,550470000,657630000,579000000,646030000,778560000,748470000,888690000,782160000,1022850000
Malaysia,124040000,169110000,160800000,91740000,135710000,174400000,210530000,163610000,251850000,251380000,187850000,289840000,301800000,229370000,318140000,429130000,256210000,254090000,224200000,333340000,334150000,368340000,360720000,470960000,860300000,624220000,447220000,622540000,188890000,225790000,706940000,408030000,272280000,173380000,105570000,130440000,-479470000,-276710000,265900000,172810000,65530000,46820000,125000000,134880000,354670000,30820000,295710000,268810000,169300000,147110000,2060000
Maldives,270000,2400000,4280000,2610000,2370000,920000,13860000,2830000,2080000,1160000,1670000,5710000,3800000,3000000,2630000,13710000,11310000,12610000,22880000,16200000,49570000,30710000,12920000,27080000,14220000,22080000,36040000,31800000,40390000,46450000,31900000,47350000,49940000,43180000,38560000,69360000,40950000,35970000,35250000,39830000,27480000,37240000,40620000,30320000,33880000,89080000,44000000,39670000,55020000,34490000,110750000
Mali,650000,16100000,87480000,61670000,144280000,174240000,191170000,128740000,211130000,159660000,146170000,180810000,211720000,350860000,502830000,540220000,314420000,367060000,447180000,478350000,626270000,570950000,535730000,564690000,916650000,1031950000,816160000,669150000,760880000,800020000,747370000,687010000,620480000,554440000,628800000,681510000,635460000,610110000,501970000,516900000,457430000,565120000,643710000,729870000,703920000,836860000,972450000,1044890000,939320000,991360000,1088620000
Malta,118890000,91560000,79520000,153400000,169010000,133400000,135650000,123830000,141630000,125130000,142400000,100740000,78390000,136640000,97720000,125120000,112410000,105190000,113240000,135400000,40090000,155590000,77720000,132410000,33390000,50400000,14900000,-2340000,-4650000,-8970000,8320000,33080000,6400000,51140000,71110000,14970000,103410000,34990000,33890000,39700000,38110000,3180000,17830000,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410000,9940000,44320000,67630000,49800000,93900000,83280000,66580000,80010000,73900000,93480000,78670000,68230000,59080000,64210000,60050000,55050000,54590000,59950000,90630000
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,340000,10680000,22420000,16450000,100520000,74530000,153500000,94920000,164450000,84850000,50380000,87470000,71730000,143330000,416790000,313640000,738200000,590570000,694550000,450290000,405540000,550670000,475530000,455690000,454290000,538680000,486990000,358380000,319880000,441160000,362190000,327560000,281020000,477990000,364440000,277210000,348640000,334890000,238040000,318120000,344540000,454970000,558620000,336070000,228710000,217350000,253200000,359090000,439920000,370600000,374400000
Mauritius,4940000,51300000,38410000,51290000,18180000,17250000,33680000,39340000,81150000,41950000,40710000,56820000,55590000,67520000,112950000,107280000,64130000,78100000,129410000,82770000,76430000,143290000,123150000,109000000,95540000,72330000,116910000,115030000,99990000,105310000,131960000,102240000,66390000,39340000,22790000,32460000,29330000,62730000,58340000,63320000,33550000,33800000,37440000,-18660000,39530000,40970000,22260000,69920000,102290000,149610000,125270000
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,-12920000,380690000,202450000,165660000,23880000,245110000,245730000,298090000,462560000,356720000,509410000,256300000,312910000,283950000,222030000,211230000,220600000,162910000,39790000,178300000,123720000,242650000,339760000,325320000,214180000,343980000,495630000,268950000,281630000,164290000,240000000,412230000,439670000,641270000,573850000,392300000,323140000,131130000,38260000,58380000,-60690000,173210000,162490000,149900000,124170000,204220000,298370000,104870000,138410000,183880000,471070000
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680000,17340000,86240000,138420000,97260000,148810000,125690000,105240000,138310000,127530000,170550000,137550000,137170000,99780000,119690000,118430000,122500000,96550000,123030000,125210000
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91370000,57580000,146720000,178380000,181950000,197890000,154140000,139030000,194740000,258410000,273750000,288300000,241590000,470370000
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,410000,8160000,7310000,5080000,4740000,10350000,19250000,97750000,163510000,157120000,225940000,227520000,238150000,334580000,275820000,288700000,284610000,309830000,291260000,322800000,303440000,255540000,234520000,257910000,251790000,381960000,301970000
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10430000,23600000,4410000,107090000,108610000,100510000,74460000,80280000
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,356440000,701450000,558190000,666340000,723800000,730550000,631910000,415490000,585230000,507380000,500420000,720950000,509440000,425540000,473410000,948650000,885860000,1962180000,1197180000,1331120000,2693330000,2553770000,2124680000,1159370000,896140000,2224290000,895910000,763050000,823370000,863100000,1889100000,2290040000,1328270000,1163170000,970180000,656500000,845650000,689310000,790270000,1006880000,670790000,796430000,562080000,749930000,907400000,842070000,1242620000,1251840000,1401290000,899740000,992540000
Mozambique,160000,43100000,660000,1610000,-470000,,69660000,183510000,160000,390000,790000,1120000,1070000,710000,3160000,69810000,236970000,257170000,305980000,364420000,385500000,355450000,549250000,578750000,735100000,815580000,938260000,1269360000,1639180000,1442870000,1547110000,1639420000,2110110000,1827940000,1781960000,1405760000,1205110000,1385700000,1543830000,1207570000,1427070000,1513890000,3434940000,1362020000,1469080000,1491440000,1831170000,1799690000,1916250000,2018610000,1951530000
Myanmar,427440000,250430000,369260000,466530000,240050000,177040000,164650000,116680000,144750000,230550000,175030000,305040000,283430000,369760000,306760000,232500000,271590000,338650000,764140000,946710000,774370000,702060000,825620000,775160000,699810000,908580000,777300000,594300000,653310000,278560000,243690000,250840000,148880000,120300000,179660000,151980000,43850000,63560000,106200000,107540000,139700000,177600000,169560000,161250000,148360000,168660000,165700000,208290000,529520000,364150000,355080000
Namibia,,,,,,,,,,,,,100000,,,,,,,,,,,30000,,14640000,32460000,29450000,36160000,104640000,191230000,275120000,202860000,228900000,200180000,237200000,246420000,239020000,264930000,258680000,246320000,182580000,217720000,187390000,202690000,142780000,167300000,223320000,206180000,322450000,256440000
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,52980000,65500000,54920000,101420000,117910000,107770000,94180000,82590000,64340000,68890000,122590000,133190000,152470000,163430000,141520000,164630000,177760000,263310000,220510000,347410000,381070000,439690000,499990000,499880000,500840000,590790000,610040000,622270000,675530000,837940000,643400000,647690000,594220000,503120000,588890000,508920000,497770000,554020000,573910000,486070000,552990000,593340000,493070000,598380000,495890000,483950000,585580000,620160000,677880000,864720000,818360000
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,131020000,85950000,112780000,115160000,161220000,253460000,312420000,347060000,279860000,228950000,165480000,263570000,325500000,359480000,426490000,373840000,424860000,514790000,395660000,429590000,447720000,517860000,459200000,513090000,458020000,474870000,504000000,584080000,585930000,575010000,509870000,492810000,492600000,476790000,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,45460000,48060000,41550000,47180000,55720000,62870000,97470000,96820000,94900000,94410000,113260000,93000000,64030000,139500000,182940000,146950000,132490000,114160000,115430000,283130000,508620000,361620000,313370000,322140000,324670000,292000000,335670000,268950000,394860000,434970000,519270000,1236020000,916060000,471630000,862480000,813340000,1159400000,590510000,878600000,966740000,836190000,1577040000,771440000,1095010000,1460050000,883860000,833260000,868350000,723050000,772800000,620860000
Niger,410000,18760000,39230000,36270000,120110000,115610000,170020000,165390000,214670000,230790000,211960000,252420000,241490000,345900000,589720000,510990000,476600000,326060000,453120000,436190000,376910000,477380000,651370000,457700000,435110000,759620000,657630000,651010000,639250000,528680000,594550000,558900000,504710000,492720000,516580000,348830000,328550000,476340000,421300000,272370000,325030000,417990000,454490000,626430000,646470000,604460000,611060000,565150000,591240000,466530000,744520000
Nigeria,303010000,267860000,239060000,134670000,317570000,562970000,483980000,493890000,496750000,556040000,669700000,582560000,418500000,357610000,294720000,323330000,190800000,146830000,119460000,67100000,79480000,101520000,92290000,123750000,90100000,86820000,123000000,119360000,184910000,546250000,383270000,378760000,358120000,427680000,270420000,261450000,246750000,277230000,287100000,209800000,245770000,263430000,419250000,384570000,654310000,6954730000,12383340000,1951130000,1271670000,1671210000,2061960000
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,29840000,35490000,46730000,98010000,62970000,101530000,98130000,106480000,150810000,221730000,220240000,231890000,238610000,262600000,275100000,271700000,280380000,269570000,278110000,283250000,253850000,290950000,327930000,260540000,349590000,290720000,410550000,317160000,251840000,254370000,97310000,41330000,10680000,124860000,4140000,-800000,-1680000,970000,280000,170000,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,2410000,3090000,3970000,3210000,35020000,14670000,4850000,7270000,430000,320000,530000,11730000,50730000,104320000,705240000,515410000,604820000,1187360000,173220000,622110000,514210000,611960000,337910000,177260000,269300000,188390000,207720000,79980000,7660000,39610000,103730000,18590000,55220000,184510000,212060000,90580000,105570000,138400000,792710000,72500000,112870000,10710000,114210000,83840000,118370000,22020000,61120000,220710000,73210000,155220000,-40320000
Pakistan,1544200000,1581930000,2386510000,3181650000,3330360000,3308750000,2442700000,3002470000,2504220000,1991840000,2441990000,2376840000,1529280000,1286130000,1931520000,2745910000,3579510000,2026990000,1860130000,1899840000,2803760000,2001190000,2257670000,1802660000,1841420000,1889100000,1859400000,1464560000,2210030000,2351020000,1715580000,2100590000,1428970000,1490910000,2127940000,960870000,1298700000,1266560000,1457410000,997120000,935990000,2697670000,2989500000,1343640000,1675270000,1877570000,2431230000,2321400000,1514430000,2810710000,3013030000
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,10000,278640000,189580000,83200000,48820000,115720000,35340000,45380000,43160000,40150000,31380000,22810000,27370000,42130000,25100000,45370000,36150000,26310000
Panama,74960000,52000000,62330000,111520000,71510000,233390000,110250000,114970000,66860000,90530000,107380000,157350000,91180000,111720000,96010000,113960000,137380000,106530000,80960000,88400000,105520000,91570000,93910000,108620000,153250000,147770000,101100000,70360000,36430000,33370000,150690000,153000000,214820000,95230000,37180000,47050000,56710000,58930000,37520000,26320000,29610000,41830000,30310000,34980000,26610000,30640000,36260000,-106990000,28640000,66260000,128870000
Papua New Guinea,80000,80000,,70000,,816070000,818810000,911050000,985570000,1006060000,1197710000,1074360000,1284900000,966660000,1091160000,1211540000,910330000,963040000,994650000,891330000,902850000,857320000,813310000,901420000,838090000,787510000,757330000,779270000,763390000,655810000,753150000,710900000,774720000,600930000,590050000,618670000,599260000,588700000,714550000,411610000,551340000,458370000,453450000,408180000,415980000,381220000,382950000,383570000,340660000,484790000,511410000
Paraguay,86330000,58750000,21390000,61020000,61210000,59640000,77580000,115050000,121980000,104030000,109970000,119880000,126390000,108610000,144690000,133270000,148520000,159610000,119020000,77640000,76180000,135840000,223340000,131480000,134840000,130080000,129830000,134860000,113980000,140620000,84880000,205240000,128450000,157240000,105160000,150260000,105810000,146870000,110780000,106060000,105460000,88290000,79900000,65670000,27110000,59590000,65690000,117320000,134970000,147400000,104960000
Peru,-76240000,-123860000,33470000,73620000,158350000,393230000,281490000,327690000,324500000,233140000,339330000,305410000,335700000,461540000,346380000,278540000,262790000,314400000,382550000,488310000,455200000,556900000,460470000,719730000,747480000,699540000,536830000,522370000,467740000,537540000,606980000,861800000,556760000,773150000,460450000,471860000,429280000,547000000,703560000,581030000,514280000,623020000,665100000,650660000,545110000,518450000,508590000,380900000,442060000,432280000,-255920000
Philippines,583090000,189850000,236220000,220460000,571430000,766730000,416200000,791570000,505270000,640330000,310310000,456420000,986920000,1100880000,684910000,699250000,690700000,581610000,693000000,701480000,728510000,931290000,861050000,1018550000,912970000,1112620000,1696250000,1226930000,1238730000,1298630000,1931330000,1516700000,2269420000,1912030000,1275330000,1056190000,1095600000,916840000,878700000,883790000,765830000,813520000,806240000,921430000,541790000,672510000,682390000,697120000,12530000,337570000,531190000
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,-140000,,,70000,70000,,260000,390000,580000,1030000,1390000,2120000,2860000,4350000,2770000,380000,420000,1260000,2090000,2260000,2760000,3640000,4880000,4720000,4880000,2980000,7920000,4510000,4210000,3990000,5330000,4180000,4420000,,,,,,,,,,,,,,,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,77040000,72930000,103360000,66120000,66700000,69860000,97620000,107720000,126490000,134300000,154500000,166670000,174610000,194160000,202760000,338170000,285780000,309900000,354900000,369150000,358370000,395530000,402990000,396240000,449370000,486410000,443280000,442360000,429710000,400630000,447680000,547250000,496160000,517340000,1020310000,907180000,634090000,346140000,511280000,533070000,492860000,475270000,531830000,429130000,566270000,648060000,655040000,727730000,902200000,931890000,1032200000
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,50000,18510000,6670000,10950000,7850000,6750000,4890000,14610000,9080000,7690000,7220000,9430000,11410000,12400000,14570000,24710000,22340000,12580000,11150000,11270000,15640000,6840000,4810000,8850000,10150000,9360000,6570000,5990000,15890000,40400000,320000,70000,3150000,6450000,3960000,44020000,5360000,11420000
St. Lucia,,,,,,,,,,,,,,420000,34860000,36320000,29450000,15110000,11290000,5810000,20720000,28810000,20770000,17370000,14800000,18130000,25070000,21090000,31190000,31590000,19090000,35280000,38710000,37300000,41390000,64260000,50190000,35780000,10150000,34620000,13710000,27860000,48760000,20010000,-19580000,12370000,20860000,20590000,18390000,41160000,41150000
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,550000,18160000,24900000,18260000,14760000,14930000,15540000,23230000,22550000,19260000,13810000,10350000,14150000,27080000,25020000,28660000,25570000,23680000,23670000,26280000,20070000,12060000,60240000,33860000,7320000,29120000,22310000,8380000,13180000,6560000,8520000,12450000,9230000,5510000,67750000,27300000,30860000,16850000
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
