Lung Male Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.89,63.58,,,59.34,60.51,61.73,69.65,67.82,65.05,78.82,70.7,67.6,66.93,70.93,63.57,65.87,65.85,59.57,62.2,59.68,60.51
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
Finland,,,39.72,48.49,43.84,48.1,45.12,52.52,56.49,57.09,58.56,58.78,61.43,61.99,61.91,63.55,62.31,64.07,67.02,69.76,67.12,70.21,64.51,65.83,65.21,60.79,68.74,66.17,65.94,67.23,64.89,65.29,58.56,61.49,58.15,58.08,53.13,53.53,50.84,47.61,48.56,44.45,47.25,44.38,41.07,41.3,39.4,37.67,37.42,34.49,33.48,32.83,31.41
France,10.66,,13.53,14.37,15.97,16.39,17.27,19.44,19.42,20.71,21.84,23.16,24,25.74,26.42,27.64,29.03,29.53,30.14,31.15,30.96,32.46,34.16,34.66,36.03,37.1,39.3,39.95,41.95,42.27,43.36,44.26,44.21,44.1,44.97,45.79,46.65,47.43,47.98,48.06,47.57,48.38,48.23,47.87,46.49,46.83,46.52,46.02,46.43,45.64,44.61,43.97,43.64
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6
Germany,,,,,,,,,,,,,,,,,,,,,,,,46.91,47.41,48.31,48.66,49.08,49.96,,49.66,49.61,49.67,50.06,49.59,50.04,49.02,48.81,49.24,48.72,48.35,48.44,47.86,47.9,46.33,46.61,44.85,44,43.21,41.65,42.07,40.15,39.52
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
Greece,,,,,,,,,,,,24.32,28.58,28.73,29.83,31.68,30.86,32.57,32.02,32.21,31.19,31.84,33.34,38.56,40.57,38.98,42.2,43,44.71,45.37,43.11,44.73,45.99,47.35,47.44,49.5,48.81,48.38,48.46,50.31,49.38,49.97,49.1,50.62,50.75,49.69,49.93,49.21,48.41,48.9,48.76,48.37,46.22
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5
Guatemala,,,,,,,,,,,,,,1.53,2.69,2.34,1.71,1.68,2.52,2.76,1.24,1.53,,,2.66,2.28,2.42,2.11,1.76,0.49,2.53,2.3,,,0.84,,2.68,3.06,2.87,3.47,3.81,4.16,3.43,2.98,4.84,4.04,3.28,6.33,5.06,5.76,6.18,5.72,5.7
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
