Total long-term unemployment (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Denmark,,,,4.199999809,2.900000095,2.700000048,1.700000048,1.5,1.5,1.700000048,2.5,2.900000095,2.400000095,2.700000048,2.599999905,2,1.799999952,1.5,1.299999952,1,0.8999999762,0.8999999762,0.8000000119,1.100000024,1.200000048,1.200000048,0.8000000119,0.6999999881
Dominica,,,,,,,,,,,,,,,,,,10.19999981,,,,,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,0.400000006,0.200000003,,,0.200000003,,,,,,,
El Salvador,,,,,,,,,,,,,,,,,0.6000000238,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,4.5,4.599999905,,,,,,,,,
Finland,1.100000024,,1.100000024,0.8999999762,0.8999999762,0.8999999762,0.6999999881,0.8999999762,,0,,0.8999999762,,5.699999809,,5.400000095,4.5,4.199999809,3.5,2.900000095,2.700000048,2.200000048,2.099999905,2.099999905,2,2,1.799999952,1.5
France,2.099999905,2.5,2.400000095,2.799999952,3.299999952,4,4,4.300000191,4,3.599999905,3.200000048,3.099999905,3.299999952,3.5,4.400000095,4.599999905,4.5,4.800000191,4.900000095,4.5,4,3.099999905,2.799999952,3.400000095,3.5,3.5,3.599999905,3.099999905
Germany,,,,,,,,,,,,1.700000048,2.099999905,3,3.799999952,3.900000095,4.099999905,4.800000191,5,4.5,4,3.799999952,4,4.900000095,5.400000095,6,5.699999809,4.800000191
West Germany,,,,2.599999905,2.900000095,3.299999952,3.099999905,3.200000048,2.900000095,2.799999952,2.299999952,,,,,,,,,,,,,,,,,
Greece,,,,2.599999905,3,3.400000095,3.099999905,3.299999952,3.5,3.799999952,3.5,3.599999905,3.900000095,4.800000191,4.5,4.599999905,5.400000095,5.300000191,5.900000095,6.5,6.199999809,5.400000095,5.199999809,5.300000191,5.599999905,5.199999809,4.900000095,4.099999905
Hungary,,,,,,,,,,,,,2,4.099999905,4.5,5,5.199999809,4.199999809,3.599999905,3.400000095,3.099999905,2.700000048,2.599999905,2.5,2.700000048,3.299999952,3.400000095,3.5
Iceland,,,,,,,,,,,,0.200000003,0.200000003,0.5,0.6999999881,0.6999999881,0.6999999881,0.6000000238,0.400000006,0.200000003,0.200000003,0.3000000119,0.3000000119,0.200000003,0.3000000119,0.3000000119,0.200000003,0.1000000015
Ireland,,,,5.300000191,7.400000095,11.10000038,11.39999962,11.5,11.10000038,10.5,9.199999809,9.600000381,8.600000381,8.800000191,9,7.099999905,6.800000191,5.599999905,,2.799999952,,1.200000048,1.200000048,1.600000024,1.5,1.399999976,1.5,1.399999976
Italy,,,,4.800000191,5.900000095,6.099999905,7,6.900000095,7.400000095,7.5,6.599999905,6.800000191,5.199999809,5.800000191,6.800000191,7.300000191,7.900000095,8,7.099999905,7,6.5,6,5.400000095,5.099999905,3.799999952,3.799999952,3.400000095,2.799999952
Jamaica,,,,,,,,,,,,,4,4.900000095,4.599999905,4.099999905,4.099999905,4,3.900000095,4.199999809,4.5,4.800000191,,,,,,
Japan,0.3000000119,0.3000000119,0.3000000119,0.3000000119,0.400000006,0.400000006,0.5,0.6000000238,0.6000000238,0.400000006,0.400000006,0.400000006,0.3000000119,0.400000006,0.5,0.5,0.6000000238,0.6999999881,0.8000000119,1,1.200000048,1.200000048,1.600000024,1.700000048,1.600000024,1.5,1.299999952,1.200000048
"Korea, Rep.",,,,,,,,,,,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.200000003,0.1000000015,0.1000000015,0.1000000015,0,0,0,0,0
Latvia,,,,,,,,,,,,,,,,9.600000381,10,8.800000191,7.5,7.199999809,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,8.5,9.600000381,,,,,,
Luxembourg,,,,1.100000024,0.6999999881,1.200000048,0.6999999881,0.8999999762,0.400000006,0.6000000238,0.6000000238,0.3000000119,0.200000003,0.6999999881,1,0.6999999881,0.8999999762,0.8999999762,0.8999999762,0.8000000119,0.5,0.5,0.6999999881,0.8999999762,1.100000024,1.200000048,1.399999976,1.299999952
Mexico,,,,,,,,,,,,,,,,0.1000000015,0.1000000015,0.1000000015,0,0,0,0,0,0,0,0.1000000015,0.1000000015,0.1000000015
Namibia,,,,,,,,,,,,,,,,,,10.89999962,,,,,,,,,,
Netherlands,,,,5.5,,6,,5.099999905,5,4.199999809,3.799999952,3.400000095,2.400000095,2.900000095,3.200000048,3.200000048,3,2.5,1.899999976,1.399999976,,,0.6999999881,1.100000024,1.5,2,1.799999952,1.299999952
Netherlands Antilles,,,,,,,,,,,,,6.699999809,6.5,5,6.099999905,5.5,7.699999809,8.399999619,,,,,,,,,
New Zealand,,,,,,,0.200000003,0.3000000119,0.6000000238,1,1.200000048,2.299999952,3,2.900000095,2.400000095,1.399999976,1.100000024,1.200000048,1.299999952,1.299999952,1,0.8000000119,0.6999999881,0.5,0.400000006,0.3000000119,0.200000003,0.200000003
Norway,,,,0.1000000015,0.400000006,0.200000003,,0.1000000015,0.3000000119,0.5,0.8999999762,1,1.200000048,1.5,1.399999976,1,0.6999999881,0.5,0.3000000119,0.200000003,0.200000003,0.200000003,0.200000003,0.3000000119,0.400000006,0.400000006,0.5,0.200000003
Panama,,,,,,,,,,,,3.099999905,2.799999952,2.299999952,2.299999952,2.700000048,2.900000095,2.400000095,2.799999952,2,2.099999905,3.599999905,,,,,,
Poland,,,,,,,,,,,,,4.699999809,5.300000191,5.800000191,5.300000191,4.800000191,4.300000191,3.900000095,4.400000095,6.099999905,7.900000095,9.699999809,9.800000191,9.100000381,9.300000191,7,4.400000095
Portugal,,,,,,,4.699999809,4,2.900000095,2.400000095,2.099999905,1.600000024,1.200000048,1.799999952,2.799999952,3.400000095,3.599999905,3.400000095,2,1.799999952,1.600000024,1.5,1.600000024,2,2.700000048,3.5,3.799999952,3.700000048
Romania,,,,,,,,,,,,,,,3.099999905,3.200000048,2.900000095,3.200000048,3.099999905,3.5,,,,,,,,
Russia,,,,,,,,,,,,,0.5,0.6999999881,1.5,2.200000048,2.5,1.299999952,1.600000024,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,5.699999809,7,5.800000191,6,6.400000095,7.699999809,10.10000038,10.39999962,11.19999981,10.69999981,11,11,9.699999809,7.800000191
Slovenia,,,,,,,,,,,,,,3.900000095,3.900000095,,,,,,,,,,,,,
Spain,3.599999905,5.400000095,7.400000095,8.899999619,10.5,11.80000019,11.80000019,12.19999981,11.5,9.800000191,8.5,8.100000381,8.5,11.19999981,13.30000019,12.80000019,12.19999981,11.30000019,9.899999619,7.800000191,6.400000095,4.199999809,4.300000191,4.199999809,3.799999952,2.599999905,2.200000048,2
Suriname,,,,,,,,,,,,,,8.600000381,6.400000095,3.700000048,5.800000191,6,4.400000095,,,,,,,,,
Sweden,0.1000000015,0.1000000015,0.3000000119,0.400000006,0.400000006,0.3000000119,0.200000003,0.400000006,0.3000000119,0.200000003,0.200000003,0.400000006,0.8000000119,1.5,2.5,2.5,3,3.400000095,2.799999952,2.099999905,1.5,1.100000024,1.100000024,1,1.200000048,,,0.6999999881
Switzerland,,,,,,,,,,,,0.3000000119,0.5,0.6999999881,1.100000024,1.100000024,0.8999999762,1.100000024,1.200000048,1.200000048,0.8000000119,0.6999999881,0.6000000238,1.100000024,1.399999976,1.700000048,1.5,1.5
Trinidad and Tobago,,,,,,,,,,,,5.099999905,5.099999905,5.099999905,4.699999809,4,4.5,4.199999809,3.900000095,3.400000095,3.200000048,3,,,,,,
Turkey,,,,,,,,,4.199999809,3.5,3.599999905,3.200000048,3.599999905,4,3.799999952,2.700000048,2.799999952,2.700000048,2.700000048,2.099999905,1.299999952,1.700000048,2.900000095,2.5,4,4.099999905,3.5,3
United Kingdom,,,,,4.900000095,5.699999809,5.400000095,5.199999809,3.799999952,2.900000095,2.400000095,2.400000095,3.400000095,4.400000095,4.400000095,3.799999952,3.299999952,2.799999952,2.099999905,1.799999952,1.600000024,1.299999952,1.100000024,1.100000024,1,1,1.200000048,1.299999952
United States,0.3000000119,0.5,0.6999999881,1.299999952,0.8999999762,0.6999999881,0.6000000238,0.5,0.400000006,0.3000000119,0.3000000119,0.400000006,0.8000000119,0.8000000119,0.6999999881,0.5,0.5,0.400000006,0.400000006,0.3000000119,0.200000003,0.3000000119,0.5,0.6999999881,0.6999999881,0.6000000238,0.5,0.5
