Total agriculture workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Belgium,3.099999905,3.099999905,3.099999905,3.099999905,3.099999905,3.099999905,3,2.900000095,,,,,,2.5,2.5,2.400000095,2.400000095,2.299999952,2.299999952,2,1.799999952,1.600000024,1.700000048,1.700000048,2,2,2,
Belize,,,,,,,,,,,,,,24.20000076,22.89999962,27.20000076,28.70000076,29.89999962,25,27.5,,,,,,19.5,,
Bermuda,,,,,,,,,,,,,,,,,,,,,1.399999976,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,43.59999847,,
Bolivia,46.5,46.29999924,46.40000153,47.40000153,47.29999924,47.40000153,47.40000153,47.40000153,47.40000153,2.200000048,1.200000048,1.799999952,2.099999905,1.899999976,1.600000024,2.200000048,5.300000191,5.699999809,,3.799999952,4.900000095,41.5,39.59999847,,,,,
Botswana,,,,,,57.90000153,,,,,,,,,,,15.60000038,,20.39999962,,19.70000076,12.39999962,,21.20000076,,29.89999962,,
Brazil,,29.29999924,29.5,27.10000038,29.79999924,28.60000038,25.89999962,24.60000038,24.20000076,23.20000076,,,,,,,,,,,18.5,,20.60000038,20.70000076,21,20.5,19.29999924,
British Virgin Islands,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,1.399999976,,,,,,
Bulgaria,24.39999962,23.70000076,22.89999962,22.10000038,21.5,21,20.39999962,19.70000076,19.29999924,18.70000076,18.5,19.5,21.20000076,22.10000038,23.20000076,23.89999962,24.39999962,25.29999924,26.20000076,25.79999924,26.20000076,,25.79999924,10.10000038,9.699999809,8.899999619,8.100000381,7.5
Burkina Faso,,,,,,,,,,,,,,,88.80000305,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,77.5,,73.69999695,70.19999695,,,39.79999924,,,
Cameroon,,,,,,,76.90000153,,,,,,,,,,,,,,,60.59999847,,,,,,
Canada,5.400000095,5.5,5.300000191,5.5,5.400000095,5.099999905,4.900000095,4.599999905,4.400000095,4.300000191,4.199999809,4.400000095,4.300000191,4.300000191,4.300000191,4.099999905,4,3.900000095,3.799999952,3.599999905,3.299999952,2.799999952,2.799999952,2.799999952,2.700000048,2.700000048,2.599999905,2.5
Cayman Islands,,,,,,,,,,,,1.100000024,,,,,,,,,,,,,,1.700000048,2.299999952,1.799999952
Chad,,,,,,,,,,,,,,83,,,,,,,,,,,,,,
Chile,16.29999924,15.5,16.20000076,15.80000019,16,20.20000076,20.60000038,20.89999962,20.29999924,19.39999962,,19.10000038,,16.60000038,,15.69999981,,14.39999962,,14.39999962,,13.60000038,10.69999981,13.60000038,13.39999962,13.19999981,12.80000019,12.30000019
China,,,,,,,,60,59.40000153,59,53.40000153,53.90000153,53.09999847,50.79999924,49.5,48.5,47.70000076,47.40000153,47,46.90000153,46.29999924,45.20000076,44.09999847,,,,,
Colombia,1.399999976,,,,,1.399999976,1.399999976,1.399999976,1.299999952,1.299999952,1.399999976,1.299999952,1.399999976,,1.299999952,1,1.200000048,1,1,1.100000024,1.100000024,22.20000076,20.39999962,21.10000038,20.29999924,22.39999962,19.39999962,18.39999962
Costa Rica,27.39999962,27.60000038,30,28.20000076,30,27.29999924,26.89999962,28.10000038,28.10000038,26.20000076,25.89999962,25.5,24.10000038,22.60000038,21.39999962,21.60000038,21.60000038,20.60000038,20.10000038,19.70000076,20.39999962,15.60000038,15.89999962,15.10000038,14.80000019,15.19999981,14,13.19999981
Croatia,,,,,,,,,,,,,,,,,19.89999962,17.79999924,16.70000076,16.60000038,14.5,15.5,15.19999981,16.79999924,16.39999962,17.29999924,14.19999981,13.10000038
Cuba,,,,,,,,,,,,24.89999962,25.29999924,25.89999962,25.5,25.10000038,25.10000038,25.10000038,21.5,27.10000038,27.10000038,21.70000076,21.70000076,21.70000076,21.20000076,20.20000076,20,18.70000076
Cyprus,19.20000076,18.70000076,18,17.5,17.10000038,16.39999962,15.80000019,15.5,14.80000019,14.30000019,13.5,12.39999962,12,11.69999981,11,10.69999981,,,,4.5,5.199999809,4.800000191,5.199999809,5.199999809,4.800000191,4.699999809,4.300000191,4.400000095
Czech Rep.,,,,,,,,,,,,,,7.800000191,6.900000095,6.599999905,6.199999809,5.800000191,5.5,5.199999809,5.199999809,4.800000191,4.800000191,4.5,4.300000191,4,3.799999952,3.599999905
Denmark,,7.400000095,,7.400000095,6.599999905,6.599999905,5.800000191,5.699999809,5.699999809,5.599999905,5.5,5.599999905,5.099999905,5.099999905,5,4.400000095,4,3.700000048,3.599999905,3.299999952,3.299999952,3.299999952,3.200000048,3.099999905,3.099999905,3.099999905,3,2.900000095
Dominica,,,,,,,,,,28.20000076,,30.79999924,,,,,,23.70000076,,27.20000076,,21,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,19.79999924,19.70000076,,,15.89999962,,,13.69999981,14.80000019,14.60000038,,
Ecuador,,,,,,,,,6.400000095,6.900000095,,,6.599999905,7.300000191,,,6.599999905,6.800000191,,7.5,8.5,7.699999809,8.600000381,9.100000381,9.300000191,8.300000191,8.300000191,
Egypt,42.40000153,40.29999924,39.09999847,41,40.59999847,,,,,42.40000153,39,31.29999924,38.40000153,35.29999924,35.20000076,34,31.20000076,31.29999924,29.79999924,28.70000076,29.60000038,28.5,27.5,29.89999962,31.79999924,30.89999962,31.20000076,
El Salvador,37.5,,,,,34.09999847,1.600000024,,8.100000381,10.19999981,,10.39999962,35.79999924,,28,25.60000038,28.10000038,25,25.10000038,22.10000038,21.60000038,21.79999924,19.70000076,18.20000076,19.10000038,20,18.89999962,
Equatorial Guinea,,,,76.30000305,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,21.20000076,21,19.29999924,18.10000038,16,14.19999981,10.19999981,9.699999809,9.199999809,8.899999619,8.100000381,7.199999809,6.900000095,7,6.199999809,5.900000095,5.300000191,5,4.699999809
Ethiopia,,,,,,,,,,,,,,,89.30000305,,,,,,,,,,7.900000095,80.19999695,8.600000381,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,11.10000038,,
Finland,13.30000019,12.80000019,13,12.5,12,11.39999962,10.80000019,10.19999981,9.699999809,9.199999809,8.899999619,8.899999619,9,8.899999619,8.699999809,8.100000381,7.5,7,6.5,6.300000191,6.099999905,5.699999809,5.400000095,5.099999905,5,4.800000191,4.699999809,4.5
France,8.399999619,8.100000381,7.800000191,7.599999905,7.400000095,7.099999905,6.900000095,6.599999905,6.300000191,5.900000095,5.599999905,5.300000191,5.199999809,5,4.699999809,,,,,,,,,4.199999809,3.799999952,3.599999905,3.700000048,3.400000095
Gabon,,,,,,,,,,,,,,41.59999847,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,64.69999695,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,48.5,52.20000076,52.09999847,52.79999924,53.79999924,54.90000153,54,54.29999924,55.29999924,53.40000153
Germany,,,,,,,,,,,,4.099999905,3.799999952,3.5,3.299999952,3.099999905,3,2.900000095,2.799999952,2.799999952,2.599999905,2.599999905,2.5,2.5,2.400000095,2.400000095,2.299999952,2.299999952
East Germany,,,,,,,,,,,,6.800000191,4.900000095,4.199999809,3.900000095,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,62,,,,,,,55,,,,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
Greece,,30.70000076,28.89999962,30,29.39999962,28.89999962,28.5,27,26.60000038,25.29999924,23.89999962,22.20000076,21.89999962,21.29999924,20.79999924,20.39999962,20.29999924,19.79999924,17.89999962,17.5,17.39999962,16.10000038,15.5,15.30000019,12.60000038,12.39999962,12,11.60000038
Grenada,,,,,,,,,19.79999924,,,,,,19.39999962,,15.5,,13.80000019,,,,,,,,,
Guadeloupe,27.10000038,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,50.79999924,50.79999924,,,,,51.90000153,,,12.89999962,13.60000038,,,52.20000076,,,,37.59999847,,36.40000153,,38.70000076,,,,33.20000076,
Guinea,,,,,,,,,,,,,,,76,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,27.89999962,,,,,21.39999962,,,,,
Haiti,67.5,66.69999695,65.40000153,65.40000153,,,,,66.19999695,,65.59999847,,,,,,,,,50.5,,,,,,,,
Honduras,58.59999847,58.70000076,58.29999924,57.70000076,,1,3.400000095,3.299999952,,,50.09999847,38,38.20000076,8.800000191,37.20000076,37.20000076,38.29999924,37,34.59999847,35.09999847,,,,,,39.20000076,,
"Hong Kong, China",1.399999976,1.299999952,1.299999952,1.200000048,1.200000048,1.600000024,1.600000024,1.5,1.299999952,1.100000024,0.8999999762,0.8000000119,0.6999999881,0.6000000238,0.6000000238,0.6000000238,0.400000006,0.3000000119,0.3000000119,0.3000000119,0.3000000119,0.200000003,,0.200000003,0.3000000119,0.3000000119,0.200000003,0.200000003
Hungary,22.10000038,21.29999924,22.20000076,22.29999924,22,21.29999924,20.39999962,19.79999924,19.29999924,18.79999924,18.20000076,16.10000038,11.30000019,9.100000381,8.699999809,8,8.300000191,7.900000095,7.699999809,7.199999809,6.699999809,6.300000191,6.300000191,5.5,5.300000191,5,4.900000095,4.699999809
Iceland,,,,,,,,,,,,10.19999981,10.89999962,9.5,8.699999809,9.899999619,9.199999809,8.5,8.800000191,9.199999809,8.300000191,7.5,7,7,6.400000095,6.800000191,5.900000095,5.900000095
Indonesia,56.40000153,,54.70000076,,,54.70000076,55.09999847,55,55.90000153,56.20000076,55.90000153,53.90000153,54.90000153,50.59999847,46.09999847,44,44,41.20000076,45,43.20000076,,43.79999924,44.29999924,46.29999924,43.29999924,44,44.5,
Iran,,,7,,,,,,,,,,,,,,23,,,,,,,,,24.89999962,,22.79999924
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,17,,,
Ireland,,,,16.89999962,16.5,15.60000038,15.69999981,15.30000019,15.39999962,15.10000038,15.10000038,13.69999981,13.5,12.69999981,12.10000038,11.69999981,10.69999981,10.30000019,9.100000381,8.600000381,7.900000095,7,6.900000095,6.400000095,6.400000095,5.900000095,5.699999809,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,1.399999976,,,,,1.899999976,
Israel,6.300000191,6,5.599999905,5.5,5.300000191,5.300000191,5.099999905,5.099999905,4.599999905,4.599999905,4.099999905,3.5,3.5,3.5,3.299999952,2.900000095,2.5,2.400000095,2.299999952,2.299999952,2.200000048,2,2,1.899999976,2,2,1.799999952,1.600000024
Italy,14,13.19999981,12.19999981,12.19999981,11.69999981,11,10.69999981,10.30000019,9.699999809,9.199999809,8.800000191,8.399999619,8.100000381,7.300000191,7.099999905,6.699999809,6.400000095,6.199999809,5.900000095,5.5,5.400000095,5.300000191,5.099999905,4.900000095,4.5,4.199999809,4.300000191,4
Jamaica,,,,,,,,,,,,,27.29999924,24.39999962,23.60000038,23.20000076,22.60000038,21.20000076,21,20.5,20.79999924,20.70000076,20.10000038,20.39999962,18.5,18.10000038,18.20000076,
Japan,10.39999962,10,9.699999809,9.300000191,8.899999619,8.800000191,8.5,8.300000191,7.900000095,7.599999905,7.199999809,6.699999809,6.400000095,5.900000095,5.800000191,5.699999809,5.5,5.300000191,5.300000191,5.199999809,5.099999905,4.900000095,4.699999809,4.599999905,4.5,4.400000095,4.300000191,4.199999809
Jordan,,,,6.699999809,,,5.5,6.599999905,,,,,,,,,,,,,4.900000095,4.099999905,3.900000095,3.599999905,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,26.70000076,,35.5,35.5,35.29999924,33.5,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,2.799999952,,,,,,,
"Korea, Rep.",34,34.20000076,32.09999847,29.70000076,27.10000038,24.89999962,23.60000038,21.89999962,20.70000076,19.60000038,17.89999962,16.39999962,14,13.5,12.60000038,11.80000019,11.10000038,10.80000019,12,11.30000019,10.60000038,10,9.300000191,8.800000191,8.100000381,7.900000095,7.699999809,7.400000095
Kuwait,,,,0.6000000238,,,,,1.299999952,,,,,,,2.099999905,,,,,,,,0,,,,
Kyrgyzstan,,,,,,,32.70000076,33.90000153,33.59999847,33.20000076,32.70000076,35.5,38.20000076,39,42,47.20000076,47.09999847,48.29999924,49,52.40000153,53.09999847,52.90000153,49.09999847,43.20000076,38.90000153,38.5,36.29999924,
Laos,,,,,,,,,,,,,,,,85.40000153,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,17.29999924,21.5,19.10000038,16.60000038,14.5,15.10000038,15.39999962,13.80000019,13.19999981,12.10000038,11.10000038,9.899999619
Lesotho,,,,,,,,,,,,,,,,,22.79999924,56.5,,72.30000305,,,,,,,,
Libya,18.89999962,,,15.30000019,,16.79999924,19.70000076,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,20.70000076,19.20000076,19.29999924,18.70000076,17.29999924,17.79999924,17.89999962,15.80000019,14,12.39999962,10.39999962
Luxembourg,5.5,5.099999905,4.900000095,4.800000191,4.599999905,4.400000095,4.099999905,3.900000095,3.599999905,3.400000095,3.299999952,,,,,2.299999952,2.299999952,2.200000048,2.099999905,2,1.5,1.399999976,1.399999976,1.399999976,1.299999952,1.299999952,1.299999952,1.399999976
"Macao, China",,,,,,,,,,0.6000000238,0.200000003,,0.200000003,0.200000003,0,0.200000003,0.200000003,0.200000003,0.200000003,0.1000000015,0.200000003,0.1000000015,0.1000000015,0.3000000119,0.3000000119,0.1000000015,0.200000003,0.1000000015
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,78,,82,,
Malaysia,37.20000076,35.70000076,31.20000076,30.60000038,30.39999962,30.39999962,30.60000038,30.89999962,30.60000038,28.70000076,26,25.29999924,21.79999924,21.10000038,,20,19.39999962,17.29999924,18.79999924,18.39999962,18.39999962,15.10000038,14.89999962,14.30000019,14.60000038,14.60000038,14.60000038,14.80000019
Maldives,,,,,,,,,,,25.20000076,,,,,22.20000076,,,,,13.69999981,,,17.29999924,,,11.5,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,41.5,,,
Malta,,,,,,,,,,,,,,,,,,,,,1.700000048,2.200000048,1.799999952,1.700000048,2.099999905,2,1.399999976,1.600000024
Marshall Islands,,,,,,,,,,,,,,,,,,,,20.79999924,,,,,,,,
Martinique,,,,,,,,,,,7.599999905,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,14.30000019,,13.69999981,14.5,13,12.5,11.80000019,11.19999981,,11.60000038,10.10000038,9.899999619,10,10,9.600000381,9.100000381
Mexico,,,,,,,,,23.5,,22.60000038,25.79999924,,25.70000076,,23.39999962,21.79999924,23.29999924,19.20000076,20.10000038,17.29999924,17.39999962,17.20000076,16,15.69999981,14.69999981,14.10000038,13.5
Mongolia,,,,,,,,,,,,,,39.5,44.70000076,46.09999847,46.5,48.90000153,49.70000076,49.5,48.59999847,48.29999924,44.90000153,41.79999924,40.20000076,39.90000153,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,9,,8.600000381,,
Montserrat,10.39999962,10.10000038,9.899999619,9.5,10.10000038,9.899999619,9.899999619,9.600000381,,,,6.599999905,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,3.900000095,3.900000095,3.599999905,3.200000048,40,6.300000191,7.199999809,5.099999905,4.900000095,5.699999809,,4.900000095,44.40000153,43.90000153,45.79999924,45.40000153,43.29999924,
Myanmar,67.09999847,66.80000305,66.80000305,66.30000305,66.19999695,66.09999847,65.90000153,65.30000305,65.09999847,65.19999695,69.69999695,,69.09999847,68.90000153,68.69999695,,,63.40000153,62.70000076,,,,,,,,,
Namibia,,,,,,,,,,,,48.20000076,,,,,,38.29999924,,,31.10000038,,,,29.89999962,,,
Nepal,,,,,,,,,,,,81.19999695,,,,,,,,76.09999847,,65.69999695,,,,,,
Netherlands,4.900000095,,5,,5,,4.800000191,,4.699999809,4.599999905,4.5,4.5,3.900000095,3.799999952,3.900000095,3.599999905,3.900000095,3.700000048,3.299999952,3.099999905,3.299999952,2.900000095,3,2.700000048,3,3,,
Netherlands Antilles,0.400000006,0.5,,0.400000006,0.8000000119,0.8000000119,0.6999999881,0.3000000119,,,0.6999999881,0.6000000238,0.6000000238,0.6999999881,0.6000000238,0.8000000119,0.8000000119,0.8999999762,1.100000024,,1.100000024,,1,0.8999999762,0.8999999762,0.8999999762,1.100000024,1.299999952
New Caledonia,,,,,,,,,,,,,,,,,7.199999809,,,,,,,,,,,
New Zealand,,,,,,,10.60000038,10.30000019,10.30000019,10.30000019,10.60000038,10.69999981,10.80000019,10.5,10.39999962,9.699999809,9.5,8.600000381,8.5,9.399999619,8.699999809,9.100000381,8.800000191,8.100000381,7.5,7.099999905,7.099999905,7.199999809
Nicaragua,,,,,,,,,,,39.29999924,38,38.90000153,,40.09999847,,,,,,,,,30.5,30.29999924,28.89999962,29.10000038,
Nigeria,,,,33.59999847,,,46.79999924,,,,,,,,,,,,,,,,,,,,,
Niue,,,,,,,,11.60000038,,,,,,,,,,,,,,9,,,,,,
Northern Mariana Islands,,,,,2,2,,,,,2.299999952,,,,,1.200000048,,,,,,,,,,,,
Norway,8.300000191,8.199999809,7.900000095,7.599999905,7.300000191,7.300000191,7.199999809,6.5,6.300000191,6.400000095,6.400000095,5.800000191,5.5,5.5,5.300000191,5.099999905,5.099999905,4.699999809,4.699999809,4.599999905,4.099999905,3.900000095,3.799999952,3.700000048,3.5,3.299999952,3.299999952,2.799999952
Oman,,,,,,,,,,,,,,9.300000191,,,7.300000191,,,,6.400000095,,,,,,,
Pakistan,52.70000076,52.59999847,52.70000076,52.70000076,52.70000076,50.59999847,54,49.20000076,51.20000076,51.09999847,51.09999847,47.40000153,48.29999924,47.5,50,46.79999924,46.79999924,44.20000076,47.29999924,47.29999924,,48.40000153,,42.09999847,,43,,43.59999847
Panama,,,28.10000038,28.70000076,28.5,29.5,28.70000076,26,29.79999924,29.10000038,,27.29999924,25,23.10000038,19.89999962,20.79999924,20.10000038,18.60000038,17.79999924,17.39999962,17,18.10000038,17.39999962,17.5,16,15.69999981,15.89999962,14.69999981
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,72.30000305,,,,,,,
Paraguay,,,1,3.900000095,3.299999952,2.700000048,3,2.799999952,2.599999905,1.899999976,,,,,,40.09999847,,27.79999924,28.70000076,30.39999962,30.79999924,31.89999962,33.09999847,31.5,,,,29.5
Peru,,,,,,,1,0.8000000119,,1.399999976,1.200000048,,,,,1.100000024,6,7.599999905,5.300000191,5.800000191,6.800000191,8.800000191,11.19999981,12.10000038,11.69999981,11.80000019,11.39999962,9.300000191
Philippines,51.79999924,51.5,52.09999847,52,50.09999847,49.59999847,49.79999924,47.79999924,46.09999847,45.09999847,45.20000076,45.29999924,45.40000153,45.79999924,44.70000076,44.09999847,5.099999905,4.699999809,4.599999905,4.699999809,37.40000153,37.40000153,37.40000153,37.20000076,37.09999847,37,36.59999847,36.09999847
Poland,,29.10000038,29.5,29.10000038,28.20000076,27.89999962,27.39999962,27.20000076,26.70000076,25.29999924,25.20000076,25.39999962,25,,24,22.60000038,22.10000038,20.5,19.20000076,18.10000038,18.79999924,19.10000038,19.29999924,18.39999962,18,17.39999962,15.80000019,14.69999981
Portugal,27.29999924,26.10000038,25.29999924,23.5,23.79999924,23.79999924,21.89999962,22.20000076,20.70000076,19,17.89999962,17.5,11.60000038,11.60000038,11.80000019,11.60000038,12.39999962,13.69999981,13.5,12.80000019,12.80000019,12.80000019,12.39999962,12.69999981,12.10000038,11.89999962,11.80000019,11.60000038
Puerto Rico,5.400000095,5,4.900000095,5.300000191,5,5.300000191,4.699999809,3.599999905,3.700000048,3.900000095,,3.599999905,3.400000095,3.400000095,3.5,2.900000095,2.700000048,2.799999952,2.5,2.200000048,1.899999976,2,2,2,2.099999905,2.099999905,1.399999976,1.100000024
Qatar,,,,,,,,,,,,,,,,,,3.700000048,,,,2.299999952,,,2.700000048,,3,
Moldova,,39.90000153,39.70000076,39.20000076,38.20000076,37.40000153,36.70000076,35.70000076,34.5,34.79999924,33.79999924,41.79999924,40,43.09999847,45.5,,42.79999924,41.59999847,45.70000076,48.90000153,50.90000153,51,49.59999847,43,40.5,40.59999847,33.59999847,32.79999924
Romania,29.79999924,29.29999924,29,29.20000076,29.20000076,28.89999962,28.70000076,28.5,28.39999962,27.89999962,29.10000038,29.79999924,33,36,39,40.29999924,38,39,40,41.79999924,42.79999924,42.29999924,36.40000153,35.70000076,31.60000038,32.09999847,30.5,29.5
Russia,,,,,,,,,,,13.89999962,14.19999981,15.39999962,15.5,16.10000038,15.69999981,15.30000019,12.19999981,11.69999981,15,14.5,12,11.30000019,10.89999962,10.19999981,10.19999981,10,9
Rwanda,,,,,,,,,,90.09999847,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,50.90000153,50.70000076,29.20000076,29.60000038,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,23.29999924,26.5,24.20000076,25.20000076,20.39999962,23.10000038,21.70000076,20.79999924,,12.19999981,13,14.80000019,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,24.79999924,,,,,,,,,,15.39999962,,,,,,
San Marino,5.5,5.400000095,5.199999809,5.099999905,4.900000095,3.5,3.200000048,3,2.900000095,2.700000048,2.5,2.299999952,2.200000048,2.099999905,,1.5,1.5,1.399999976,1.399999976,1.299999952,,0.5,0.400000006,0.400000006,0.400000006,0.5,0.400000006,0.400000006
Sao Tome and Principe,54.29999924,63.40000153,52,60.59999847,53.5,,,,,,,39.90000153,,,,,,,,,27.89999962,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,6.300000191,6.099999905,6,4.699999809,,,,4,4.699999809
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,33.70000076,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,24,23.29999924,20.5,20.79999924
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,68.5,,,
Singapore,1.299999952,1.100000024,1,1,0.6999999881,0.6999999881,0.8000000119,0.8999999762,0.400000006,0.5,0.400000006,0.3000000119,0.3000000119,0.200000003,0.3000000119,0.200000003,0.200000003,1,0.8999999762,0.8999999762,0,0.8999999762,0.8000000119,0.8999999762,0.8000000119,,1.299999952,1.100000024
Slovak Republic,,,,,,,,,,,,,,,10.10000038,9.199999809,8.899999619,9.199999809,8.199999809,7.400000095,6.699999809,6.099999905,6.199999809,5.800000191,5.099999905,4.699999809,4.400000095,4.199999809
Slovenia,,,,,,,,,,,,,,10.69999981,11.5,10.39999962,10.10000038,12,12,10.80000019,9.5,9.800000191,9.699999809,8.399999619,9.600000381,8.800000191,9.600000381,10.19999981
South Africa,,,,,,,,,,,,,,,,,,,,,15.60000038,10.5,12.60000038,10.60000038,9.100000381,7.5,8.5,8.800000191
Spain,19.29999924,18.79999924,18.5,18.70000076,18.5,18.29999924,16.10000038,15.10000038,14,12.69999981,11.5,10.30000019,9.800000191,9.800000191,9.399999619,8.899999619,8.399999619,8.100000381,7.800000191,7.199999809,6.699999809,6.5,6,5.800000191,5.5,5.300000191,4.800000191,4.5
Sri Lanka,,45.90000153,,,,49.29999924,,,,,47.79999924,41.40000153,43.59999847,38.70000076,42.59999847,37.29999924,35.09999847,37.40000153,41.59999847,,,24.20000076,35.09999847,34.29999924,33.5,30.29999924,32.20000076,31.29999924
Saint Helena,,,,,,,,,,,,,,,,,,,10.19999981,,,,,,,,,
Saint-Pierre-et-Miquelon,,,,,,,5,,,2.099999905,,,,,,,,,,,,,,,,,,
Suriname,,,16.5,,,,9.199999809,,,,,,4.199999809,4.5,6.099999905,6.900000095,5.900000095,5.199999809,5.599999905,6.099999905,,,,,8,,,
Sweden,5.599999905,5.599999905,5.599999905,5.400000095,5.099999905,4.800000191,4,4,3.900000095,3.599999905,3.400000095,3.299999952,3.299999952,3.5,3.5,3.099999905,2.900000095,2.799999952,2.599999905,2.5,2.400000095,2.299999952,2.099999905,2.099999905,2.099999905,2,2,2.200000048
Switzerland,6.900000095,6.599999905,6.400000095,6.400000095,6.199999809,6.099999905,5.699999809,5.300000191,4.900000095,4.5,4.199999809,4.300000191,4.300000191,4.400000095,4.300000191,4.400000095,4.599999905,4.599999905,4.699999809,4.800000191,4.5,4.199999809,4.099999905,4.099999905,3.799999952,3.799999952,3.700000048,4
Syria,,,,30.60000038,25.5,,,,,26.5,,,,31.10000038,23.39999962,28.39999962,,17.79999924,,27.79999924,32.90000153,30.60000038,31.20000076,27,,,,
Taiwan,,,,,,,,,,,,,,,,,,,,8.199999809,7.800000191,7.5,7.5,7.300000191,6.599999905,5.900000095,,
Tajikistan,,,,,,,,,,,,44.70000076,46.79999924,51.20000076,54,59.09999847,59.29999924,46.20000076,,,,,,,55.5,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,82.09999847,,,,,76.5,
