Water resources: total internal renewable per capita (m3/inhab/yr),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Monaco,,,,,,,,,,
Mongolia,34467.76,30128.56,26183.44,22733.07,19835.93,17106.35,15110.04,14347.42,13867.5,13360.82
Montenegro,,,,,,,,,,
Montserrat,,,,,,,,,,
Morocco,2362.51,2056.96,1801.3,1597.11,1405.39,1242.13,1128.13,1045.7,983.2,939.94
Mozambique,12604.1,11342.44,10155.52,8949.65,7884.53,7509.79,7004.56,5942.59,5241.93,4782.69
Myanmar,40036.29,35826.53,31757.41,28196.3,25382.37,23073.4,21281.49,19883.31,18829.11,18202.03
Namibia,9801.472,8651.673,7516.246,6598.659,5949.426,4982.27,4054.085,3516.844,3171.59,3009.936
Nauru,,,,,,,,,,
Nepal,19024.91,17334.07,15625.14,13991.53,12490.43,11132.59,9864.65,8705.71,7775.24,7170.41
Netherlands,931.56,872.72,826.71,792.53,769.78,750.3,725.87,702.84,683.09,671.59
Netherlands Antilles,,,,,,,,,,
New Caledonia,,,,,,,,,,
New Zealand,131997.1,120935.57,111488.57,105166.43,103682.83,98943.36,93070.22,87208.74,82823.97,78993.42
Nicaragua,101214.693,86983.709,74391.885,63665.009,55110.245,48885.871,43662.123,39081.19,36099.462,34296.369
Niger,1075.04,914.04,778.86,664.5,569.97,491.44,418.58,350.67,293.11,254.79
Nigeria,4981.8,4423.96,3912.29,3404.38,2941.32,2555.91,2207.72,1918.52,1682.7,1527.08
Niue,,,,,,,,,,
Norfolk Island,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,
Norway,105010.54,100935.95,97089.1,94474.05,92908.63,91288.36,89128.22,86637.85,84003.39,81822.22
West Bank and Gaza,705.2614,700.3525,717.2986,607.145,510.7567,422.2792,348.5906,287.8323,239.7404,208.7797
Oman,2358.12,2062.66,1740.52,1381.43,1060.12,845.95,707.82,613.72,572.8,549.81
Pakistan,1132.5,998.76,874.95,761.42,647.02,537.68,461.93,409.24,366.57,341.73
Palau,,,,,,,,,,
Panama,123528.997,106713.573,92612.835,81306.552,72278.311,65009.946,58694.203,53014.646,48131.877,44842.067
Papua New Guinea,371287.47,335374.47,299423.24,267671.76,238179.2,209304.29,184122.48,161183.08,141534.86,129158.17
