Whole country all new case detection rate (%),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Rwanda,,,,,,21,22,26,29,26,20,16,16,17,16,18,20,19
Saint Kitts and Nevis,,,,,,93,69,,113,67,0,44,66,22,22,0,21,85
Saint Lucia,,,,,,,,80,62,62,35,57,61,39,56,52,56,76
Saint Vincent and the Grenadines,,,,,,40,,,17,,43,33,27,47,23,23,40,40
Samoa,,,,,,111,80,73,51,73,104,52,78,70,90,65,64,
San Marino,,,,,,,0,45,0,0,51,0,51,0,0,,,
Sao Tome and Principe,,,,,,,,,,,58,57,59,285,69,78,96,55
Saudi Arabia,,,,,,,,35,34,35,34,33,34,33,33,33,34,34
Senegal,,,,,,36,39,36,35,30,33,32,29,32,29,30,30,29
Seychelles,,,,,,30,50,64,34,,68,58,99,34,62,42,,
Sierra Leone,,,,,,17,26,24,23,,22,24,22,22,22,23,25,27
Singapore,,,,,,108,41,106,103,93,85,104,104,105,103,107,104,106
Slovakia,,,,,,69,74,68,62,63,64,65,67,74,60,70,68,65
Slovenia,,,,,,77,84,76,75,79,74,81,81,74,73,86,74,77
Solomon Islands,,,,,,39,33,38,36,27,39,39,35,41,47,58,56,61
Somalia,,,,,,17,19,25,24,26,30,36,37,46,57,61,54,49
South Africa,,,,,,66,63,63,67,54,43,44,53,53,56,55,60,62
Spain,,,,,,52,,0,59,,58,51,53,54,45,55,58,56
Sri Lanka,64,59,64,63,57,52,47,56,61,63,72,64,76,77,72,78,71,73
Sudan,,,,,,19,32,17,33,32,32,30,30,29,30,32,30,29
Suriname,,,,,,,21,26,,25,26,21,27,24,23,25,25,
Swaziland,,,,,,48,100,,,,66,61,61,61,59,60,60,63
Sweden,,,,,,97,91,90,89,95,91,94,91,91,87,105,92,84
Switzerland,,,,,,92,89,90,90,73,83,90,98,93,93,95,93,92
Syrian Arab Republic,,,,,,65,78,78,86,90,87,88,86,90,88,85,80,86
Tajikistan,,,,,,44,34,36,41,,38,41,7,,38,42,37,39
Thailand,,,,,,54,47,35,18,33,38,55,55,60,60,63,60,58
"Macedonia, FYR",,,,,,80,74,71,66,65,86,93,99,96,98,91,88,83
Timor-Leste,,,,,,,,,,,,,93,89,113,109,99,87
Togo,,,,,,9,10,,7,6,7,,7,7,9,10,10,8
Tokelau,,,,,,90,0,,,0,0,0,,0,,0,,
Tonga,,,,,,67,68,70,107,76,85,41,107,62,48,72,74,95
Trinidad and Tobago,,,,,,61,138,190,119,104,132,139,89,97,111,106,151,139
Tunisia,,,,,,84,85,,81,75,83,81,80,83,82,83,82,84
Turkey,,,,,,92,79,79,77,77,81,22,,29,30,89,86,80
Turkmenistan,,,,,,85,81,104,95,97,95,97,92,98,93,93,92,98
Tuvalu,,,,,,143,,,79,63,65,57,64,127,,65,50,97
Uganda,,,,,,32,38,37,37,44,34,38,38,37,39,37,38,39
Ukraine,,,,,,75,74,75,78,73,73,,,28,,,82,74
United Arab Emirates,,,,,,,,,,11,20,12,14,18,13,15,13,13
United Kingdom,,,,,,89,89,83,79,60,83,84,96,85,88,94,91,84
Tanzania,,,,,,47,48,46,49,47,46,48,47,47,48,47,47,48
Virgin Islands (U.S.),,,,,,26,53,,,,,,,,,,,
United States of America,,,,104,105,105,105,105,103,105,103,106,103,105,105,104,105,105
Uruguay,,,,,,72,79,81,76,71,73,68,65,86,87,80,70,76
Uzbekistan,,,,,,56,70,68,71,70,69,24,72,67,66,64,74,61
Vanuatu,,,,,,39,63,92,92,61,79,95,55,57,64,41,72,70
Venezuela,,,,,,69,69,71,73,75,73,72,69,74,73,73,70,67
Viet Nam,,,,,,37,49,56,57,58,58,59,61,59,62,60,61,61
Wallis et Futuna,,,,,,75,90,90,,,,90,90,84,,90,,90
West Bank and Gaza,,,,,,9,5,,2,,5,4,,4,3,4,5,4
Yemen,,,,,,75,74,63,67,69,73,69,63,56,55,51,47,47
Zambia,,,,,,25,74,,,,77,67,76,72,74,71,72,74
Zimbabwe,,,,,,45,59,67,66,64,59,58,57,48,50,45,41,37
