Lung Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63,5.66,6.01,5.97,6.28,6.55,7.47,7.15,6.41,7.46,6.84,6.77,6.34,6.64,5.73,6.24,6.42,6.11,6.23,6.11,5.78,6.2,6.04
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.97,5.34,,,5.88,5.45,5.12,5.5,5.75,6.06,6.1,5.03,6.26,5.08,5.71,5.21,5.46,4.64,5.84,4.96,5.66,4.71
Luxembourg,,,,,,,,,,,,,,,,,,4.69,3.41,3.81,3.49,3.95,8.14,3.61,3.72,5.11,5.45,4.56,5.56,7.01,7.77,5,3.9,6.65,10.58,9.72,6.23,8.48,7.62,9.75,8.71,9.14,9.95,8.5,11.32,9.14,9.75,14.66,11.89,13.24,11.04,10.17,7.97
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13,4.72,5.21,7.16,6.01,7.04,6.6,7.01,7.38,7.64,6.94,5.48
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
Malta,,,,,,,,,,,,,,,,2.23,,2.71,3.07,4.92,1.91,3.34,0.61,1.1,2.76,1.24,5.26,3.63,1.86,3.16,4.45,5.35,4.81,6.85,4.58,2.45,5.36,2.22,4.78,4.28,2.9,2.48,4.56,5.12,5.88,2.32,6.5,4.21,5.96,4.8,7.75,5.9,4.53
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
Mauritius,,,,,,,,,,,,1.73,1.24,1.68,2.01,0.62,3.26,2.4,2.43,1.01,4.67,3.7,2.63,3.45,4.33,3.36,2.47,4.77,3.38,5.76,2.22,4.7,3.89,3.18,4.39,4.14,3.78,4.08,6.18,4.65,4.21,4.85,3.25,3.42,4.38,4.13,3.48,3.22,5.01,4.34,4.04,4.21,4.95
Mexico,,,,,,2.39,2.59,2.88,2.83,3.3,3.21,3.32,3,3.26,3.19,3.35,3.72,3.72,3.58,3.35,3.65,3.81,3.86,3.98,3.6,3.73,4.03,4.22,4.05,4.53,4.49,4.66,4.39,5,5.13,5.35,5.52,5.41,5.43,5.33,5.41,5.4,5.61,5.44,5.71,5.34,5.4,5.67,5.25,5.19,4.97,4.76,4.96
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02,4.95,,,6.12,5.89,7.73,6.9,8.19,6.19,6.99,5.07,6.63,6.19,5.59,5.77,6.06,5.25,5.24,4.65,5.4,5.05
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
