"GDP per working hour, (constant 1990$)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Taiwan,6.199999809,6.820000172,7,7.519999981,8.170000076,8.640000343,9.329999924,9.640000343,9.760000229,9.880000114,10.23999977,10.82999992,11.43000031,12.07999992,12.67000008,13.47999954,14.35000038,15.09000015,15.89000034,16.62999916,17.39999962,18.14999962,18.67000008,19.09000015,19.55999947,20.19000053,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,17.95000076,17.67000008,17.29999924,17.30999947,17.21999931,17.71999931,18.34000015,18.97999954,20.01000023,20.46999931,20.80999947,22.20999908,24.60000038,24.85000038,26.52000046,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,5.78000021,6.010000229,6.269999981,6.460000038,6.960000038,7.090000153,7.519999981,8.159999847,8.390000343,8.140000343,8.75,8.479999542,8.779999733,9.859999657,8.779999733,9.199999809,9.489999771,10.27000046,10.28999996,9.479999542,10.14999962,9.390000343,10.21000004,10.89999962,11.68000031,12.39999962,13
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,16.35000038,16.95999908,17.65999985,18.45999908,18.64999962,18.97999954,19.80999947,20.40999985,20.59000015,20.54999924,20.64999962,21.18000031,22.09000015,23.01000023,23.65999985,24.01000023,24.60000038,24.95999908,25.45000076,25.90999985,26.72999954,27.06999969,27.78000069,28.56999969,29.38999939,29.71999931,30.43000031
United States,22.87000084,23.39999962,23.29999924,23.85000038,24.36000061,24.73999977,25.29999924,25.5,25.79999924,25.97999954,26.38999939,26.70999908,27.57999992,27.67000008,27.92000008,27.95000076,28.63999939,29.07999992,29.64999962,30.37999916,31.10000038,31.70000076,32.63999939,33.61999893,34.52999878,35.11000061,35.63000107
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSR,7.380000114,7.409999847,7.550000191,7.769999981,7.840000153,7.889999866,8.18999958,8.279999733,8.43999958,8.56000042,8.350000381,7.860000134,6.900000095,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,16.06999969,16.23999977,15.60000038,15.22000027,15.68000031,15.11999989,14.77000046,14.46000004,14.19999981,13.90999985,13.78999996,14.61999989,14.98999977,14.55000019,13.67000008,13.72999954,13.22999954,13.72999954,13.35999966,12.18000031,12.25,12.35000038,11.31999969,10.35999966,12.11999989,13.53999996,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,
