"Residential electricity consumption, total (kWh)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929167220,1130203400,1230221400,1095197100,1270228600,1067192060,1234222120,1205216900,1349242820,1363245340,1466263880,1585285300,1584285120,1594286920,1618291240,1620291600,1675301500,1773319140,1845332100
Ethiopia,,,,,,,,,,,,96017280,87015660,85015300,87015660,89016020,94016920,98017640,111019980,126022680,151027180,157028260,170030600,181032580,196035280,216038880,217039060,200036000,256046080,261046980,309055620,365065700,405072900,437078660,481086580,530095400,558100440,569102420,516092880,497089460,520093600,395071100,591106380,644115920,711127980,769138420,977175860,1117201060,1178212040
Finland,713128340,732131760,870156600,989178020,1083194940,1220219600,1363245340,1499269820,1755315900,2041367380,2674481320,3686663480,4317777060,5022903960,5136924480,5528995040,6475165320,6807225080,7383328760,7754395540,8057450080,8430517220,8985617120,9447700280,10407873080,12185192940,12527254500,13790481840,13329398860,13497429100,14601627820,15642815200,15859854260,16315936340,16986056940,16259926260,17238102300,17425135960,18145265560,18453321000,18144265380,19378487500,19945589560,20408672900,20367665520,20581704040,21143805200,21494868380,21172810420
France,7554359540,8225480320,9384688940,10749934640,12809305260,12559260260,13879497860,15387769300,17134083580,19100437460,21178811500,23447219740,26614789800,30174430420,33048947740,38170869520,43116759620,47537555220,53900700380,58203474740,61560078820,64346580300,67476143520,74912481820,79844369400,85793440040,89604125840,93301791300,91356441200,93526831800,96925443440,106836227060,109612726740,111490064600,111241019780,108861591560,120530691620,119105435120,123169166460,126955847940,128743169600,133911099660,133021939640,141579479720,147114475840,144574018640,147130478720,145781235900,155636009440
Gabon,,,,,,,,,,,,87015660,,88015840,88015840,88015840,96017280,110019800,110019800,113020340,165029700,270048600,285051300,378068040,310055800,390070200,380068400,391070380,393070740,200036000,234042120,232041760,232041760,233041940,383068940,403072540,441079380,466083880,490088200,521093780,514092520,540097200,569102420,587105660,599107820,628113040,676121680,720129600,797143460
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2902522360,2683482940,2699485820,2951531180,2902522360,4610829800,2290412200,2593466740,2950531000,2763497340,2663479340,2576463680,2491448380,2680482400,2821507780,2961532980,2717489060,2796503280,2861514980
Germany,12224199960,13879497860,16060890440,19338480300,21155807360,23888299120,26724809600,29462302260,33095956200,37465742620,57895419300,64940687220,72449038480,78570140080,83652054660,89026021800,95853250480,100663116100,108608546020,111747110860,115036702880,116662995560,118335296520,121795919320,127320913640,132639870880,134417190740,139877173360,136203512220,136325534180,137078669720,122175987720,122825104540,126115696740,124555415940,127198891680,134175147180,130835546160,130499485680,131304630580,130523490000,134024120000,136524570000,139125038000,140425272000,141325434000,141525470000,140125218000,139525110000
Ghana,,,,,,,,,,,,164029520,186033480,216038880,301054180,405072900,495089100,543097740,565101700,592106560,595107100,638114840,605108900,585105300,545098100,539097020,609109620,696125280,719129420,804144720,905162900,1027184860,1229221220,1367246060,1478266040,1626292680,1908343440,1478266040,1222219960,1594286920,1610289800,1713308340,1822327960,1886339480,2012362160,1986357480,2105378900,2095377100,2269408420
Gibraltar,,,,,,,,,,,,25004500,25004500,25004500,25004500,25004500,26004680,26004680,27004860,27004860,27004860,28005040,28005040,28005040,28005040,28005040,29005220,29005220,32005760,33005940,33005940,33005940,34006120,,,,,,,,,,,,,,,,
Greece,554099720,631113580,716128880,828149040,958172440,1096197280,1261226980,1415254700,1519273420,1773319140,1990358200,2291412380,2677481860,3070552600,3002540360,3340601200,3749674820,4150747000,4779860220,5128923040,5657018080,5905062720,6314136340,6770218420,7242303380,7686383300,7807405080,8542537380,8769578240,9144645740,9075633320,10015802520,10613910160,10482886580,10933967760,11510071440,12255205540,12425236140,12788301480,13486427120,14209557260,14548618280,15777839500,16446959920,16855033360,16878037500,17679181680,17960232260,18129262680
Guatemala,,,,,,,,,,,,160028800,206037080,222039960,240043200,286051480,315056700,363065340,399071820,377067860,441079380,437078660,449080820,468084240,490088200,500090000,544097920,527094860,505090900,593106740,641115380,677121860,764137520,830149400,894160920,955171900,994178920,1055189900,1127202860,1293232740,1386249480,1422255960,1412254160,2010361800,2151387180,2216398880,2271408780,2332419760,2407433260
Haiti,,,,,,,,,,,,47008460,47008460,47008460,58010440,81014580,69012420,94016920,94016920,94016920,116020880,123022140,132023760,129023220,131023580,138024840,126022680,139025020,146026280,159028620,155027900,127022860,109019620,103018540,65011700,108019440,116020880,81014580,116020880,128023040,116020880,116020880,93016740,93016740,105018900,107019260,109019620,86015480,80014400
Honduras,,,,,,,,,,,,136024480,148026640,163029340,179032220,195035100,221039780,266047880,289052020,345062100,211037980,240043200,264047520,282050760,291052380,330059400,340061200,372066960,405072900,436078480,502090360,540097200,562101160,630113400,609109620,784141120,868156240,984177120,1108199440,1174211320,1330239400,1429257220,1497269460,1540277200,1658298440,1763317340,1807325260,2063371340,2129383220
"Hong Kong, China",,,,,,,,,,,,1058190440,1193214740,1322237960,1393250740,1529275220,1650297000,1928347040,2044367920,2098377640,2337420660,2425436500,2562461160,2967534060,3004540720,3199575820,3557640260,3894700920,4365785700,4743853740,5288951840,5719029240,6033085760,6694204740,7176291500,7519353240,8111459800,8040447020,9111639800,8724570140,8956611900,9113640160,9278669860,9548718460,9483706760,9949790640,9843771560,10119821240,10307855080
Hungary,,,,,,991178380,1126202680,1268228240,1425256500,1602288360,1817327060,2045368100,2317417060,2550459000,2871516780,3186573480,3593646740,3989718020,4574823320,5008901440,5020903600,5392970560,5900061820,6396151100,7005260720,7397331280,7550358820,8136464300,8228480860,8655557720,9190654020,9769758240,10515892520,9723749960,9844771740,9788761660,10054809540,9781760400,9977795680,9834769940,9793762560,10131823400,10441879200,11064991340,11033985760,11117000700,11453061180,11252025000,11462062800
Iceland,169030420,185033300,197035460,214038520,212038160,235042300,253045540,248044640,235042300,241043380,272048960,298053640,317057060,355063900,416074880,473085140,505090900,531095580,603108540,643115740,649116820,677121860,672120960,539097020,470084600,452081360,448080640,527094860,562101160,564101520,575103500,517093060,542097560,559100620,556100080,559100620,563101340,578104040,563101340,581104580,606109080,608109440,637114660,612110160,672120960,690124200,797143460,827148860,860154800
India,,,,,,,,,,,,4107739260,4309775620,4645836100,5173931140,5822047780,6338140660,6822227780,7577363680,8403512360,9247664280,10440879020,12094176560,13237382300,15508791080,17261106440,19326478140,22123981600,24613429620,29582323860,31987756760,35860453720,39724149060,43351801920,47923624700,51742311940,55276948060,60356862280,64984695140,70532693600,75642613220,79708344920,83370003900,89752152480,95677218800,100108016200,111021980360,120939765240,124584421160
Indonesia,,,,,,,,,,,,931167580,990178200,1059190620,1142205560,1258226440,1388249840,1562281160,1874337320,2312416160,2304414720,2804504720,3373607140,4095737100,4498809640,4909883620,5493988740,6206116900,7055269720,7120281420,8592546380,10020803420,11337040300,12809305260,14670640240,18123261600,19554519180,22720088880,24869475700,26890839480,30568501340,33346001200,34000118920,35759435540,40331258320,41191413120,43761875720,47333518500,50193033120
Iran,,,,,,,,,,,,983176940,1218219240,1423256140,1620291600,2034366120,2620471600,3238582840,3797683460,4702846360,5479986220,5810045620,7351323000,8858594260,10070812420,11318036880,12418234880,13670460240,13996518920,15793842380,17347121920,19131443040,19512511620,22146985740,22477045140,23378207320,23997318740,26527774140,28691163480,29759355720,31271627880,32896920380,34952290280,37973834060,40571301520,44203955280,48094655480,50786139860,52905521280
Iraq,,,,,,,,,,,,1463263340,1515272700,1839331020,1868336240,2177391860,2538456840,2358424440,2903522540,3757676260,4542817560,4800864000,5452981360,7074273140,8505530720,9166649700,9741753200,10292852380,,,,,,,,,,,,,,,,,,,,,
Ireland,974175320,1021183780,1154207720,1206217080,1317237060,1409253620,1497269460,1583284940,1791322380,1904342720,2127382860,2291412380,2453441540,2590466200,2712488160,2618471240,2846512280,3049548820,3283590940,3652657360,3595647100,3559640620,3607649260,3697665460,3755675900,3957712260,4068732240,4232761760,4207757260,4330779400,4142745560,4351783180,4606829080,4686843480,4830869400,4960892800,5219939420,5325958500,5511991980,6010081620,6376147500,6729211040,6580184220,6967253880,7347322280,7513352160,8084454940,8064451340,8527534680
Israel,,,,,,,,,,,,1677301860,1961352980,2182392760,2174391320,2336420480,2510451800,2653477540,2844511920,2911523980,2985537300,2898521640,3215578700,3471624780,3322597960,3495629100,3600648000,4007721260,4839871020,5172930960,5317957060,5612009980,6885239120,7026264500,7698385460,8119461240,8640555020,9477705680,10148826460,10192834380,11569082060,11811125620,12729290860,13217378700,13519433060,13721469420,14315576340,15051708820,15226740320
Italy,6411153800,7061270800,8074453140,9430697220,10738932660,12156187720,13311395620,14506610720,15865855340,17589165480,19398491100,22994138200,24334379400,26287730940,27336919760,27701985460,29959391720,31671699880,34202155280,36393549660,37842810480,38860993720,41082393500,41039385760,43406811820,44509010180,45698224200,48142664120,49266866440,50987176040,52739491400,54688842220,55749033020,56422154160,57034264320,57254303920,58007439460,58495527300,59285669500,60727929060,61123000160,61564079540,62968332260,65027702880,66603986560,66972052800,67647174300,67232099600,68401310020
Jamaica,,,,,,,,,,,,222039960,283050940,294052920,298053640,328059040,346062280,347062460,351063180,330059400,318057240,315056700,329059220,365065700,368066240,340061200,367066060,417075060,406073080,468084240,525094500,533095940,536096480,568102240,618111240,754135720,782140760,810145800,848152640,879158220,892160560,1058190440,1103198540,1107199260,1081194580,1107199260,1097197460,1142205560,1032185760
Japan,16302934000,19203456000,22904122000,26904842000,31405652000,35906462000,40907362000,47008460000,51709306000,63311394000,70812744000,62469242440,70434675960,79208254920,78893198220,88021841080,94920082540,101469261180,111193011140,115821844180,116111896380,121285827520,127692980600,137269704100,142167585560,147623567460,150573098280,159691739340,166645990880,176653791960,184181146640,191914538400,198522727660,204095730620,220654710700,229856366700,232933920560,236483559380,244626024760,251738304740,257900413720,257231293300,265908854980,261641086920,273972306140,283130954400,279644326920,291051379820,287672771780
Jordan,,,,,,,,,,,,,,,,92016560,116020880,130023400,150027000,225040500,300054000,350063000,450081000,539097020,604108720,655117900,701126180,753135540,821147780,840151200,874157320,927166860,1074193320,1192214560,1317237060,1422255960,1562281160,1628293040,1780320400,1835330300,1981356580,2110379800,2500450000,2678482040,2940529200,3185573300,3651657180,4017723060,4459802620
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7898421460,7932427580,6784220940,6062090980,5431977580,5409973620,5466983880,4765857700,5270948600,5340961200,5676021500,5853053360,6230121220,6711207800,6960252620,7426336500
Kenya,,,,,,,,,,,,177031860,192034560,201036180,212038160,234042120,235042300,248044640,270048600,450081000,458082440,497089460,512092160,538096840,572102960,598107640,594106920,751135180,735132300,729131220,780140400,823148140,877157860,927166860,977175860,812146160,847152460,907163260,957172260,886159480,800144000,899161820,981176580,1050189000,1120201600,1193214740,1334240120,1495269100,1504270720
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,,,,,,,967174060,1159208620,1547278460,1704306720,2026364680,2390430200,2909523620,3913704340,4980896400,5317957060,5936068300,6600187820,7744393740,8758576260,9633733760,10300853820,11463062980,13213377980,15177731500,17738192300,19485506760,21799923280,23920304880,26557779540,28308094540,30647515560,32520852700,32918924340,34587224580,37108678360,39218057980,42285610040,44580022960,48623750700,50883157320,52546456660,54203754920,56239121220
Kuwait,,,,,,,,,,,,1690304200,1850333000,2040367200,2240403200,2470444600,2520453600,2900522000,3335600300,4185753300,4205756900,4950891000,5901062000,6151107000,6851233000,7646376100,8501530000,8501530000,9001620000,9501710000,9401692000,6407153080,11512071800,11789121660,12066171520,12343221380,12620271240,12897321100,13174370960,13453421180,13687463300,14579623860,15449780460,15883858580,17106078540,19189453480,19972594420,20444679380,21715908160
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986177480,960172800,1687303660,2546458280,1876337680,1910343800,1701306180,1585285300,1608289440,1943349740,2351423180,1814326520,1719309420,2415434700,2490448200,2949530820,3257586260,2814506520,2294412920
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1286231480,1299233820,1184213120,863155340,950171000,1161208980,1093196740,1082194760,1111199980,1147206460,1189214020,1239223020,1317237060,1421255780,1467264060,1572282960,1728311040,1794322920,2031365580
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784321120,1970354600,2552459360,3671660780,3050549000,2915524700,2898521640,2993538740,3050549000,3303594540,3418615240,3373607140,3428617040,3311595980,3418615240,3625652500
Libya,,,,,,,,,,,,204036720,228041040,460082800,554099720,731131580,914164520,1138204840,1351243180,1667300060,1667300060,1667300060,1667300060,1667300060,1667300060,1667300060,2223400140,2778500040,3056550080,3056550080,3056550080,3143565740,3313596340,3415614700,3335600300,3290592200,3176571680,4173751140,5741033200,5671020600,5966073700,6709207440,3598647640,3735672300,4037726660,7083274760,8048448460,7085275120,5222939960
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762317160,1836330480,1796323280,1557280260,1541277380,1544277920,1606289080,1720309600,1743313740,1886339480,1767318060,1818327240,1811325980,1895341100,2066371880,2141385380,2350423000,2464443520,2705486900
