Annual population growth rate (%),1953,1958,1963,1968,1973,1978,1983,1988,1993,1998,2003,2008,2013,2018,2023,2028,2033,2038,2043,2048
Channel Islands,0.728,0.734,1.011,1.066,0.846,0.292,0.846,1.027,0.301,0.374,0.262,0.193,0.115,0.069,0.027,-0.04,-0.132,-0.23,-0.307,-0.344
Chile,2.132,2.448,2.467,2.028,1.691,1.412,1.597,1.708,1.769,1.353,1.109,1.002,0.902,0.781,0.662,0.525,0.389,0.265,0.156,0.058
China,1.865,1.534,2.067,2.606,2.207,1.475,1.422,1.62,1.171,0.904,0.703,0.629,0.609,0.497,0.305,0.128,-0.002,-0.1,-0.204,-0.325
"Hong Kong, China",4.644,4.221,3.656,1.309,2.181,2.729,1.593,0.89,1.71,1.407,0.638,0.535,0.909,0.803,0.684,0.535,0.389,0.287,0.216,0.15
"Macao, China",-0.993,-0.974,3.857,3.864,-0.075,-0.075,3.892,3.903,2.023,1.367,2.015,2.32,0.748,0.666,0.503,0.28,0.071,-0.092,-0.226,-0.35
Colombia,2.836,2.926,2.96,2.785,2.33,2.301,2.186,2.032,1.87,1.74,1.583,1.456,1.29,1.139,0.986,0.836,0.677,0.524,0.388,0.281
Comoros,2.282,1.937,1.881,2.306,2.555,3.91,3.19,2.535,2.394,2.24,2.209,2.293,2.072,1.782,1.571,1.456,1.373,1.248,1.071,0.886
"Congo, Rep.",2.111,2.386,2.649,2.871,3.031,3.143,3.077,2.896,2.573,1.741,2.366,1.908,2.339,2.127,1.614,1.456,1.32,1.193,1.065,0.929
Cook Islands,1.647,2.179,0.764,2.417,-0.923,-2.805,0.139,-0.13,0.811,-1.048,1.659,0.871,0.536,0.512,0.413,0.501,0.584,0.46,0.393,0.334
Costa Rica,3.122,3.333,3.423,2.812,2.377,2.7,2.778,2.633,2.445,2.444,1.927,1.39,1.321,1.149,1.008,0.853,0.705,0.566,0.434,0.312
Cote d'Ivoire,2.978,3.394,4.081,4.28,4.705,4.807,4.37,3.709,3.445,2.857,2.152,2.282,2.309,2.147,1.966,1.807,1.656,1.508,1.361,1.215
Croatia,0.595,0.393,0.374,0.23,0.446,0.525,0.429,0.204,0.661,-0.713,-0.279,-0.15,-0.183,-0.239,-0.296,-0.355,-0.411,-0.444,-0.456,-0.461
Cuba,1.99,1.76,2.151,1.833,1.595,0.824,0.5,0.974,0.601,0.321,0.191,0.02,0.016,-0.036,-0.081,-0.232,-0.388,-0.539,-0.7,-0.872
Cyprus,1.406,1.56,0.322,1.092,-0.188,0.057,1.155,1.003,1.442,1.453,1.218,1.02,0.995,0.961,0.878,0.756,0.629,0.553,0.524,0.497
Czech Rep.,0.806,0.539,0.338,0.189,0.471,0.491,0.052,-0.014,0.031,-0.185,-0.058,0.419,0.191,0.11,0.008,-0.1,-0.149,-0.125,-0.08,-0.08
