Male contributing family workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Egypt,,,,,,,,,,,,,,9.600000381,8.800000191,9.300000191,,8.800000191,9.600000381,8.899999619,8.199999809,7.599999905,8.399999619,9,9.399999619,8.5,8.600000381,
El Salvador,,,,,,,,,,,,,,7.400000095,7.900000095,8.899999619,10.19999981,8.699999809,10.5,8.199999809,8.300000191,11,9.5,8.399999619,7.699999809,9.5,8.800000191,
Equatorial Guinea,,,,16.5,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Estonia,,,,,,,,,,0.6000000238,0.8999999762,1.100000024,1.5,2.299999952,2.400000095,0.8999999762,1,0.6000000238,0.6000000238,0.6000000238,0.6000000238,0.8000000119,0.5,0.3000000119,0.5,0.3000000119,0,0
Ethiopia,,,,,,,,,,,,,,,,,,,,34.29999924,,,,,5.199999809,34.59999847,7.800000191,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,12.30000019,,
Finland,2.700000048,2.599999905,2.400000095,1.799999952,1.700000048,1.399999976,1.5,1.399999976,1.200000048,1.700000048,1.700000048,1.5,1.600000024,1.600000024,1.600000024,1.600000024,1.299999952,1,0.8000000119,0.6999999881,0.6000000238,0.6000000238,0.6000000238,0.400000006,0.5,0.6000000238,0.5,0.6000000238
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.400000006,0.5,0.3000000119
Gabon,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,23.20000076,21.5,22.70000076,23.20000076,20.10000038,19.89999962,18.79999924,19,,
Germany,0.8000000119,0.6999999881,0.6999999881,0.6999999881,,,,,,,,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.5,0.5,0.5,0.5,0.5,0.400000006,0.400000006
Greece,,3.799999952,3.900000095,4.900000095,4.900000095,4.900000095,5,4.699999809,4.800000191,5.099999905,4.900000095,4.800000191,4.699999809,5.099999905,5.099999905,5.300000191,5.099999905,5.099999905,5.5,5.099999905,5.099999905,4.599999905,4.300000191,4.400000095,3.200000048,3.299999952,3.700000048,3.700000048
Grenada,,,,,,,,,,,,,,,,,1.100000024,,0.6999999881,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,21.29999924,,,,,
Guyana,,,,,,,,,,,,,10.10000038,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,12.30000019,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,11.30000019,11.30000019,9.699999809,,9.699999809,10.19999981,13.89999962,12.39999962,11.89999962,12.19999981,,12.19999981,12.89999962,9,13.69999981,12.10000038,,
"Hong Kong, China",,,,,,,,,,,,,,0.200000003,0.200000003,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.200000003,0.200000003,0.200000003,0.200000003,0.1000000015,0.1000000015
Hungary,,,,,,,,,,,,,0.6999999881,0.6000000238,0.6000000238,0.6999999881,0.6999999881,0.6999999881,0.5,0.5,0.400000006,0.400000006,0.3000000119,0.400000006,0.200000003,0.3000000119,0.3000000119,0.3000000119
Iceland,,,,,,,,,,,,2.099999905,2.400000095,2.700000048,1.200000048,0.8000000119,0.1000000015,0.400000006,0.3000000119,0.400000006,0.200000003,0.400000006,0.200000003,0,0,0.1000000015,0.200000003,0.1000000015
