Homicide 45-59 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Canada,1.443834,1.324371,1.477598,1.596902,1.128304,1.233298,1.471213,1.302319,1.130711,1.224099,1.664379,1.779703,2.043425,1.40753,1.515527,1.518392,1.485755,1.817428,1.871188,1.726384,2.470574,2.706342,2.882828,3.176798,2.725214,2.942585,3.040297,3.253377,2.189436,2.903979,2.395502,2.369767,2.740026,2.948837,2.559326,1.919745,2.010046,2.173823,2.249963,2.231467,2.046987,1.866082,2.317734,1.950572,1.571329,1.602644,1.988788,1.352578,1.444027,1.401152,1.053081,1.317291,1.324464,1.028113,1.348474,,,,
Chile,,,,,,6.296423,5.410089,7.062288,9.117616,6.521846,8.506403,9.513835,3.206633,2.644686,2.949393,4.611259,11.25402,3.409226,10.22415,9.154751,6.120013,6.882932,6.911274,8.343212,3.794287,2.461427,2.21804,3.738774,3.915029,3.63799,3.553669,4.511604,4.973449,4.643735,5.942609,5.286242,4.574737,3.790177,4.228462,4.601502,4.042936,4.454104,3.404248,3.812505,3.559759,4.142967,4.243785,3.096676,2.824493,3.887538,4.933275,5.372653,4.360414,5.200058,5.300189,5.540123,,,
Colombia,,,,41.25008,30.4565,51.64429,70.2767,64.06344,87.97909,67.84425,55.34579,57.04272,59.02008,50.41071,41.2805,44.34406,33.2727,37.60516,27.05354,26.25527,,,28.69981,,25.69723,28.48113,32.30928,32.61865,,,,,,,43.71244,53.12022,57.39167,63.90494,70.61316,75.92587,73.13512,91.43501,88.85393,84.17618,75.24624,57.46628,64.14666,59.91049,60.40251,60.18976,67.25138,64.19572,67.2914,,47.84303,38.15728,36.7345,,
Costa Rica,,,,,,,,,,,,,11.42542,3.713142,7.811059,3.879607,3.971038,6.176853,4.428757,6.495606,7.133388,5.948245,7.113196,8.021725,8.469508,10.31646,8.800941,7.780469,7.871182,3.65136,4.994424,10.84055,7.588022,5.410276,6.397691,8.804404,6.044766,6.204981,3.789225,5.739625,6.924303,5.752844,6.229092,6.56741,5.55626,6.247873,10.76879,8.704332,6.348465,8.153898,9.667578,8.228531,6.144364,9.140687,7.93396,8.963596,7.975,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.606464,2.75563,3.396408,2.792199,3.785441,3.709199,3.865111,6.501324,5.616285,3.501187,3.511618,4.501157,4.216846,3.340782,4.044614,4.396132,3.174698,1.775933,2.439429,2.850212,1.58608,2.681542,2.423388,2.800148
Cuba,,,,,,,,,,,,,,,5.127085,,,,3.125617,2.683293,3.790649,4.429867,2.357134,3.206347,3.921649,3.566052,3.533544,3.207428,,,,,,,,,,,,,,,4.682781,5.812684,5.758822,4.793451,5.030487,4.284477,5.759046,4.487563,4.130403,4.237575,4.783441,3.87154,4.855493,4.830145,3.934964,4.251837,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8421026,,,,2.88554,2.059543,1.355357,2.001537,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005563,0.6893126,0.8366311,1.046679,1.464909,1.604953,2.061366,2.558121,2.410126,1.959146,1.975987,2.084976,1.916401,1.809338,1.958228,1.644719,1.744904,1.965726,2.098209,1.749124,2.046689,1.104409,0.950833
Denmark,,0.9335701,0.2597599,0.2550927,0.4984637,0.1192847,0.4776261,0.3475258,0.2282508,0.4595734,0.1237461,0.2177014,0.2195352,0.2336043,0.25804,0.2405682,0.453119,0.3461293,0.7937725,0.2213319,0.6862184,1.144719,0.7814255,0.6506739,1.018879,0.8556252,0.6845282,0.746007,0.0992931,0.6197072,1.541006,0.920537,0.6282763,0.8510864,1.101236,2.247594,1.180838,0.5913306,0.9517419,0.8913974,1.241363,2.12008,1.21975,1.371429,0.8529394,1.25822,0.8360081,1.698418,1.138592,1.331882,1.543966,0.8771518,1.153183,1.429928,0.6993587,1.459993,0.6775273,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,1.546511,1.587853,1.679566,1.834785,2.39506,1.34266,1.159826,1.774149,,,,,,,0.8477751,,,,,,,,,,,,,0.0849647,,,,,,,,0.0663489
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9943,41.0408,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.39476,9.537566,,,7.080941,6.562742,7.023985,6.160082,7.183724,14.79105,16.97794,21.22326,33.56714,35.74692,26.51207,31.08038,25.67155,29.8516,30.17332,20.70556,20.23011,21.18333,15.13553,17.59243,18.12474,15.47712,12.9471,11.32286
Finland,,,4.237883,4.797004,3.496164,3.357971,2.920249,2.705074,2.792188,2.506787,4.331624,3.876748,3.393085,3.440453,2.489022,2.707613,2.403302,3.450642,3.025767,4.000393,2.96171,3.122244,4.655666,3.567188,3.230364,5.600761,5.718888,4.323625,5.050634,4.104296,4.922973,4.437752,5.599605,4.803576,3.662357,3.574303,4.723203,3.543013,4.824903,3.503834,4.562379,3.327788,4.386778,3.619471,5.017659,3.406659,3.896111,4.201293,3.294969,5.034216,2.655488,6.044762,2.99652,2.740416,4.361161,3.005347,3.277133,3.148364,3.941855
France,0.8162467,,0.6507682,0.8207083,0.7064407,0.9850172,0.9099512,1.562257,1.818748,1.400802,1.311148,1.916185,1.460446,0.8505818,0.9114618,0.9544253,0.7365547,0.9248219,0.807108,0.9430149,1.012998,0.758264,1.005918,1.055721,1.094598,1.32697,1.134623,1.133531,1.174375,1.042917,1.023771,1.332527,1.367804,1.3008,1.709923,1.431565,1.376063,1.421474,1.22104,1.729677,1.371386,1.329289,1.426701,1.290936,1.184335,1.268512,1.309012,1.19876,1.084092,0.9582853,0.9852042,0.937162,0.8917615,0.7898133,0.8663914,0.9271542,0.7258751,0.6798148,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.005159,3.293352,,,3.051743,2.416145,2.621744,3.385293,4.852815,3.263292,1.896638,0.1090775,,0.3206956,0,0.4872199,1.449913,3.217308,2.757891,3.49195,5.374484,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.228733,1.266641,1.409209,1.555917,1.315227,1.296081,1.133755,1.087896,0.9741501,1.014009,0.7847152,0.7818003,0.870518,0.8849109,0.7513124,0.6105883,0.6445352,,
Greece,,,,,,,,,,,,1.602809,1.133982,1.225305,1.079254,1.198165,1.099903,0.6610866,1.319249,0.929523,0.5447984,0.5505887,0.8672656,0.8447496,0.4033864,1.06308,0.8603249,0.8538115,1.098336,1.105097,0.5515672,1.038007,1.292508,0.8588043,0.9912398,0.9166709,0.8229275,0.8704991,1.195767,0.9840788,0.8316146,1.18215,1.894092,1.851233,1.915984,1.897242,2.204149,1.629408,2.082823,1.788628,1.169877,1.616293,0.5862004,1.438617,1.013053,1.342255,1.058356,1.126607,1.166418
Guatemala,,,,,,,,,,,,,,17.26543,21.09176,20.62208,29.61366,47.6979,39.32059,30.01766,39.34058,36.82369,,,1.094912,,,1.35245,,34.61142,59.97622,112.657,,,5.874631,,25.77944,33.28035,34.56337,27.82954,31.06257,27.38111,26.40352,30.55289,29.93927,30.53229,33.60912,42.47745,37.59319,29.24154,30.55511,29.33564,32.7682,38.58175,34.14303,39.02623,39.5346,,
Hungary,,,,,,1.641054,2.693677,3.293255,2.415789,3.344001,1.578863,1.804842,2.020136,1.757434,1.191879,1.745372,1.708771,1.68177,2.469855,2.872756,2.258559,2.074689,2.459282,2.216544,2.231054,2.409991,1.793026,2.670061,2.289618,3.59441,3.03333,2.984784,3.44753,3.09839,4.429982,2.621508,4.28546,3.148052,3.006874,3.711831,4.423778,5.09344,5.735486,5.808623,4.836168,4.464705,4.412982,3.930105,4.425552,3.982362,3.974924,4.122566,2.767307,2.81891,3.620766,3.007965,2.834319,2.660048,2.780383
Ireland,0,0,0.4233662,0.419305,0.4360274,0.2215548,0,0.22531,0.2236632,0,0,0,0.206202,0.2202652,0.19942,0,0.68183,0.2292039,0.4222047,0,0.1868663,0,1.033439,0.4274453,0.611688,0.6716741,0.6421748,1.135135,0.431331,1.161965,1.249818,1.114186,0.2254609,0.8876414,0.9390005,1.394942,1.352332,0.4666038,1.494777,0.2164849,0.8400276,1.002732,0.7887667,0.581472,0.8767739,0.9099543,1.062238,1.363922,0.8120996,1.4547,0.4661751,1.509592,1.19411,1.010869,0.2745783,1.118619,0.6774032,0.1253364,0.132266
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,1.151063,2.20068,2.608775,1.686879,2.346689,2.156053,1.693635,1.273116,0.8719254,2.246966,2.589257,1.202947,2.182043,1.409511,3.074395,3.024441,1.88513,1.98812,2.259846,2.257844,1.31392,1.55376,0.3774095,0.3205101,1.949094,1.904744,5.705869,10.21481,6.035782,4.739349,3.589983,3.168882,,
Italy,,1.615351,1.757367,1.6674,1.522316,1.851412,1.762569,1.674879,1.701847,1.55258,1.750284,1.405777,1.256097,1.003189,1.201722,1.151488,0.9251041,1.18977,1.106208,0.9245315,0.9811773,1.258409,1.24878,1.438315,1.166927,1.667444,1.628531,1.607333,1.689445,1.91396,2.450308,2.142778,2.355228,2.308213,1.981822,1.668637,1.527677,1.946698,2.036787,2.558914,2.734639,2.668473,2.424848,1.807953,1.780479,1.374491,1.276768,1.183912,1.360588,1.213053,1.146376,0.9282313,1.106932,1.225653,,,1.030838,0.9479508,
Japan,1.946376,1.835688,1.79805,1.609678,1.816399,1.716467,1.765886,1.62955,1.72131,1.351808,1.350223,1.183443,1.016665,1.237273,0.9912189,1.008799,1.059911,0.939009,1.007232,0.8873388,1.019805,0.8217095,0.9112335,0.986062,0.8528842,0.9777487,1.008532,0.9159352,0.8098642,0.8725416,0.8681599,0.8370711,0.944583,0.9508139,0.9355139,1.103308,1.048467,0.8751444,0.8861202,0.7248584,0.7669269,0.7046885,0.7275367,0.8458913,0.8169447,0.8236749,0.6104172,0.7086001,0.7840754,0.8202398,0.7371892,0.7033638,0.6361331,0.5439228,0.551665,0.5411994,0.4113041,0.4339794,0.3668029
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74288,13.96908,,,11.71042,7.66416,9.043224,8.787843,12.71826,14.69793,15.88508,20.22429,25.58333,27.82685,35.85754,31.79589,30.60354,27.93766,25.73078,25.84146,25.78725,19.1944,23.97432,24.56539,21.90385,20.08361,18.38038,15.70451
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.241461,0.9589942,1.407678,1.394525,1.601978,1.729154,1.684934,1.759844,1.789198,2.052413,2.112592,2.405565,2.560363,2.956231,2.552697,2.261161,2.310613,2.218325,2.74971,3.099869,2.881085,2.519816,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,1.747744,,,2.232541,0,3.141634,4.26373,0.8372027,2.241333,0.8631107,1.690285,3.619188,3.107268,4.234879,1.316047,0,,,,,,1.175204,1.224681,0,1.500936,0.4499591,1.373562,1.333467,1.0057,1.266189,0.2933748,,,,,,1.449025
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.23213,12.50489,,,9.405719,3.222594,7.438769,7.402541,14.37277,24.86429,19.42315,26.36256,28.87291,35.9613,30.71644,25.60036,20.57661,15.38663,16.32487,13.87702,13.53981,9.542119,12.3759,11.33789,14.77952,9.585543,13.24413,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.637805,8.194013,7.664341,8.123685,7.732666,7.559974,3.527467,4.030932,6.172886,11.33043,12.99811,14.08909,19.42847,33.3536,35.59933,26.29153,23.89718,24.32857,20.17703,19.22855,23.17921,17.84059,18.50634,18.4078,15.42484,18.95631,17.31732,16.72001,15.64842
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.708231,9.461535,,,8.473874,4.339152,4.443112,5.404916,6.799617,9.719901,13.11244,13.23168,20.09155,21.6385,18.89443,12.01623,13.65463,12.83326,11.99409,18.14558,17.14801,10.14672,15.25683,15.70801,15.72986,11.22323,12.25219,12.9776
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.951359,2.593894,3.594419,0.3372878,2.480139,2.794055,2.509399,3.992177,3.210861,4.348504,5.914526,3.886459,3.718788,,,,,
Mauritius,,,,,,,,,,,,4.634211,1.32719,1.482877,3.015568,2.883588,4.033346,3.89711,11.24335,2.402094,5.899856,5.457745,1.209375,4.210831,10.37216,3.176448,3.215773,0.9197081,0.9000353,6.025015,4.763662,2.038407,2.077859,1.045383,2.840385,0.8583469,0,0.8765969,2.563045,5.299037,5.094274,2.612804,5.115659,2.381092,2.958831,0.8130753,4.617808,1.2955,6.471468,2.292021,5.135201,3.199122,1.999824,2.030519,1.945546,4.450379,8.121513,3.900597,6.350182
Mexico,,,,,,51.5652,50.49966,50.41049,51.32678,56.37235,56.27798,49.15496,42.38288,38.8692,37.73131,34.83102,33.74125,34.3537,32.73997,18.65294,29.91333,29.94394,26.56258,22.44699,43.9606,35.95128,32.19636,34.42568,35.52734,36.54008,37.63068,33.5966,34.86489,33.10916,28.49503,34.95187,36.29706,33.89617,31.53966,30.83574,28.86471,26.9264,28.67291,27.41303,26.46365,25.00535,22.4038,19.75038,19.82173,17.32426,15.08839,13.34479,13.5111,13.51584,11.42447,12.19576,12.42038,10.20806,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.36633,16.67303,,,13.17653,12.48127,8.920168,11.01601,11.63745,12.81675,13.92627,18.30757,17.38876,22.20496,25.44583,21.24026,17.20039,19.55449,14.69222,20.21594,17.25194,16.14466,14.95545,11.44139,12.75773,11.28795,11.27273,10.19274
Netherlands,0.5753775,0.6896967,0.6191511,0.1216881,0.2990702,0.1161465,0.4074662,0.6342757,0.3903626,0.4370296,0.3616928,0.2169219,0.1624655,0.738095,0.5694703,0.5350497,0.4656299,0.5114923,0.4964767,0.6776584,0.3937634,0.4279146,0.5017956,0.9650753,0.9551858,0.6166924,0.6943857,0.5535132,0.4190222,1.018421,0.5007754,0.9786423,0.9427784,0.9845387,0.6418977,0.8244127,0.9392623,0.9115407,0.9876791,1.02121,0.7850635,1.049419,0.861514,0.8657672,1.015421,1.387468,1.307499,1.11173,0.8886544,1.253477,1.195744,1.231121,0.8125671,1.244603,1.201414,0.9771696,0.8045714,1.15173,1.067585
New Zealand,1.039807,2.376117,1.331475,1.306048,0.94001,0.3093871,0.2919874,0.2851663,0.5657529,1.106671,0.8180927,1.070483,0,0.8017281,0.7823827,1.229988,0.4931273,1.731915,0.243042,1.22643,1.378502,0.9102331,1.394529,0.7013074,2.313701,2.006477,1.107764,0.9141424,1.564562,1.164835,0.6465042,0.2188642,0.2220404,1.979824,0.4863954,1.547918,1.258669,2.162604,1.673134,1.486846,1.461253,3.153934,2.665243,1.430259,3.033201,0.4932654,1.325276,1.612512,1.249943,0.9163979,1.324609,1.029036,1.693108,1.490695,1.56794,1.260074,1.240655,,
Norway,,0.174546,0.3351162,0.4978758,0,0.464779,0.4847192,0.1602098,1.49673,0.7504668,0.6007053,0.6061068,0.8912217,1.015605,0.436903,0.3020077,0.2881975,0.5793058,0.5154362,1.387453,0.6838643,0.5449195,0.8724424,1.514106,0.8058497,1.273174,0.5939696,1.03184,0.7407861,1.5276,1.595897,1.587715,1.514275,1.715838,1.263453,0.5991997,2.41335,1.932505,1.204109,2.443632,1.861267,2.324299,0.8400587,1.738344,0.2677618,1.569352,1.136436,1.265195,1.540265,0.9721823,1.18652,0.3429818,0.8769258,0.7823421,1.133823,0.7700545,1.247723,0.8614115,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.878594,6.999218,4.754329,7.07519,7.979135,3.904742,,,,,,,5.612767,9.732965,9.524137,8.299528,4.884652,8.886095,10.70701,9.553084,7.542118,,8.64093,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.41626,17.11822,18.31391,15.44692,17.51099,16.48242,16.34415,19.91059,17.24847,17.13443,17.08316,16.63288,16.2833,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.201609,18.19757,,,,25.88137,28.0464,24.90081,27.72644,29.86719,30.86484,29.77851,,,,,
Poland,,,,,,,,,,1.001995,1.0219,1.381526,1.256574,0.9931087,0.8031858,1.031719,1.266254,1.217127,1.054852,1.210742,1.168773,1.209868,1.183412,1.199928,0.9967186,1.383365,1.264647,1.625954,1.632483,1.198259,,,,2.111728,2.619699,2.651547,2.272221,2.767282,2.818418,3.087497,4.387412,4.684073,4.719417,4.203049,4.826001,4.279916,4.127183,,,3.647591,3.048162,2.372883,2.779846,2.530653,2.567241,2.507867,2.686448,2.3239,2.324469
Portugal,,,,,,2.438266,2.433085,2.42664,1.519312,1.922686,1.016496,1.836863,1.26585,1.631104,2.51094,1.297639,1.718488,3.145083,1.491328,1.772895,1.291528,2.000768,1.10635,1.781101,2.409081,2.456636,1.993758,2.364259,2.612089,1.587079,1.928849,1.70608,1.64403,1.764913,2.728118,1.984458,2.259555,1.649485,1.680213,1.571448,2.125098,1.760495,1.223776,1.650624,2.01751,1.741815,1.503276,1.002479,1.765892,1.242704,1.190111,1.226682,1.411551,2.066219,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.451772,7.818132,6.490838,8.484014,6.189134,7.098447,6.254444,5.921703,5.310283,5.006579,4.833838,4.960573,5.213666,5.177547,5.723603,4.281974,3.942062,2.889897,2.922787,4.006102
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.03854,16.87043,15.96267,,,13.94335,8.702555,9.06892,11.54204,15.19083,16.89881,18.726,30.85259,42.90473,48.44526,45.92249,37.89494,33.48524,30.52783,36.94299,41.716,43.85543,45.73955,42.90253,39.75735,35.7733,28.24366,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.725964,4.139033,2.870725,3.412449,1.505788,2.408433,1.995129,2.192522,1.818323,2.927296,2.578725
Singapore,,,,,,,,,,,,,,0.4985713,0.9816229,0.4880177,1.987237,1.886008,2.338994,2.363267,0.9693751,2.702908,5.110491,1.708766,3.778559,1.751615,1.26739,0.8691045,2.669935,1.464914,3.247155,1.075373,1.388007,2.735567,4.005186,2.269596,2.329906,2.323248,2.176286,2.953374,1.463551,1.079329,2.634247,3.456272,0.8692328,1.155731,0.2619558,0.6801347,0.9859489,1.138878,0.6609468,0.6531894,0.6761575,0.8615589,0.7888478,0.3827195,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.012341,2.324908,2.423832,1.902571,2.549094,2.997959,2.250265,2.995289,3.273027,3.034305,2.324359,3.040464,2.311737,2.569521,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.695726,2.360188,2.623453,2.241949,2.870466,1.538183,4.439851,4.432895,1.465097,3.400985,1.73735,3.561944,4.022202,1.242335,1.779643,0.7342973,0.7106352,0.9727998,0.498528,1.910646,1.392819,0.4297126,1.745905,1.522477
Spain,,0.7035493,0.7870487,0.3827163,0.3500367,0.3689071,0.6506474,0.8446816,0.9556211,0.8412109,0.4115204,0.2893945,0.164156,0.2242813,0.0794479,0.099758,0.2119714,0.3149832,0.1646302,0.3376358,1.137428,0.2939992,0.3748438,0.5746343,0.4714658,1.00912,0.902437,0.7558858,1.302896,1.39197,1.5024,1.073234,1.051437,1.362627,1.254114,1.217431,1.337138,1.376955,0.9950601,1.225104,1.200566,1.072186,1.127678,1.152341,1.136582,1.087902,0.8002285,0.8926387,0.9751817,0.9824557,1.17219,1.003573,1.330339,1.241602,1.424214,0.9351474,,,
Sri Lanka,8.636324,7.206564,6.846566,6.953228,9.731076,9.082925,7.998974,7.296339,9.742371,9.381287,5.507266,6.265028,6.980193,5.18208,5.297554,7.113147,7.304755,6.392959,5.154208,,,,,,,,,12.43398,,,4.095675,4.722212,5.907703,10.58725,10.43397,12.43344,10.00558,,,,,,,,,,,,,,,,,,,,,,
Sweden,,0.3045218,0.5902382,0.6545781,0.4276789,0.6337852,0.9717349,0.7495162,0.6125137,0.7324988,0.9201458,0.857278,0.6452885,0.7809059,0.6969199,0.7900563,1.041552,1.170987,0.8907288,0.6540818,0.7672045,0.7564684,1.625143,1.201497,1.251788,1.184269,1.774499,1.089831,1.091247,1.709188,1.21085,1.160871,1.489146,1.535393,1.741558,2.367641,1.717891,1.552827,1.565238,1.992654,1.47965,1.963311,2.017584,1.457611,1.314809,1.16618,1.544843,1.021359,1.200222,1.414376,0.8874348,1.165465,1.611119,1.582403,1.809547,1.571679,1.328508,1.706084,
Switzerland,,0.7852428,1.320821,0.971058,0.6386521,0.4161059,0.4024626,0.8179278,0.6159786,0.7955846,0,0.6741844,0.7781407,0.4437983,0.4029662,0.2704472,0.7502469,1.009598,0.2990703,0.3159385,0.9277157,0.768053,0.9574078,0.7900466,0.773003,1.148091,1.15901,1.031704,0.6483147,1.322094,0.9936292,0.8377541,1.260179,1.531483,0.9029784,1.481937,0.9745025,0.7703494,1.179751,1.327638,1.801207,1.282775,1.8254,1.848657,1.589179,0.7540549,1.118112,1.81486,1.074035,0.9926086,0.5546166,1.108626,0.914206,0.409735,0.9305583,0.7145149,0.2676278,0.5751519,
Trinidad and Tobago,,7.067715,3.626987,9.078346,8.529399,11.79945,12.5606,13.62145,3.470274,,4.466105,8.767933,9.36205,8.127331,,,,12.42759,6.966818,,6.812194,8.56361,7.436055,4.112777,15.07111,9.820943,4.086185,9.782393,7.270168,9.858369,4.820698,3.842863,2.294402,3.822715,8.541981,9.491875,10.11375,9.886812,12.04423,9.677009,5.468396,6.890838,9.625199,8.02916,18.03259,8.749766,9.818687,14.40203,9.889381,12.28004,9.330147,13.28199,14.4719,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.78945,7.827911,,,7.495057,6.403621,7.184833,8.90347,10.81945,12.30966,7.85773,8.616899,12.86145,6.505521,8.856322,9.15957,10.24851,10.79687,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.39437,8.114944,,,6.323056,5.114944,5.520759,6.741637,8.154312,9.832458,11.88709,15.54856,16.60809,19.34077,21.00566,21.22642,18.21022,16.42754,18.72159,18.49203,18.75196,16.72319,15.40267,15.81146,14.47936,12.67588,,
United Kingdom,0.4767804,0.375726,0.3291817,0.3145895,0.3194587,0.345538,0.3996262,0.4717813,0.4900474,0.3610137,0.4147326,0.3716771,0.4025939,0.3698861,0.3777494,0.5739256,0.5382408,0.4876857,0.5737187,0.5693469,0.4465312,0.6908153,0.7837753,1.006679,1.124261,1.004198,1.614072,1.50811,1.438958,1.12954,1.024791,0.836466,0.8502785,0.6252593,0.9911518,0.8470503,0.8649755,0.8523813,1.069197,1.033545,0.820541,0.727604,0.8650568,0.9469914,1.136045,0.9646757,0.7218417,0.6580276,0.682995,0.6930225,0.6844121,0.3090663,0.3179414,0.4040784,0.4768144,0.4736014,0.4232774,0.4442351,
