Arms imports (constant 1990 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Congo, Dem. Rep.",2000000,9000000,13000000,28000000,76000000,22000000,11000000,,,28000000,19000000,154000000,14000000,5000000,11000000,387000000,128000000,30000000,40000000,15000000,10000000,12000000,15000000,5000000,16000000,1000000,1000000,45000000,1000000,,3000000,,2000000,,,0,68000000,21000000,10000000,48000000,92000000,18000000,14000000,,,,17000000,,18000000,45000000,25000000,
"Congo, Rep.",1000000,0,,0,,0,,,1000000,24000000,9000000,24000000,2000000,,7000000,2000000,2000000,,38000000,23000000,18000000,2000000,11000000,28000000,25000000,2000000,,,25000000,42000000,42000000,,,,,,,27000000,0,1000000,0,,,,,4000000,0,0,,1000000,,
Costa Rica,,,,1000000,,,0,,,,,,,2000000,,3000000,,,6000000,2000000,1000000,,,,0,2000000,1000000,,,1000000,,,,3000000,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,,2000000,1000000,1000000,,,2000000,3000000,20000000,2000000,7000000,17000000,1000000,,18000000,,,17000000,25000000,38000000,58000000,20000000,,,10000000,,,,,2000000,,,0,,,2000000,,0,,2000000,,,33000000,63000000,10000000,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000000,27000000,58000000,22000000,14000000,31000000,,,,62000000,2000000,24000000,8000000,,,14000000,99000000,4000000,10000000,
Cuba,127000000,545000000,1335000000,301000000,180000000,127000000,248000000,154000000,159000000,153000000,153000000,160000000,460000000,428000000,416000000,198000000,335000000,658000000,536000000,410000000,347000000,935000000,971000000,793000000,415000000,336000000,281000000,70000000,167000000,94000000,159000000,90000000,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,15000000,22000000,,,,,,,,1000000,,,,,,,,,4000000,14000000,24000000,30000000,34000000,30000000,129000000,29000000,71000000,82000000,23000000,,39000000,33000000,168000000,89000000,7000000,105000000,2000000,121000000,1000000,6000000,,20000000,26000000,12000000,,,,
Czech Rep.,,,,,,,,,,,,,,,,,8000000,,,,,,,,,,,,,,,,,,,0,24000000,6000000,0,2000000,16000000,65000000,47000000,104000000,7000000,621000000,52000000,17000000,21000000,6000000,73000000,
Denmark,173000000,318000000,48000000,149000000,472000000,494000000,66000000,79000000,67000000,20000000,311000000,362000000,109000000,,33000000,148000000,360000000,372000000,382000000,72000000,573000000,611000000,583000000,228000000,139000000,140000000,16000000,99000000,98000000,181000000,118000000,142000000,56000000,50000000,83000000,132000000,74000000,90000000,140000000,77000000,68000000,158000000,45000000,52000000,224000000,124000000,122000000,174000000,49000000,98000000,16000000,
Djibouti,,,,,,,,,,,,,,,,,,2000000,4000000,31000000,4000000,2000000,2000000,3000000,,1000000,8000000,1000000,,,,1000000,18000000,5000000,,3000000,,,,,1000000,,2000000,,4000000,8000000,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,12000000,9000000,0,7000000,5000000,10000000,8000000,2000000,1000000,0,1000000,2000000,7000000,0,,2000000,12000000,,,,8000000,5000000,33000000,,11000000,3000000,1000000,,4000000,,,,,,,,4000000,,6000000,3000000,13000000,4000000,2000000,3000000,30000000,2000000,,,,10000000,33000000,
Ecuador,64000000,,,2000000,3000000,33000000,,15000000,4000000,1000000,5000000,81000000,35000000,15000000,26000000,45000000,204000000,540000000,157000000,105000000,256000000,123000000,241000000,415000000,368000000,23000000,24000000,41000000,27000000,20000000,3000000,172000000,4000000,18000000,3000000,12000000,30000000,86000000,26000000,17000000,,12000000,2000000,,15000000,48000000,17000000,2000000,140000000,69000000,116000000,
Egypt,137000000,323000000,847000000,803000000,896000000,998000000,1582000000,2245000000,1270000000,1272000000,1491000000,2200000000,3695000000,2631000000,1078000000,575000000,167000000,409000000,117000000,628000000,992000000,1167000000,2590000000,1829000000,1542000000,927000000,1411000000,1640000000,395000000,299000000,579000000,903000000,1026000000,1191000000,1888000000,1688000000,971000000,1041000000,501000000,507000000,788000000,851000000,716000000,629000000,612000000,641000000,774000000,692000000,250000000,174000000,681000000,
El Salvador,,,,0,,1000000,1000000,0,17000000,7000000,9000000,1000000,,3000000,30000000,40000000,15000000,8000000,4000000,6000000,12000000,5000000,29000000,12000000,60000000,41000000,5000000,,,,,18000000,3000000,3000000,,3000000,3000000,,3000000,,,,16000000,9000000,,,,,4000000,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,4000000,,1000000,,5000000,,,,,,,,,,,,,,,,,3000000,,8000000,,,8000000,15000000,,28000000,41000000,30000000,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000000,21000000,7000000,15000000,53000000,223000000,27000000,17000000,60000000,19000000,17000000,77000000,69000000,,4000000,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,3000000,15000000,17000000,1000000,14000000,3000000,1000000,27000000,,1000000,15000000,8000000,17000000,6000000,19000000,38000000,44000000,1000000,
Ethiopia,24000000,6000000,21000000,2000000,4000000,14000000,84000000,30000000,33000000,22000000,68000000,49000000,33000000,5000000,14000000,55000000,130000000,1090000000,1006000000,113000000,363000000,364000000,557000000,403000000,357000000,330000000,431000000,324000000,227000000,25000000,3000000,100000000,,,,,,69000000,210000000,149000000,143000000,,20000000,176000000,240000000,,,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,8000000,4000000,,,,,,,,,,,,,,1000000,,3000000,,6000000,12000000,,,,,,,,,,,,,,,,
Finland,62000000,81000000,47000000,255000000,60000000,82000000,44000000,77000000,23000000,17000000,12000000,6000000,28000000,15000000,176000000,129000000,86000000,30000000,105000000,60000000,343000000,121000000,145000000,122000000,136000000,220000000,83000000,67000000,143000000,89000000,99000000,57000000,467000000,445000000,248000000,196000000,611000000,397000000,564000000,800000000,516000000,9000000,14000000,223000000,71000000,99000000,123000000,115000000,156000000,43000000,72000000,
France,261000000,227000000,208000000,116000000,1226000000,245000000,104000000,121000000,141000000,114000000,143000000,157000000,109000000,128000000,47000000,32000000,282000000,311000000,334000000,71000000,82000000,114000000,150000000,110000000,68000000,15000000,96000000,84000000,108000000,146000000,71000000,981000000,399000000,101000000,35000000,56000000,34000000,181000000,154000000,110000000,106000000,66000000,43000000,57000000,93000000,,60000000,69000000,8000000,78000000,120000000,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,3000000,,,3000000,0,2000000,,2000000,4000000,1000000,24000000,,2000000,9000000,35000000,48000000,28000000,85000000,,26000000,36000000,5000000,11000000,96000000,2000000,7000000,10000000,36000000,9000000,38000000,,,,,,,,,,,,,,5000000,,17000000,17000000,17000000,,,
Gambia,,,,,,,,,,0,,,,,,,,,,,,4000000,,,,,,,,13000000,,,,,,,,,,,,,,,5000000,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,,,,7000000,27000000,24000000,6000000,82000000,,1000000,45000000,74000000,98000000,175000000,94000000,34000000,,
Germany,2160000000,2102000000,2750000000,3505000000,3978000000,3606000000,3292000000,1539000000,1042000000,1335000000,1450000000,2555000000,737000000,1814000000,1925000000,1718000000,1921000000,1224000000,859000000,20000000,107000000,194000000,341000000,354000000,365000000,101000000,309000000,346000000,457000000,818000000,759000000,760000000,718000000,628000000,458000000,228000000,213000000,61000000,691000000,150000000,135000000,152000000,69000000,67000000,224000000,195000000,406000000,76000000,101000000,129000000,101000000,
Ghana,12000000,104000000,21000000,6000000,30000000,25000000,24000000,1000000,,,,,13000000,10000000,19000000,25000000,34000000,,18000000,6000000,51000000,60000000,,,,10000000,,13000000,,3000000,8000000,2000000,,,11000000,,6000000,4000000,,7000000,1000000,8000000,1000000,6000000,35000000,0,0,16000000,,6000000,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,254000000,79000000,347000000,123000000,717000000,541000000,202000000,365000000,104000000,286000000,270000000,589000000,708000000,230000000,417000000,912000000,1453000000,1031000000,1276000000,734000000,649000000,940000000,464000000,389000000,353000000,165000000,172000000,35000000,528000000,1168000000,899000000,486000000,2143000000,1004000000,1125000000,861000000,371000000,809000000,1701000000,903000000,710000000,763000000,495000000,2252000000,1543000000,389000000,603000000,1808000000,559000000,1266000000,703000000,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,9000000,,1000000,7000000,8000000,5000000,,1000000,16000000,1000000,,32000000,1000000,1000000,12000000,47000000,13000000,1000000,1000000,5000000,8000000,45000000,14000000,2000000,7000000,20000000,1000000,0,0,4000000,0,0,,10000000,3000000,3000000,,,1000000,,,,,,,,,,0,,,
Guinea,34000000,0,,0,0,17000000,,8000000,,0,1000000,4000000,4000000,20000000,26000000,2000000,20000000,9000000,36000000,59000000,,1000000,1000000,1000000,,,40000000,,,44000000,1000000,,,,,,,,4000000,,19000000,6000000,,2000000,,1000000,,0,,,,
Guinea-Bissau,,,,,,,,,,,,,,,22000000,10000000,12000000,,14000000,20000000,2000000,1000000,,,11000000,,31000000,,15000000,,15000000,6000000,,4000000,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,0,,,2000000,,,3000000,0,17000000,,1000000,5000000,4000000,11000000,,3000000,7000000,22000000,,,,,,,,,,,,,,,,7000000,3000000,,,,,,0,,,
Haiti,1000000,,,,2000000,,,,,6000000,,,,2000000,4000000,1000000,1000000,0,9000000,,,4000000,4000000,3000000,,9000000,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,14000000,,,1000000,5000000,,,19000000,,,,1000000,,21000000,30000000,23000000,24000000,9000000,13000000,27000000,28000000,30000000,20000000,30000000,63000000,12000000,39000000,16000000,,,,,,,,,,,,,,,,,,,0,,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,634000000,583000000,297000000,381000000,761000000,667000000,149000000,276000000,255000000,446000000,22000000,256000000,130000000,395000000,593000000,504000000,402000000,415000000,623000000,577000000,257000000,123000000,203000000,99000000,364000000,62000000,66000000,72000000,16000000,52000000,14000000,22000000,,970000000,4000000,24000000,143000000,78000000,35000000,56000000,14000000,14000000,,,3000000,13000000,265000000,205000000,5000000,4000000,18000000,
Iceland,18000000,,,,,,,,28000000,,,,,,9000000,28000000,,,,,,,,,,,3000000,,,,,,,,,,,,,,,,,,,,,,,,,
India,487000000,1113000000,374000000,690000000,892000000,1034000000,897000000,1099000000,1388000000,1406000000,1230000000,1647000000,1882000000,1256000000,1252000000,985000000,1834000000,2684000000,1379000000,1379000000,1910000000,2365000000,2361000000,2664000000,2527000000,2910000000,4067000000,3920000000,4058000000,3954000000,2746000000,1968000000,1305000000,726000000,834000000,1413000000,787000000,1650000000,732000000,1082000000,914000000,1251000000,1855000000,2808000000,2237000000,1059000000,1287000000,2185000000,1794000000,2537000000,3337000000,
Indonesia,422000000,900000000,1005000000,177000000,526000000,352000000,16000000,1000000,5000000,9000000,28000000,84000000,7000000,69000000,65000000,6000000,156000000,58000000,160000000,385000000,932000000,782000000,312000000,241000000,97000000,262000000,431000000,243000000,311000000,337000000,155000000,11000000,57000000,253000000,525000000,319000000,418000000,103000000,91000000,165000000,159000000,28000000,72000000,358000000,83000000,32000000,59000000,571000000,240000000,461000000,198000000,
Iran,11000000,102000000,102000000,129000000,136000000,182000000,462000000,363000000,889000000,1245000000,1211000000,1739000000,1344000000,1951000000,2893000000,6003000000,4368000000,6168000000,3738000000,566000000,298000000,488000000,552000000,519000000,477000000,615000000,909000000,885000000,521000000,200000000,466000000,1034000000,450000000,1018000000,453000000,286000000,605000000,177000000,379000000,318000000,418000000,536000000,436000000,282000000,126000000,66000000,423000000,331000000,78000000,77000000,88000000,
Iraq,164000000,114000000,268000000,206000000,333000000,259000000,360000000,364000000,376000000,404000000,156000000,182000000,671000000,1919000000,1444000000,1103000000,1153000000,1117000000,1838000000,1249000000,2114000000,2571000000,3109000000,3387000000,4560000000,3992000000,3626000000,3668000000,1917000000,1429000000,769000000,,,,,,,,,,,,,,46000000,165000000,282000000,257000000,367000000,388000000,464000000,
Ireland,,,,2000000,1000000,,,,,,7000000,9000000,20000000,3000000,1000000,7000000,3000000,5000000,28000000,31000000,49000000,15000000,,,9000000,,38000000,,24000000,,,10000000,,,43000000,,,,2000000,33000000,0,42000000,22000000,,19000000,4000000,11000000,18000000,21000000,1000000,1000000,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,374000000,93000000,254000000,393000000,449000000,459000000,322000000,311000000,768000000,1226000000,1531000000,1241000000,808000000,2462000000,1333000000,1253000000,1770000000,1255000000,1411000000,745000000,1286000000,1612000000,862000000,491000000,278000000,298000000,1174000000,1080000000,582000000,24000000,69000000,1224000000,1293000000,723000000,845000000,301000000,101000000,69000000,1370000000,1237000000,356000000,130000000,337000000,272000000,852000000,1133000000,1142000000,859000000,653000000,148000000,43000000,
Italy,505000000,541000000,842000000,1257000000,1285000000,918000000,405000000,92000000,146000000,406000000,454000000,939000000,1633000000,862000000,971000000,904000000,703000000,771000000,979000000,836000000,612000000,135000000,258000000,377000000,279000000,219000000,210000000,188000000,187000000,223000000,159000000,186000000,160000000,226000000,211000000,335000000,296000000,543000000,49000000,25000000,37000000,72000000,227000000,570000000,446000000,150000000,423000000,515000000,173000000,79000000,85000000,
Jamaica,,,1000000,0,0,,,2000000,,,,2000000,,,9000000,15000000,1000000,4000000,3000000,,,0,,,,,2000000,,,4000000,,,,,,,,,4000000,5000000,,,,,,13000000,13000000,15000000,2000000,,,
Japan,800000000,401000000,247000000,403000000,1895000000,1215000000,346000000,593000000,485000000,417000000,509000000,564000000,606000000,552000000,899000000,1560000000,1572000000,963000000,1108000000,1030000000,1133000000,1365000000,1452000000,1685000000,2025000000,1959000000,1838000000,1898000000,1933000000,2215000000,2710000000,2975000000,2450000000,2156000000,1026000000,1267000000,831000000,880000000,1469000000,1256000000,453000000,484000000,489000000,472000000,400000000,375000000,445000000,552000000,634000000,382000000,369000000,
Jordan,25000000,14000000,54000000,39000000,33000000,56000000,91000000,125000000,46000000,233000000,126000000,66000000,58000000,84000000,169000000,328000000,294000000,513000000,626000000,296000000,403000000,416000000,1051000000,767000000,463000000,295000000,233000000,105000000,245000000,58000000,14000000,35000000,,1000000,5000000,19000000,78000000,84000000,271000000,64000000,130000000,165000000,120000000,264000000,158000000,35000000,48000000,186000000,161000000,237000000,114000000,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99000000,76000000,67000000,,72000000,147000000,139000000,20000000,,47000000,42000000,41000000,82000000,25000000,38000000,57000000,
Kenya,,,,,6000000,17000000,1000000,2000000,2000000,3000000,0,22000000,8000000,3000000,33000000,25000000,13000000,100000000,166000000,53000000,121000000,133000000,87000000,16000000,10000000,6000000,26000000,174000000,,23000000,33000000,14000000,,,12000000,,,74000000,,,15000000,,,,,,,8000000,,,73000000,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",506000000,81000000,205000000,216000000,193000000,130000000,941000000,878000000,1351000000,743000000,742000000,1455000000,494000000,589000000,692000000,582000000,493000000,308000000,360000000,226000000,287000000,130000000,424000000,504000000,275000000,1092000000,1151000000,914000000,948000000,773000000,570000000,206000000,45000000,91000000,35000000,153000000,90000000,9000000,9000000,179000000,18000000,29000000,9000000,9000000,8000000,5000000,5000000,5000000,5000000,5000000,1000000,
