Flood killed,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,5,0,0,0,0,0,0,0,0,620,0,0,0,0,84,0,10,0,0,0,0,10,31,0,0,0,12,36,0,0,0,0,0,0,11,21
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
Haiti,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,148,33,27,0,0,0,0,13,0,0,18,0,0,13,16,26,31,62,2665,17,11,61,0
Honduras,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,19,0,5,0,0,413,151,14,7,0,0,34,0,0,11,10,0,8,4,6,67
"Hong Kong, China",0,0,138,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,5,0,1,0,0,80,0,0,0,0,0,0,0,0,0,0,0
Hungary,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1027,1323,0,0,260,350,0,560,4610,253,2411,553,932,785,740,1980,251,1314,2100,1609,224,1016,832,1297,2015,1514,1291,2357,2131,554,2086,581,735,452,1348,2129,1194,2051,2443
Indonesia,82,0,0,0,0,0,163,22,70,164,153,509,3,20,26,42,175,201,179,18,191,112,57,131,59,140,87,0,4,12,273,402,230,414,5,154,656,442,88
Iran,0,0,0,0,0,0,0,0,0,0,256,58,0,0,0,0,265,865,90,0,0,56,63,781,39,27,49,13,157,81,10,476,61,0,40,109,14,12,22
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,4
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
Italy,37,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,68,0,17,0,0,0,46,2,2,3,2,0,0,0,9
Jamaica,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,54,9,0,0,0,15,0,9,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0
Japan,0,0,458,0,0,0,0,5,8,23,20,0,345,0,0,0,14,0,27,10,27,0,0,0,0,0,0,0,16,60,18,1,0,23,22,0,42,2,5
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kenya,0,0,0,0,0,0,0,100,0,0,0,0,75,0,0,0,0,0,0,0,44,0,0,0,0,0,0,86,40,0,0,4,85,40,54,26,212,19,55
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korea Rep,28,0,747,0,0,0,0,315,27,0,0,0,0,0,166,0,0,50,0,0,127,54,5,0,0,0,85,15,403,64,20,70,21,0,10,18,46,3,10
"Korea, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,68,116,0,50,42,0,124,0,0,24,193,278,610,0
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
Laos,0,14,0,0,0,0,0,0,31,0,0,0,0,0,14,0,0,0,0,0,0,0,10,0,0,0,30,0,0,0,15,0,2,0,0,0,0,0,6
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macedonia, FYR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,29,0,7,0
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,472,0,0,0,1,0,0,4,0,0,59,9,12,0,1,8,2,0
Malaysia,61,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,3,27,0,0,0,0,30,0,0,0,0,0,1,12,11,0,8,16,13,6,46,0
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,3,2,15,2,2,0,0,0,1,18,0
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,0,0,7,3,0
Mexico,35,0,37,130,0,0,0,0,6,0,104,0,25,0,0,0,20,16,0,40,45,23,0,65,0,0,0,0,432,654,139,21,37,6,38,41,0,22,12
"Micronesia, Fed. Sts.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,9,0,0,0,0,1,0,0,0,0,0,3
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,41,0,0,0,0,0,0,15,0,0,0,0,0
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,11,0,0,0,0,10,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,25,60,0,0,6,15,80,35,0,0,17,0,39
Mozambique,0,500,0,0,0,1,0,300,40,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,35,0,23,800,79,0,38,0,16,0,54,0
Myanmar,90,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,0,0,51,0,68,0,22,0,51,21,0,0,0,25,5,0
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,7,18
Nepal,350,0,0,0,0,0,0,0,130,0,0,750,92,186,200,46,22,188,27,0,30,51,0,1048,0,140,788,0,310,170,144,0,0,239,185,51,0,214,115
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Nicaragua,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,17
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,60,0,0,0,0,14,2,4,0,7,0,0,4,7,5
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,30,0,0,0,15,89,4,200,0,16,94,60,40,91,0
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,0,0,474,0,0,338,848,393,13,75,82,68,39,39,0,0,0,196,20,0,24,1446,15,316,1063,111,171,1000,34,0,210,37,266,5,636,400,526,82
Panama,48,0,0,7,0,0,0,0,19,0,0,0,0,0,1,0,2,0,0,0,0,12,0,0,0,1,0,0,0,1,1,0,5,0,16,3,11,2,28
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0
Peru,3,250,0,0,0,0,0,21,2,0,70,70,332,0,0,0,62,173,38,38,61,0,0,80,85,0,0,0,0,74,22,15,23,22,0,0,0,17,40
Philippines,0,0,653,3,94,0,18,24,53,0,2,353,33,11,0,68,3,0,0,44,176,70,79,53,62,476,0,18,0,164,55,43,90,0,49,5,36,40,116
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,9,0,0,27,0,0,0,2,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,23,0,30,0,19,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,1,0,0,0,0,0,2
Puerto Rico,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
Romania,215,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,2,2,0,20,31,34,9,7,9,3,10,97,51,12,5
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,46,0,4,2,14,0,3,37,259,0,18,22,0,0,0
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,12,69,0,0,0,0,30,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,5,63,0,0,0
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,0,0,0,8,1
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia and Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,10,20,0,0,0
Slovak Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2,0,1,0,0,1,1,1,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,34,0,0,0,0,100,20,3,2311,0,0,0,0,0,1,0,12,102,25,0
South Africa,0,0,0,0,26,0,0,4,26,0,0,104,0,0,0,0,0,506,25,0,0,0,0,12,0,207,34,0,0,27,93,5,16,1,0,0,12,0,11
Spain,0,0,0,500,0,0,0,0,2,20,0,0,77,45,0,0,0,5,0,12,0,0,0,0,10,0,1,5,0,0,24,0,6,0,0,0,0,5,0
Sri Lanka,0,0,0,0,0,0,0,0,10,0,0,7,54,3,51,0,43,0,0,325,33,27,15,8,0,3,0,10,3,6,5,0,2,235,6,6,25,33,33
Sudan,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,96,0,0,0,0,21,8,0,152,8,103,38,0,3,0,20,0,5,27,150,17
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,1,0
Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Taiwan,0,0,0,0,0,0,0,45,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,16,3,0,0
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1346,0,0,0,0,0,51,27,0,0,32,6,0,8,0,22,0
Tanzania,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,189,0,0,54,31,3,0,83,61,0,36,5,9,0,0,1,0,0,73
Thailand,0,0,0,0,0,239,0,0,96,0,57,0,0,50,17,18,42,24,664,0,0,17,0,41,102,231,91,14,0,22,98,222,154,9,13,76,280,53,39
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,41,6
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,0,0,0,111,0,0,0,0,0,0,0,0,117,0,0,0,23,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,16,0
Turkey,0,0,0,0,33,0,0,0,0,0,75,10,0,0,0,0,0,0,13,0,69,42,0,0,0,63,0,0,92,0,2,12,34,8,23,7,59,16,0
