Singapore,2000,2000,2000
Sri Lanka,"2,350,000","2,082,000","1,933,000"
Thailand,"15,965,000","14,814,000","14,520,000"
Timor-Leste,966000,854000,798000
Vietnam,"9,363,000","11,725,000","12,931,000"
Afghanistan,"1,309,000","1,015,000",867000
Armenia,346000,305000,283000
Azerbaijan,936000,936000,936000
Bahrain,,,
Cyprus,161000,173000,174000
Georgia,"2,760,000","2,760,000","2,760,000"
Iran,"11,075,000","11,075,000","11,075,000"
Iraq,804000,818000,822000
Israel,154000,164000,171000
Jordan,83000,83000,83000
Kazakhstan,"3,422,000","3,365,000","3,337,000"
Kuwait,3000,5000,6000
Kyrgyzstan,836000,858000,869000
Lebanon,121000,131000,136000
West Bank and Gaza,9000,9000,9000
Oman,2000,2000,2000
Qatar,,,
Saudi Arabia,"2,728,000","2,728,000","2,728,000"
Syria,372000,432000,461000
Tajikistan,408000,410000,410000
Turkey,"9,680,000","10,052,000","10,175,000"
Turkmenistan,"4,127,000","4,127,000","4,127,000"
United Arab Emirates,245000,310000,312000
Uzbekistan,"3,045,000","3,212,000","3,295,000"
"Yemen, Rep.",549000,549000,549000
Albania,789000,769000,794000
Andorra,16000,16000,16000
Austria,"3,776,000","3,838,000","3,862,000"
Belarus,"7,376,000","7,848,000","7,894,000"
Belgium,677000,667000,667000
Bosnia and Herzegovina,"2,210,000","2,185,000","2,185,000"
Bulgaria,"3,327,000","3,375,000","3,625,000"
Channel Islands,1000,1000,1000
Croatia,"2,116,000","2,129,000","2,135,000"
Czech Rep.,"2,630,000","2,637,000","2,648,000"
Denmark,445000,486000,500000
Estonia,"2,163,000","2,243,000","2,284,000"
Faeroe Islands,,,
Finland,"22,194,000","22,475,000","22,500,000"
France,"14,538,000","15,351,000","15,554,000"
Germany,"10,741,000","11,076,000","11,076,000"
Gibraltar,,,
Greece,"3,299,000","3,601,000","3,752,000"
Holy See,,,
Hungary,"1,801,000","1,907,000","1,976,000"
Iceland,25000,38000,46000
Ireland,441000,609000,669000
Isle of Man,3000,3000,3000
Italy,"8,383,000","9,447,000","9,979,000"
Latvia,"2,775,000","2,885,000","2,941,000"
Liechtenstein,6000,7000,7000
Lithuania,"1,945,000","2,020,000","2,099,000"
Luxembourg,86000,87000,87000
Malta,,,
Monaco,,,
Netherlands,345000,360000,365000
Norway,"9,130,000","9,301,000","9,387,000"
Poland,"8,881,000","9,059,000","9,192,000"
Portugal,"3,099,000","3,583,000","3,783,000"
Moldova,319000,326000,329000
Romania,"6,371,000","6,366,000","6,370,000"
Russia,"808,950,000","809,268,000","808,790,000"
San Marino,,,
Serbia and Montenegro,"2,559,000","2,649,000","2,694,000"
Slovak Republic,"1,922,000","1,921,000","1,929,000"
Slovenia,"1,188,000","1,239,000","1,264,000"
Spain,"13,479,000","16,436,000","17,915,000"
Sweden,"27,367,000","27,474,000","27,528,000"
Switzerland,"1,155,000","1,199,000","1,221,000"
"Macedonia, FYR",906000,906000,906000
Ukraine,"9,274,000","9,510,000","9,575,000"
United Kingdom,"2,611,000","2,793,000","2,845,000"
Anguilla,6000,6000,6000
Antigua and Barbuda,9000,9000,9000
Aruba,,,
Bahamas,515000,515000,515000
Barbados,2000,2000,2000
Bermuda,1000,1000,1000
British Virgin Islands,4000,4000,4000
Cayman Islands,12000,12000,12000
Cuba,"2,058,000","2,435,000","2,713,000"
Dominica,50000,47000,46000
Dominican Rep.,"1,376,000","1,376,000","1,376,000"
Grenada,4000,4000,4000
Guadeloupe,84000,81000,80000
Haiti,116000,109000,105000
Jamaica,345000,341000,339000
Martinique,46000,46000,46000
Montserrat,4000,4000,4000
Netherlands Antilles,1000,1000,1000
Puerto Rico,404000,407000,408000
Saint Kitts and Nevis,5000,5000,5000
Saint Lucia,17000,17000,17000
Saint Vincent and the Grenadines,9000,10000,11000
Trinidad and Tobago,235000,228000,226000
Turks and Caicos Islands,34000,34000,34000
Virgin Islands (U.S.),12000,10000,10000
Belize,"1,653,000","1,653,000","1,653,000"
Costa Rica,"2,564,000","2,376,000","2,391,000"
El Salvador,375000,324000,298000
Guatemala,"4,748,000","4,208,000","3,938,000"
Honduras,"7,385,000","5,430,000","4,648,000"
Nicaragua,"6,538,000","5,539,000","5,189,000"
Panama,"4,376,000","4,307,000","4,294,000"
Canada,"310,134,000","310,134,000","310,134,000"
Greenland,,,
Mexico,"69,016,000","65,540,000","64,238,000"
Saint-Pierre-et-Miquelon,3000,3000,3000
United States,"298,648,000","302,294,000","303,089,000"
American Samoa,18000,18000,18000
Australia,"167,904,000","164,645,000","163,678,000"
Cook Islands,15000,16000,16000
Fiji,979000,"1,000,000","1,000,000"
French Polynesia,105000,105000,105000
Guam,26000,26000,26000
Kiribati,2000,2000,2000
Marshall Islands,,,
"Micronesia, Fed. Sts.",63000,63000,63000
Nauru,,,
New Caledonia,717000,717000,717000
New Zealand,"7,720,000","8,226,000","8,309,000"
Niue,17000,15000,14000
Northern Mariana Islands,35000,34000,33000
Palau,38000,40000,40000
Papua New Guinea,"31,523,000","30,132,000","29,437,000"
Pitcairn,4000,4000,4000
Samoa,130000,171000,171000
Solomon Islands,"2,768,000","2,371,000","2,172,000"
Tokelau,,,
Tonga,4000,4000,4000
Tuvalu,1000,1000,1000
Vanuatu,440000,440000,440000
Wallis et Futuna,6000,5000,5000
Argentina,"35,262,000","33,770,000","33,021,000"
Bolivia,"62,795,000","60,091,000","58,740,000"
Brazil,"520,027,000","493,213,000","477,698,000"
Chile,"15,263,000","15,834,000","16,121,000"
Colombia,"61,439,000","60,963,000","60,728,000"
Ecuador,"13,817,000","11,841,000","10,853,000"
Falkland Islands (Malvinas),,,
French Guiana,"8,091,000","8,063,000","8,063,000"
Guyana,"15,104,000","15,104,000","15,104,000"
Paraguay,"21,157,000","19,368,000","18,475,000"
Peru,"70,156,000","69,213,000","68,742,000"
South Ossetia,,,
Suriname,"14,776,000","14,776,000","14,776,000"
Uruguay,905000,"1,409,000","1,506,000"
Venezuela,"52,026,000","49,151,000","47,713,000"
