Water and sanitation aid (% of total aid),1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Italy,,,,,,,,,,,,,,,,10.42559321,0.1996767139,5.571749745,0.6629020378,2.712868281,8.333245773,8.655629627,6.170821898,6.893727583,14.37162969,11.0315252,8.569504017,7.950272893,9.553076147,12.20863191,17.63101084,11.62288075,7.264382179,15.62989445,4.69161272,1.88384627,2.136261423,1.085774619,9.495958783,7.499814911,9.275114599,
Japan,,,,,2.742906198,1.606801681,1.867326088,3.683287813,,,,,1.986668902,2.273364748,3.140703518,2.844045003,2.382902905,18.86622513,7.247822845,3.749649837,3.58807699,8.714056756,7.709178804,7.660981225,3.307590167,7.827815578,12.93048119,12.05774096,11.51758688,12.92889299,12.45024469,12.79149589,8.399536326,19.45949736,7.538807686,5.213973895,14.08056072,8.459860845,22.75790456,15.45134996,21.76752673,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19164323,,2.140032566,2.141717931,4.028637301,5.649317837,12.43663035,12.94168969,,,,12.46729369,9.416002058,8.059954751,7.41440513,
Netherlands,,,,,,,,0.07219110956,,2.805392025,6.301818791,9.042852412,4.553021408,7.168297362,3.653176151,5.819291038,4.246369823,5.445450587,1.777922792,6.524640907,12.17854132,5.131624325,6.407662109,4.301769965,4.251683586,4.091957896,10.60142374,6.693223274,6.257025761,7.600528445,8.06075128,10.93691302,7.691155919,4.309404981,9.411907553,7.055232411,7.055324066,7.143245606,8.305557989,10.23628925,13.23399945,
New Zealand,,,,,,,4.111007559,,,,3.705039214,2.870124953,4.017452869,,1.354867654,1.511309463,1.662561576,1.789821018,7.326246934,1.994134897,5.831111111,3.1631745,,,1.740680988,1.880182179,0.6452356262,0.7397877131,0.7396629077,,,2.288286599,2.103931029,2.108778626,2.319653327,2.01386287,1.672661871,1.92412416,2.230036088,2.302168403,2.713560221,
Norway,,,,,,,,10.41372728,,6.847704068,,,,,,11.67615568,8.690571722,14.99739929,5.55192037,11.9625807,11.88473448,2.372437079,0.9370328508,8.857831063,0.5563713119,1.41545469,2.281728833,3.781910971,4.992346013,1.156839301,3.07496216,7.396380547,4.523431141,3.300846479,5.785037638,2.909710305,2.240453951,3.105824733,3.126954726,1.858709458,2.313860821,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3480662983,0.447124883,0.1341081806,0.01942690627,0.6968395861,0.4000695773,0.2057530157,0.8842859988,0.1924999075,0.08763837638,1.597738585,1.381387123,0.3417075753,0.6193293886,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,0.04598136402,3.57076793,9.742864134,0.284024017,6.228294435,3.90481385,2.837884205,3.826898861,3.120856077,3.14325846,5.023226251,5.993223073,6.588875487,7.239829158,5.123111506,4.892629245,4.654130469,
Sweden,,,,,10.81843291,6.909795168,4.501944101,14.3647541,9.436325678,10.14089661,8.852398346,6.286171654,7.360630347,3.010790115,5.741535162,6.150588075,5.757380539,4.26984557,,0.4791411991,3.243264391,8.615852578,4.262767905,4.35926838,2.719201386,5.225774189,4.362117723,7.320267069,4.738375776,4.840101285,2.279500231,3.764358596,6.833936641,4.639560988,8.117186213,3.364586682,4.40433213,4.103256423,5.592652072,4.464390582,3.064430437,
Switzerland,,,,,2.638490926,,,7.924087066,12.40107043,16.51658247,6.980242018,,2.521041609,4.238035264,3.431089137,3.034547152,4.563266586,5.64514035,2.909982662,9.603146766,2.121946995,13.7315655,3.54860441,9.720534629,3.368970263,6.509071132,4.001493738,3.896237055,4.232208231,9.729994255,,8.723078547,6.738220779,6.695858077,5.674097665,4.468679557,5.998854003,4.830408189,5.358436925,4.840398824,5.660857802,
United Kingdom,,,,,3.557399818,20.94868489,1.284746287,2.603302582,1.242308728,1.161422209,1.033718641,0.8917147527,1.005933766,0.301973878,0.1024767,,,,1.191935354,11.85543721,0.4849812265,2.727277445,5.890410959,4.738713042,3.991198037,4.178621633,5.176620117,4.854583114,3.680389533,4.457827214,4.406622685,4.372313245,4.215610823,2.967942972,3.453064152,1.037278069,1.337286258,1.010933337,1.48301481,1.598031989,2.536954529,
United States,,,,,2.842760209,6.788862391,0.1016771318,,3.918319581,4.070404542,,,,,1.879408486,2.095503471,3.350625906,2.376814317,1.58760894,1.944231951,10.18709736,7.144229455,5.233268282,10.64494411,10.61750613,10.61754311,10.61737131,1.688114599,1.676854876,2.871486973,3.569999801,5.312912704,3.716573802,1.687546941,7.875790415,1.088117929,0.8921089176,5.26337262,6.054778646,4.849291497,2.32074807,
