Imports of goods and services (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Australia,13.90081068,14.85656315,12.5,13.68719402,13.62194439,15.10425568,14.97154472,13.75310083,14.33273387,13.19492782,13.0824806,12.79854685,11.90380851,10.96348158,13.13036767,14.62505044,13.27458885,14.54811728,14.48779935,15.25442136,15.79971118,16.60315024,16.72135214,15.53449404,14.92303121,17.1726999,17.99133664,17.03699585,16.49983067,16.84647079,16.95737502,16.05218067,16.3030147,17.75240704,18.28198509,19.68989299,19.16687031,18.7045561,20.26508428,20.55674896,21.34993447,21.77921596,20.45339566,20.88078373,19.50452517,20.55077085,21.07265538,20.92946989,21.75122708,22.05305595,20.0897899,
Austria,23.26193335,21.90190728,22.20171697,22.85788192,23.58618233,24.46902161,25.21686113,24.60428649,24.70470975,25.87725787,28.2233734,28.09646122,28.1172536,28.29408268,31.29011008,29.2876987,32.02002244,33.22876038,31.41607162,33.32420674,36.09500062,36.37755132,33.30035646,32.91904403,34.79857526,36.18117708,32.93432426,32.35946222,34.46804162,36.5611092,36.86505733,36.50930352,35.5255295,32.79765715,34.90718256,35.78586944,37.04141369,39.76015328,40.31425925,40.87741153,44.46222042,45.88377054,43.92447686,44.74862166,47.70601603,49.85473779,51.30078225,53.17035673,53.51060924,45.66987526,49.66290841,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.23601637,41.20134731,54.5967926,75.9883373,30.63004641,41.51002396,55.54765802,53.0243675,54.53126265,41.87764345,38.37809431,37.31793032,50.04893381,65.55051086,72.71588426,52.89701475,38.75938567,28.51369901,23.46733444,22.28775755,20.36422695,
Bahamas,,,,,,,,,,,,,,,,,,66.1430575,67.51561749,60.2035411,62.87725755,62.36943484,59.5514169,58.01592613,58.30679287,59.27091347,57.90495395,55.8032439,,57.16884389,55.95925458,55.16752594,51.21453844,51.39327296,53.38048481,54.91630213,57.81906345,48.26068474,48.50151041,44.19655108,46.84528867,43.27529585,38.40430492,39.69987266,42.55362635,48.01522718,55.45303121,53.96552661,54.02514155,47.75433964,51.23507445,
Bahrain,,,,,,,,,,,,,,,,,,,,,115.2404778,120.0092002,106.7770622,92.95073085,93.84405843,89.84050479,84.81310683,87.40003826,77.49443465,87.62992414,94.60513481,95.63864899,96.74204747,80.72929954,73.98490268,70.47376762,76.20189623,69.50529474,63.88542616,62.96445312,64.38986747,60.47229304,66.23754933,63.65893588,72.72103207,76.42711771,72.90691628,68.35164202,74.31211599,,,
Bangladesh,9.307258439,11.69999895,10.80809703,11.65627804,14.1218555,13.36659741,12.65182229,12.59571795,11.6063314,11.66532883,12.50748404,10.72758444,13.7325592,11.85524725,10.34854557,8.100547254,17.63619314,12.38144622,15.48085178,15.79784406,17.88294733,14.49946606,15.93990159,15.07636392,12.95624424,13.23281323,12.2198672,12.10810335,12.69900204,13.26299857,13.53060826,12.22723013,12.34733257,14.10430979,13.86432121,17.34485962,18.6932121,18.01819072,18.27751426,18.65873514,19.22732516,21.50036443,19.04703863,20.03529176,20.81342307,23.0457747,25.24466123,26.70242715,28.75147667,26.55240314,25.01623521,
Barbados,65.68758344,58.82352941,62.93622142,60.85561497,60.38751346,68.51475076,74.23312883,69.91187579,74.94537509,77.94689119,78.62258953,73.88930256,78.12221231,71.912525,69.31769101,60.41358936,63.99129471,61.10104992,68.35431367,76.16081062,72.04438034,69.03286547,66.46733829,69.36766376,67.18343399,60.06888173,54.22146495,45.46109827,48.24148271,50.33993897,51.72664569,50.13555537,46.23858878,51.56013429,49.73224806,56.24849341,56.67218224,58.83660065,55.09062544,56.86144124,57.04124793,55.23283637,56.76857534,57.38660579,63.24185552,69.34497817,64.37849289,63.89073783,64.19105691,64.58452804,52.40053534,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.64896074,33.40987371,57.83666847,83.36682499,84.10460176,54.05353757,50.42488709,65.65633518,63.9066163,61.63176935,72.39834461,70.29732374,67.37454234,68.98547237,74.25017703,59.08654297,64.23379212,67.21082526,68.66172333,61.78058849,68.32881699,
Belgium,38.50067422,39.80529742,40.58455193,42.67004473,42.8293237,42.00679821,44.36964024,42.26756145,44.40565651,47.69100873,46.75654775,45.65269348,44.84540192,50.34228005,57.18262572,49.79156706,52.68866555,52.58920507,50.82134442,56.3887286,57.79448601,61.3095069,65.3098522,65.50407121,69.67280616,67.05730731,60.093471,59.00977327,62.24516056,67.0000189,65.34492191,63.71422127,61.42143911,57.75827158,59.83512907,61.42563018,62.48204433,66.02460045,65.90112495,65.79547201,75.21395409,74.20731315,70.95226856,68.52932152,71.02197416,74.76390437,76.98393772,78.7515524,83.72652364,69.63709497,77.30767331,
Belize,,,,,,,,,,,,,,,,,,,,,68.57509628,75.34992224,70.57182706,65,70.15173068,61.29572077,58.13034891,62.59265593,67.84693554,69.13120995,60.06536972,64.84968719,52.92899845,50.19324693,52.44754784,49.1196115,50.2746904,55.71705906,56.93761306,67.36568491,73.67303663,69.09833373,66.12110776,66.0815713,58.59887779,62.65728346,61.87225716,61.68572063,70.04489586,,,
Benin,12.11028601,9.534632134,9.959304504,11.62589881,12.24316513,14.90571052,16.19606299,19.77226633,19.0765868,21.42850576,24.46132362,27.8326141,26.80014935,25.95016695,29.49464837,33.41298201,31.02851141,34.78078291,34.54536444,37.02178869,37.32210672,43.95887164,40.08629955,31.57772269,30.93192817,36.64859963,32.61549675,30.9506071,32.08308881,24.80493837,26.32869852,28.09908149,28.55168981,28.06893558,29.93980583,33.04840124,29.52394863,28.87597476,27.49913112,28.82779017,28.11760352,27.89578365,27.48505136,26.52449345,26.05930222,26.11098828,22.69569432,31.55261277,28.84782463,28.24783053,27.73042737,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.55812801,36.54501623,38.98635055,36.13927456,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,51.24137489,49.21304146,48.66238777,47.3591138,52.74795315,55.93372842,42.1870359,53.25230461,40.0826012,32.66863337,41.19079576,58.83105244,45.64036811,42.16117437,45.09601061,48.01323102,49.22299187,52.36867916,53.55657285,51.32996575,49.24251933,45.16769331,42.95312007,49.86925223,62.75389689,67.0222208,57.28074166,57.70979056,71.97071386,,
Bolivia,,,,,,,,,,,24.35451837,24.40448748,24.01913876,28.31875915,26.79769666,32.21663411,29.88530977,29.64649045,30.1082418,27.39607582,22.28548689,22.95374778,29.40391432,24.0390415,25.8198699,22.84284059,25.7403931,24.68999184,23.13880521,23.15646911,23.92628617,26.9656215,29.06509408,28.38636036,27.19753926,27.18656717,27.27441989,29.35905987,32.58247807,27.28735714,27.32302999,25.25567328,27.71580526,26.36710193,26.32587558,32.09379842,32.7661342,34.26625468,37.9604649,32.90444912,34.32416975,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.39893852,71.46787215,83.88233755,72.79733038,98.3634125,94.17666268,75.50027139,75.92642493,70.92935466,83.16849149,77.49680365,72.91106385,66.74783597,80.08526814,77.88623144,54.50350478,56.74542579,
Botswana,39.64390188,42.5254251,44.8389256,47.34542636,48.57664403,50.6097561,50.94850949,50.77349314,62.94736842,52.56525653,60.91370558,61.56387665,60.54287962,61.96518147,64.77518634,63.79211879,66.32148377,69.30966469,68.524389,65.24992517,66.44230186,71.53032832,69.27419741,62.56561807,57.96219857,51.23175935,49.12874011,48.44218821,43.9296497,46.13626671,49.79191333,46.52887119,41.57169149,39.1120392,38.76205661,38.05939888,37.82742908,41.36843032,42.93535708,40.88275002,41.20117243,35.36252245,35.42715787,34.37454729,36.89010399,34.45657411,30.66387621,35.42164901,41.7771791,45.24372745,39.73601257,
Brazil,7.11728411,7.339461342,5.188973585,9.111000761,5.677599613,5.555924987,5.991669039,5.768970982,6.610384386,6.553713056,7.449759195,8.13797346,8.844075569,9.501581008,13.88372808,11.5055803,9.432617824,7.917747639,7.864394361,9.175567788,11.30583071,9.799449095,8.274479024,9.008341194,7.924387293,7.095314561,6.354576555,6.192662646,5.692538049,5.46126798,6.961765546,7.913943632,8.385094754,9.096046066,9.161622476,8.775001661,8.366098971,9.020423273,8.932220265,10.81605634,11.74167982,13.49690048,12.58297684,12.07519289,12.54814581,11.52000313,11.46574528,11.84675863,13.47468092,11.17742281,12.14670402,
Brunei,,,,,,,,,,,,,,,17.35341335,23.42622004,18.25886636,16.08782057,14.47273057,14.13786882,11.66426622,13.71348041,17.22645335,18.98103128,,,,,,35.20789183,37.26688607,40.17200938,47.90902421,51.76364185,48.40621496,55.8271237,60.64051019,58.49423351,57.40412979,48.40323201,35.81729348,39.19356475,41.62613883,35.96921583,31.79052386,27.2891692,25.2164514,27.89786764,27.61460739,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,30.6886115,34.5226109,33.21648729,36.93961908,38.24614967,43.20223887,43.46992438,42.62235482,45.89608482,48.15837206,36.72786944,39.20412675,52.93824701,45.83472733,45.67256317,49.90613738,56.80691939,53.41156686,58.08366462,60.57634886,55.79969403,58.14424643,55.53517688,58.85755999,63.39209345,55.62707438,78.79610847,79.18341967,78.73204869,56.34076832,59.70153773,
Burkina Faso,15.83940465,15.78997642,15.70596469,15.66900924,11.51843946,11.37662063,11.64848833,13.92730706,15.2873907,16.53239459,16.14177017,19.9310891,21.28899965,22.91953873,24.47291572,30.15111635,27.00824324,30.44326689,27.75082928,29.28244369,31.26250765,31.43511365,31.62403532,29.57414785,28.75779204,31.02608228,28.97116629,28.08112953,27.13098209,23.64589735,24.45595903,23.34868799,19.52753601,20.67354068,25.02760109,26.60691488,27.61669256,26.60388778,28.13168055,24.00633248,25.187783,23.12582702,21.17682769,21.72450599,24.27699837,25.6172665,26.80772047,,,,,
Burundi,13.39285752,14.65517328,16.39344213,14.28571413,12.08053702,12.53428946,12.99218038,11.88577655,13.36681223,12.0945743,11.62101972,14.17168014,15.07496967,13.33273113,15.53393773,19.00177059,16.65287675,17.29141892,20.2264008,22.72214152,23.29206503,22.0376957,26.90744599,24.74775974,23.55230979,20.78690239,22.31563048,25.73863174,25.95318326,22.9435654,27.77514726,28.50518278,29.47695089,27.16103576,28.48175854,27.27828356,15.75340126,14.43990665,19.44027986,15.9639877,19.93072407,20.89472727,22.32432432,27.68681897,33.91561456,45.29217215,46.97530181,,,,,
Cambodia,21.97309277,18.66666688,22.94372158,20.78431251,15.69343188,12.5,12.8125,10.08902085,10.72386096,10.55155882,7.769423509,,,,,,,,,,,,,,,,,,,,,,,32.66718415,38.67607256,46.58254652,43.79756006,45.31770888,44.38132721,53.6327019,61.76329887,61.26662031,64.27080811,66.56034202,70.90552225,72.74722281,76.02207102,72.94217882,67.77700868,55.91771187,59.52093544,
Cameroon,,,,,,24.26064636,23.57723646,22.57924435,24.633204,22.85913631,24.67002098,27.15797274,26.08574991,23.99716817,22.79992343,25.54303477,27.36461919,27.80575609,28.12202863,28.24239491,27.1313909,28.41412507,28.91105566,29.3035876,30.99342605,31.57581732,22.72443642,20.62603884,15.96163399,17.76944715,17.31353104,14.63989889,18.31556992,15.56534549,16.90321614,17.79384102,18.3915083,18.35988852,17.70634986,17.16426739,19.66157522,23.21430961,20.71663752,19.91112578,19.83076196,21.4706958,20.95339547,21.24620766,35.53621417,31.4066479,32.0298421,
Canada,18.13555927,18.05176693,17.79289882,17.44946007,18.15451673,18.65312117,19.30630827,19.2523871,19.98266478,21.14291917,19.77289613,19.80107489,20.76551454,21.77099166,24.37320661,24.1871663,22.86218587,23.35715223,24.67524512,26.32011932,26.22920576,26.19156603,21.79519243,22.20274876,25.11510692,25.95704468,26.88214211,25.64026414,25.95311649,25.65239734,25.68298376,25.69324172,27.46588054,30.20872296,32.82174885,34.13241925,34.36078025,37.52788216,39.44061737,39.52430731,39.82566969,37.79944551,37.14972179,34.36074763,34.10891266,34.08463109,33.62329832,33.01900053,33.59410958,30.4337845,31.30927584,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,47.50199163,42.98511649,41.22507694,46.48842377,43.70514403,41.47532946,48.8005683,49.28707612,55.30094051,59.13968513,54.37863317,55.92422006,55.28320556,57.76498448,60.51338977,62.35430967,68.54474559,67.40402961,69.56299693,66.56647934,72.68449195,77.77201412,78.92861847,68.49461996,67.26203467,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,34.18181218,35.7615888,37.70490741,38.4858051,40.80459023,37.66937669,42.5257732,46.89823821,39.63122539,37.59845824,41.5623499,37.42346228,33.81308701,36.48688333,43.33611321,39.91997007,29.3266108,34.32490617,33.88576028,35.13293947,41.08078287,34.05974391,34.22450659,36.6162611,35.50167739,32.50331388,30.5847773,29.08058993,25.64985435,26.04872106,27.62513011,22.36445052,24.11251337,22.33215103,29.70486523,27.69116559,21.0442711,24.93098751,25.24651991,14.56259385,24.10346608,21.00721071,20.14003285,18.01596355,19.40059622,21.39173682,21.91374049,22.48416236,23.59234234,22.69027969,,
Chad,17.03756865,18.55677586,19.62895423,19.21199447,21.32945252,17.81303858,17.96321924,18.16413182,18.68502889,17.69887442,22.04973094,21.05762886,19.38405926,23.50025334,26.80373669,25.85061152,26.38422549,28.37261311,27.96756917,34.63762864,28.86567674,22.66131867,13.49482613,23.54152924,24.05303153,31.32703029,35.37579471,36.43247813,30.1042396,31.40866736,27.90681519,24.39790826,24.81381364,29.32388722,34.88274936,33.76753902,29.06652395,30.76926506,29.56735683,32.18974699,34.68107558,49.6561205,113.6608673,58.74594805,50.75973287,43.83873797,41.1399939,52.3,50.2,70.1,68.7,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,15.70976611,16.05525738,13.62493766,14.49456342,13.35164784,12.5588697,13.69863014,13.12785388,13.15519013,14.18640942,14.02053712,12.02420158,13.23455968,15.46808918,19.70588271,27.41051818,20.79585833,22.42281774,23.92594781,26.10776762,26.97792326,26.75379765,21.25347151,21.31776876,25.3426554,25.71294997,26.03049419,27.22071272,27.25322869,30.65129584,30.54966907,27.77030401,28.16902588,28.61888537,26.57423053,27.10264072,28.96517364,29.20307087,29.56598207,27.32576847,29.73251794,31.77373682,31.62046028,32.4122769,31.58487049,32.81212696,30.7087922,33.24350028,41.07065621,31.21065735,31.84723035,
China,,,,,,,,,,,2.704515793,3.017389403,3.427787425,3.782704172,5.260422252,4.567687959,4.472666223,4.31833062,7.068079776,9.439363758,11.01320005,12.06847444,9.301949475,9.065642717,10.39031072,13.28934808,12.48086672,14.3801769,16.14518485,15.33547566,13.08522594,14.30869167,17.46530063,22.32662867,19.95083525,18.58250853,18.0037086,17.2587556,16.0466548,17.52080373,20.91722011,20.48033944,22.56200572,27.3574363,31.4003424,31.55165415,31.43326347,29.61397918,27.26426556,22.30300168,25.6554672,
Colombia,14.72166105,13.79193019,12.19517261,12.34356748,12.61192136,10.40254878,15.07574142,11.46014754,14.29087021,14.37294564,15.81706397,16.6788544,14.76684211,14.39381498,15.50945425,14.07032237,13.90271835,13.26761941,13.74401168,13.45875774,15.57819767,15.43293171,15.17640251,13.22795979,12.47217738,12.52546653,11.99338947,12.91871399,13.86030032,13.81661281,14.82095023,13.90830836,15.75710185,18.75932586,20.91917562,20.96348743,20.84464548,20.75552435,20.90157222,17.80270056,16.74501689,18.60084006,18.20499202,20.04678026,19.25889259,18.7901163,20.66037802,19.93788485,20.27222542,18.18086256,17.92793006,
Comoros,,,,,,,,,,,,,,,,,,,,,51.94297465,49.21258749,53.83915885,53.6826988,55.53568272,50.05832715,41.49280383,42.50021266,41.77131254,39.28892465,37.14634075,38.20766911,41.85046411,37.71170543,47.24825794,44.56641939,41.38094807,43.0239321,37.25695938,33.91352571,32.53656862,30.79287692,30.75944643,31.18985838,32.97584891,35.75421913,38.61011675,41.32570635,48.2827568,48.16492953,,
"Congo, Dem. Rep.",19.41666384,9.387166988,7.441266222,31.6826433,37.30447811,27.23322405,38.02088725,16.37136248,15.30186896,14.22880816,18.22372343,18.53598408,15.7774083,15.87628013,19.03047961,15.0909308,19.6491671,19.67275174,9.197370217,10.04147165,16.35190883,17.14197594,13.95259513,17.29085222,26.11730592,25.63433752,24.03150594,28.86172178,27.82202362,24.83868991,29.20456785,24.12483134,17.52430141,9.10913192,19.89139135,23.72624359,30.31349395,15.00000024,32.88921843,17.5594325,21.37327505,20.68850415,26.07455087,33.34665989,39.16856575,42.73314662,44.35597809,37.93899246,38.55599775,30.46327864,38.77215022,
"Congo, Rep.",85.60716655,83.66120229,62.9517144,57.84752225,56.44901098,53.08640883,51.10701107,55.82194449,57.23474277,56.89408238,57.76314474,52.64936213,51.78744928,43.37747517,59.47473385,63.74695864,66.55574043,65.26595745,61.06908724,48.62745098,60.12763596,76.09377884,68.50704225,51.76426426,45.62336985,56.00535641,53.66853395,38.62088635,40.42488619,34.8288073,45.80052493,46.98842201,40.08243174,50.13098277,74.21922717,63.60537777,59.95229668,60.16154016,72.62403269,59.10411923,43.61378408,53.31025729,53.94080479,76.04941174,50.83840589,54.5053942,65.61996668,53.52311323,47.00248223,50.2054361,54.69792507,
Costa Rica,26.17725759,25.39857048,26.34470878,27.43376691,28.75396262,33.48351489,30.84367343,31.62778587,32.91005951,32.33427109,34.98965492,37.64046653,37.10533309,37.22152149,48.34098715,38.54777842,34.91071545,36.33477435,36.03144929,37.19335789,36.81902099,48.17617906,42.16487127,30.85684873,29.03058101,28.7203541,26.95435009,30.7329857,31.57329721,34.09079322,36.2817317,37.12203026,39.84352157,42.2397413,41.13230344,40.3654758,42.78617863,44.58768322,50.10928525,45.92712309,45.76620013,44.53108644,47.63327842,48.53527627,49.48076157,53.97435534,55.27730607,53.5160789,55.19153428,41.89863196,41.16487935,
Cote d'Ivoire,22.9045205,28.10353652,25.74692898,23.51986594,24.72276998,30.12421965,28.69635518,28.79128765,27.99496362,27.06979362,29.10763119,28.42732648,29.00665083,33.23197974,38.37618374,36.58478423,36.2477536,36.33056219,37.43549421,37.66260588,41.17866036,42.28419538,39.32679298,35.72031706,31.79127049,32.39760073,30.18144876,29.62025808,27.89014303,29.05520841,27.11162094,26.98609497,28.11557841,25.90606898,29.30925615,34.44304424,32.41828092,33.09023799,33.04822904,32.1847109,33.32344574,33.46399141,33.39966013,34.91132309,39.35476069,43.58725987,42.35677874,41.94078409,38.80295689,34.13872715,36.30385297,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.12834937,54.16415582,53.57413329,45.9156737,41.53843241,42.51627145,48.75964989,42.17916629,42.79273554,44.95671883,47.35397513,49.30402149,50.44168884,49.31989095,48.74888803,49.75484418,49.75982554,49.9386845,39.36129441,38.83232491,
Cuba,,,,,,,,,,,44.18117859,44.18288977,44.18319214,44.17768639,44.17194474,44.19017987,44.19144568,44.18470406,44.15015757,44.14323655,44.28135551,44.19777468,44.15099601,43.97742508,44.10863146,44.97195032,43.77987052,43.91710268,43.10957042,44.76466336,40.87544796,29.06493682,18.22860056,15.72162046,14.53618289,15.9069057,17.31162036,17.83081423,18.25182814,17.33103475,16.94606939,16.1261611,13.20228399,13.63508489,15.28971698,18.34387795,18.47480476,17.63137014,24.34965513,14.90640445,18.96247657,
Cyprus,,,,,,,,,,,,,,,,56.692607,62.62353998,67.76175845,62.92201382,63.76627501,63.06720766,63.32192146,64.2404157,63.9746617,67.10034074,58.8314642,48.42276316,50.26963264,53.50468535,59.87415971,57.10764299,57.09425476,60.64004641,47.92500076,48.08666831,50.09080221,53.67153758,53.56752985,50.7392571,50.0071643,54.51364458,53.91674249,52.31220754,48.20701678,50.23906906,50.88671182,51.75527161,54.19620502,56.18672991,45.55883394,46.5576868,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.57425743,45.74157601,53.5663675,54.30509827,53.16017126,55.06640882,54.76840564,57.27499511,55.31286768,56.62344765,66.39459996,67.85190463,62.30543184,64.06265157,70.08095178,69.03583343,72.99300608,75.08230895,72.53958667,63.58482734,74.54541042,
Denmark,34.32181439,32.34234023,32.50492804,30.79128386,32.62801256,31.54014934,30.78320836,30.00145997,29.69672553,30.39418107,31.7482259,30.574828,28.43202201,31.49778764,35.4529531,31.89076572,34.30244449,33.38595564,30.93135981,33.31079688,34.8304168,36.63839207,36.92800476,35.50666017,36.63026766,37.69127579,34.3175206,31.44489923,32.02372565,33.53928723,32.55393458,33.10901765,31.61058687,30.67276151,32.44440578,33.438936,32.9213605,35.06233337,36.05522445,35.61166998,40.47202277,40.55409846,41.35016394,39.05256627,40.4460571,44.08347608,48.89164954,49.93428752,51.56215776,43.83726487,45.06054776,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.43439709,78.06079426,76.80229752,64.20763378,56.03002855,51.21755449,50.38555726,50.33133339,53.4529882,48.35592987,50.3821251,45.77187198,43.74954786,49.06992648,54.16912355,50.94287501,57.33030846,77.14956899,,,,
Dominica,,,,,,,,,,,,,,,,,,60.99796334,64.85733027,90.96989967,92.56125838,78.69567649,69.54867893,60.56533828,68.3869904,59.95191224,59.21678784,61.33845342,68.78429838,78.40911532,80.5353257,70.00697894,65.30371908,61.01491208,62.79609377,64.40899398,61.3674787,70.32745136,66.62463071,67.45054641,55.69144722,49.23793431,46.94695736,45.40131068,46.70232413,53.27476363,50.42968288,55.72077622,61.92300493,56.23303501,55.02234136,
Dominican Rep.,18.81321359,16.34306281,24.1839592,25.97789469,28.03237791,20.26798857,25.33794002,25.0096637,26.64257172,26.11133753,24.59270124,24.59793567,25.4818099,25.67919105,36.23188406,30.01694694,28.19000987,24.17867483,24.17057641,26.9931621,28.93982877,25.01720171,19.24911962,18.30201782,32.84480775,37.10246046,33.46451306,37.42455156,41.74730634,44.52679666,43.69122314,43.05697341,43.99649321,42.04652012,41.56014839,39.32077113,38.15983438,40.20043444,43.55261518,43.32411236,45.86678561,40.99507389,40.33403771,43.41657269,41.5557984,35.50412646,37.9751873,37.87373545,39.23876391,30.25213333,34.00797215,
Ecuador,19.48822143,20.45420009,20.55385452,18.90970411,20.06627863,19.88682399,20.25506474,21.04180854,22.40051348,21.69159954,22.22222222,28.41259925,25.68617212,25.02892464,31.53336627,32.15745504,28.21956496,28.89338395,28.07717101,27.02420835,27.09541864,23.88316151,26.99423771,23.49995623,23.31078017,23.24461435,25.15283733,34.23859099,32.30701557,35.96555519,31.9969099,32.02856457,31.18171999,26.68703422,26.35007776,28.25807031,24.09253131,25.71501071,28.35949293,24.9550196,30.99660957,31.13756104,32.20601882,28.13324956,29.26704536,32.00092609,32.96702322,34.4341453,37.79025232,31.97499221,38.61848322,
Egypt,20.09424169,20.68507988,23.02845587,25.21422435,23.06878698,21.34524078,19.896516,17.76130666,17.00003804,17.5129678,18.75163589,18.89173509,19.13330759,19.16033908,37.24360617,41.28018254,33.99732484,33.19750566,37.01888467,48.33530087,42.86597524,48.80485244,41.93253495,36.42945822,35.8125169,32.04153313,25.59443044,22.76628575,35.16112947,32.35140359,32.71328618,35.79569015,30.91301222,30.09020619,28.05714286,27.69607843,26.19877942,24.89657766,25.71329158,23.30949285,22.81681858,22.33063842,22.67088923,24.38323355,29.58994421,32.60909947,31.56872275,34.82814178,38.63763261,31.59662253,26.13127797,
