"Children out of school, primary, male",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567585,527360,626164,599404,574500,657252,539258,559802,471149,383584,412114,,297799
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,11129,10799,9227,6527,10244,14430,20262,24213,26199,28476,17107,11073,4619,3093,2424,5690,17774,17356,21862,22741,22054,28961,35736,38788,39321,42047,40518,16410,14084,8457,11088,5101,1715,,2439,4357,5657,,,3798,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,1959,,,,,193,,,189,701,975,983,801,,,,,,,,,,,,,,,,1200,424,,177,115,,,510,342,295,419,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,206501,207937,212363,,220724,219970,,,224835,,,210290,240678,220847,,,,,,,,,,,,,,190105,,111551,92826,104683,78938,59917,39853,28770,16650,11190,18447,4558,16591,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,230132,218912,236725,254208,256999,267254,283379,285940,,,,,,,333753,324682,311986,290969,236699,214151,193500,181268,166818,151064,157782,145456,131272,88604
Guinea-Bissau,,,,,,,,,,,,25761,25446,,35346,35202,,37131,35682,,,,,,,,,,,38467,38376,,,,,,,,,,26440,
Guyana,,10517,10461,,8964,,8139,3344,,4205,,,2924,,,,,,,,,,,,,2021,4513,,,,,,,1064,,,,,8243,12250,10723,11269
Haiti,,,,,,,,,,,,273228,247848,234991,254765,233633,232772,290921,,,,,,,,,,287318,,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,72809,71587,,37627,34586,32407,,39304,,,,,50414,,47620,,,,,,,60013,,,,28311,48186,26058,42275,27372,25214,29447,19142
"Hong Kong, China",,43929,38986,39001,34558,31099,31096,30661,30717,26644,12108,10487,12291,10846,8945,8318,,,,,,,,,,21268,17244,,,,,17262,15395,12189,8196,7563,6383,6871,7888,7343,,8314
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,54205,31543,9418,7943,6692,6041,5738,8179,9229,7336,6838,7524,5303,4254,4249,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,389,,367,324,127,,4,3,,1,184,157,240,337,217,104,179,
India,,10034666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6053072,6608420,7096696,6637166,2335895,2331022,1972831,1418424,870827,,,
Indonesia,,2568924,2519236,,2458907,2515917,2289408,,1352194,,,875547,130815,,114509,,,277337,38211,240243,463645,585992,675817,858162,764817,771343,999812,1001130,,,595880,559050,571626,443525,357896,442630,,,,,,
Iran,,,,,,,,,,,,,,,216251,258820,271551,277464,295922,332668,73573,,,,,,,169411,,515884,542561,,149165,177009,65465,76159,,,,,,
Iraq,,184199,162524,143137,127065,166058,78398,97016,105413,24825,20405,47933,,110843,,110323,105379,75658,72804,68712,,,,290040,,,357579,,,99651,128802,143362,,40439,70672,,,131913,,,,
Ireland,,13775,14435,14099,16596,17898,17975,17970,18165,18820,19760,21578,23098,24780,,,26086,24025,21709,20774,19812,19906,20674,21203,21571,21954,21654,19106,1089,,783,2406,,,,,,,,,1409,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7067,6356,5839,7025,6873,9020,10007,12476,11897,12083,13123,11803,
Italy,,,,,,,67991,,,34309,,,,,,52897,,,,,,,,,,,,,,,3105,3039,4265,3513,8859,4057,4649,4634,5072,5490,5054,
Jamaica,,,,,,13424,18173,16877,,9527,9530,7996,,5916,7605,8120,7054,494,6412,1066,1646,4558,,7748,,,,,,15040,10298,11813,13581,16516,14604,18353,,32764,28660,28445,28117,
Japan,,,21239,53699,135491,70698,,,,,,,14441,42003,32658,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,4856,,,,,,,,9663,17133,18323,27800,29438,30665,,,,,,,,,,,,,,31834,23238,,,,,,,19774,29828,,42195,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45991,20337,11493,12497,10769,11263,12407,8231,7204,4852,,2892
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1139127,1008524,939588,,1025275,691477,724526,691262,721514,387971,545129,523373,,
Kiribati,,,,,,,,,,,,,,,,,8,249,,155,,,,,,,,,,,,,,,,,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,78835,41851,70868,93424,101079,70760,92119,80063,32988,,,,,25949,46042,44496,,,,,,,,,,,,38295,25519,9816,10184,12935,75,4097,1705,2702,3627,3967,487,10698,
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,14315,15489,14817,14323,14124,14393,12457,4928,5571,8304,7286,8049,8897,10394,9509,9561,14071,15026,,,,51772,,23484,,4206,6435,,1735,3561,3627,70,,,1849,,3562,3493,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,14510,,,17114,18613,15845,15377,15381,5405,10462,7932,11045,12027,12769,9023,7212
Lao,,,,,,,,,,,,,,,,,,,,,,,109435,95933,85850,,87606,81830,71823,72961,71715,76181,72930,63499,63603,59617,53287,43697,34729,26413,6910,6419
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,11800,12443,9651,8891,4309,,,,,,,,,3459,3491,2922,
Lebanon,,,,,12128,,,,,,,,,,,,,,,,,,,,,,,48775,17425,8685,,,,,,,28993,28707,27766,22697,14572,5794
Lesotho,52368,,57242,57505,51383,,52528,53086,60568,61131,61232,61564,57601,59318,59391,57010,57587,56826,56226,58226,60606,59747,60104,64615,63273,65290,66292,,80318,86418,49486,50215,49571,49632,53460,54858,59144,58373,56312,56782,52616,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101415,,,,,,,164065,151562,156860,173382,,192128
Libya,,1589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,11,,21,5,9,,1,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4624,3783,2338,1819,2123,5175,7489,8211,6489,4550,2818,2382,2908,
Luxembourg,,,1506,1690,1182,1267,1250,1568,1655,,,3103,2269,2267,2414,,2377,2806,2069,,,,,,,,,,,653,665,566,484,669,550,389,395,481,723,,1190,
"Macao, China",,,,,,,,,,,,,,,,,,,,,2397,,2028,,,,,,,3967,3717,3770,3031,2714,2299,2149,2294,2076,2128,2482,2687,2665
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2404,2572,1211,1318,2535,3435,3268,3458,4293,4533,6061,4567,1730,
Madagascar,,,157613,,,,,,,,,,,,,,,,,226761,230861,215984,,,,389178,373145,,,360494,356917,351941,354162,245363,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106551,,,,
Malaysia,113992,130788,121886,,,,,,,,,,,,,,,,,,,,,,58487,,,,,65638,34849,50598,78406,80844,57273,70731,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,734,562,914,920,,,600,471,744,614,573,717,
Mali,,356623,,,,,,,,,,,,,,,,,,,,,,,,,,,,469888,,,438195,450274,486720,430564,435837,430193,,375586,376803,375323
Malta,,2928,2601,2675,2365,1688,702,,,,,,116,426,632,396,838,1294,1565,1545,1393,1263,1283,1350,1773,1681,1684,1644,1444,1272,1203,1187,1226,1182,1069,1404,,1236,1184,1522,846,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,89448,78809,75732,,75754,80157,81524,74968,75167,75189,61223,66297,60073,59426,70263,72202,72084,
Mauritius,,,19396,18091,16054,13660,13058,9706,10235,10792,8904,6103,2698,2753,3910,3279,6053,3945,2151,,,993,,3396,5732,7967,7911,7573,6346,5670,5199,5770,4976,5175,5616,4934,4622,4349,4196,4536,4581,4298
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,942770,,,,,,,,,,,,,,,,,,,,,,,,,,51528,54454,50071,64191,71904,62185,55294,52682,45708,36051,47405,39022,39275,50866,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8873,3993,4415,3245,3321,6291,8672,8404,7475,7552,7708,6917
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,18443,15788,21577,17719,14862,11867,9899,10052,17182,8660,13014,7627,7735,3720,3135,468,724
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566
