Urban population,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Aruba,24996,28139.75709,28532.72851,28763.12219,28923.38571,29082.534,29252.22547,29414.71619,29576.09107,29737.8702,29901.57184,30081.36463,30279.76366,30467.41659,30602.87117,30659.38392,30617.31819,30495.45442,30355.98259,30282.22256,30333.16728,30561.56262,30944.16296,31368.88166,31674.36663,31763.9685,31560.42571,31140.43218,30747.87509,30716.94889,31271.74893,32325.78351,33935.27399,35839.59547,37669.10921,39166.29803,40163.36309,40824.30986,41265.57367,41669.09453,42159.26513,43117.26511,44140.19633,45183.6625,46175.83948,47064.136,47899.68569,48642.6413,49287.18461,49832.15459,50279.66176,50687.20067
Australia,8375329,8587694.566,8841890.588,9055934.7,9279084.646,9507271.8,9768314.91,9934404.03,10153969.77,10412390.67,10664093.55,11047706.39,11269945.5,11461120.68,11772934.25,11937004.53,12052775.3,12184768.67,12322667.35,12451879.91,12599859.2,12792439,12998439.2,13152790.2,13293228.8,13466786.8,13687402.43,13895225.6,14122466.53,14361515.33,14573595.4,14784941.01,14990135.88,15162455.41,15349015.04,15561076.32,15805652.36,16022686.03,16230183.35,16456762.63,16694712.45,16960827.49,17209084.71,17463227.14,17707804.74,17984542.54,18287588.15,18654978.51,19069255.49,19509178.24,19857079.91,20175675.07
Austria,4560057,4590376.939,4622747.142,4656713.845,4692061.016,4726877.648,4763765.428,4803148.644,4831817.272,4852207.791,4872870.982,4895909.624,4925699.363,4954324.812,4964025.979,4952131.009,4944146.243,4946801.532,4943554.402,4935889.559,4936649.733,4951904.205,4958107.785,4952748.574,4955083.315,4960058.065,4966223.912,4972382.427,4982445.813,5007975.65,5049338.053,5100546.909,5157539.973,5200799.725,5221410.116,5229966.924,5237033.186,5242970.978,5248727.162,5258949.192,5271610.428,5303634.88,5341656.332,5379663.081,5425139.412,5474303.747,5516671.902,5553393.188,5592910.176,5627320.493,5659236.13,5696918.406
Azerbaijan,1857673,2108328.321,2167604.472,2227265.028,2285368.406,2340495.645,2395326.8,2446990.026,2495724.941,2542062.324,2586413.26,2660993.008,2734824.988,2807955.389,2880446.715,2952419.292,3013402.022,3073516.076,3133316.43,3195510.75,3254229.82,3315513.18,3376020.748,3437872.256,3501609.894,3567781.62,3630032.478,3694537.712,3757547.944,3804559.98,3847890.91,3885651.484,3922189.476,3959098.84,3989534.162,4012031.1,4040020.46,4066327.335,4092128.82,4115107.625,4135853.596,4184292.299,4232024.09,4280727.44,4335029.446,4396406.297,4462143.629,4530394.359,4644268.991,4759808.015,4835103.831,4918155.264
Bahamas,65457,69503.93493,73991.80232,78734.57668,83642.4672,88633.26703,93638.35354,98683.89508,103669.7293,108473.0432,113010.1308,117156.6273,120998.8558,124664.3921,128349.8732,132207.1113,136214.6155,140407.3102,144780.8282,149304.4359,153952.812,158948.8541,164107.8779,169364.1535,174630.3608,179841.1672,184754.7483,189577.1655,194395.1891,199336.5189,204487.4726,208839.289,213372.0656,217946.2477,222369.0371,226507.8281,230277.0742,233767.6396,237121.6268,240541.5696,244177.9979,248045.6001,252127.4201,256396.0161,260797.1417,265284.3034,269840.6844,274488.4377,279159.4776,283763.26,288236.1213,292515.9162
Bahrain,128480,137681.9372,141956.4725,146037.6876,149946.7651,153739.575,157841.9217,161961.6411,166378.4577,171459.0432,177500.7945,184439.8098,192316.2503,201493.5366,212416.2401,225319.71,240473.3045,257607.982,275581.662,292819.3028,308204.5566,321143.7667,332060.7604,341871.8388,351975.3354,363374.47,376351.7244,390592.8596,405547.9726,420363.1429,434434.1274,446843.4748,458575.5928,470016.0215,481734.9133,494149.9077,508136.5891,524090.5146,540201.4808,553904.8223,563983.918,567859.3331,567530.8096,572094.2703,593900.329,640867.1013,717763.5491,819260.7447,931741.8209,1035991.14,1118212.94,1173806.133
Bangladesh,2761049,2757034.996,2948396.094,3148940.981,3361909.815,3589447.332,3871757.261,4173452.972,4484841.627,4790505.365,5078286.327,5456170.274,5812547.904,6161814.916,6530579.495,6942462.044,7809924.714,8753099.918,9770721.63,10848902.08,11973533.06,12747500.14,13547531.04,14376642.25,15241190.4,16145938.31,17029711.37,17948423.8,18896769.51,19866841.19,20852271.31,21755708.44,22666562.68,23588184.61,24526669.99,25486444.5,26471138.41,27474358.14,28494102.67,29527327.89,30570817.67,31665644.6,32772286.81,33879689.06,34972770.8,36041119.68,37136611.93,38204984.39,39265757,40348600.51,41476183.02,42725450.49
Barbados,84884,85334.55585,85841.35274,86382.77918,86908.24831,87382.00211,87807.86187,88193.71189,88580.40725,89024.88626,89565.42627,90552.44923,91642.07533,92776.39232,93871.56045,94868.4852,95681.49285,96391.78214,97047.95551,97725.9915,98478.43272,97041.1359,95656.54613,94299.21703,92931.43122,91527.23525,90263.61262,88970.58505,87646.27089,86291.33278,84906.13219,86622.94332,88327.16291,90027.68268,91737.52828,93465.26512,95270.65035,97096.43264,98932.71141,100765.1669,102582.4432,104364.2349,106130.0605,107884.9067,109638.9741,111398.5455,113096.2825,114798.8045,116509.9152,118230.579,119962.2426,121621.6043
Belarus,2656152,2774678.662,2897400.75,3023617.083,3152411.471,3282734.7,3418036.002,3556447.882,3696854.378,3838002.854,3978504,4132163.525,4286800.595,4440935.553,4592935.316,4741013.38,4874032.188,5012323.988,5157254.1,5301983.808,5448102.14,5589561.5,5731864.32,5876172.57,6021910.6,6167841.75,6293204.918,6419696.342,6522230.52,6625897.38,6722804.09,6765757.8,6820099.44,6875283.72,6907008.99,6924376.44,6942876.64,6954911.416,6963136.398,6980707.26,7000798.65,7023968.408,7039345.95,7050171.135,7061612.179,7073031.112,7085863.415,7107529.968,7077691.812,7050657.396,7080963.5,7106796.168
Belgium,8435075,8503913.386,8550315.744,8627056.388,8721795.14,8814175.534,8887366.869,8950504.306,8999365.826,9038505.613,9061056.848,9089909.024,9137945.57,9179155.153,9220531.409,9259701.36,9293953.315,9323150.849,9349584.244,9375738.451,9403843.612,9414420.784,9422684.806,9432757.614,9443437.161,9457074.864,9469263.274,9486163.455,9525222.538,9568769.937,9606260.859,9650027.061,9697294.178,9743317.211,9781484.633,9810101.581,9836215.416,9866990.692,9895040.407,9924719.187,9955808.975,9993690.779,10042185.75,10087925.53,10135306.05,10194856.05,10265779.03,10344926.5,10430485.54,10518288.97,10618596.23,10731192.83
Belize,49165,50625.44777,52165.15104,53733.42335,55216.16534,56540.93016,57730.91033,58790.23584,59711.73435,60492.19529,61141.33036,61839.90944,62403.28828,62943.37775,63626.70932,64556.53083,65721.18618,67139.311,68743.96206,70417.74423,72086.04,73721.79392,75373.41989,76610.73786,78739.64775,80472.378,82180.8528,84161.5248,86028.1868,87305.4256,89708.85,92089.472,94470.474,97326.62,100183.222,102802.86,105493.956,109377.88,113505.489,115781.7232,119062.174,121941.1598,124968.0744,128233.3766,131639.0364,135135.498,138762.3338,142579.157,146562.5862,150715.0232,154987.461,159672.6424
Benin,211033,243244.5443,262755.33,282994.9553,303998.4334,325805.7231,353372.3595,382022.1216,411859.4512,443013.1076,475611.3803,515819.5286,557937.5994,602093.1621,648409.6539,697013.7552,749487.7474,804594.782,862473.5021,923261.0508,987095.9194,1039556.437,1094681.431,1152391.822,1212517.555,1275008.601,1341612.458,1410743.313,1483522.319,1561548.414,1646016.294,1723946.767,1808054.307,1896602.99,1986963.86,2077246.409,2158384.499,2238828.211,2320509.557,2406340.186,2498472.107,2612382.052,2733635.47,2861333.166,2993890.55,3130069.383,3278880.834,3432024.008,3589394.769,3750974.28,3916785.201,4086647.571
Bermuda,44400,45500,46600,47700,48900,50100,51000,52000,53000,54000,55000,54600,54200,53800,53400,53000,53200,53400,53600,53800,54000,54400,54800,55200,55600,56000,56900,57800,58700,59600,60500,61000,61000,61000,61300,61700,61800,61900,62000,62000,62100,62500,62800,63000,63300,63600,63800,64000,64200,64400,64237,64700
Bhutan,8064,8848.944,9605.217124,10399.22042,11235.41227,12118.66033,13216.86053,14378.972,15616.88859,16946.41624,18381.41231,20172.65506,22099.76297,24159.74044,26342.54289,28637.37228,31399.2065,34300.01789,37322.195,40439.99307,43631.73556,47335.89182,51077.12491,54930.93859,59029.72003,63467.58158,69027.48059,75054.79733,81187.46446,86837.9048,91526.98,95687.40697,98604.14546,100785.4947,103150.835,106501.5961,111982.4448,118793.9585,126833.2106,135744.1356,145203.3752,155994.3757,167485.6408,179500.1841,191792.3744,204150.0775,214080.3294,223762.6589,233285.9583,242841.6442,252576.3042,262577.9474
Bolivia,1233398,1271251.598,1310367.629,1350754.518,1392515.041,1435743.892,1480638.704,1527064.754,1575177.182,1625172.707,1677183.679,1731436.756,1787719.359,1845894.074,1905748.656,1967101.66,2055351.967,2146365.466,2239857.67,2335431.439,2432832.497,2542089.882,2653672.92,2768195.621,2886568.784,3009563.84,3137313.3,3269975.902,3407879.997,3551343.77,3700573.426,3839023.097,3982682.326,4130935.76,4282864.477,4437729.45,4573927.412,4711756.788,4851326.723,4992927.141,5136703.728,5281413.542,5428026.654,5575799.23,5723735.054,5871146.378,6014987.425,6158181.403,6301538,6446268.48,6593320.438,6740006.188
Bosnia and Herzegovina,604204,638479.05,672131.3822,706263.6703,740609.0151,774957.0443,813330.2014,851692.4277,890269.6548,929449.5888,969549.4519,1008630.179,1048737.861,1089647.755,1130965.681,1172395.464,1215033.857,1257762.554,1300959.377,1345216.298,1390988.1,1419935.375,1448732.352,1478762.773,1512005.427,1549266.345,1590547.048,1637087.629,1678324.8,1699532.243,1690924.241,1646480.47,1570842.585,1482366.184,1407807.617,1366759.958,1369163.063,1407473.686,1469369.366,1534947.281,1589065.817,1629371.459,1658239.434,1678179.701,1694509.71,1711281.053,1730250.463,1747772.993,1764187.672,1779793.166,1794831.922,1811313.022
Botswana,16240,17254.05332,18542.21535,19904.3069,21344.80698,22868.80783,28426.44114,34319.75762,40576.15536,47222.22645,54286.40806,61868.9978,69929.63082,78529.96664,87753.91968,97679.58728,109308.6852,121812.3895,135170.6899,149311.2704,164165.6107,191373.6739,220113.6094,250425.0205,282391.0635,316092.2737,363675.5678,413780.9339,466453.0341,521741.0045,579669.6314,617012.2508,655585.7183,695213.7879,735650.7896,776660.859,809068.9713,841497.558,873630.8547,905071.5368,935550.1058,964301.964,991914.4572,1019007.393,1046513.591,1075135.764,1103501.965,1133061.983,1163396.675,1193812.351,1223774.853,1251235.157
Brazil,32662018,35327479.45,37170219.22,39086646.5,41058008.04,43069605.25,45112172.57,47193516.86,49316879.46,51489096.39,53716418.98,56000512.77,58340475.01,60744727.95,63224380.03,65788335.99,68394051.07,71083504.27,73859909.47,76726123.85,79682323.12,82660437.8,85722504.01,88848334.86,92009877.01,95184714.27,98271801.23,101360946.6,104449193.2,107536531.8,110624425.3,113592257.2,116550577.4,119520843.1,122533497.1,125610358.5,128723582.7,131898062.7,135119831.8,138366745.7,141619460.2,144190948,146746080.8,149260974.5,151705832.9,154060441.8,156257555,158356880.9,160387963.3,162394402.2,164408105.5,166376434.8
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,35501,37761.23976,41059.23595,44574.27715,48338.18018,52380.82,56683.1655,61289.0516,66222.1774,71502.756,77148.024,80884.00188,84781.42471,88807.97987,92919.45278,97079.5043,100492.3883,103876.5243,107183.9862,110360.3205,113371.77,117944.5079,122461.0607,126980.6988,131591.7836,136363.006,141859.7984,147556.7548,153469.8498,159609.0908,165981.4513,172200.5989,178638.3258,185254.2017,191990.676,198802.6342,205499.5582,212247.7535,219038.257,225867.5164,232731.899,239509.5211,246301.9138,253125.436,260006.3951,266960.7671,273789.4301,280679.4054,287618.7555,294587.7586,301571.5524,308352.9404
Bulgaria,2918659,3084392.151,3250211.157,3416489.865,3585464.242,3753817.068,3886571.946,4019905.623,4158186.162,4300668.645,4440047.202,4554371.606,4665864.458,4780946.911,4904324.085,5019833.51,5121117.801,5227677.348,5313521.563,5400804.509,5503013.235,5565661.42,5626558.669,5685136.984,5743078.385,5787617.307,5818099.152,5858728.052,5897415.035,5860541.407,5786938.69,5754163.195,5716700.38,5695088.799,5699508.361,5697800.334,5687173.273,5671224.252,5651951.666,5638695.296,5629166.806,5546426.017,5461582.323,5450437.455,5440821.206,5431784.421,5439203.65,5447394.364,5457283.545,5465466.142,5464167.754,5463580.416
Burkina Faso,221872,237912.3803,246591.2376,255551.253,264885.5366,274670.3249,285488.4264,296823.827,308661.1133,320960.7398,333698.4903,347510.6962,361836.1548,376724.2758,392240.9518,408446.8408,449809.0518,493030.4248,538226.3491,585516.8356,635024.3484,702702.8901,773639.9794,848002.9029,925954.6125,1007662.145,1058964.342,1112570.465,1168569.225,1227051.592,1288110.047,1348696.487,1411900.934,1477786.021,1546403.595,1617827.401,1722868.757,1832691.356,1947566.794,2067811.597,2193743.501,2350415.33,2514738.227,2687130.368,2868044.452,3057922.976,3269963.033,3492524.74,3725989.209,3970704.428,4227024.822,4498006.031
Burundi,58810,62030.70032,64172.50022,66371.21214,68653.97214,71036.42304,73540.74018,76165.60394,78816.2544,81355.73082,83691.54618,90493.13309,97170.70767,103873.1545,110874.7363,118435.3042,128822.6827,140024.0324,152127.2843,165175.8901,179200.5698,192234.2597,206230.8841,221136.3785,236847.249,253249.6694,271995.3963,291436.7932,311338.0291,331379.9019,351283.8612,369715.0977,387857.1694,405540.5766,422582.8292,438915.6146,455484.3384,471338.8413,487425.6948,505143.5882,525628.6536,550637.6029,578918.4313,610250.2668,644061.0447,679821,719661.5671,761667.5029,805077.9565,848837.2348,892102.7906,937094.7962
Cambodia,559631,578344.5071,598418.7179,619331.0707,641499.0758,665114.0532,748277.7456,835756.1933,926315.5059,1017798.685,1107997.961,961452.315,807623.7106,647045.1632,481131.9898,313012.98,371107.4802,423739.9521,473050.5828,524374.34,583690.776,661284.3534,754130.8076,861624.3853,979507.9208,1103307.617,1176023.277,1249413.62,1323969.449,1401108.631,1481833.527,1568949.252,1658639.303,1750040.636,1841989.661,1933505.925,2012862.996,2090614.835,2166612.497,2240857.33,2313389.941,2366694.441,2417624.923,2466621.697,2514293.984,2561181.239,2608835.93,2656053.215,2703432.714,2751689.985,2801353.846,2861465.755
Cameroon,751711,802609.2681,853607.8474,906958.2397,962732.1373,1021021.573,1087885.004,1157891.986,1231242.62,1308158.477,1388877.889,1523688.554,1665342.103,1814544.648,1972201.062,2139126.764,2277988.85,2424932.582,2579480.927,2740705.617,2907915.956,3074772.062,3247303.277,3426546.362,3614091.823,3811191.544,3999188.707,4195856.772,4400619.72,4612470.264,4830547.391,5042058.429,5259076.954,5480814.836,5706287.431,5934819.671,6167445.758,6403010.732,6642603.653,6887885.092,7140197.268,7401023.367,7669401.458,7945480.432,8229234.983,8520687.636,8818979.78,9125355.84,9440092.406,9763502.407,10095779.7,10432814.05
Canada,12375125,12758127.71,13140255.48,13532634.54,13938310.85,14343687.76,14724133.31,15104226.82,15464486.05,15792364.45,16132458.96,16373851.66,16635278.54,16917580.25,17221673.7,17548556.99,17784640.85,17997343.13,18181359.19,18366181.7,18607801.59,18874498.8,19138247.59,19366313.86,19588984.92,19807754.68,20019751.18,20296200.6,20572200.66,20954900.96,21282903.62,21636020.78,21965565.73,22270291.83,22549034.67,22800719.5,23154645.2,23508825.29,23822278.11,24130174.06,24455142.17,24743305.97,25006678.87,25297847.34,25593824.34,25889020.64,26128747.74,26440863.25,26782290.8,27141472.03,27490003.84,27814430.23
Cape Verde,32791,36593.57578,38152.00754,39835.27422,41604.44108,43429.59973,45323.69225,47244.76264,49233.99806,51356.58163,53646.81638,56382.40728,59315.2145,62215.6235,64752.56879,66687.84231,68006.67836,68650.64188,68959.79837,69462.29293,70565.05346,76030.58113,82330.69884,89283.73952,96457.05216,103471.515,113223.366,122788.8537,132398.207,142527.0302,153610.398,160221.1549,167698.5568,175823.5642,184226.1568,192607.2653,200876.1603,209067.5448,217206.8054,225377.8184,233638.1253,241623.9244,249625.4428,257559.3961,265311.6235,272801.4739,279871.3265,286657.7277,293277.4487,299909.4581,306691.0617,313259.0848
Cayman Islands,,8277,8418,8524,8612,8701,8787,8875,9002,9216,9545,10004,10581,11253,11990,12764,13578,14432,15290,16110,16861,17524,18116,18702,19366,20172,21141,22253,23475,24752,26048,27363,28710,30074,31437,32792,34096,35361,36704,38284,40195,42501,45117,47815,50273,52268,53712,54679,55295,55763,56230,56729
Central African Republic,302157,317833.5596,334178.6155,351271.1418,369136.4884,387790.2092,408616.727,430372.1066,452933.7954,476105.3563,499749.5955,526862.9615,554615.7656,583253.4057,613156.0494,644668.2007,666669.8585,689880.9738,714625.8382,741307.3248,770169.4262,800328.6045,832752.6775,866531.5226,900358.6472,933297.0142,962856.6165,991245.5734,1019438.79,1048912.669,1080731.63,1109897.499,1141045.755,1173543.316,1206423.409,1238939.71,1271035.436,1302824.024,1333990.076,1364192.558,1393247.859,1421111.335,1447842.546,1474175.042,1501131.656,1529486.38,1562394.471,1596960.45,1633149.127,1670795.995,1709764.303,1754380.188
Chad,198777,212338.0802,227510.8869,243277.1929,259594.6072,276435.2608,303506.9412,331504.1927,360579.1328,390977.5542,422915.0904,462867.3241,504906.0277,548803.1988,594096.5712,640399.872,681002.3354,722335.4255,764786.8122,809000.5148,855576.7004,883982.2471,914138.7641,946415.9635,981231.2511,1018883.341,1060123.544,1104534.065,1151622.809,1200624.685,1250995.827,1297626.267,1345474.109,1394888.609,1446402.222,1500464.336,1549185.906,1599821.983,1653068.665,1709824.965,1770595.896,1835838.399,1904995.599,1976307.191,2047350.955,2116397.026,2183144.331,2247764.204,2311248.436,2375163.87,2440682.747,2515946.624
Channel Islands,42565,42427.14497,42544.15952,42680.96202,42830.2472,42983.0299,43139.9472,43294.55929,43443.48597,43584.16734,43711.95088,43683.22966,43639.62084,43558.59305,43412.03836,43185.09305,42850.53312,42443.34533,42006.88781,41597.55823,41254.89765,41397.07421,41604.17021,41867.08434,42167.54354,42489.99024,42822.02112,43176.88464,43518.38208,43800.0128,43991.80704,43956.19272,43827.60876,43645.2408,43463.69424,43321.09548,43461.73949,43644.96518,43855.78567,44071.00775,44274.7845,44530.51893,44776.35463,45024.1784,45292.36208,45591.39661,46002.96652,46443.25393,46888.07117,47302.72816,47663.33512,48039.4717
Chile,5184595,5384611.062,5585252.349,5790576.88,5998089.49,6205817.916,6406882.262,6606825.116,6805959.304,7005122.872,7204920.088,7398470.076,7592418.711,7785880.324,7977601.914,8166943.277,8347058.13,8525286.947,8704610.486,8889131,9082006.295,9251159.131,9428779.877,9614229.98,9806131.661,10003473.58,10187494.68,10376039.71,10570282.95,10771898.86,10981630.42,11212296.25,11450357.54,11691159.9,11928425.08,12157512.47,12390330.08,12614269.74,12830871.61,13042965.04,13252718.5,13463522.22,13671587.92,13877391.13,14081418.06,14284061.37,14473793.22,14662313.2,14849722.78,15036042.37,15221256.38,15395021.68
China,106731200,109480072.7,112889292.7,118267760.9,123674480.4,129348359.1,131995475.2,134397427.8,136889995.4,139600496.3,142386810,146352270,149993220,153457560,156660900,159452730,165583752.5,171550309.6,177605736.4,183785364.3,189947471.3,199385257.6,209435967.7,219680097.6,229872397.1,240414889.6,251630158,263433513.4,275570541.2,287810746.6,300165617.7,314689997.2,329099365.1,343555327,358232229.6,373035156.6,388936607.1,405031715.6,421147610.1,437126845.4,452999146.7,473204511,493402140,513607776,533892174.8,554367818.4,575050080.6,595731463.9,616552721.8,637533975.8,658557734.5,678796403
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,7202877,7622252.758,8055582.658,8507574.287,8978284.468,9467505.071,9892367.22,10331191.39,10780529.2,11235603.77,11693002.39,12147185.15,12602703.4,13063707.16,13536585.99,14026298.56,14527828.33,15046631.36,15581916.26,16131848.7,16694960.36,17264194.12,17846819.58,18442185.1,19049464.53,19667963.26,20251339.22,20843516.53,21444172.16,22053032.19,22669899.45,23263054.07,23862485.5,24468798.36,25082918.12,25705435.12,26286052.98,26873022.32,27465274.38,28061315.08,28660022.64,29256339.65,29854521.21,30455366.59,31060164.98,31669672.98,32278109.74,32890177.72,33504284.38,34118271.47,34730389.72,35332746.37
Comoros,,26416.63422,28672.10038,31009.91395,33449.43466,36009.82866,37841.57571,39789.05614,41839.0229,43965.6532,46154.4048,48111.35864,50122.704,52272.85502,54683.56476,57444.48613,60676.14269,64285.3139,68186.70547,72243.37924,76345.08115,80647.83992,84990.75706,89366.12857,93781.22306,98244.1206,102859.5006,107512.6434,112231.2499,117058.3949,122031.6624,125401.2151,128856.2773,132417.7207,136107.5125,139944.4829,143279.4952,146748.121,150349.9617,154082.3671,157941.2952,161944.5719,166075.7366,170333.8935,174719.5442,179229.0025,184256.3275,189418.1763,194695.5369,200065.9907,205509.575,211621.2449
