"GDP per employee, (constant 1990$)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
India,2638,2722,2734,2875,2908,2947,2991,3040,3270,3398,3484,3518,3656,3774,3967,4208,4443,4544,4741,4993,5104,5262,5350,5678,6066,6536,6614
Indonesia,5350,4986,4912,5108,5254,5179,5011,5104,5239,5640,5945,6427,6707,7131,7404,8205,8270,8688,7353,7315,7926,8142,8415,8707,9056,9546,
Iran,14167,13232,14737,16038,15669,15403,13478,12815,11758,11878,12795,14167,14505,14013,13652,13635,14147,13912,13604,13172,13170,13000,13297,13626,13703,13687,
Iraq,24934,19747,18995,16688,16150,15401,14820,14772,11293,9968,9430,3361,4156,3976,3631,3179,3447,3195,3550,3714,3975,4177,4309,3249,4771,4462,
Ireland,25191,26105,26808,26981,28682,29697,29752,30954,32558,34491,35843,36655,37582,38016,38943,40689,42479,45674,45642,47468,49454,50933,52994,54383,54938,55179,55986
Israel,31379,32199,32249,32648,32178,32681,33759,35575,34950,34119,35485,34678,35455,35057,35869,37692,38622,38690,39149,38841,40738,39478,38407,38024,39130,40341,
Italy,34731,34923,35013,35325,36234,36903,37690,38770,39842,40712,40940,40805,41420,42187,43816,45145,45209,45919,46124,46508,47258,47154,46520,45849,46198,46093,46154
Jamaica,9960,9780,9895,9975,9427,8959,8675,9070,9049,9565,9919,9874,10062,10253,10156,9986,10039,9976,9876,10158,10243,10325,9588,9520,9590,9690,
Japan,28332,28995,29579,29764,30753,31881,32546,33567,35053,36045,37144,37666,37636,37647,38043,38765,39651,39838,39279,39539,40771,41063,41704,42387,43461,44102,44878
Jordan,20233,20262,20575,19814,20366,20140,21227,21115,20254,17393,16417,14373,14657,13787,13367,13325,12989,12861,12677,12688,12789,12978,13262,13292,13859,14343,
Kazakhstan,,,,,,,,,,19005,18873,14106,13602,13441,12428,11327,11372,11617,11964,12436,13442,14170,15488,16220,17255,18728,
Kenya,2533,2496,2546,2461,2408,2420,2504,2559,2620,2640,2654,2591,2459,2373,2342,2364,2383,2318,2329,2322,2275,2322,2270,2276,2314,2388,
"Korea, Rep.",11463,11879,12464,13776,15051,15457,16648,17601,18988,19405,20633,21889,22736,23848,25083,26624,27887,28688,28432,30587,31826,32410,33735,34828,35798,36816,38160
Kuwait,39156,28667,23387,23849,23623,21511,22059,20067,19694,20396,15379,13576,18385,22097,21571,19651,18212,17475,17531,16488,16498,15808,15780,17848,18916,20067,
Kyrgyzstan,,,,,,,,,,8662,9031,8288,6825,6306,5132,4868,5159,5604,5640,5644,5953,6206,6139,6156,6389,6106,
Latvia,,,,,,,,,,17963,18746,16524,12113,11525,13106,14676,15531,16136,16934,17813,19630,20748,21752,22920,24637,26770,28650
Lithuania,,,,,,,,,,19750,19176,17663,14221,12436,11912,12733,13264,14303,15498,15617,16929,18765,19358,20891,22436,23537,24877
Luxembourg,36078,36330,36264,37463,39558,40106,42164,42124,44909,47696,46910,48884,48536,49588,50257,49560,49174,50495,51513,53169,54600,53155,53468,53258,53902,54579,55642
Madagascar,2318,2033,1933,1890,1769,1756,1716,1705,1685,1707,1716,1553,1520,1506,1457,1438,1422,1430,1442,1465,1493,1539,1288,1379,1405,1426,
Malawi,1384,1273,1254,1275,1287,1327,1258,1208,1163,1154,1155,1224,1107,1204,1061,1201,1296,1351,1336,1352,1333,1248,1251,1279,1319,1320,
Malaysia,10410,10650,10883,11160,11732,11487,11466,11514,12141,12832,13434,14279,15099,15920,16913,18473,18497,19457,17960,18549,20118,20032,20703,21173,22360,23323,
Mali,1672,1577,1447,1483,1515,1500,1564,1555,1515,1631,1605,1706,1618,1632,1645,1648,1725,1777,1882,1890,1779,1961,1989,2064,2067,2139,
Malta,15847,16270,16404,17060,17491,18265,18768,19644,20805,22093,22925,23815,25422,26197,27256,28247,28933,30384,31236,32568,31521,30388,30975,30677,30920,31304,32114
Mexico,20521,21593,20737,19760,19641,19239,17944,17656,17269,17348,17605,17748,17969,18042,18321,17530,17689,17992,17937,17975,18817,18788,18479,18525,18566,19252,19763
Morocco,8025,7553,7995,7769,7880,8123,8483,8052,8562,8476,8511,8768,8154,7803,8290,7564,8225,7819,8157,7932,8032,8562,8719,8865,8841,8823,
