Poverty headcount ratio at $2 a day (PPP) (% of population),1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,3.86,,11.51,,3.1,3.17,3.14,3.73,4.62,,4.26,5.91,
Madagascar,,,94.3,,,,,,,,,,,,,88.43,,,,89.38,,93.13,,88.75,,,,89.61,,,,,92.62
Malawi,,,,,,,,,,,,,,,,,,,,,93.5,,,,,,90.45,,,,,,
Malaysia,,,,,,,12.31,,,11.91,,11.09,,,11.21,,,10.97,,6.84,,,,,,,7.81,,,2.93,,2.27,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,93.86,,,,,,,82.04,,,,,77.1,,,,78.66
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,64.62,,,,,,68.59,,,48.3,,,,44.13,,,,52.59,,,,47.69,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,28.46,,,,,6.55,,,15.18,,13.95,,20.14,,20.09,,15.11,,13.47,,7.6,,4.94,,5.19,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,44.69,,,,,,,,,,
Moldova,,,,,,,,,,,50.04,,,,39.15,,,,,36.79,52.22,66.96,,54.33,40.94,27.75,28.82,35.13,11.11,6.61,6.91,7.11,4.35
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.44,0.45,0.3,,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,28.53,,,,,,15.9,,,,,,,,24.43,,24.34,,,,,,14.03,,,
Mozambique,,,,,,,,,,,,,,,,,,,92.57,,,,,,,90.03,,,,,81.77,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,62.23,,,,,,,,,,,51.1,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,93.63,,,,,,,,,,,88.97,,,,,,,77.3,,,,,,,57.25
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,36.05,,,,,31.4,,,34.38,,,,31.74,,,,,
Niger,,,,,,,,,,,,,,,91.09,,91.55,,,,,,,,,,,75.26,,,75.23,,
Nigeria,,,,,,,,,76.96,,,,,,80.41,,,,86.44,,,,,,,,83.08,,,,,,84.49
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,89.16,,,,88.18,,,,,,83.26,,66.54,,,73.91,,,60.31,60.98,,60.19,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,19.24,,,,,,,,,,31.48,,28.58,,,,22.61,,21.24,21.13,,,23.69,20.16,18.99,17.94,16.94,17.74,,,14.63,13.8
Papua New Guinea,,,,,,,,,,,,,,,,,,,57.38,,,,,,,,,,,,,,
