Aid received % of GNI,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Argentina,,,0.1586706264,0.2016542913,0.06555539433,-0.2139056999,-0.03252093517,0.08909704018,0.1563473582,0.08209669652,0.03072740587,0.08238540028,0.06818813097,0.08660484978,0.0494221991,0.04423487542,0.05972452538,0.04955696638,0.04879022919,0.06190058837,0.02252034545,0.05694794353,0.03765592888,0.04822978625,0.0649227684,0.04663419763,0.0821923856,0.09375808987,0.1264125022,0.3000592605,0.1248538411,0.1488545171,0.1175299379,0.09681553938,0.05759386529,0.05625980889,0.04903900085,0.03557894687,0.0271177055,0.02773594207,0.01897302278,0.05577653285,0.08620910326,0.08767854874,0.06333754247,0.05434373273,0.05509273691,0.03966184099,0.04088081771,0.04256831488,0.03377400617
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1316432421,2.111341093,9.927646105,14.54940379,14.83772619,17.79657069,9.558179857,9.937944459,11.00702791,10.98976804,9.69479822,12.15602335,8.747035203,6.878601345,3.384492328,3.265489923,3.690645672,2.494229606,5.96702737,3.530651821
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.868220257,2.973826399,3.319413039,3.466231823,2.624562382,2.91764257,2.21964281,1.483003598,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6010408193,4.501033289,3.933626993,3.093866881,4.656673518,2.712527844,3.734759799,2.789416163,4.277362118,5.969767899,4.400188971,2.202509615,1.866636028,1.127709957,0.8053275417,0.5393879633,0.5684491504,0.3218412676
Bahamas,-0.02673686741,,,0.009546199771,0.02553220256,0.02644444395,0.01669394404,0.2006843418,0.01275637795,0.01504107829,0.01686513737,0.04948535234,0.2343449866,0.08120452952,0.09332376167,0.12564249,0.1042955689,0.07481693728,0.1665006328,0.1210153483,0.1645248467,0.1506562125,0.1277846168,0.05529667489,0.5653598033,0.0324359395,0.2425082414,0.02625494828,0.1600241546,0.1329264157,0.1041494462,0.09275564936,0.08858849006,0.03450123936,0.02260210741,0.1097327682,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,7.003252557,5.751583467,4.400960233,7.145287043,5.628541012,2.204096471,3.63330343,0.2902917093,-0.08217030395,-0.05269209017,3.881672572,1.969969469,1.674990738,2.225640333,1.798693506,1.724743547,2.177534939,2.458354392,3.316376912,0.9744215078,0.7800424043,0.9308062839,0.7730189772,1.423847647,0.5461202504,,,,,,
Bangladesh,,,,,,,,,,,,,,5.210858242,4.261471105,5.524797525,4.938644588,8.173502921,7.498703451,7.47395195,7.250518483,5.46505014,7.27019892,5.904906367,5.876559876,5.129704903,6.618634846,7.36357169,6.150242167,6.549708284,6.804208385,5.94664239,5.598729251,4.060144178,5.004786123,3.278378623,2.932553053,2.317120825,2.554453116,2.579988823,2.400561288,2.146450097,1.821421572,2.546453403,2.374527125,2.081673233,1.851611969,2.061029082,2.390829337,1.257445485,1.289897754
Barbados,,,,,,,1.283511482,0.4258633848,0.6177325581,0.8422416586,1.283185841,2.244539426,2.044028172,1.674469549,1.125440503,1.314636653,1.72347794,1.179874255,2.041233485,1.641572547,1.656167966,1.806854108,1.282903018,1.796321078,0.718793946,0.6128987768,0.2892599926,0.4372236741,0.1939601707,0.1204478912,0.1547108706,0.1299907404,0.001928764384,0.2258055404,-0.06107426561,-0.0641157526,0.219058634,0.2014050654,0.6782875405,-0.08884608524,0.009689726683,-0.04672541898,0.1394209124,0.7681964454,1.061924069,-0.06334873303,-0.07260056674,0.5725931602,0.21806339,0.3400363616,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1912965729,0.2077027039,0.1866950282,0.1837084451,0.2028659005,0.2551739112
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,6.515993778,9.477062936,17.41208736,12.0874776,4.302605042,5.343684015,5.837658014,12.38011737,12.73259636,14.9905508,11.55406947,8.902355383,14.05148536,6.290991717,6.731772302,8.232427938,13.13824733,8.505131638,14.06949807,14.14334471,7.520746888,5.921465969,6.899913966,8.207084469,6.89484127,11.00351229,10.76510067,8.71404765,8.173202614,8.133466791,7.463384909,5.017045435,5.09931618,5.650422177,5.218618322,3.045277724,3.341045792,2.228569008,2.302308957,6.666166238,1.891640328,2.781970339,2.610839532,1.304469508,0.8038570663,1.216422676,0.7933411339,1.94757271,1.991071056,2.22132667,1.996693682
Benin,0.008869874173,0.6299419588,1.59095489,1.682620198,6.716313752,6.229675917,4.950429292,5.338451308,4.032358951,3.999209335,4.472501241,8.785921867,4.912527546,5.245594589,5.9325961,8.009795918,7.267420585,6.510380611,6.493696649,7.125411603,6.292182302,6.307810648,6.31674456,7.849084874,7.34489222,9.167141509,10.27917659,8.716942014,9.901363955,18.29659259,14.77652465,14.38354674,17.04226793,13.90120585,17.50549634,14.2526307,13.31100329,10.37456296,8.838198239,8.89131886,10.85561007,11.82256706,7.87557469,8.528556641,9.830897458,8.146333559,8.636950385,8.74002784,9.61479261,10.30622366,10.47865734
Bermuda,,,,,0.008728543634,0.04100956985,0.04187785065,0.03631336941,0.025,0.005681818182,0.005040322581,,0.003987240829,,0.009006304413,0.005440696409,0.007288629738,0.01679613689,0.0315581854,0.02784998143,0.04281345566,0.02643171913,0.008449004551,0.007449186164,0.007608902416,0.08465417867,0.007238218162,0.01711564139,0.002758430514,0.006620324536,2.621473737,-0.2862514459,-0.2972828292,-0.2644878406,-0.6676510011,-0.1023103439,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,7.31344385,8.373214126,9.787837927,10.72844459,12.75830543,16.99337012,23.52273904,18.23838117,15.77992201,15.43317104,16.36057971,26.88172779,24.34414889,29.90676147,29.17101951,26.79324654,20.41701714,19.60283754,17.39598312,19.23220611,12.10269955,12.70258526,13.90907219,12.71556546,11.3542116,11.15446151,11.35645989,7.612118717,7.079142837,10.28368035,8.642069574
Bolivia,,,,,,,,,,,3.086748146,2.924140244,3.940466432,2.347193348,2.81629078,2.21988618,2.275067253,2.769270459,3.737887605,3.453168202,3.731201511,2.684560899,2.841540825,3.305889106,2.934012114,3.968627492,9.145757956,7.583113285,9.668019097,11.10956009,11.7895176,9.859120022,12.22857661,10.10812905,9.688234246,10.95571135,11.44116982,9.027193853,7.594795529,7.15232453,5.894403503,9.378144689,8.951424908,12.06091581,9.363036238,7.0104787,7.68920214,3.774424543,3.89048226,4.351625998,3.592307968
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.45591094,59.44946791,33.22133074,25.03182125,18.57436971,23.75919244,12.1053915,10.18021939,7.762316687,6.086980344,6.51723482,4.804820118,4.1821466,3.811153737,2.4303003,2.345896035,3.015337362
Botswana,10.02770088,14.77698571,13.10668126,12.44905477,18.97061982,20.02237268,31.38228582,29.32435844,23.79097945,16.19112776,14.10547776,13.53388033,19.00809169,14.7581435,11.77996455,14.34247945,12.73570005,10.4622207,11.64788973,12.1250842,10.38107919,8.680519079,9.690587317,9.104921467,9.046323786,9.389838429,7.851346995,8.954813773,6.069630124,5.606163509,3.941051985,3.272046683,2.612442999,2.91660822,2.069616107,1.888652801,1.637430277,2.413000557,2.000841199,1.0865018,0.5798773019,0.4946916663,0.6895581995,0.3778291864,0.5520867654,0.5093440927,0.6564108105,0.9249296364,5.62203481,2.428240573,1.062274878
Brazil,0.1589785293,1.749508035,0.8358804771,0.8567651741,1.173869813,1.083385129,1.341311552,0.7960983124,0.8004365984,0.5215350563,0.4508422259,0.3236165697,0.253463831,0.1444358677,0.1605358755,0.1351291001,0.07332502905,0.04548250934,0.05751710785,0.04867427736,0.03754951005,0.09290384795,0.07766365062,0.0525055382,0.08130068082,0.05798245128,0.06949576943,0.1018358036,0.06587796562,0.04503811518,0.03359338967,0.04057161286,-0.06727315193,0.04672973306,0.04151984546,0.03579823347,0.0326373998,0.03039207177,0.03418676818,0.02166993169,0.03690766401,0.04109222549,0.04269883504,0.03709297996,0.02398071926,0.02836675594,0.01068085105,0.02400866284,0.02852832564,0.02119611506,0.03142609118
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1527398725,0.1102099984,0.09779377639,0.1283599413,0.1234866747,0.1286901169,0.09062065574,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,0.05972024467,0.381962816,1.14157317,1.041599963,3.721979402,4.148997607,3.919751848,4.38450989,4.956861628,5.029758124,4.819756677,6.012667665,5.94930349,8.428276643,12.85094661,9.537970634,8.260370569,9.816570463,10.71155641,11.27819879,10.91011151,12.16447505,12.05138308,11.39118414,12.57664623,12.18577565,13.24067868,11.35852004,11.0174941,10.18858442,10.55377586,13.4251939,19.41430253,20.20742346,22.99788388,20.67759844,16.14597749,15.06701978,14.27350802,13.24519949,6.898802486,14.46401911,13.37544021,12.67145445,12.59361273,12.79300425,15.43020046,14.08599616,11.9934354,12.97926167,12.04616949
Burundi,3.883605229,3.580320708,5.241179447,2.675027568,3.13582899,3.086123592,5.722598175,6.234599589,7.643800094,8.379570237,7.510091173,8.893743905,10.94275686,9.074859138,11.10704643,11.51229987,10.01944081,8.868425625,12.40588673,12.21488038,12.57846853,12.48775203,12.47071823,12.8176769,14.13278059,12.12084675,16.1978751,17.82510268,18.9245936,18.81236153,23.5004687,22.17698498,28.92143968,23.35762924,34.0511466,29.04298524,12.92441881,5.869452213,7.764231133,9.402932448,10.98871392,16.67143438,21.66887903,29.31229948,39.6231773,32.06580059,34.5774208,36.15132857,32.13796278,30.82041422,30.99011103
Cambodia,4.280086361,3.912501831,3.355147846,3.257446714,1.622366108,1.119420171,1.234012756,1.450917382,0.9613370476,1.299279444,2.62267572,4.151520885,13.2904862,20.73836064,52.32022313,,,,,,,,,,,,,1.640444881,1.382392587,2.261386489,3.705892135,5.492723104,10.12633598,,,16.29966942,12.17410648,9.851843823,11.00569535,8.103118784,11.19782371,10.95290263,11.84540156,11.56585731,9.472946054,8.91816606,7.595932289,8.163962657,7.546455863,7.274070761,6.85046486
Cameroon,,,,,,,,4.876958111,5.372419965,3.743848572,5.783828364,4.315756605,4.780264254,4.029176784,3.155314922,4.478021273,4.967353884,6.88550644,4.454068264,5.055932543,4.712763472,2.885530112,3.083068499,1.836492941,2.430437026,1.93160807,2.065044965,1.672672897,2.21395899,4.144194446,4.163320465,4.427734757,6.648723106,4.247124267,8.417523613,5.396512994,4.487029957,5.402672604,5.428941475,4.334769612,4.33325919,5.121921347,5.935661533,6.765157151,5.143283916,2.571123362,9.71090279,9.664586174,2.352147459,2.937049448,2.438846937
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,44.535121,34.78061217,37.74276482,42.69698581,47.52076635,48.11747994,55.37353283,35.93581194,31.08392631,30.65741093,34.05176146,31.77329932,32.49616785,23.39531184,29.45802296,23.88270838,23.4053692,22.75666574,25.09592601,23.24080593,17.84360616,13.86086513,15.09617837,18.41546015,15.78148092,17.28834732,13.02626508,12.70722088,14.64246648,12.55886499,20.67547517
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,0.02684618149,0.3422232957,0.9188019401,1.535228585,11.85592585,10.50831712,9.941408558,12.58766243,9.173997906,10.59702764,7.677252358,7.816381856,11.23761421,9.549261409,13.11141984,14.53344134,8.589002675,8.859431308,8.328175876,11.98795286,13.7716531,14.49638861,12.07206971,14.25328742,20.96450385,12.1100829,12.19936188,15.15682146,16.30487705,15.18548137,16.98828121,12.49387489,12.52240314,13.41589645,20.13469493,15.24006717,16.07534524,9.241460808,11.66291327,11.32017352,8.352036651,8.267246197,6.132260428,4.509209123,8.745768981,6.635189167,9.144412051,10.48959231,13.12423866,12.34460218,13.1725056
Chad,0.009630170186,0.9850318099,1.55816399,1.508657133,4.25199823,4.45072737,4.446781207,4.402301835,4.763460709,5.006482532,4.753569964,6.065454664,5.23452423,6.955894947,11.95444415,7.650469997,6.963780484,8.66745846,10.9969779,8.456623404,3.370714007,6.736328211,7.600398596,10.37933212,12.09462241,17.28980054,15.03978999,17.39903946,17.63419602,17.59303996,18.04885431,13.99259592,12.55914136,15.39443528,18.42907001,16.31144646,18.51848171,14.91259098,9.99842949,12.23546058,9.600144682,11.17845887,11.90483669,11.12399093,9.075679075,8.989959427,5.917387929,6.173764638,6.306178465,8.396185521,6.191472314
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,0.3277335393,2.637166333,2.532375438,2.730978981,2.398844143,1.979075489,2.032057039,1.571172946,1.271328492,1.233029595,0.8500039066,0.4659849428,0.4471068472,0.3076956317,0.154510686,1.829608533,0.07657958231,0.07713648569,0.04807754026,-0.139225741,-0.03974594297,-0.02335039964,-0.03963403073,0.0005563086968,0.01311201891,0.2777929045,-0.03262625406,0.111278619,0.1956035025,0.233732016,0.3474546734,0.3506811622,0.3085735823,0.3775586093,0.2853108654,0.2280833055,0.2666546525,0.1607984559,0.1372277783,0.09877180011,0.06393646723,0.1077811616,-0.01077316559,0.1167782365,0.058592963,0.1468613443,0.07455191543,0.06803122252,0.06469126683,0.04875432149,0.0979735601
China,,,,,,,,,,,,,,,,,,,,0.009556716592,0.03460116355,0.2453255753,0.2571143734,0.2912715043,0.3079475864,0.3052769475,0.3677593496,0.5100511946,0.6203290401,0.601630992,0.5677139605,0.5081609288,0.7078646938,0.7301358408,0.5622848548,0.4845726226,0.3129315599,0.2174260969,0.2431725216,0.2233398093,0.1445967577,0.1186421181,0.1040237892,0.08318737692,0.08898556734,0.08096652545,0.04608851513,0.04249004024,0.03259171949,0.02259592386,0.01094441441
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,-0.2843990183,1.005576785,0.944233675,1.558239432,0.9176335452,0.6486380724,1.725885284,1.947993674,3.275007152,1.920674484,2.286075866,1.701808287,1.413414042,1.458175012,0.8750800871,0.6460324307,0.5010758535,0.2519943318,0.3083530859,0.1942329688,0.2706526391,0.2815690812,0.2539609625,0.228753701,0.2385632948,0.1840829487,0.1874114399,0.2233169337,0.1660597956,0.1795829891,0.2318203691,0.2877361486,0.4906361681,0.1546793204,0.09267108586,0.1857847249,0.1964737439,0.1861089552,0.1728091291,0.3562098207,0.1905176915,0.4021155735,0.4611924519,0.8769411653,0.4564448416,0.4398996096,0.6409396622,0.3622103077,0.4155222121,0.4707364417,0.3282237053
Comoros,,,,,,,28.20888393,42.37892427,34.51435776,27.00029428,31.80635201,30.20452475,30.13620582,41.57077925,46.00227841,36.10761344,48.82969314,21.56882058,18.38722589,21.18984469,34.84026909,40.48626787,35.36253705,33.8958041,39.93941421,41.59085572,28.53375547,27.66345635,24.9562875,22.03464087,18.00056,25.69901276,17.72570595,18.32017878,20.78261826,17.86067125,16.76750306,13.95923021,18.6442842,9.628252483,9.251337451,12.48023343,11.01407938,7.632474946,7.306027666,5.912742239,7.899115771,9.634190394,7.851685937,9.436671637,12.4234575
"Congo, Dem. Rep.",2.538005508,3.077099511,3.275219562,1.842370476,4.433456571,3.516669704,2.060019492,2.778137007,1.967164052,1.671578289,1.839862406,1.925549889,1.976501376,1.768491713,1.880398771,2.534360027,2.031861466,2.153854705,2.064291147,2.781994551,3.057973532,3.216595632,2.61979763,2.902307536,3.930154872,4.476275711,5.27750384,9.603140809,6.801824564,8.719956579,10.44109447,5.704364914,3.579346957,1.766015852,4.771582209,3.992710175,3.076991539,2.772461236,2.153919374,3.129063981,4.521783377,5.685856097,22.39436375,99.51319035,30.93736841,28.15365322,26.30181193,14.46437599,17.07000997,42.05386996,29.04748817
"Congo, Rep.",0.01543739124,0.1276481667,1.878802707,3.339983975,9.740835072,8.143008371,11.61488316,8.003098878,8.630436388,6.602848673,5.739090663,5.449046278,5.712720689,5.102478507,6.641031333,7.58021589,10.12581778,6.615686904,9.738375645,8.152837827,5.902784585,4.275676617,4.546405544,5.581219598,4.67035802,3.40995583,5.700787705,5.887027418,4.541550666,4.465283432,9.344874562,5.847937119,4.417660761,7.916224192,23.89230301,10.16533558,29.50271481,16.16899213,4.389936775,8.532176649,1.408214721,3.749541376,2.653162553,2.682101777,3.652486479,35.35163813,5.059347782,2.05583737,5.531418844,4.059131358,14.54144358
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,0.7140570493,1.247370976,1.980260992,2.011489787,2.628196437,2.679306423,2.236447302,2.188143313,1.578232843,1.97080157,1.548971397,1.556453718,1.550780102,1.566379236,1.416162833,1.584750815,1.041535404,0.8417072106,1.484203859,1.420807127,1.395994658,2.320803239,3.627785571,6.904201938,5.057305839,6.186608038,3.739050276,4.108380749,3.273988653,3.498026592,3.174120469,2.494241909,1.678009706,1.053211842,0.7174736351,0.2580663164,-0.1100477124,-0.06319554804,0.1254091436,-0.07056423031,0.06545675483,0.002353810641,-0.002094111641,0.1727592147,0.07165346913,0.1345927161,0.1454403603,0.2273764156,0.2273885791,0.3809023145,0.2697199491
Cote d'Ivoire,0.02336188395,0.5517494682,1.431667162,1.182233596,4.349899555,4.324402863,3.631302502,3.250220841,3.605399707,3.763829744,3.70382377,3.365945655,2.69796046,2.632715707,2.543170208,2.656050076,2.385734587,1.712275683,1.706464236,1.841836613,2.16723962,1.555568161,1.941620427,2.525481315,1.936972359,1.864145809,2.059715315,2.614884688,4.565779521,4.712574356,7.453448425,6.905649506,7.705519719,7.883310894,21.13024863,12.10307196,8.590802059,4.056422235,8.045046493,3.809723007,3.608517147,1.875651195,9.880191762,1.948644808,1.087304873,0.5830900689,1.489749804,0.9045766369,2.788953954,10.88937677,3.854160994
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00009892337134,,0.7615334015,0.2419286053,0.572750761,0.1713047116,0.1578852154,0.2145456722,0.3103082328,0.5470182806,0.5468080878,0.3655405333,0.2966808892,0.2829574472,0.4210171818,0.2815500491,0.3593312079,0.2827523925,0.2630406449
Cuba,,,,,,,,,,,0.03259307947,0.03656600318,0.04474065417,0.05297865945,0.1361314208,0.153622206,0.2488653114,0.322459674,0.2741825692,0.2493262519,0.1601522671,0.06765483641,0.07835316825,0.05894036519,0.04987962984,0.0800706947,0.07487376266,0.1330398559,0.07505746474,0.2099114543,0.1812381332,0.1547523751,0.1121272951,0.1975271818,0.1668682879,0.212527468,0.2316866807,0.2625518935,0.3166719393,0.2100149369,0.1469109951,0.1722274429,0.1930877369,0.2122752958,0.2757111131,0.2103729729,0.1797800663,0.1609878548,0.2128649775,,
Cyprus,,,,,,,,,,,,,,,,6.30917947,9.678337288,12.67408842,4.847744816,2.290397025,2.407333488,2.071258706,1.413307803,0.8598042545,0.7369088092,1.511516478,1.129793799,1.10040858,1.012877391,0.8703228018,0.6710501152,0.6777066166,0.3739209366,0.5055731414,0.5863075825,0.2370782681,0.2468887479,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.19035257,22.52609019,27.48686474,25.29268993,20.45889288,19.00755266,16.59858371,15.42904745,13.68376364,12.72266304,10.13818291,12.21921288,11.81348045,8.773416445,9.553471405,13.49733791,12.03205746,13.12964096,14.88411255,
Dominica,,,,,,,,,,,,,,,,,,13.60997987,15.81041043,20.48197857,29.64646517,22.12279377,23.19663769,12.47391974,18.44268541,17.7651308,10.69596156,13.06478175,12.82026791,16.32300498,12.1699224,10.20407779,6.887201857,4.591644143,8.384000054,11.86625434,19.81234245,6.409078018,7.900578323,4.062820251,5.327108384,6.437947585,9.897424677,3.559731245,8.823781664,6.349274937,5.234486445,4.862893665,5.00416126,7.688097729,7.014516011
Dominican Republic,0.02566811507,0.02360345828,2.615575594,5.216729494,2.307997499,8.95253309,5.398798426,5.901704116,6.02810754,3.603909646,2.926432606,1.893288433,1.453872764,1.081713401,0.7163402588,0.8302987817,0.8349175035,0.7443150252,1.043718783,1.398616451,1.942683601,1.504610094,1.758518203,1.193407678,1.882539302,4.37902599,1.562274478,2.333734037,2.337271666,2.248977636,1.504085416,0.7231682083,0.604645238,-0.01514731003,0.4430469235,0.7656437341,0.571666145,0.3777519496,0.582955511,0.9146240951,0.2439514559,0.4489307187,0.5702909857,0.3464667555,0.418162849,0.2511695301,0.1577719754,0.3138121155,0.3545534899,0.2644856523,0.3510937259
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0.5963207795,1.092190724,1.345823217,1.720605653,1.812334145,1.712050205,2.058960447,1.960568735,1.604168962,1.166107413,1.414083493,1.682386509,1.284779994,1.443796908,1.210412087,1.505036138,1.338399175,0.7986666363,0.5808786997,0.7438086844,0.3990624123,0.4347398556,0.4221408763,0.5907942872,1.280871608,1.250328284,1.563355561,2.816932287,2.147229699,1.936938417,1.742081009,2.321104727,2.169503555,1.641881521,1.187316963,1.155838396,1.235212778,0.6720617907,0.7981410908,0.9641182481,1.005755845,0.9217870483,0.9395173984,0.6507378598,0.4986143635,0.6428299294,0.4708783233,0.4988445847,0.4372010169,0.4103746083,0.2643911324
Egypt,4.297264842,2.71605663,4.706107569,4.994131827,4.954449992,2.420411186,1.834709445,0.594147121,0.4222657175,0.1455312339,2.243767019,1.693070281,1.60934744,9.343206192,15.47046106,22.40424786,18.68022699,18.57136805,19.01700912,9.197177871,6.466528969,5.958076584,6.083699803,5.539709627,6.196492984,5.639374356,5.205700257,4.311900692,4.293548649,4.200178684,14.43059298,14.77508122,8.999960233,5.396233823,5.196134978,3.360014105,3.215452679,2.528062997,2.29427203,1.766502932,1.360082725,1.323347088,1.492362163,1.227424774,1.974592957,1.15641031,0.8328585937,0.863128311,1.060148895,0.5279096902,0.2761437362
El Salvador,0.1158152223,1.16749996,0.8830747211,1.785617962,1.620846937,1.662221911,2.261094032,1.573744768,1.359966408,1.221153846,1.321974133,1.083812558,1.450792881,1.59860893,1.802442522,2.024622991,1.284889108,1.547378859,1.79244912,1.734634234,2.760905086,5.010188143,6.663414826,8.597780795,7.399894461,9.366513292,9.196522262,10.97529784,10.20204833,10.35896436,7.391079114,5.682798453,6.891805529,5.866398518,3.823197521,3.147274687,2.942885059,2.538778847,1.527510446,1.502886697,1.394762315,1.75329761,1.668347243,1.313971936,1.41065422,1.231427109,0.8994545414,0.4482253189,1.108972531,1.372650448,1.357694721
Equatorial Guinea,,,,,,,,,,,,,,1.240672177,16.81056393,2.082178557,0.4036438073,0.8047024996,,,,,,,,22.7253316,21.94335272,47.01898148,40.16846333,53.98057967,48.76358248,51.03643883,41.70358922,35.10425259,25.68915291,21.82122591,15.12622982,5.845902339,5.447608266,4.83437837,2.437383023,1.534905949,1.734978007,1.503787667,1.261064994,0.9137282042,0.5018023776,0.4728842402,0.3052621787,0.3472074279,0.9166862216
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209598939,14.47177404,28.98164833,25.32423245,22.96321723,18.04719524,22.31294278,21.39220923,27.9178041,41.40170185,33.73134783,36.83265158,24.21947173,32.06814647,10.46165163,12.08208457,10.4855248,7.81172085,7.655303878
