Male 20-39 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Barbados,30.92783505,27.45098039,23.07692308,21.2962963,22.52252252,26.72413793,30.50847458,36.36363636,38.0952381,38.21138211,33.33333333,32.23140496,30.95238095,29.6875,27.55905512,24.21875,22.83464567,22.76422764,22.76422764,22.31404959,21.36752137
Belarus,27.94160584,30.43353431,33.65800866,31.90621814,29.68674699,29.41992142,30.46387154,33.07593308,32.44592346,31.72957279,30.91140854,31.7019882,34.01436911,33.69439963,31.50165798,28.23701536,25.29664226,24.37106918,24.80239847,24.80136209,23.9490823
Belgium,29.18626529,28.28282828,28.46325167,26.79456779,27.06256628,27.90211253,29.83333333,32.37756383,32.04123711,30.98134631,29.05554442,27.45290424,26.10687023,25.27224934,24.59349593,23.99708242,23.7398374,23.52729885,23.72093023,23.99499732,23.933607
Belize,30.3030303,25.64102564,23.91304348,23.63636364,21.66666667,22.72727273,23.61111111,25.92592593,29.03225806,30.90909091,30.95238095,30.98591549,32.27848101,33.33333333,34.22459893,33.33333333,32.87037037,31.57894737,30.67226891,29.3877551,28.28685259
Benin,26.91099476,25.90361446,25.3968254,25.53011026,24.90508732,25.11721366,25.37746806,25.72139303,26.68933277,27.97472797,27.93497893,28.61476239,28.85400989,28.98012261,29.38503975,30.00861079,31.01899384,31.97822562,32.61190878,32.83147159,32.52186457
Bhutan,29.88505747,29.7029703,30.08849558,29.45736434,29.13907285,30.05464481,29.54545455,27.75510204,26.42857143,25.68093385,27.36842105,34.60410557,36.63101604,38.38630807,36.27906977,33.18485523,30.472103,28.77846791,28.34008097,27.47035573,26.84824903
Bolivia,27.79009608,27.59544541,27.53012048,27.35135135,26.98412698,27.00511945,27.48958728,27.766463,28.03511959,28.51762174,28.90285162,29.50174825,30.39568345,31.53618907,32.47289623,33.17144245,33.2002457,32.54994125,31.77954095,30.7046518,29.56931359
Bosnia and Herzegovina,25.91439689,28.88111888,32.55963894,31.43712575,30.22323984,31.23302553,32.9002079,35.97051597,35.19474425,32.98267327,30.01686341,29.52171523,30.45881703,30.04459309,29.20203735,26.71667628,23.86296515,22.68292683,21.54137713,21.43799472,21.16838488
Botswana,28.28282828,28.44444444,26.58730159,24.38162544,24.09638554,25.56962025,27.44282744,27.81690141,28.91566265,29.93464052,31.8501171,34.17030568,36.74089069,37.60603205,36.88888889,34.93265993,33.73590982,33.28161365,33.18318318,33.13911143,32.31750532
Brazil,29.22875817,28.39719029,27.9907341,27.0335781,27.13158883,28.46527315,29.80683654,31.59680227,32.44287137,32.74331865,33.07739665,33.43865766,33.67256775,33.46009894,33.0250617,32.04981172,30.67014927,29.20635515,27.25107194,25.10024734,23.71504157
Brunei,33.33333333,30.3030303,29.26829268,27.27272727,24.24242424,27.05882353,35.57692308,35.59322034,39.25925926,37.90849673,36.41618497,35.41666667,35.57692308,35.65217391,35.36585366,34.23076923,33.09352518,31.37931034,30.26315789,29.52380952,29.14110429
Bulgaria,32.31236203,31.96041722,32.57768721,30.36585366,29.52403393,28.60096485,28.75905797,28.84745001,27.92730619,27.96775769,29.15705867,30.08260059,30.3975704,28.71824151,25.54766134,23.15983985,21.60771704,21.7025572,22.50351617,22.70726339,21.93622743
Burkina Faso,30.23364486,29.26073484,28.28784119,27.44795682,26.53641208,25.65019506,24.95580436,24.78249407,25.8636573,26.97460508,27.75277008,28.92586106,28.42221676,28.17360235,28.23132354,28.78240629,30.7851387,32.37888278,33.45090783,33.99249194,33.52547506
Burundi,28.97196262,27.35042735,26.24113475,25.4368932,25.07392076,24.73057289,26.84766214,29.20540997,29.46912243,27.248501,25.11938873,28.81732371,33.16582915,34.47828905,34.20586499,32.84233497,31.86532903,32.04676489,32.52610867,32.57249498,31.77390589
Cambodia,29.03819604,29.0615957,28.87090842,28.64583333,28.26712723,28.67605634,28.832,28.30188679,28.27735645,27.66307327,26.6828479,30.35238377,33.63167887,36.66169896,38.05279397,35.29724556,33.03955934,31.22740247,30.76713325,30.85579691,30.28335301
Cameroon,29.10004568,28.84455528,28.45314264,27.83747482,27.11111111,26.55644536,26.04444444,25.80026835,26.03618421,26.68097282,27.88461538,29.22990444,30.44088176,31.3789066,31.65874447,32.10518385,32.79168701,33.22517846,33.43865832,33.00486966,32.16558777
Canada,30.18082664,28.83289457,27.55619216,25.97008892,28.2441349,31.16849469,34.14414414,36.11284289,35.01310807,32.67360872,30.34609817,28.3875,27.83867509,27.77683376,26.75448067,25.2864664,23.98630205,22.94428434,22.82766027,23.14418435,23.36564974
Cape Verde,28.35820896,26.92307692,25,23.14814815,19.68503937,17.96875,17.29323308,21.62162162,24.84848485,25.92592593,28.01932367,29.56521739,31.70731707,34.09090909,34.51957295,33.55932203,31.41025641,29.50310559,28.39879154,27.29970326,27.35294118
Central African Rep.,29.20489297,29.06976744,28.82273342,28.36004932,27.6169265,26.46464646,26.34408602,26.88422688,26.75469076,27.71672772,28.1828074,28.55014896,29.92766727,31.07717705,32.24458792,33.00457908,33.25657895,33.42609771,33.22618352,32.75,32.38651447
Chad,28.91666667,28.30045524,27.70919067,27.30627306,26.79558011,26.74816626,26.51982379,26.17475728,25.99469496,25.91437482,26.26020163,26.80474563,27.56993007,28.29581994,29.03921304,29.8896928,30.73031932,31.61528277,32.4335904,32.98880276,33.29248072
Channel Islands,29.16666667,28,29.62962963,29.09090909,28.81355932,30.64516129,31.14754098,33.84615385,34.32835821,33.33333333,30.43478261,27.14285714,26.02739726,25.67567568,26.02739726,24.65753425,25,23.61111111,21.91780822,22.53521127,22.53521127
Chile,28.84168603,28.1026253,26.99126753,26.81328966,27.27465087,28.61035422,31.50833938,33.95247657,34.60181065,34.25042111,32.43739347,31.01823143,30.86725664,30.97415058,30.72158226,29.34427955,27.57522851,25.99434686,25.34185048,25.20099256,24.96034893
China,30.17724935,29.58297751,29.28630323,27.71374477,27.00272714,28.29926226,29.81542559,32.62222975,35.1689457,35.63200946,34.62846464,32.98219371,31.81862806,30.18159791,29.73549861,28.68325947,26.39327066,25.49880187,25.25615948,25.02121035,24.4374554
Colombia,28.05960154,26.40522876,25.00313637,23.9151607,24.4871071,26.66275758,29.03876316,31.54929577,33.12693498,32.78224688,32.70828025,32.3150898,31.8161868,31.95336958,31.51928321,30.88087902,30.24018245,29.42839413,28.75239407,28.12108422,27.36883193
Comoros,30.76923077,29.88505747,27.36842105,25.71428571,25.64102564,25,25.45454545,26.04166667,27.64976959,28.74493927,30.2919708,32.58064516,32.65895954,32.37597911,31.74224344,31.12582781,31.96721311,32.76190476,32.61261261,31.96581197,30.55555556
"Congo, Dem. Rep.",27.01139351,27.31373464,27.48808713,27.61938703,27.55985736,27.3125822,26.97922938,26.48851991,25.98036527,25.57153808,25.68460436,26.13853939,27.17132659,28.38541667,29.63780614,30.94949578,31.88061474,32.71598657,33.40479805,33.69327621,33.75106144
"Congo, Rep.",28.78787879,28.73303167,27.94411178,27.0979021,26.32375189,25.81063554,25.6381798,26.11585945,26.92939245,27.6734104,28.15598149,29.87089202,30.90037294,32.38770686,33.06382979,33.16326531,33.12659613,32.80983271,32.72259724,32.25609756,31.59580664
Costa Rica,28.60040568,26.08695652,23.92909897,23.13432836,23.83531961,26.73076923,29.83333333,33.04221252,34.09961686,33.23911815,32.58258258,32.53066788,33.31918506,33.90370076,33.22059376,31.6015765,29.20536636,27.72046589,26.62127108,25.85055644,25.53324969
Cote d'Ivoire,29.07801418,29.96610169,30.40501997,30.68758653,29.93701371,29.062318,28.22911912,27.68920652,27.38658928,27.92316617,28.59069454,28.59174964,29.27829415,30.24449878,30.97826087,31.8943084,32.59408602,32.96338028,32.97761038,32.56007439,31.98653199
Croatia,27.87152967,29.80972516,32.69529229,31.96762772,32.02581927,31.95926285,31.52430392,31.96114709,30.92406221,29.55555556,28.75576037,28.77160206,28.45719661,27.89373814,26.62835249,24.66019417,23.46837945,22.89460414,22.54246011,22.83008943,22.71750806
Cuba,29.0058862,28.2906492,28.72019731,27.90410282,27.16606498,27.65468227,28.48533548,31.94718171,34.84791588,36.29061701,34.09623356,32.17530732,29.55840456,27.17720392,26.71428571,26.24393749,24.01675164,22.49488753,21.51874522,20.90440301,20.75119319
Cyprus,27.98353909,26.84824903,26.07142857,25.87412587,26.24584718,31.47540984,33.44262295,33.4375,31.17647059,30.05464481,29.01554404,28.99262899,30.37383178,31.55555556,30.5907173,28.08080808,25.82524272,24.48210923,24.18181818,24.60176991,24.65517241
Czech Rep.,29.39142462,27.09763117,27.63981861,27.16652506,29.04380792,30.72016461,31.44691953,30.98760496,29.21415717,29.38596491,31.37057878,31.80538802,32.32362713,29.96906419,25.97003458,23.82962394,22.70624518,22.60194175,23.65339578,24.03601488,23.36540349
Denmark,29.00330657,27.06630336,25.83626761,26.53666808,28.62985685,29.99201278,30.98814229,31.52044462,31.05761642,30.81395349,29.52994693,26.81105302,24.81617647,24.45255474,24.91850779,25.98056855,26.21776504,25.42069459,24.80258435,24.65802736,24.78323699
Djibouti,29.03225806,28.57142857,27.90697674,28.07017544,28.75,28.31858407,28.14371257,28,27.95698925,29.12621359,29.75206612,31,32.42009132,34.10526316,34.43579767,34.22939068,33.33333333,32.28346457,31.79791976,31.34751773,31.07191316
Dominican Rep.,26.2560778,26.52354571,25.93896714,25.18666003,24.72103004,25.29080675,26.95768077,28.81810063,30.40794418,31.09592385,31.12210479,30.93600167,30.85313596,30.98384728,30.91163116,30.70102058,30.35685451,29.72675879,29.18395574,28.45664039,27.60126487
Ecuador,27.0783848,26.4278297,26.19477006,25.7751938,25.56666667,26.60524043,27.66541823,29.02097902,30.53405573,31.39717425,31.42903382,31.10975424,30.887471,31.10958904,31.51380928,31.4449713,30.81927711,29.87226064,28.70104514,27.70852221,26.93735238
Egypt,29.81209685,28.74537227,27.20794645,25.64507969,26.09134777,26.28608858,26.56874635,27.65397162,27.43688519,27.67671114,28.93039049,30.68284264,32.97391468,33.13803355,32.50146622,31.4708346,30.20618929,30.31477081,30.10823763,29.42943423,28.446008
El Salvador,26.4516129,26.66666667,25.71219869,24.922312,25,25.53699284,25.534701,25.44039328,26.04166667,27.56132756,27.72520154,27.52516487,28.16032888,30.24422884,32.55587949,32.89760349,32.60609683,31.32774082,29.96339059,29.87872106,29.38786566
Equatorial Guinea,29.35779817,29.31034483,27.86885246,28.78787879,26.76056338,19.29824561,17.9245283,32.46753247,35.48387097,33.1838565,27.7992278,25.49668874,25.87209302,27.50642674,29.35779817,30.43478261,30.56603774,31.31487889,32.42811502,32.88690476,32.96244784
Eritrea,26.72566372,27.59170654,27.96610169,28.26899128,28.15217391,27.37642586,24.05582923,23.54651163,23.87096774,23.30345711,28.74720358,32.95350957,34.05909798,33.11973019,31.1785929,31.4986376,32.78566094,34.00549954,34.5068929,33.68275316,32.31286168
Estonia,27.93176972,29.82107356,32.58003766,33.80035026,33.38683788,32.67776097,31.95876289,31.92686357,31.29251701,29.68515742,29.33753943,30.48387097,32.14285714,30.80645161,28.40909091,25.56634304,23.2405892,24.45923461,26.55462185,27.41116751,26.19047619
Ethiopia,28.04116939,28.17223548,28.30425056,28.2569098,28.20709358,27.67337945,27.22459436,27.11156944,26.86112502,26.72840379,26.67445004,27.00991486,27.97341721,29.42735506,30.79111276,31.83279743,32.69078265,33.15464496,33.43501102,33.50521132,33.1325719
Fiji,27.81456954,26.9005848,26.10837438,26.27118644,27.65151515,29.35153584,30.34055728,31.75487465,31.78082192,31.79487179,30.95823096,30.71428571,31.26436782,32.65306122,32.81596452,32.60393873,32.33404711,31.27659574,29.85074627,28.90792291,28.07775378
Finland,29.74947808,28.32512315,28.39737582,28.55197458,30.54806828,33.39191564,34.47231834,34.8778433,32.09417596,29.24376508,27.61075949,26.33424231,25.60091568,25.98425197,25.35159141,24.42972774,24.0250184,23.57063814,23.88888889,24.226612,24.18691589
France,28.43361512,27.93871999,28.94808126,27.1202865,28.10911145,29.039259,30.40604702,31.98398577,31.05419289,30.26418578,28.73170732,27.62691854,26.49945832,25.3100302,25.04261095,24.88257069,24.77715621,24.69857508,24.49794338,23.93649072,23.46555198
French Guiana,33.33333333,28.57142857,25,25,33.33333333,28.57142857,35.29411765,34.7826087,34.42622951,32.87671233,29.06976744,29.41176471,28.07017544,29.77099237,30.55555556,31.875,32.20338983,30.89005236,31.06796117,29.81651376,29.38596491
French Polynesia,26.66666667,29.41176471,26.82926829,26.08695652,26.31578947,29.85074627,30.37974684,31.86813187,32.69230769,33.92857143,33.33333333,31.57894737,32.60869565,31.75675676,31.81818182,31.44654088,28.74251497,28.07017544,27.74566474,27.11864407,26.40449438
Gabon,30.3030303,30.17241379,29.41176471,28.34008097,27.23735409,28.27586207,28.74251497,28.3887468,27.94759825,27.6635514,28.26797386,29.47214076,31.10814419,33.09002433,34.04255319,33.95638629,33.39805825,32.35563703,31.6797215,31.25,30.68910256
Gambia,29.26829268,29.19708029,31.16883117,31.69398907,30.8056872,29.52755906,27.15231788,26.31578947,26.41083521,27.27272727,27.86377709,27.87318362,28.02768166,28.70182556,29.94555354,31.32628153,32.4981577,33.01950235,33.29200248,33.14187249,32.77896996
Georgia,28.13267813,30.5227656,34.2621259,32.37958989,28.69408043,28.08159722,27.83375315,30.87705246,31.49575944,30.74366431,29.67081851,29.11332385,29.52141058,30.04694836,29.12880812,27.8536319,25.99439776,24.79768786,25.32855436,25.44780729,24.3745991
Germany,24.94601804,25.22641452,29.29400301,30.87462253,30.01759848,30.77170418,30.19728895,31.83841982,33.56564866,32.82627311,30.30076126,27.31942135,25.10247174,24.47596178,24.03408516,23.03941696,21.59512731,20.80070556,20.44569925,20.47812359,20.7797486
Ghana,27.65196663,27.94117647,27.91715286,27.66708701,27.54477443,26.67855021,26.44524237,26.71232877,27.30637061,28.45025218,29.43377149,30.26564611,31.07055961,31.63601729,31.82788526,31.83014134,31.83643459,31.83634834,31.7453294,31.51349852,31.0272445
Greece,30.26851098,31.19855967,31.86515748,30.15873016,27.36376339,26.56884876,27.0498732,28.23818293,28.93948472,30.51972686,31.57991879,31.53186051,29.52947539,27.14413608,24.53571429,22.73620289,22.33166189,22.22821204,22.0978516,21.83469573,21.39057054
Grenada,20.58823529,23.68421053,21.42857143,20.93023256,18.18181818,25,23.25581395,30.6122449,28.57142857,31.25,30,30.76923077,34.61538462,36.36363636,33.96226415,31.48148148,28.57142857,25.45454545,26.41509434,28.84615385,24.48979592
Guadeloupe,29.7029703,27.82608696,24.62686567,22.81879195,22.64150943,22.22222222,27.5,30.40935673,33.5078534,32.82051282,31.70731707,26.02739726,25.77777778,25.66371681,25.76419214,25.76419214,24.34782609,24.34782609,23.58078603,22.22222222,21.97309417
Guam,55,46.15384615,40,39.53488372,38.29787234,34,34.54545455,37.09677419,38.02816901,36.84210526,31.64556962,29.76190476,27.77777778,28.125,29.7029703,30.47619048,30.55555556,28.94736842,27.5862069,27.11864407,27.11864407
Guatemala,27.75330396,28.03278689,27.91805622,27.19700125,27.11370262,26.99171447,26.17033277,25.74850299,25.41768768,25.05525417,25.3444525,26.25383003,27.49072224,29.30032837,30.89200815,32.22062449,33.31132075,33.80639509,33.88701587,33.45021038,32.63040238
Guinea,28.58237548,27.43300423,26.41388175,26.48083624,26.30208333,26.95351137,27.33534223,27.21781804,27.26686028,27.21250662,27.47044917,27.911474,28.49472675,29.12069542,29.74441833,30.45407098,31.34730188,32.16783217,32.73711689,32.88244193,32.56236577
Guinea-Bissau,30.73929961,28.77697842,27.64505119,28.23129252,28.61952862,29.27536232,28.57142857,28.25607064,26.62721893,27.77777778,28.41614907,28.04377565,28.64137087,27.66884532,28.22265625,29.23617208,30.44515103,31.35409124,31.91771732,32.19303604,32.25806452
Guyana,29.95169082,26.58227848,24.46043165,23.36448598,22.3796034,25.27472527,27.7486911,29.62962963,31.40495868,33.69565217,34.8773842,31.44329897,29.23076923,28.35051546,30.26315789,30.45822102,30.16759777,29.19075145,26.15384615,24.75247525,24.90974729
Haiti,28.60775588,27.94886694,27.72799157,27.42395437,26.68103448,27.03557312,27.03571429,26.87659033,27.27532097,26.93099897,27.38123099,29.47255113,31.43992056,33.18559557,34.01759531,33.30092368,32.618683,31.94808982,31.22468929,30.66558879,29.90983928
Honduras,26.73796791,26.55889145,26.58730159,25.86644125,24.68495182,24.75946119,25.47945205,26.47197362,27.37998373,27.5196569,27.92416452,29.12423625,30.86419753,32.88062902,33.99650197,34.14485697,33.7773549,32.98467087,32.1545627,31.24376455,30.00966495
"Hong Kong, China",41.83070866,37.84206411,31.68567807,25.49333333,26.83291771,29.51111111,34.74285714,38.19666312,37.74811773,35.70734866,32.3502018,29.1096931,27.83751493,28.64911276,28.38210933,25.71045576,23.57872675,21.59855147,20.89514066,21.89799543,22.24464061
Hungary,30,28.74604847,29.29817276,28.87165885,28.92479553,30.62622309,30.93677718,30.42115573,29.45549528,28.93884164,30.34170441,31.5503552,31.68567807,30.43478261,27.35686612,25.71801567,24.65843984,23.9606616,24.08163265,24.1616904,23.80399443
Iceland,30.98591549,28.75,26.96629213,25.77319588,26.66666667,27.92792793,31.62393162,32.78688525,33.59375,31.38686131,30.06993007,28.8590604,30.17751479,29.34782609,27.83505155,25.5,24.01960784,23.30097087,22.96650718,23.33333333,22.85714286
India,31.09714102,30.13209652,29.07324301,27.91776676,27.19349054,28.19170258,29.13177465,30.12356527,30.89619799,30.79397992,31.10434351,31.64945529,32.36299049,33.13117474,33.35531974,33.24430924,32.74340005,31.89132402,30.90616366,29.69547335,28.38351064
Indonesia,29.6942775,29.95634864,30.03256907,29.12243522,27.48169939,27.16156408,27.91947953,29.52084844,31.79951623,33.45497769,34.24202581,34.40655989,33.84484155,32.88036785,31.83981061,30.89119029,29.9922996,28.96782638,27.7626019,26.49213774,25.57876708
Iran,27.32354997,26.48999794,25.55927905,24.99210859,25.46951551,23.04712718,24.40600457,26.6430555,26.9817908,28.55426638,32.46005639,36.40422641,39.92661512,39.92503971,36.1113078,31.32543814,27.67624597,26.46077693,27.15604451,26.62511686,25.23600008
Iraq,29.69845722,26.30310334,24.81442206,24.22232388,23.1939896,25.3426893,25.60873216,26.21787026,27.52907615,28.17690045,29.62277809,30.36051803,30.25331573,31.21148768,32.44607843,33.22893692,33.34005403,32.90404228,32.01290367,31.39557643,30.8608002
Ireland,26.88741722,24.06779661,21.98033708,22.14532872,23.2996633,24.98426683,27.34192037,28.90140845,28.30296128,29.2573981,30.96876654,33.17399618,32.43360906,29.56308697,26.62790698,25.21351652,25.43891078,26.15171458,26.25586068,25.47936302,24.23664122
Israel,32.76661515,28.07215333,27.05223881,24.30555556,26.43835616,28.24925816,29.71823498,30.23937469,29.79101823,29.06757267,29.63702964,29.81291491,29.66242391,28.82836588,28.49215923,28.70180242,29.03575298,29.01758014,28.33300219,27.36175115,26.48598131
Italy,30.06822612,29.47863248,30.40363227,28.8008008,28.21106225,27.59676035,27.73115403,29.73550725,30.87228881,31.88882463,31.20292584,29.42334048,26.76740052,24.15671415,22.37172101,21.87925865,22.05413193,21.94995507,21.66637615,21.09752229,20.51254557
Jamaica,30.05865103,28.49533955,24.39335888,22.71105826,20.30735456,19.53204476,25.23719165,27.85588752,30.19844694,31.35802469,30.48973144,28.98773006,28.38951311,29.47214076,31.16883117,31.45103645,30.91168091,29.54708843,28.62345229,28.36932241,27.67584098
Japan,27.86352559,29.75017714,32.00707918,34.20926899,35.58664013,34.32561358,32.29765013,30.50918759,28.08869767,28.5317028,28.78418717,28.27534088,26.76757876,24.05740656,22.45180673,21.50185848,21.00494525,20.57329728,19.89199432,19.20858352,18.84817826
Jordan,21.95121951,23.98843931,26.50862069,27.49562172,28.45138055,27.54793138,22.63660017,24.11598303,25.97402597,32.6965793,33.12101911,33.99720475,35.32248342,34.3354875,33.50689924,32.46847721,32.32945471,32.07792208,31.3108304,30.2891326,28.81749565
Kazakhstan,26.75709001,27.34111543,32.65475696,31.22384937,29.15742794,30.52090976,30.42026162,33.5304165,33.59980015,32.62733888,32.17173125,32.82369146,34.6810782,34.71288153,32.78688525,30.97421914,30.14687882,30.29973411,31.42141665,31.19255244,29.0685413
Kenya,28.8091354,27.76510832,25.98425197,23.75737152,22.95491,23.12732688,23.92888011,25.04598406,25.96812886,27.51241601,28.73834759,30.19627579,31.16005874,31.05242785,30.76746059,30.95229847,31.82922596,32.92651184,33.48732876,33.31343729,32.57421811
"Korea, Dem. Rep.",25.44352122,30.09207276,34.49348629,37.12921923,36.32254302,31.85432162,31.66110582,30.86595233,33.35359676,36.60848348,34.11701843,33.64099025,31.29113924,30.4023845,31.42229812,30.12193165,28.66145501,26.76,25.97434035,26.21732026,26.51131935
"Korea, Rep.",26.4450716,25.64879712,27.91660035,27.57605496,28.04390584,29.26339925,32.04307955,35.09109762,37.51393534,38.40375587,36.17058086,33.93319469,31.10972309,29.43884892,28.41545696,25.68608176,24.02248491,21.72522617,20.05793843,19.95340919,20.09529148
Kuwait,42.39130435,43.44262295,49.13294798,45.67474048,38.29787234,34.24408015,38.1495564,40.57377049,40.75595727,49.3731919,47.19764012,48.95577396,44.75138122,38.8832998,33.8904364,30.8988764,29.68686458,29.0782877,28.52422907,27.96041004,27.24149777
Kyrgyzstan,27.10843373,29.28730512,31.74757282,28.65306122,24.7706422,25.10985562,27.20546386,30.75345976,31.13075849,31.19184759,31.32678133,32.10403727,33.88097846,34.63128877,34.36369615,32.85714286,31.77309361,31.107739,30.67264574,30.20987289,28.3480826
Laos,30.45066991,29.09482759,28.16091954,27.29591837,26.88253012,27.68211921,25.52795031,26.54964344,27.96005706,28.39300583,28.28582007,28.91771936,30.92719353,32.98265567,34.6896192,34.16104147,33.19062641,32.03739112,31.02403555,31.08708245,30.63347576
Latvia,26.69039146,28.53907135,31.39784946,34.27734375,33.14814815,32.44680851,31.48788927,31.18189438,31.28536783,30.46127067,30.18348624,30.92979127,33.0106486,32.08661417,29.27072927,26.02040816,22.91666667,22.81449893,24.48087432,25.50111359,24.85875706
Lebanon,28.19807428,27.90123457,27.54994742,25.95281307,25.44715447,26.41509434,26.26628075,28.61169838,30.82239115,32.30500582,30.64428803,32.66633317,33.55736918,33.90300231,33.68983957,31.67675022,29.61716449,27.78007441,26.27707397,26.06577345,25.96192791
Lesotho,28.03468208,25.40540541,23.4256927,22.2737819,22.4789916,22.11720227,21.94304858,22.27138643,21.96765499,22.42874845,24.46206116,27.37967914,31.26903553,34.07335907,35.21779425,34.91921005,34.38045375,33.98972603,33.55761144,33.2780083,32.70336894
Liberia,28.74692875,28.47682119,27.77777778,26.80921053,26.06232295,25.80645161,26.61717922,27.42230347,28.06361085,27.8125,27.70221904,27.78450363,28.29818538,29.4446836,30.29029794,31.18794933,32.00247601,32.67326733,32.96875,32.89791969,32.50283126
Libya,25.80037665,25.95818815,26.73410405,27.85714286,28.4351145,28.99770467,28.46670739,28.05474096,29.29161234,31.8863457,34.02727925,36.82839466,36.33944412,34.0124966,31.80435884,29.83425414,30.23523985,31.21528549,31.06629479,29.48877805,27.16950527
Lithuania,25.77586207,28.41666667,31.26959248,31.96248196,30.68567549,29.94204765,30.36714375,31.33612942,32.36134934,32.51461988,30.83485679,30.44569994,31.31976362,31.52542373,30.43780403,27.62784091,24.54479243,22.79521674,22.97609869,24.16534181,24.40816327
Luxembourg,29.93197279,30.26315789,29.67741935,29.44785276,28.74251497,30.72625698,32.20338983,32.96089385,33.68983957,33,31.60377358,29.13043478,27.45901639,28.0155642,27.47252747,27.5862069,27.03583062,26.31578947,25.29411765,25.35612536,25.68306011
"Macao, China",39,31.1827957,23.52941176,21.9047619,21.3740458,31.78294574,40.94488189,43.70860927,39.56043956,34.17085427,27.96208531,29.74137931,33.33333333,30.85501859,28.21428571,24.73498233,21.05263158,19.36619718,19.43462898,20.50359712,20.74074074
"Macedonia, FYR",27.11038961,28.25768668,29.82954545,29.2942743,30.22670025,31.17647059,32.23322332,32.7173913,32.63598326,31.19266055,31.0515873,31.42857143,31.56862745,31.43976494,30.02944063,27.8817734,25.67164179,23.88663968,23.16442606,22.99578059,22.94372294
Madagascar,31,29.61851693,27.9462572,25.78444748,24.3373494,24.49841605,25.21357654,26.70605011,27.69803296,27.9829112,28.20748523,27.80626781,28.3477914,29.2732226,30.40894519,31.71982577,32.40711236,32.63864565,32.52602622,32.30135196,31.90204313
