"Energe use, total (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bulgaria,,,,,,,,,,,,19024953,19406110,20502847,21377867,23244784,24351811,26009905,27186459,28247412,28388903,28322738,29509706,30128100,30352277,30642989,30914126,30601964,31329913,30420870,28562514,22086459,20581347,22036492,21296167,23141440,22987092,20826121,20043254,18289035,18677786,19486963,19006228,19499956,18870859,19945591,20507303,20115636,19791245,17492305,17857389,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2836660,2966883,3014931,3432185,3436458,3412368,3430154,3994448,4114814,3389263,3435909,3429351,3481516,3513526,4907376,5024345,
Cameroon,,,,,,,,,,,,2695185,2754913,2815701,2892957,3035619,3080576,3296626,3405339,3533593,3655462,3837363,4013732,4156125,4291277,4457718,4523788,4608227,4754660,4930041,4980850,5029172,5083857,5259910,5401824,5496907,5633688,5835841,6004076,6050646,6309658,6384145,6518250,6765839,6959112,6981351,6723031,6339740,6395196,6913994,7108880,
Canada,76134958,78708193,82861340,89019293,94762217,101419082,105706382,113435439,121798819,128083651,138102509,141352607,152495184,159345776,161708500,165946829,171035832,176317176,181203629,190277534,192608778,187802540,180461216,179535267,188707639,192997918,196335760,202886814,211274648,217228135,208542479,208159378,213330598,220335923,228071970,230773318,236090464,238865626,237075133,244323059,251439673,247881531,248210746,262033804,267615434,272197618,268321627,271731208,264748438,250745622,251838454,256076158
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29046.122,,,,,,,,,,,,,,89000,99000,102000,103000,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,8703947,8838369,8500486,8439250,7632259,8081665,8375598,8674271,9173468,9478382,9629052,8829578,9129391,9604913,9582672,10012568,10334447,11697792,13112432,14009344,14325048,15490871,15876049,17069355,18341901,20316152,22749157,23555934,25028174,25174261,24697361,25567672,25832836,27513837,28351930,29506534,30564974,30309872,29484480,30919992,32408820
China,,,,,,,,,,,,390462445,410428937,425559963,436502494,481694510,497880933,541987185,590454295,600251990,598340330,593862207,612372945,636761250,675340397,692403757,716490426,753162269,794395811,810799836,872118625,856257610,885014690,936288550,978985180,1046182765,1083594629,1120437862,1141743123,1132461178,1182687596,1202103908,1266077064,1440304071,1623100580,1750173711,1912041799,2014822352,2086108165,2249319943,2417125926,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,13851735,13864363,13945977,14769622,15435528,16050217,16528128,16461397,16074201,17707322,17936083,18446111,19049160,19688936,19990974,21763125,22499877,23179585,23367600,24222605,24486744,25045929,26199454,27124428,27598691,28271719,27431350,28727003,25690383,25813697,25708187,25204776,25735920,26001486,27084529,28568375,27919061,29207921,30815340,32235054,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17846.77985,,,,,,,,,,,,,,34000,37000,42000,41000,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,6678933,6851515,7090753,7284061,7470850,7586606,7824533,8042702,8394257,8466066,8880730,8893611,9472783,9954482,9953048,10151821,10564284,10954708,11233989,11798337,12042263,12258569,12477611,12525180,13079625,13487953,13723209,14054467,14321230,16678875,17242475,17841457,18503283,19230980,19968048,20709461,21453936,22240358,22918850,23759179,
"Congo, Rep.",,,,,,,,,,,,508520,526728,532562,543049,553044,605827,576393,598722,598224,619774,638895,678521,754642,732208,763449,751179,764531,736634,769289,775662,796752,798404,807494,728510,775117,758211,724517,727288,700855,814173,883532,868436,999144,1020277,1082866,1153805,1209302,1259697,1415976,1469419,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,1134047,1185250,1257751,1235697,1307694,1315025,1452128,1545951,1584029,1526997,1446188,1413055,1388952,1592319,1668386,1700654,1798272,1814070,1946530,2027394,2114849,2634598,2345133,2304219,2348043,2359157,2383697,2384074,2628921,2958314,2980131,3167172,3396746,3879846,3866347,4183298,4510028,4587518,4562542,4648782,
Cote d'Ivoire,,,,,,,,,,,,2454920,5144379,5170970,5228472,5317306,5480916,5473774,5627368,5592957,5570216,5475391,5375438,5203108,5178559,5262660,5559117,5545752,5501851,5540619,5370259,5385061,5629352,5686112,5709233,5606879,6128368,6175043,6087229,7101332,6734145,6483375,6946470,6578041,9301697,9634165,9537246,10232925,10278060,9451501,9571539,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8993861,7286841,6708402,6906748,6860927,7031554,7221422,7782259,8037644,7951228,7771686,7931891,8238602,8792575,8814969,8887087,8933182,9305929,9059523,8687794,8535316,
Cuba,,,,,,,,,,,,10739855,10368080,11067985,11725550,12024210,12606785,13681657,14472447,14877540,14982780,15043145,15254733,16060238,15729334,15618671,15577684,16207578,17010826,18612783,17689038,14731578,12992738,10861834,11128503,11053059,11999024,12313679,11553718,12008670,12858744,12588480,11729419,11662187,11312467,10758079,10846601,10137385,10510950,11691118,10979804,
Cyprus,,,,,,,,,,,,587221,746478,781950,594001,564755,656511,715021,756409,821588,864649,849131,863123,895716,926022,919560,1040311,1183127,1209454,1258661,1360826,1388820,1567084,1682376,1970178,1745705,1936626,1897998,1976007,1986498,2136980,2114384,2143335,2331621,2182923,2220074,2309330,2437076,2586162,2537126,2444787,
Czech Republic,,,,,,,,,,,,45384254,45527146,45159190,41883260,43669673,44935632,48009103,45329644,48401683,46948942,47051913,47791904,47963387,48970085,49236203,50042565,51497969,50479366,49075343,49570022,44806391,43555163,42239687,40926571,41490902,42812407,43082764,41703988,39033459,40993485,42077573,42535483,44412886,45510680,44940856,45904299,45845189,44869540,42072125,44107627,42900721
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,8806456,9330865,10672527,11724922,12278123,13433429,14715620,14801551,15585880,18097585,19574217,18505204,19260533,18991459,17606101,17472752,18999722,19489173,19879197,20569727,19135244,17318260,17515064,16535341,17141616,19299643,19578259,19584358,18681716,17523965,17363421,19251703,18420865,18916191,19572733,19391729,21947180,20337918,20009054,19172846,18633651,19202876,19004805,20087480,19429076,18888581,20251483,19762281,19200749,18353144,19252672,17511658
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130056.648,,,,,,,,,,,,,,133000,139000,143000,143000,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21171.594,,,,,,,,,,,,,,39000,41000,42000,43000,,,,
Dominican Republic,,,,,,,,,,,,2340929,2729217,2866750,3016427,3080805,3183871,3257683,3340670,3471298,3434658,3553489,3628650,4022472,4284067,3642589,3798005,4294191,4058290,3963269,4100607,4126358,4878413,4972391,5629193,5893832,6140321,6791769,7251132,7433568,7806550,7920388,8123830,8080221,7291898,7673082,8151945,8348166,8190649,8091345,8338902,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,2297056,2405209,2401991,2942711,3266472,3608759,4261982,4389644,4608947,5032216,5259129,5677746,5293435,5708261,5775475,5750916,5874322,6169544,5869937,6021201,6343804,6499206,5992007,6380949,7162494,7787145,7888385,8320968,7801913,8034278,8800794,9206904,9927798,10349744,10986875,10922555,11332313,11027426,11461857,12096898,
Egypt,,,,,,,,,,,,7778545,8589154,8013405,8976647,9817967,11427336,12482801,12917208,14200761,15161214,17663110,19341087,21435022,23758226,25717150,26433678,28154368,28850712,30745415,32333283,32369160,33192862,34473793,33214995,35268531,37427958,38952317,41694168,42598018,40658500,45698046,47174131,48980121,53537206,62728669,66164169,71037935,71863484,71390544,73264143,
El Salvador,,,,,,,,,,,,1752011,1873010,1979593,2024113,2260102,2609878,2693086,2851494,2781165,2518954,2721723,2810864,2701793,2757784,2624342,2279235,2543532,2373224,2432880,2468711,2714332,2833321,2982470,3158796,3358820,3210043,3552546,3654551,3792114,3967995,4151362,4231668,4418166,4382270,4525095,4736098,4452025,4499056,4223564,4192135,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762000,1249000,1503000,1759000,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877327,921065,950086,997704,1047282,1040673,676540,701477,707891,741727,748424,804279,743570,762890,696950,720631,677244,725528,744529,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9910795,9017921,6570279,5157663,5353989,5034838,5507784,5409117,5119012,4812975,4714635,4918613,4709259,5189504,5282550,5164321,5037823,5623844,5440288,4749296,5567718,5547909
Ethiopia,,,,,,,,,,,,8607023,8780884,9025747,9249450,9430290,9677840,9924133,10233505,10531254,10831757,11155992,11421671,11760944,12045124,12383565,12825812,13348909,13780759,14288446,14866301,15344418,15584649,15332160,15882282,16403662,16875298,17213590,17758387,18147498,18639118,19352129,19839993,20418096,20950771,21324638,21925636,30512124,31453582,32344879,33201772,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285806.2,,,,,,,,,,,,,,666000,578000,559000,524000,,,,
Finland,9731698,10049657,10607638,11212885,12182741,13178662,14042373,14399518,15464913,16962463,17836648,18168130,19431629,21032626,20562764,19702350,21075798,21402057,22168277,23649708,24598557,23685847,23195797,23423631,23972206,25834098,26964165,29398869,27652988,28563200,28380627,28792827,27130924,28459324,30390345,28919816,31107245,32262496,32566637,32459623,32229118,33147426,34814041,36739572,37111933,34254167,37321534,36795024,35274713,33245245,36402207,34254992
France,79221930,82444241,89153015,96361940,102653572,105108711,106846954,114147950,120768196,130795086,153352074,158571013,167393724,180135257,174353295,164961972,176092860,172815906,184275418,191984569,191770247,187308124,182772709,187549814,194278741,203815890,207002254,212143034,211234289,219944610,223889522,236584257,232495398,236421324,227499946,236664111,250016979,242319219,249696556,249298546,251867394,260322090,261105397,265810758,269683448,270627912,266651000,263483089,264795937,253489154,262288156,251448796
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,1070418,1049808,1444158,1572374,1297540,1244449,1357046,1541351,1364418,1374047,1540739,1586070,1630377,1517549,1358675,1384497,1336697,1440588,1269683,1181405,1219950,1304065,1378485,1251545,1353363,1429861,1412528,1518948,1478912,1462801,1633376,1686556,1714846,1735758,1854191,1851194,1988813,1989403,2059815,2134145,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61791.501,,,,,,,,,,,,,,108000,108000,114000,133000,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12416026,10054090,8659078,7603971,4684825,3725439,3746185,3287777,3039411,2782530,2869166,2570408,2543939,2705288,2780504,2840532,3031512,3341325,3004559,3095523,3118273,
Germany,142173561,146338520,157291898,170444920,176332199,180668280,182899316,183791400,197990991,215966276,301801067,305049251,316118060,334696347,328368036,313512086,337991166,338907785,350154416,366045132,357175655,344955573,333532851,333472092,346213037,357206023,356676903,359337893,361752109,355550935,351145230,344264055,337826308,334519549,332896830,336503047,347805144,344824722,342741484,334945098,336584177,346678930,338553041,341325079,343220306,338258043,340691149,331169028,334102207,317104310,327374664,307159811
Ghana,,,,,,,,,,,,2996427,3169549,3364796,3533201,3659660,3662536,3887597,3878277,3909434,4023476,4209499,4327674,3671539,3924097,4352201,4525701,4904865,4799568,5174992,5291033,5475096,5670665,5941748,6182669,6471284,6693854,7031693,7374464,7599870,7736222,8175432,8341208,8192513,8265611,8228516,9061851,9064105,8957856,8790027,9322437,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2408344,2708292,2957737,3118903,3689776,4093522,4713364,5277339,5699692,6364865,7674218,8690111,10086695,11811073,11259425,11744259,12735699,13679270,14384870,15257409,14982347,14645390,15049200,15745584,16355995,17551457,16683313,17919118,19099406,21118472,21440556,21616504,22149332,21869979,22479276,22678384,23404115,24330454,25619799,25721350,27086270,28003794,28320709,29140799,29707102,30247521,30222724,30216691,30418592,29435835,27615410,26543995
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42474.397,,,,,,,,,,,,,,74000,79000,81000,81000,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,2734511,2819937,2945629,3026824,3332169,3563843,3779118,3870438,4105778,3792357,3688592,3624283,3502245,3700489,3769980,3619569,3840028,3996234,4134285,4416153,4610034,4828339,4772991,5029700,5326091,5474093,5728599,6222712,6838148,7049110,7196602,7256651,7435930,7784529,7854987,7940050,8527419,8156944,9317885,10255890,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74634.616,,,,,,,,,,,,,,86000,87000,90000,95000,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382085.88,,,,,,,,,,,,,,479000,495000,500000,500000,,,,
Haiti,,,,,,,,,,,,1504376,1549820,1589458,1655641,1714394,1817376,1871814,1951484,2028539,2082970,1733980,1797583,1849803,1867367,1881844,1464077,1509729,1562012,1591961,1560472,1558388,1618305,1563819,1436450,1693198,1943594,2047969,2049492,2076777,2010299,2053955,2309174,2217956,2287743,2584559,2648161,2777133,2773322,2595165,2288289,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,1389140,1420573,1475252,1498258,1539928,1601940,1695180,1738840,1797628,1870502,1859721,2013035,1973919,2018631,2001195,2053458,2164917,2268143,2361961,2379575,2400409,2503464,2558682,2656158,2823988,2835377,3097219,3325357,2923651,2989748,3224411,3379760,3646807,3852945,3996791,3993017,4691687,4647532,4452916,4567481,
"Hong Kong, China",,,,,,,,,,,,3001464,3136463,3170932,3491160,3629062,4039752,4573504,5035479,4527364,4627715,5148051,5689097,6165188,6237887,6573829,7563089,8199264,9227463,9412540,8657766,8888789,10673459,10407728,10728598,10649915,10473158,9929545,13009301,15863212,13391943,14144888,13195258,13607916,12808023,12663873,13329581,14337964,14138514,14933405,13791696,
Hungary,,,,,,14478753,14741888,15084935,15456969,16558081,17887965,19033848,19551328,21275465,22017961,22911281,24508075,25859120,28566924,28233710,28352811,28171739,28163799,27737379,28772175,29770634,29626504,30715416,30353365,30139029,28757177,27465582,25090612,25723986,24935598,25875479,26538661,26035734,25684655,25499202,24998840,25591269,25601284,26136490,26157317,27583128,27329857,26728593,26458455,24859388,25667116,25065358
Iceland,541244,522175,552295,608868,624932,662339,711830,714383,790666,722667,865180,902361,921033,1118691,1104495,1105510,1119611,1242711,1276555,1470677,1496813,1656560,1654842,1719099,1803822,1770682,1849521,1931826,1968569,2018527,2088480,2050606,2034303,2180248,2183616,2252506,2386268,2427314,2578234,2959805,3099769,3238257,3284604,3273313,3368106,3480473,4158841,4836174,5354288,5384195,5369327,5736676
India,,,,,,,,,,,,156464804,160128825,164473626,171376208,177729528,185060084,190216072,190959893,199922784,205154559,216022695,224639961,232102715,242206681,254787758,264307896,274610531,289412617,303532518,316743223,329487359,342625611,350462308,364050277,384284782,396679515,412206999,422257460,448343007,457214205,464503810,477504898,489496440,519094019,539276447,566753651,598801236,626081949,675194872,692689009,
Indonesia,,,,,,,,,,,,35053196,36489056,38158925,39561406,41135948,43000798,47777355,51133829,53516377,55711815,58631043,60085338,61186515,63582715,65833894,72621502,74996253,77041328,81409724,98622624,103454010,107840250,118453153,118606719,130817355,135564907,140126474,137069427,143671600,155128428,159384637,165210331,165163760,177096434,180511311,185388886,184681125,186918673,198514097,207848622,
Iran,,,,,,,,,,,,16608541,16292462,20647488,24546932,26643059,30317421,33940772,32868432,37239282,38068159,42863725,50142005,42831251,49821098,53794254,54151290,55237085,56465474,66259689,69336651,76864510,80911436,87116672,96715674,101223691,97634924,109253673,111259913,126190437,122983086,133055619,137197959,141483568,155138598,172086967,179817119,190091568,203798202,212886538,208366533,
Iraq,,,,,,,,,,,,4128521,4293594,4658717,5064529,6095401,7540886,7803086,8889452,10597638,9648396,9579327,9964741,12014997,12280816,13812455,15662763,15605749,18907256,20657075,19708660,16409961,24239759,30853112,34956706,34546932,33463802,38959177,28845339,22189095,25936534,26934780,27981009,27086134,26900766,26866409,21503011,22394776,28452154,32492364,37804857,
Ireland,3730393,3944179,4006572,4147645,4363448,4350204,4707565,5129863,5484585,5790778,5984383,6718120,6664407,6907812,7116132,6647006,6832907,7233383,7253180,8550225,8235620,8262870,8215662,8201412,8287601,8628435,8864515,9232076,9141878,9321855,9987573,10015416,9884690,10078379,10575846,10634576,11408897,11955070,12737077,13312110,13730477,14490414,14566934,14371811,14605314,14473020,14760669,15088820,14955733,14402127,14397074,13514787
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,5739365,5528930,7763736,5852116,7023201,6472979,6454580,6824283,7594010,7822985,7281949,7893976,7364050,7604894,7572823,9037555,9954676,10890655,11244956,11475361,11513413,13231765,13872541,14796334,15518074,15958121,16826532,17243953,16780083,18248882,19155995,18828421,19749692,19259889,18497015,20395563,20719254,22883672,21526805,22911694,24330005
Italy,39899754,45011729,51237908,57388378,63133412,68604045,75158674,82076140,90417065,98108289,109054773,105397274,111521884,119116477,121916631,116763114,126149327,123335787,126212363,131785900,130837855,128028902,124765755,124659537,127508020,129304488,130824733,136255358,139466428,145425963,146556168,150164500,149225151,148444173,146569148,159130704,158990298,161249392,165765493,168319561,171522095,172142340,172396217,179422745,181990310,183872871,181830170,179598604,176004491,164858378,170238884,165138130
