Youth (15-24) literacy rate (%). Male,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Netherlands Antilles,,,,,,,,,,,,,,,,,,96.60404624,,,,,,,,,,,,,,,,,,,98.4686
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,83.63000046,,,,85.15561637,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,13.68775778,,,,52.44952109,,,,,,
Nigeria,,,,,,,,,,,,,,,,,81.35602772,,,,,,,,,,,,78.12795462,,,,,75.56593722,,,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.86508824,,,,,97.63412115,,97.40564721,
Pakistan,,,,,,,44.50286794,,,,,,,,,,,,,,,,,67.14934851,,,,,,,76.65171889,79.10217602,,79.42004971,79.1443213,,
Palau,,,,,,94.19359887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,95.92750224,,,,,,,,,,95.39388956,,,,,,,,,,96.53054015,,,,,,,,,,97.93446654,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,69.13373534,,,,,,,,,,,67.00609
Paraguay,,,,,,,,90.17328525,,,,,,,,,,95.85674636,,,,,,,,,,,,,,,98.80972003,97.69172261,98.04144732,98.50033924,
Peru,,,,,,,96.51333286,,,,,,,,,,,,96.98547746,,,,,,,,,,,97.80303089,97.92135381,98.51274617,98.01325911,,,,
Philippines,,,,,,91.06331265,,,,,,,,,,96.27673399,,,,,,,,,,94.45825794,,,93.5782967,,,,,97.01994886,,,
Poland,,,,99.77873636,,,,,,,,,,,,,,,,99.99913,,,,,,,,,,99.99984,,,,,,,99.99995
Portugal,,,,,,,97.66431838,,,,,,,,,,99.14245762,,,,,,,,,,,,,,,,,,,,99.71582
Puerto Rico,,,,,,93.0182729,,,,,,,,,,92.22390002,,,,,,,,,,,,,,88.09496,,,,,,,86.1325
Qatar,,,,,,,,,,,,88.52730281,,,,,,,,,,,94.12275963,,,,,,,94.88587858,,,99.09515975,95.31861467,97.70183329,96.32372909,
Romania,,,,,,,,,,,,,,,,,,99.18007019,,,,,,,,,,97.74422874,,,,,,,,,97.04267
Russia,,,,,,,,,,,,,,,99.69100528,,,,,,,,,,,,,99.67908297,,,,,,,,99.6627803,
Rwanda,,,,59.65619875,,,,,,,,,,,,,,,,,,,,,,78.52216749,,,,,,,,,,76.6585792,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,99.12,,,,,,,,,,,,,99.3326,,,,,,,99.42855
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,90.81988661,,,,,,,,,,95.80854043,,,,,,,,,,95.9739935,,,,,,,83.05632946,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,93.96330673,,,,,,,,98.07428346,,,,96.95304816,,,,,,,98.99741
Senegal,,,,,,,,,,,,,,49.12730422,,,,,,,,,,,,,,58.48507522,,,,58.12516734,,,74.20334949,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.29105
Seychelles,,,,,,,,,,,,,96.80686454,,,,,,,98.4939759,,,,,,,,98.77060254,,,,,,,,,98.77060254
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.61424877,,,,,,,70.47248
Singapore,,,,,,96.40878473,,,,,,,,,,98.85512082,,,,,,,,,,99.40999472,,,,,,,,,,99.73789066,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,99.73696648,,,,,,,,,,,,,99.78902,,,,,,,99.80532
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,85.34620182,,,,,,,,,,,,,,,,93.49841007,,,,,,,,,,,97.04517982,,,,98.40523501
Spain,,,,,,,98.64133357,,,,,,,,,,99.54004999,,,,,,,,,,,,,,99.5716902,,99.5800084,99.52782032,99.63875348,99.50677069,
Sri Lanka,,,,,,,91.87976546,,,,,,,,,,,,,,,,,,,,95.06528849,,,,,97.0270818,,97.33250608,,97.68653757,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,85.69495806,,,,,,,,,,,89.94864
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.61588309,,,,99.37585629,,97.97273475,
Swaziland,,76.08308145,,,,,,,,,,83.08649289,,,,,,,,,,,,,,90.69414591,,,,,,,,,,,92.19499
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,,,,,,,88.83198414,,,,,,,,,,,,,,,,,,,,,97.14406544,,94.60731035,,,,,,,96.36927
Tajikistan,,,,,,,,,,,,,,,99.73645323,,,,,,,,,,,99.84442804,,,,,,,,,,,99.85713
Tanzania,,,,,,,,,,,,,,86.20431785,,,,,,,,,,,,,,80.91718018,,,,,,,,76.49114214,
