,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Tunisia,,,,,,4411,4461,4090,,1788,,1866,2040,,,,,,
Turkey,6023,6408,6691,6410,6022,6257,6281,6351,6369,,7419,8148,7798,11952,12786,21183,22040,19721,28080
Uganda,28,1553,,1592,1606,1645,1675,1679,,,,,,,,,,,
Ukraine,,,,,,,,,226,2168,6693,7396,11988,18823,19587,16270,15005,22742,
USSR,10045,10281,10135,9794,9608,9437,9369,6956,,,,,,,,,,,
United Kingdom,222558,,,,,,,,,,,,,,,,312802,324589,326094
Tanzania,,2406,,,2074,,,,,,,,,,,,,,
United States,1192322,1139204,1140396,1151713,1141062,1151178,1154204,,1160613,1131239,1129871,1110357,1127625,1113452,1173145,1242853,1295176,1387548,1474028
Uruguay,1604,2672,2315,2227,2316,2040,,,,,,,1325,367,386,356,396,,553
Uzbekistan,,,,,,,,,,17,,,421,1644,,727,2586,2482,881
Venezuela,,11000,,,,,,,,,,,,,,,,,
Vietnam,,23,23,,49,82,95,117,68,83,102,248,225,363,,,,,
Yugoslavia,,,5980,4473,5488,4532,7498,10900,,,,,,,,,,,
Zambia,,559,617,688,745,857,903,878,892,925,,1068,1297,,,1346,,1364,
Zimbabwe,2503,2538,2594,2529,2423,794,,1549,1616,1494,,,1656,,,,,419,
