General government expenditure on health as percentage of total government expenditure,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Guinea,6.41732168,6.42162374,6.42162374,6.42162374,6.42162374,6.42162374,6.39066674,6.05310341,6.81137244,5.00488869,3.53916181,4.04060368,2.91874494,4.40732276,1.83725124,1.83725124
Guinea-Bissau,9.1782964,6.14579465,5.06020368,8.90140883,4.64623453,2.25332722,2.20292536,7.67473981,6.90590182,3.4374051,4.04034919,4.13912735,4.13912735,4.14155432,4.13068815,4.13912735
Guyana,9.62790961,9.33184024,9.5591113,10,10,9.98526622,10.00135429,10.74152521,9.91981011,12.51395005,11.18047354,11.33837612,10.01529695,18.15050756,17.28677545,14.9329346
Haiti,23.58086092,20.30654736,20.20325701,16.8217421,14.86231802,16.00599457,14.69321225,10.81268611,8.20512096,8.56398814,8.19331442,7.31847552,9.21973275,9.45835734,5.95890002,4.50551439
Holy See,,,,,,,,,,,,,,,,
Honduras,13.3554606,12.18681626,11.87085879,14.3394125,12.28554222,18.09626226,17.15291792,19.19236449,23.43960255,20.87638082,18.76119823,17.23460659,16.92941769,15.45363056,17.68728427,
"Hong Kong, China",,,,,,,,,,,,,,,,
Hungary,11.01654953,11.24888449,11.11550868,10.48046077,10.76805812,10.62900704,10.44167146,10.34789191,12.26640914,11.88879452,11.99666268,11.30684788,10.49869776,10.50262049,10.27725045,10.27725045
Iceland,16.65764065,16.45909765,20.11220688,17.88553656,20.07998002,18.94803877,18.2487199,19.35174194,19.00369506,18.54229062,18.57430061,18.32823993,18.2658055,13.36050367,15.71265195,14.74415874
India,3.58292867,3.4974945,3.6204417,3.60587056,3.6978693,3.55729902,3.39535656,3.08554803,2.91373431,2.96390594,3.40301077,3.4313443,3.42701377,3.61595049,3.74607189,3.56295016
Indonesia,4.75431066,4.70756741,3.88700115,3.92654343,3.74361644,4.46983893,4.64634291,4.73398984,5.43016998,5.02439678,4.96700131,5.18455464,6.49194648,5.7332595,6.83671205,7.75238566
Iran,6.87048949,6.88459349,8.46278475,9.0166177,8.3850678,8.40687225,9.76100451,9.56639959,9.28844829,9.26894819,8.88931141,8.58266985,10.53158945,10.53158945,10.53158945,10.53158945
Iraq,,0.13,0.13,0.1,0.1,0.1,0.15,0.1,4.40982535,3.40729175,3.34021518,3.09446051,4.51547635,4.96765224,7.02640692,8.9785986
Ireland,11.65185843,11.83249528,12.85656362,13.24507505,13.33519189,14.66235462,15.35000769,16.04958483,16.86201729,17.33168153,17.23187279,16.75948638,16.05428345,15.84373226,14.46596562,9.51465927
Isle of Man,,,,,,,,,,,,,,,,
Israel,9.6947642,9.97724377,10.21752481,9.6863851,9.57699969,9.69556497,9.73827623,9.62702367,9.39682601,9.72529597,9.95335644,9.77643351,9.82125002,10.20382809,10.40087723,10.40087723
Italy,9.78548316,9.92790479,10.79822456,11.04883072,11.44616836,12.67138181,12.77711569,13.11617322,12.86837879,13.76972383,14.14876259,14.17950579,13.88292634,14.3565501,14.23065942,14.71134512
Jamaica,5.4122351,5.94568611,7.71517272,7.36107882,5.61822636,6.5861599,4.26073921,5.86782627,4.4945304,5.1677114,3.52444677,4.4965148,5.53711929,6.44701905,5.38595975,6.27573646
Japan,15.60675625,15.79640723,15.90087504,15.76466302,15.78820677,15.94740284,16.74229429,16.71088561,17.01118429,17.63052153,17.5844264,17.7783775,18.08978962,18.40479857,18.40479857,18.40479857
Jersey,,,,,,,,,,,,,,,,
