Germany,1109326,1182414,1326230,1219224,896085,806423,842151,863798,814568,779471,726341,670159,628026
Ghana,255586,303686,358571,415520,446484,476486,517540,588985,634925,666265,708256,758605,775237
Greece,151964,158068,153142,157334,141615,147579,134540,106875,104235,101761,100256,103475,88067
Grenada,3196,4059,3771,2729,2818,2759,2987,2929,2245,1858,1686,1753,1262
Guadeloupe,8709,9866,10660,10310,9532,6555,6959,7044,7012,7258,6889,6655,5895
Guam,2185,2301,2592,2682,3325,2957,3064,3310,3733,3578,3380,3247,3230
Guatemala,162856,176369,199157,213286,231140,253218,276445,298617,339924,376172,409852,427317,399473
Guinea,130982,143282,157425,172302,189297,209402,232390,274764,328193,355549,374943,407232,491901
Guinea-Bissau,32233,25668,26776,21732,35345,34521,34806,39353,46422,53106,57911,62136,69497
Guyana,19966,23564,25144,27891,26436,23811,22553,19131,18336,18074,16237,13907,10391
Haiti,148793,159363,172433,179598,181265,198179,226856,230350,229337,230124,231338,242435,275349
Honduras,81404,93419,107125,125456,141317,140913,160565,178306,194301,201387,205674,211976,186890
"Hong Kong, China",84531,103604,113369,89325,82146,80370,83694,72269,73291,65275,57515,57307,45278
Hungary,202071,176097,135260,148000,163751,173441,134260,125519,120436,99650,94965,97899,84073
Iceland,4214,4776,4772,4446,4428,4286,4312,4353,4546,4247,4199,4486,3775
India,16445947,17628314,18788288,20098400,21652560,23447880,24905904,26163305,27312714,27049425,26674979,25845208,21087066
Indonesia,3572865,4135618,4445406,4696278,4864091,4961416,4973407,4719477,4573201,4432946,4441375,4241369,3827886
Iran,833253,932905,1069116,1219336,1338651,1603247,2038832,2068166,1751608,1322276,1339259,1330347,1058065
Iraq,295983,270962,319640,405588,452360,510632,572960,655898,697943,805134,842022,891366,956708
Ireland,63043,60053,62130,62269,68102,70555,73584,57003,50813,52440,59680,65022,55941
Israel,54181,56491,61370,70048,87609,92957,93617,96964,108836,121024,128808,130190,117962
Italy,874592,873944,944045,953812,893243,751368,614777,559681,552703,529405,532309,538309,442989
Jamaica,50336,61378,67235,70627,66182,62768,67162,62618,60117,59095,56439,54521,47225
Japan,2081898,1667063,1656646,1814696,2069560,1748515,1528683,1373020,1230598,1192773,1135262,1045018,809364
Jordan,29556,36364,51164,72583,83713,90311,103093,113160,137058,151618,151604,161414,152937
Kazakhstan,241061,310664,372153,330626,355824,364128,384350,398686,339562,247277,251874,303359,215074
Kenya,340522,394971,456655,532791,634138,753065,888100,989232,1021964,1101042,1247430,1425587,1390163
"Korea, Dem. Rep.",204201,351686,367313,480018,457585,315283,386670,388178,441567,389213,339648,324293,316925
"Korea, Rep.",753101,1055389,1086602,1015372,1034490,854769,814004,651018,710151,637299,499857,467121,397204
Kuwait,7610,10404,17539,31401,39673,48665,54177,55485,30714,37744,40517,46511,58178
Kyrgyzstan,64685,77432,91514,88889,98312,104535,125627,140890,129596,114236,105046,119887,100283
Laos,92061,96539,105041,116394,130049,135531,148337,168687,182653,190646,172062,184380,202999
Latvia,32370,34086,34355,32648,34940,34888,38830,41240,29111,19380,20370,22775,16520
Lebanon,60636,67264,73533,78067,89399,93440,90244,82405,80850,78569,65697,62861,60949
Lesotho,32059,34969,38579,43372,48906,54184,58982,62411,64503,68150,63818,58304,38779
Liberia,42343,54358,61413,65940,68324,84338,96847,111458,90679,107151,115395,128487,138805
Libya,50488,60364,73432,90769,113306,132286,159037,116711,109524,115821,132148,144554,119549
Lithuania,56003,58094,58924,54471,54038,52464,55846,58489,49717,38797,32878,33755,29323
Luxembourg,4432,4903,5172,4852,4117,4042,4250,4510,5226,5581,5425,5535,7397
"Macao, China",7425,5717,6545,5049,5202,4250,7091,7320,6501,4594,3307,3816,3320
"Macedonia, FYR",48535,45507,41365,39744,36932,37668,36849,33684,31448,27534,24230,22505,20255
Madagascar,237147,257652,280865,309871,349755,386484,398222,489284,561586,625337,666642,715045,954902
Malawi,155435,175344,203677,237857,275599,331351,352113,425142,500180,503131,529568,552100,645464
Malaysia,313147,361725,395158,400572,406402,385616,481515,543531,521210,513368,521531,518677,493943
Maldives,3491,3752,3861,4256,5088,6086,7073,8434,8776,7247,6413,7136,8402
Mali,176622,207919,230110,257996,279886,308249,335335,366394,395180,423862,469540,528897,717070
Malta,9302,8609,7406,5300,5629,6069,6062,5501,5254,4733,3937,3648,3546
Martinique,9185,10509,10729,10017,8569,5862,5729,6567,6428,6173,6125,5590,5154
Mauritania,50223,54867,57468,59913,62855,65977,70045,76993,86174,94088,104148,113728,137760
Mauritius,25361,28041,30381,25872,22493,24783,21996,20763,23077,21050,19341,17792,17492
Mayotte,957,1108,1316,1590,1940,2086,2580,3296,4277,5279,5450,5493,7025
Mexico,1489222,1691371,1896684,2162338,2442271,2378602,2322302,2368974,2439561,2311178,2212099,2099159,1793464
"Micronesia, Fed. Sts.",1614,1758,1958,2243,2505,2773,3337,3598,3791,3376,3087,2744,1724
Moldova,73787,80045,78200,67419,69427,77369,88187,90941,68992,56229,51152,55270,46184
Mongolia,35536,39274,44610,50004,56376,61563,67796,73117,68360,54912,49947,55289,49919
Montenegro,6747,6681,6385,5677,5283,5198,5004,4710,8581,9481,9310,8190,0
Morocco,514371,591437,670607,729616,775126,739076,774132,756326,718956,680805,662464,703830,642856
Mozambique,323316,352374,386663,426094,476462,537996,585905,545871,594429,739575,818742,798208,668728
Myanmar,966414,976427,1003099,1052459,1143551,1140040,1181043,1114490,1031727,972081,989652,993997,755209
Namibia,21577,23997,26968,30777,37654,43736,46779,52166,58420,59355,59711,57377,40953
Nepal,407650,434472,466677,504209,548818,605732,661756,718828,786091,821760,795411,756014,791116
Netherlands,231899,239399,248892,242151,207489,176439,175092,186450,194985,195189,200536,187410,192022
Netherlands Antilles,4898,4640,4128,3460,3370,3671,3619,3597,3828,3363,3192,3017,2237
New Caledonia,2127,2539,3195,3458,4663,3920,3750,3982,4271,4253,3876,3700,3491
New Zealand,52700,59890,65694,62243,62240,54357,51741,55664,57992,55726,55611,57458,55079
Nicaragua,65961,75961,79657,89199,104041,117971,130693,131172,146632,142118,137933,143636,133257
Niger,182017,207513,238482,267527,294346,330858,373422,421578,476896,536646,598506,717428,991703
Nigeria,1623903,1818258,2031770,2278465,2644156,3131608,3588211,3928005,4329963,4732155,5130799,5549860,6064100
Norway,62916,63907,63798,67214,62498,52438,50780,56060,60411,59301,56332,57145,56689
Oman,26618,29160,32513,36782,42420,50939,62734,68549,67826,69496,67236,73000,97089
Pakistan,1577085,1840656,2180215,2649560,3107067,3400019,3964637,4592664,4630885,4733076,4953924,5218027,5029297
Panama,38385,43921,50505,56344,58986,57968,59308,62647,63392,67227,68941,68551,65559
Papua New Guinea,64413,70951,79775,90356,103042,113200,120876,134458,151632,172824,180826,187606,192952
Paraguay,70676,77411,84990,92662,95902,110268,129059,139638,147392,154922,162483,169533,187048
Peru,387534,439653,500921,543604,581402,622926,624688,645318,651391,639019,626229,619806,534411
Philippines,1114894,1231164,1361197,1510849,1649602,1819834,1950295,2086713,2178261,2212515,2231767,2313607,2232382
Poland,790309,779290,600058,531458,592728,676576,703598,606172,507390,407994,361786,376999,284263
Portugal,206667,214747,219502,203995,177814,177876,146277,120833,111580,112279,111811,105413,90115
Puerto Rico,79697,76994,78069,71652,69896,74330,67945,65226,63181,59197,53414,52195,44478
Qatar,1439,1772,2372,3475,4450,6038,8140,11001,11809,13835,12831,11327,10559
Reunion,10468,13031,14765,14950,14419,12575,12347,13208,13585,13978,15049,14998,14495
Romania,420164,413481,306466,430904,405075,417425,354259,366124,259561,236011,224586,223470,172302
Russia,2838696,2916942,2604836,1858141,2030761,2175347,2383561,2369825,1611986,1321720,1424752,1535891,1168655
Rwanda,133959,152505,165274,186905,216219,257864,315744,332517,303159,290095,330063,372474,396047
Saint Lucia,3108,4065,4122,4293,4137,4023,3970,3550,3619,3283,2922,3120,2902
Saint Vincent and the Grenadines,3555,3878,3814,3725,3435,3135,2969,2727,2619,2446,2178,2099,1559
Samoa,4529,5010,5688,5660,5631,5338,5908,6261,5514,5776,5211,4192,3724
Sao Tome and Principe,2490,2979,3351,3566,3434,3834,4235,4429,4783,5409,6133,6671,8144
Saudi Arabia,199997,220296,247691,277773,317346,399647,484724,576589,604320,643341,666927,663736,614016
Senegal,125467,150512,172911,207003,238920,267436,297949,332116,371772,405096,441034,486571,469492
Serbia,187460,167682,156180,149770,155433,161141,158216,148322,135861,125892,124297,117967,0
Sierra Leone,98555,106911,116633,125653,134924,144964,154448,168410,178873,199359,233305,254237,303028
Singapore,52916,63106,61066,49998,46494,40463,44776,48720,59561,54484,43503,37745,42066
Slovak Republic,98642,94764,87821,80533,91167,100592,92583,85139,72933,58333,52328,55514,44519
Slovenia,32923,28835,28391,29029,28429,29294,27480,24762,20229,18417,17831,19330,15487
Solomon Islands,4731,5319,5965,6756,8512,9697,10489,12576,14377,15914,17072,17895,18555
Somalia,137394,147672,160341,177926,197884,235356,262604,312321,276025,314197,366390,414958,579023
South Africa,632560,703882,784835,823824,925410,995009,1090066,1144813,1117421,1092552,1076506,968242,667871
Spain,585300,640961,674799,677749,678271,645068,509415,421001,387479,372485,414119,446049,350125
Sri Lanka,307912,359819,374963,393847,388825,401106,398453,364432,358792,336448,371336,375471,291851
Sudan,405561,466362,531493,603244,693855,796990,948118,1054971,1165584,1259976,1315586,1370693,1459848
Suriname,9900,11779,14030,14469,13275,10798,10976,9802,9146,10011,9162,8423,6240
Swaziland,14280,15931,18159,21139,24334,27540,32078,37676,39683,36937,36233,33880,21389
Sweden,111086,107284,111936,116705,110904,97158,94035,109424,119175,92063,97220,106012,100731
Switzerland,84585,90983,109296,108414,91206,73204,74853,79155,84995,79367,73698,73465,77615
Syria,181637,206521,240658,278192,325057,385015,450069,471011,451991,464140,519037,557494,475831
Tajikistan,75295,90136,113352,111751,128706,140059,166634,202417,211137,202303,201835,215359,224524
Tanzania,418135,479032,549329,632834,728922,836522,941000,1067410,1190297,1318174,1478681,1618369,1698020
Thailand,958670,1131798,1295148,1386180,1377087,1300884,1223323,1117635,1081544,1002560,966718,954696,857420
Timor-Leste,21701,23232,25039,25907,28631,15123,27076,30669,35367,43198,39934,44520,0
Togo,58388,64871,74110,85681,102211,113516,126644,142855,152796,170983,183325,193676,231209
Tonga,2293,2702,3139,3290,2932,2999,3120,2844,2799,2768,3091,3352,3366
Trinidad and Tobago,25911,29967,34366,27785,26589,30959,32133,29582,21326,17041,15845,15530,9494
Tunisia,172306,187141,203413,204577,201313,224950,233017,239584,208165,171687,161179,167015,148614
Turkey,1159585,1278264,1336517,1373560,1446035,1450330,1556867,1444083,1475102,1449648,1341075,1324697,1123833
Turkmenistan,55410,64001,78639,77968,88306,96617,108787,124531,128051,106528,111452,115179,109431
Uganda,306751,343069,389747,449133,504244,572022,653032,784501,933928,1054717,1210609,1400292,2209552
Ukraine,978179,962179,823160,717886,759362,742163,767143,750312,590631,430472,402320,456116,363094
United Arab Emirates,3704,4434,5396,7372,12914,23759,38821,54601,48510,41775,41032,37631,34638
United Kingdom,805289,849675,985359,958957,815832,694786,761222,780572,765259,717933,698300,743211,727437
United States,3889268,4242637,4120177,3546475,3332481,3351017,3639494,3891920,4085489,3999530,4121413,4311576,4313348
Uruguay,48481,53957,57651,56826,59868,58391,54526,55848,57594,55606,53886,52246,45800
Uzbekistan,292210,364036,429005,436792,459750,529922,619106,709860,719315,612744,562113,575545,569984
Vanuatu,2816,3097,3361,3566,3979,4486,4942,5409,6021,6207,6391,6547,5800
Venezuela,263320,312694,379895,402322,416863,476058,515136,556134,557778,557494,563804,566784,506774
Vietnam,1139809,1355129,1604693,1720322,1779607,1897004,2000910,2140421,2033303,1641682,1564985,1490850,1308204
Virgin Islands (U.S.),998,1125,1650,2538,3481,3435,3095,2471,2497,1932,1615,1465,1158
West Bank and Gaza,48591,50341,60715,52525,52379,61952,65770,79283,101050,123054,137181,148769,177514
"Yemen, Rep.",277230,306790,340946,380032,427082,485367,554592,618639,675223,701210,746441,853074,1112689
Zambia,128011,147256,170499,197415,224960,255289,285748,331622,378388,434196,481451,517539,526955
Zimbabwe,154226,180958,212745,245594,285723,322323,356586,378721,389593,369185,363210,371834,273744
