"Residential electricity consumption, per person (kWh)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
China,,,,,,,,,,,,5.754181725,6.183032168,6.613885026,6.556408463,7.474105206,7.633386742,8.28169458,9.383960697,10.17618549,10.72311281,11.87502478,12.04878329,13.41994766,15.34768529,11.65722047,13.85714189,14.97453625,17.64975464,20.12609109,42.36195369,47.24602861,54.94692567,62.55920337,72.75554541,83.47568831,93.07576257,101.8942395,106.6672902,118.2250468,132.4403099,144.6366365,156.3402261,173.7381906,190.2345427,216.8014817,248.1008711,274.7712547,331.376632
Colombia,,,,,,,,,,,,153.488479,158.7482368,141.9028289,132.1370545,170.1380213,184.1887329,188.6416761,216.108226,239.6818897,257.8445726,256.4584782,285.1621249,290.5832889,303.8656062,314.123381,325.3152217,340.8091875,348.3443408,371.9254171,382.4955997,387.9140573,350.3860631,378.6726611,396.0672495,403.2601147,398.9247761,391.1975602,315.5763521,297.1871324,280.5044644,358.6821342,351.2854272,363.9936294,373.3054419,378.4704597,387.8381654,398.4206957,404.5913654
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,28.56267037,30.21592569,29.29408505,31.67046532,29.85641065,31.87830263,31.00423066,33.84402386,43.1149637,49.61812527,49.43737274,48.20260729,46.14250516,41.76448225,24.50264324,29.12214755,31.41752561,35.16988398,23.62393052,22.74733818,21.37248435,21.17580821,20.76997823,21.15441989,23.68662757,22.74910086,22.17812066,23.16391671,25.44619822,25.71042989,41.99569806,31.81354291,30.70924355
"Congo, Rep.",,,,,,,,,,,,28.34035078,29.09977038,31.24529316,33.23543136,35.77875647,38.81831547,37.74831481,37.96289795,38.74052027,40.0309796,24.95521345,58.0472803,39.3932561,78.06496385,46.88977374,119.4401116,83.82905826,68.58643435,65.58258731,62.26720451,72.78224262,68.50340359,57.49655987,54.89846779,56.26776977,59.72302297,47.84957373,36.1366707,22.55702872,37.71947819,40.76808063,42.66575743,42.49754438,44.26794707,49.69984751,51.86879341,56.05372295,56.37245031
Costa Rica,,,,,,,,,,,,368.0023588,394.1201856,404.625227,429.515937,446.4596049,474.0774994,466.7759978,486.319982,457.2197809,527.6872148,557.5212671,599.8521346,595.0509491,614.7124458,644.6408816,680.2269022,720.178212,724.9327176,496.1159889,515.7551116,520.8886147,523.8531383,552.4558469,579.3617789,580.8150102,591.9850266,602.4209667,634.4700965,652.9257737,677.6480842,691.8712863,716.9601406,734.4577541,740.1799213,761.8074769,781.6857129,794.7952337,798.3405996
Cote d'Ivoire,,,,,,,,,,,,13.4821588,15.81391427,19.52527793,19.63588631,23.95594119,26.22373635,30.97248985,35.71931886,47.89220784,54.6928451,55.19512218,60.28150607,60.90665353,47.73371524,47.27523254,46.82155307,46.37907953,45.95144265,45.54713158,44.66038095,43.90345418,43.77345216,43.46449537,42.92980201,42.90029892,46.04362532,63.39183317,57.67757666,59.21824278,60.34477071,58.02570724,56.18530331,55.50535277,59.73479926,55.79670876,61.35398315,69.3497172,70.38744444
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990.5634371,982.6372488,900.9160944,924.3614071,933.1818034,1027.831355,1097.412347,1167.695599,1191.790873,1302.75286,1299.082309,1252.503457,1328.954506,1266.186026,1350.515872,1408.869037,1450.842661,1422.814743,1494.410268
Cuba,,,,,,,,,,,,117.557959,125.9377572,129.5593697,133.7526759,141.1437605,148.7385799,165.7880656,183.0301241,203.4320273,219.3501029,210.2937415,227.7403418,237.155344,248.9854592,266.1547559,285.3244477,284.4306595,296.549107,311.5726751,313.5761015,304.9647023,279.9092981,272.8517133,302.9699544,300.5092063,306.1855624,331.0254013,343.6972063,360.1741283,381.4137016,401.3314312,435.9028392,454.6927902,443.0105377,448.2297714,491.5308263,537.1034915,528.7873497
Cyprus,,,,,,,,,,,,248.5119716,284.2600032,310.8305095,276.3100671,222.808321,233.9211493,262.4135361,286.241198,289.2604528,299.5629133,310.7858229,330.0289604,360.9386515,365.7479606,392.4698285,415.4593846,473.2425842,545.1007126,606.7461306,659.1054217,680.3298429,830.0835731,905.8693946,928.9571959,1035.391496,1115.750945,1121.579556,1207.44679,1263.342798,1391.404776,1366.110001,1508.128693,1678.508845,1696.341125,1837.196914,1912.875286,2039.79347,2123.762863
Czech Rep.,,,,,,,,,,,,329.227965,367.5313577,395.9518406,423.9032215,459.1536622,498.4497973,524.7002735,575.35675,573.5134697,600.1823083,618.295323,644.3503074,679.2797205,729.2840916,776.6552145,806.3467088,846.7719792,860.266077,895.5163019,933.5776779,958.2363647,1002.826733,1104.064755,1276.492013,1438.38793,1552.964136,1505.313231,1409.841899,1366.724975,1346.087211,1387.754394,1377.060798,1415.519295,1417.856932,1437.501323,1485.106001,1432.105083,1438.780412
Denmark,,,,,,,,,,,,,,1314.490385,1241.577521,1298.688363,1321.060459,1356.26449,1424.560489,1501.208255,1452.527812,1439.660901,1450.099867,1572.346541,1655.742175,1786.898051,1871.43071,1943.972507,1938.543434,1929.39167,1881.312418,1966.65348,1974.484944,1991.729174,2003.58672,1967.822781,2014.016767,1952.974113,1935.75304,1933.381964,1914.191942,1897.154355,1896.263508,1902.778008,1908.943553,1923.828486,1940.113894,1892.947269,1884.299342
Dominican Rep.,,,,,,,,,,,,169.3738737,224.6017825,235.2310729,222.1149584,246.4542273,231.5130831,254.439696,243.99988,284.4674494,265.4573725,269.275563,200.7616579,201.9924931,219.8802573,264.5603374,257.115405,278.0241062,275.5008276,241.3302253,351.5923348,377.2667908,404.9057804,381.8493722,395.8724108,374.1832785,458.1262232,454.3908111,470.4632509,473.8960645,510.476771,333.3591246,366.5263097,505.4984002,509.2846635,466.0715822,453.9152333,468.3436217,457.6448423
Ecuador,,,,,,,,,,,,49.70835439,54.1483216,54.90568485,59.92702801,80.05284866,84.84865794,96.18613669,106.8364063,114.7725427,130.6971063,137.1072578,144.5421111,155.6108214,151.5144538,153.9729458,152.5903403,174.2558206,172.1750536,171.3048944,181.2686639,191.5584915,198.7631343,200.4099285,216.5798059,224.9923273,247.9470034,272.8034081,280.2818921,238.4709185,223.4671997,228.1182638,239.5713211,254.7482416,267.4415303,276.9963273,287.5584591,298.3304744,314.8261997
Egypt,,,,,,,,,,,,59.39521743,58.76242124,57.92970454,65.0376503,72.2679297,79.98897739,90.44048191,91.46968097,97.57506462,106.9756016,115.0761004,120.0693887,144.7608617,159.9252843,176.846592,190.0583882,205.0594857,211.813395,223.6264311,235.4094736,243.3220039,242.7619806,250.0904125,257.2640083,265.8180658,264.4473935,270.9672212,294.4061729,315.9977405,334.0822224,357.1219664,378.1342438,399.2083564,411.4253422,437.4655993,463.9875269,501.8187019,536.7604507
El Salvador,,,,,,,,,,,,69.2784506,68.06991369,80.72213454,84.61199416,90.16210292,96.07124473,104.6285212,114.8906517,122.4695262,84.11134075,84.84185268,89.40410152,96.67415812,100.5056377,102.2832195,107.5752791,114.0184305,120.0930797,123.6384967,127.6729392,136.3635287,142.2151502,156.2809773,166.8519927,180.5140114,186.4969556,198.7064824,203.4195509,227.224502,214.9830388,214.2213669,216.1341024,204.3524746,265.5489841,228.9771619,232.5121065,234.0584072,256.0991513
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.815202102,8.281519936,8.38813073,9.330574054,10.69925924,12.07613793,13.62763244,14.13133523,14.00432587,15.82686326,17.67076456,19.01846584,20.20384647,20.9904151,19.64007475,20.38444254,20.28813109
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.0819437,724.6998006,804.7421527,734.3288236,865.5525081,737.7707709,864.4059259,852.7371474,963.0762214,980.9242342,1062.637112,1157.156914,1164.811039,1180.32202,1206.182204,1215.620159,1265.015294,1347.597058,1411.230532
Ethiopia,,,,,,,,,,,,3.189978678,2.827904063,2.703603799,2.702402814,2.69942917,2.779523389,2.831423222,3.152515352,3.533583909,4.190955287,4.237565469,4.461368823,4.617647856,4.892023768,5.308331268,5.209496023,4.652050848,5.740134087,5.626430117,6.412305776,7.261396361,7.77661943,8.177910552,8.754213071,9.3609985,9.575573875,9.50701723,8.400361444,7.883430533,8.039777121,5.958046074,8.699547383,9.250806991,9.968631377,10.52845754,13.06769515,14.60166654,15.05623591
Finland,160.9915884,164.1181582,193.7365341,218.6846001,238.1410271,267.3731937,297.5953558,325.5217442,379.4072542,441.4927121,580.6129118,799.3417957,930.6241948,1076.47166,1095.159032,1173.525761,1370.212804,1436.456183,1553.558182,1627.471156,1685.82301,1756.370927,1861.558286,1945.657888,2131.979734,2485.869517,2547.543451,2796.277297,2694.640751,2719.917295,2928.272309,3119.960684,3146.147899,3221.408181,3339.738496,3185.31408,3366.613018,3393.797834,3525.417815,3577.544393,3510.483096,3740.797605,3840.831844,3921.422891,3905.958126,3940.257026,4041.732303,4103.280044,4036.953993
France,165.4118577,178.0831003,199.1488189,224.8563973,264.9835594,257.5571696,282.1380221,310.4313038,343.1346093,379.3306746,417.012454,457.1944962,514.4744027,578.5307901,629.4677969,723.5027974,814.2364076,894.1510059,1009.74232,1085.773843,1142.757982,1188.362103,1239.605444,1370.77296,1453.129306,1555.039635,1617.772073,1677.181801,1635.059585,1657.788494,1708.384038,1872.498259,1910.488806,1933.634635,1921.033963,1872.091189,2064.291454,2031.703692,2092.354834,2147.567039,2168.063994,2244.640726,2219.80579,2352.579515,2434.694116,2383.500303,2416.88268,2386.573184,2539.753273
Gabon,,,,,,,,,,,,165.4519734,,156.9967643,147.4065142,135.9473361,139.6218963,155.7544449,151.489841,156.3987977,231.2953573,369.6728437,378.1153084,485.5629333,385.2452763,468.5021439,442.4699349,444.1977653,437.1372331,217.8441018,249.646792,241.7570071,235.398782,230.1612419,368.2820475,377.2734497,402.078197,413.8593788,423.8190117,436.1420345,416.1061738,425.9021784,438.0055938,440.9623567,439.513453,450.4840326,474.5026549,494.9796786,537.1047381
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.9081522,495.0933036,504.0784578,562.4516076,566.8093381,919.7833532,464.1562024,531.069824,608.5457446,573.8555718,557.538793,542.851802,526.9163009,568.9932818,601.101981,633.1578114,582.9678859,601.9159437,617.9255518
Germany,168.6541584,189.8099062,217.8069265,260.1346874,282.2495585,315.8204918,350.6908764,385.7915291,432.1500954,485.6605441,744.3181316,828.8038849,920.3724416,995.1858282,1059.34085,1131.461504,1224.195751,1287.898165,1391.238735,1431.163701,1469.218166,1488.01368,1510.626089,1559.05452,1635.350633,1707.408504,1729.65079,1799.797177,1745.514722,1733.431029,1726.858016,1527.500688,1523.926948,1554.44552,1529.898605,1557.784749,1638.466899,1595.340012,1590.997849,1599.817067,1588.110606,1628.867556,1657.844051,1688.444957,1703.681385,1714.461372,1717.077438,1700.528207,1693.891898
Ghana,,,,,,,,,,,,18.09381943,19.88786545,22.38754614,30.39314995,40.03392883,47.91257789,51.53662432,52.71196213,54.43043379,54.02388243,57.09418729,53.07815435,48.15467064,42.48738099,40.76432742,44.21465495,49.13328046,49.36360688,53.69577244,58.77884986,64.85743372,75.51084243,81.45660741,85.5751447,92.04169293,105.7764875,80.26077342,64.94449972,82.89406709,81.91641156,85.26882742,88.674519,89.74180231,93.67193585,90.51012139,93.94998262,91.60784053,97.24649212
Gibraltar,,,,,,,,,,,,895.8975278,866.0166938,849.5107699,866.0766859,851.1011267,875.6963901,899.815917,931.8447205,922.832929,923.7799747,942.8988923,956.3909569,974.0883478,993.2978648,1003.585021,1037.048876,1028.043524,1120.806836,1141.876492,1137.46907,1140.968612,1205.506044,,,,,,,,,,,,,,,,
Greece,66.53930246,75.15001459,84.76670565,97.66340375,112.5880305,128.2052149,146.4218808,162.3661194,173.814697,202.1391593,226.3621192,259.4726576,301.2255502,343.8820726,335.0293076,369.2683016,409.0320829,445.9103362,506.8802759,537.1579863,586.6751513,606.9329112,645.189725,687.9935503,732.4951541,774.5830223,784.5558029,856.4385126,878.4755662,911.6598525,895.9515314,977.0675805,1027.938903,1009.62069,1048.336546,1100.646618,1169.454563,1183.088558,1215.610154,1279.941956,1345.715431,1374.908818,1487.933171,1547.811505,1582.999526,1582.065753,1654.106076,1677.540237,1690.718434
Guatemala,,,,,,,,,,,,31.70005733,40.01045522,42.25808649,44.76251605,52.26036177,56.39316251,63.65736758,68.53717498,63.45645878,72.73463003,70.40056349,70.21682305,71.49658963,72.85904683,72.28878741,76.44113659,71.94453324,66.95868213,76.3485667,80.12921604,82.17000694,90.03677529,94.97806344,99.33976718,103.0800495,104.2785225,107.629881,111.8687189,124.947476,130.4615513,130.4578899,126.3349474,175.4845273,183.3373823,184.4861026,184.7643442,185.5112636,187.3248822
Haiti,,,,,,,,,,,,10.1026459,10.00541685,9.911272127,12.11828324,16.77897861,14.17732685,19.15368966,18.9908848,18.82551151,23.06704243,24.08109759,25.39700396,24.35479341,24.24266051,25.01366715,22.36392007,24.15220936,24.83243757,26.48375073,25.30612865,20.3989837,17.23172115,15.98798355,9.913117253,16.18128647,17.07551686,11.71824006,16.48273212,17.86119937,15.8795626,15.56459392,12.22673595,11.96958728,13.22253334,13.17707965,13.12145002,10.1161192,9.192394708
Honduras,,,,,,,,,,,,47.62958694,49.92220956,52.96935316,64.74572348,68.25279786,74.82155394,87.07935069,91.244941,105.2438931,62.03459791,67.76059634,71.9583763,74.31178723,74.0160385,80.96609014,80.46898349,85.09828112,89.74252518,93.68884573,104.7708612,109.5283685,110.7076511,120.4893742,113.0884848,141.3838738,152.1193242,167.7205746,184.0035758,189.9750569,209.5638108,219.4452152,224.2318275,225.0874103,236.6468355,246.0018761,246.6834432,275.7130791,278.739635
"Hong Kong, China",,,,,,,,,,,,261.5851581,289.9178123,313.8769311,322.5416103,347.8946312,365.2715803,420.6966075,438.0006256,425.660312,461.6580079,467.9238531,486.7435008,555.1877533,556.6128902,586.4110223,643.9634109,697.4113969,775.6698654,838.0299506,929.8505562,994.2679485,1034.888571,1128.012862,1182.784054,1207.860902,1269.088411,1237.769168,1392.245503,1322.043381,1345.095138,1357.534594,1372.081743,1402.215248,1383.447677,1442.273302,1418.3226,1449.745551,1468.640784
Hungary,,,,,,97.62482254,110.5794035,124.0512462,138.865949,155.5194882,175.8079091,197.3366089,222.9552406,244.6252555,274.2280766,302.5662687,339.3841452,375.0732239,428.6231362,468.1989046,468.7560836,503.4584658,551.1225567,598.360376,656.6552623,694.669044,710.2501363,766.6695217,787.9799722,832.4285295,886.1128158,942.5958652,1016.157467,941.4017488,954.6247225,950.746062,978.7044803,954.8132866,977.1493078,966.7832575,966.0973446,1002.211432,1035.560356,1100.146339,1099.837851,1110.940742,1147.447944,1130.163011,1154.179932
Iceland,961.1646764,1034.254493,1082.297243,1153.964665,1122.803963,1222.345128,1293.622719,1248.488192,1167.941067,1187.87394,1332.893819,1446.216447,1515.025971,1671.958995,1932.320039,2169.806771,2294.480609,2394.231347,2697.422211,2848.80881,2844.994631,2933.765419,2872.34862,2274.27753,1962.791339,1872.724697,1843.960839,2154.256486,2249.439382,2231.890989,2257.795846,2013.359213,2092.943802,2139.934244,2090.012515,2089.884834,2093.313532,2131.714947,2055.11438,2095.73204,2156.641795,2135.125767,2211.973267,2103.008823,2286.390127,2325.709972,2662.576523,2739.529429,2826.044873
India,,,,,,,,,,,,7.414691805,7.601015203,8.010062241,8.725010354,9.591511993,10.22280752,10.76061164,11.69346247,12.65589211,13.61953502,15.08797546,17.08217028,18.30896584,20.98618549,22.86239264,25.06676802,28.07611878,30.57568897,35.98822854,38.12605097,41.89305341,45.55521681,48.65522101,52.77932236,55.81694923,58.61818458,62.93729122,66.65096937,71.12366009,75.0644667,77.87135955,80.61517794,85.50266018,89.83180849,92.66992165,101.3573544,108.9158545,110.7054664
Indonesia,,,,,,,,,,,,7.866717187,8.164263452,8.523232452,8.979532865,9.656603299,10.41471181,11.42644842,13.38219731,16.11608294,15.67682384,18.68001066,22.00039871,26.15029146,28.12195431,30.0476957,33.03422928,36.66271001,40.94901575,40.60171079,48.13751473,55.17212886,61.34230965,68.11069125,76.65792432,93.05672049,99.26000711,114.0120278,123.3727339,131.8766679,148.2001374,159.8194145,161.0921962,166.7129868,186.7473194,188.5492556,198.0256016,211.7385539,221.9614614
Iran,,,,,,,,,,,,33.03352955,39.79288038,45.19564765,49.99048501,60.94748554,76.21859748,91.27736366,103.6207689,123.7965534,138.4415345,140.6258304,170.6722424,197.5903107,215.997223,233.650869,247.0146489,263.4523093,262.5083798,287.939789,304.1448908,323.643078,323.0656701,364.7989243,369.2447904,379.3432095,384.2857902,418.894953,447.159055,458.4240543,476.2639391,495.2425525,522.394649,565.5276418,601.0277811,649.8874748,700.1856554,731.2243253,753.2098022
