"Residential electricity consumption, per person (kWh)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Togo,,,,,,,,,,,,28.36775913,27.23760681,24.24213247,31.58602997,32.22513053,30.15511571,45.49065184,51.63438265,32.64052315,27.00601884,28.56767129,31.76657283,28.85263848,33.49856317,33.699177,33.18410183,35.19679393,35.19023784,37.22108922,38.81076679,36.69130978,38.43199015,30.06435029,34.66948594,33.29245487,30.54952799,37.49902451,35.47392832,42.99737261,45.21518235,47.08493275,53.45141157,53.38700923,60.90163872,58.89958705,60.92611209,58.59080791,66.23852193
Trinidad and Tobago,,,,,,,,,,,,166.4184358,183.5853195,202.1107327,214.0305858,233.4244352,261.4324901,299.3775607,355.3367181,387.7580713,437.4875494,525.5811391,569.7505103,650.4503889,713.7771399,680.0194624,699.0734073,715.2922098,713.5844532,695.7828982,712.8361014,702.9007805,765.5544582,797.1258227,779.071322,868.4808377,886.3794954,885.845316,970.7275257,1023.843039,1110.015149,1157.639723,1199.128161,1381.582881,1339.469953,1482.966553,1584.009487,2176.222232,2261.316713
Tunisia,,,,,,,,,,,,28.09516544,31.30567755,35.02151501,38.70082573,44.88913153,49.50292646,56.12943149,62.91586338,68.95621782,76.52874984,84.33620504,86.2928606,93.75015343,90.34923927,105.1486567,110.5609255,118.5977639,117.4359121,125.3176454,133.4428017,142.4083335,155.8403192,171.6813205,183.6886813,195.1840435,201.8982754,217.9846526,220.3817266,218.6703052,229.1338917,249.4406676,257.2471262,277.1651152,274.9443604,283.4270757,291.7474354,297.732929,325.8395608
Turkey,16.30509306,17.26112967,18.86961346,19.99755418,22.80462188,24.13525668,24.76135664,28.64814518,31.06098246,36.34175876,41.3963473,41.01343566,41.08177875,36.13314311,37.84251212,46.69010588,55.83725992,63.0713904,68.13841739,72.39687213,77.561339,79.30519817,81.27594639,83.10715053,86.88986044,98.28289339,109.3664752,123.0523386,141.0765431,150.2150196,161.5706563,189.6362553,197.39147,212.1386278,223.3854422,236.882648,264.5020834,293.7037844,313.353775,348.4759562,363.8420723,354.3364949,350.0760051,369.9857813,400.9638619,444.1619296,489.5649223,512.7074136,550.6966103
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.1619964,273.9385595,277.5661518,325.9568391,263.8057028,256.2627237,235.6831478,191.9695294,253.1359718,228.0557249,271.3917545,281.5912604,278.7898433,276.2486159,299.4471465,316.2876132,330.6219532,353.8228891,351.1665941
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.1332244,386.5544464,638.1053617,670.5954654,673.6419355,701.8223706,647.5553986,621.9710972,620.230672,642.6852782,614.7709201,445.2620578,452.8178309,484.7908871,512.2492497,554.6911903,592.6460809,608.4964371,673.584861
United Arab Emirates,,,,,,,,,,,,308.9375156,609.6391883,810.1893253,913.6240518,1152.20393,1428.295768,1901.838894,2126.905755,2484.497625,2774.708708,2885.949184,3259.883104,3391.244504,3366.50871,3363.193542,3290.710894,3379.554602,3550.827444,3539.804078,3678.142683,3641.381098,3831.606022,4360.692359,4668.202206,4852.989519,5033.954086,5209.728382,5380.288188,5545.582724,5705.59719,5860.342053,6010.102924,6639.910561,6919.465584,7358.499586,8222.516835,9340.331345,11154.75503
United Kingdom,643.1501921,724.2767663,857.4687353,975.5228819,970.262223,1053.639483,1094.756251,1134.75907,1207.429237,1301.779508,1388.174043,1443.2633,1549.682413,1624.540719,1647.742471,1587.299805,1514.648277,1529.351935,1527.897954,1595.079693,1529.32662,1497.877067,1469.690037,1471.515994,1486.181198,1558.521847,1617.052402,1636.857389,1616.117327,1609.898973,1631.666148,1701.457704,1719.477874,1731.508101,1742.327196,1749.706865,1834.438843,1776.515599,1853.620483,1860.713069,1879.326166,1931.538792,1912.034184,1926.658044,1917.130203,1932.97832,1921.656302,1893.366766,1933.945615
United States,1112.719695,1165.209618,1249.300089,1326.582788,1417.741298,1497.930449,1613.029406,1711.326946,1903.624007,2107.1797,2273.003336,2383.047659,2676.559371,2734.061641,2704.125586,2723.70095,2781.944006,2930.249152,3030.695707,3034.555586,3151.254973,3141.30899,3142.504488,3205.548733,3290.880468,3329.489096,3398.327919,3499.808754,3641.663673,3661.687477,3694.788011,3769.69324,3643.941783,3823.014793,3828.879799,3911.689786,4014.893474,3942.522074,4085.0255,4100.07434,4224.220526,4220.219903,4398.732662,4394.993537,4409.873625,4596.938617,4529.366648,4624.068036,4542.848695
Uruguay,,,,,,,,,,,,320.6474214,300.8112242,307.3822975,292.490169,306.1971597,326.2233045,348.0678749,370.3735774,364.5930665,398.7222362,440.5270317,460.4760262,470.7212345,461.2720658,469.4572495,479.4433709,517.9653896,558.5814063,504.9440463,512.6968021,565.7159255,605.6476914,679.0968345,691.8609087,720.71919,740.341002,754.3871256,789.5229223,841.7989101,871.1278941,864.7416036,831.8265699,771.9615473,772.9595965,789.0949144,792.699156,846.2736607,823.8231975
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.7719657,197.4131963,286.5728461,321.1108763,306.569217,295.627015,306.8635758,299.716047,293.8289313,286.7120376,291.7450359,286.1966736,288.8237448,284.6367253,283.1210868,274.2643424,279.0615603,263.6538007,261.4339532
Venezuela,,,,,,,,,,,,187.8079786,198.2007927,211.6745692,224.0528715,242.3318288,272.1782734,303.9744933,349.2166379,386.2035914,430.1320757,463.2168139,479.2560941,503.3727427,488.7692931,458.6203143,442.9982749,474.6199575,525.326859,513.9720197,491.6740413,539.0565068,597.9197667,649.3974239,603.0907722,574.9808363,582.2993288,604.057921,632.718568,648.3283237,644.8608319,667.1404564,683.6385779,673.94835,679.529779,736.0454972,797.8759271,826.6497998,969.0043388
Vietnam,,,,,,,,,,,,,,,,,,,,,17.3911311,17.39754694,18.34957926,19.03318712,21.10585677,23.45118442,25.76968463,28.51221438,30.48296526,38.87232195,34.24973408,34.85499776,36.33730235,43.25355492,54.65635741,69.21183614,83.78745116,97.08647252,116.8159599,126.1597372,140.9555751,160.1799222,180.0019098,195.5461714,220.4653094,233.0564369,256.5063446,275.4348754,302.7256547
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,10.73278478,12.46212356,14.91319288,15.70290143,17.79528006,22.86954712,26.22468393,26.56605825,32.96234023,41.22082108,48.81646059,55.74490197,62.0997596,67.85151345,73.23431946,77.20439169,74.45570053,78.04773855,80.91982619,81.59049887,84.80172154,88.52112522,94.4491528,100.8456424,104.5388586,96.50957302,115.6984064,122.7499652,130.0578314
Zambia,,,,,,,,,,,,77.93246505,81.23069426,85.30611955,88.6323398,86.73848079,88.23297602,82.25306381,79.69831796,78.10530388,76.68346674,79.5444622,76.89395478,74.17593923,70.25136779,66.83134112,70.92907486,73.71652243,93.05551442,63.98113233,73.04542331,73.39658188,73.39204595,86.12928099,93.31058298,111.4413989,114.4533748,119.6886934,109.604388,110.4309937,113.0028925,117.3350874,122.9008671,127.6247766,132.5325653,136.3260741,144.2616221,168.8533143,168.6230305
Zimbabwe,,,,,,,,,,,,114.5488669,118.7697059,121.9823361,125.9028681,129.3241647,131.0188445,127.8438935,129.0273928,129.2497661,129.4520478,133.4161567,129.4015235,116.9404574,112.3803616,142.7764008,144.0003001,140.9694981,142.598348,146.6698468,150.131427,148.069609,146.882756,143.0383961,145.5516006,150.4951551,162.6286991,174.6047751,181.9276123,191.4644376,197.1196673,198.362141,208.5636625,227.287581,238.7144841,284.6546365,282.8044412,299.2949655,297.8832004
