GINI index,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,22.76,,,,,21.6,,28.76,,,30.28,,30.35,30.66,29.97,,26.22,27.92,28.63,28.74,27.22,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,32.97,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,59.94,61.3,59.54,56.89,57.28,55.01,53.13,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,38.62,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,46.83,,,,38.06,,,
Bolivia,,,,,,,,,,,,,,42.04,,53.55,,,,58.26,,57.89,62.78,58.54,59.94,,,57.79,56.38,57.44,56.29,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,28.03,,,35.78,,,36.21,,,
Botswana,,,,,,,,,54.21,,,,,,,,60.96,,,,,,,,,,,,,,,,
Brazil,,,,57.93,58.42,58.99,58.38,55.59,58.46,59.69,61.43,63.3,61.04,,53.99,60.8,,60.24,60.55,60.53,60.35,59.78,,60.13,59.42,58.78,57.68,57.42,56.77,55.89,55.07,54.69,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,23.43,,,30.71,,24.32,31.03,,26.38,,,,34.34,,29.22,,,,28.19,,,
Burkina Faso,,,,,,,,,,,,,,,,,50.71,,,,46.85,,,,,39.6,,,,,,39.79,
Burundi,,,,,,,,,,,,,,,33.33,,,,,,42.39,,,,,,,,33.27,,,,
Cambodia,,,,,,,,,,,,,,,,,38.28,,,,,,,,,,41.85,,,44.37,37.85,,
Cameroon,,,,,,,,,,,,,,,,,,,40.68,,,,,40.41,,,,,,38.91,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,32.56,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,50.52,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,61.33,,,,,,,,,,,43.57,,,,,56.3,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,39.78,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,56.21,,,55.25,,54.77,,55.05,,54.88,,55.54,,55.26,,,54.64,,,51.84,,,52.06,
China,,,,29.11,,,27.69,,,29.85,,,32.43,,,35.5,,,35.7,,,39.23,,,42.59,,,42.48,,,,,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,59.13,,,,,,,,53.11,53.59,,51.32,51.45,,,,56.94,,,58.74,58.68,58.01,60.68,57.86,58.29,56.12,58.66,58.88,57.23,56.67,55.91
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.43,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,47.32,,,,,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,47.49,,,,,34.42,,,46.69,45.3,46.65,45.7,46,46.75,45.71,46.54,45.62,45.67,47.67,46.53,50.9,50.72,49.74,48.69,47.63,49.14,49.25,48.87,50.73,
Cote d'Ivoire,,,,,,,,41.21,38.62,40.43,36.89,,,,,36.91,,36.68,,,43.75,,,,48.39,,,,,,41.5,,
Croatia,,,,,,,,,,,22.78,,,,,,,,,,26.82,27.71,31.33,31.1,,,28.99,,,,33.65,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,19.4,,,,,26.6,,,25.82,,,,,,,,,,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,24.7,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,39.96,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,47.78,,,50.46,,,51.36,,,,47.43,48.92,,,52.01,50.43,50.12,52.09,51.95,51.06,51.9,48.69,49,48.86,47.2
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,50.49,,,,,,,54.32,51.21,,,51.67,60.13,56.59,,,55.06,,54.14,53.2,54.31,50.62,49.43,49.26
Egypt,,,,,,,,,,,,,,32,,,,,30.13,,,,32.76,,,,,32.14,,,30.77,,
El Salvador,,,,,,,,,,,,,,53.97,,,,49.88,51.2,,54.52,52.24,,53.6,53.1,50.72,49,50.33,46.19,46.97,46.75,48.33,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,22.97,,,,,39.5,,30.06,,,37.64,,37,36.9,36.81,35.78,36,,,,,,
Ethiopia,,,,,32.42,,,,,,,,,,,,,39.96,,,,,30,,,,,29.83,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,46.81,,,,,,42.83,
Finland,,,,,,,,,,,,,,,,,,,,,,,26.88,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,32.74,,,,,,,,,,,,,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.45,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,50.23,,,,,47.28,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,37.13,41.88,37.26,41.06,41.09,41.04,40.31,40.37,,41.05,41.11,39.37,41.34,,
Germany,,,,,,,,,,,,,,,,,,,,,,,28.31,,,,,,,,,,
Ghana,,,,,,,,,,,35.35,35.99,,,38.13,,,,,,40.75,,,,,,,,42.76,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,34.27,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,58.26,,59.6,,,,,,,,,55.8,,54.28,,59.19,56.08,54.5,,55.89,,,,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,46.84,,,44.87,,,,,,,,,40.3,,,,39.35,,,
Guinea-Bissau,,,,,,,,,,,,,,,,47.84,,,,,,,,,35.52,,,,,,,,
Guyana,,,,,,,,,,,,,,,,51.55,,,,,44.54,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,59.21,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,55.09,,,59.49,57.36,51.85,51.83,53.47,55.01,55.49,55.72,52.73,57.43,55.36,,54.38,58.89,58.71,58.49,59.65,57.56,56.16,61.33,56.95,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,43.44,,,,,,,,,,,,,,
Hungary,,,,,,,,,,20.96,,25.05,,,,27.94,,,,,24.93,27.77,27.32,26.92,26.82,,30.04,,,31.18,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,35.09,,,,,31.11,,,,,31.88,,,,,,30.82,,,,,,,,,,,33.38,,,,,
Indonesia,,,,,,,30.47,,,29.27,,,29.19,,,29.31,,,31.33,,,28.99,,,29.74,,,34.01,,,,,
Iran,,,,,,,,,47.42,,,,43.6,,,,43,,,,44.1,,,,,,,38.28,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.86,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,34.28,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,39.2,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,36.03,,,,,,,,,,
Jamaica,,,,,,,,,,,43.16,,42.2,,,35.67,,,40.47,,,44.22,,,48.34,,45.51,,,,,,
Japan,,,,,,,,,,,,,,,,24.85,,,,,,,,,,,,,,,,,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,36.06,,,,,43.36,,,,,36.42,,,,,,38.87,,,37.72,,33.82,,35.43
Kazakhstan,,,,,,,,,,,25.74,,,,,32.67,,,35.32,,,,,41.11,34.95,33.85,32.25,,30.76,30.88,29.33,29.04,
Kenya,,,,,,,,,,,,,,,57.46,,42.07,,,42.51,,,,,,,,47.68,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,31.59,,,,,,,,,,,,
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,26.01,,,,,53.7,,,,,35.98,,,,31.67,,34.78,39.49,38.69,33.43,37.29,36.19,
Lao,,,,,,,,,,,,,,,30.43,,,,,34.91,,,,,32.63,,,,,,36.74,,
Latvia,,,,,,,,,,,22.49,,,,,26.99,,30.98,31.65,31.72,33.52,,,,35.91,37.66,35.73,,,36.27,36.61,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,56.02,,,,,,57.94,63.16,,,,,,,,,52.5,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.16,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,22.48,,,,,33.64,,,32.26,,30.21,,31.85,32.4,32.33,,35.81,,,,37.57,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,30.76,,,,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,28.13,,34.44,,38.75,38.95,38.85,39.13,42.78,,44.2,43.17,
Madagascar,,,46.85,,,,,,,,,,,,,46.12,,,,39.16,,41.81,,47.47,,,,47.24,,,,,44.11
Malawi,,,,,,,,,,,,,,,,,,,,,50.31,,,,,,39.02,,,,,,
Malaysia,,,,,,,48.63,,,47.04,,46.17,,,47.65,,,48.52,,49.15,,,,,,,37.91,,,46,,46.21,
Maldives,,,,,,,,,,,,,,,,,,,,,63.27,,,,,,37.37,,,,,,
Mali,,,,,,,,,,,,,,,,,50.56,,,,,,,40.01,,,,,38.99,,,,33.02
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,43.94,,,,,,50.05,,,37.29,,,,39.04,,,,41.26,,,,40.46,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,46.26,,,,,,,,51.06,,51.89,,48.54,,48.99,,51.87,,49.68,,46.05,,48.11,,48.28,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,61.1,,,,,,,,,,
Moldova,,,,,,,,,,,24.14,,,,34.32,,,,,36.9,39.47,39.35,,38.59,36.87,35.55,35.96,36.28,36.13,35.27,35.3,34.02,33.03
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,33.2,,,30.27,,,,32.84,,,,,,36.52,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.12,29.33,30.83,29.99,,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,39.19,,,,,,39.2,,,,,,,,39.46,,40.63,,,,,,40.88,,,
Mozambique,,,,,,,,,,,,,,,,,,,44.49,,,,,,,47.11,,,,,45.66,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,74.33,,,,,,,,,,,63.9,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,30.06,,,,,,,,,,,35.23,,,,,,,43.83,,,,,,,32.82
Netherlands,,,,,,,,,,,,,,,,,,,,,,30.9,,,,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,36.17,,,,,,,,,,,,,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,50.41,,,,,45.24,,,43.06,,,,40.47,,,,,
Niger,,,,,,,,,,,,,,,36.1,,41.53,,,,,,,,,,,43.89,,,34.55,,
Nigeria,,,,,,,,,38.68,,,,,,44.95,,,,46.5,,,,,,,,42.93,,,,,,48.83
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,25.79,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,33.35,,,,33.23,,,,,,28.65,,33.02,,,30.39,,,31.18,32.74,,30.02,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,48.74,,,,,,,,,,58.91,,58.19,,,,57.81,,58.26,57.56,,,57.3,56.64,56.31,55,54,55.06,,,52.03,51.92
Papua New Guinea,,,,,,,,,,,,,,,,,,,50.88,,,,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,40.84,,,,,58.17,,,56.68,56.95,,56.15,56.67,56.88,54,52.45,54.85,53.31,52.05,51.04,52.42
Peru,,,,,,,,,45.72,,,,,,,,44.87,,,34.78,56.17,56.66,50.75,54.06,55.64,55.22,50.34,51.11,50.87,51.65,48.95,49.05,48.14
Philippines,,,,,,,,41.04,,,40.63,,,43.82,,,42.89,,,46.16,,,46.09,,,44.48,,,44.04,,,42.98,
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,25.16,,25.53,,26.89,,,26.7,32.32,,,32.66,,32.85,33.08,32.93,32.84,34.05,,35.88,34.92,34.13,34.02,34.21,34.07,
Portugal,,,,,,,,,,,,,,,,,,,,38.45,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,,,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,23.31,,,25.46,,28.2,,,,29.44,,30.25,30.57,31.46,31.06,31.66,31.57,32.11,32.1,31.15,30,
Russia,,,,,,,,,,,23.8,,,,,48.38,,,46.11,,,37.48,,39.6,35.7,37.26,37.14,37.51,42.13,43.71,42.27,40.11,
Rwanda,,,,,,,,28.9,,,,,,,,,,,,,,,51.51,,,,,,53.09,,,,
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,42.58,,,,,,,,,,,,,,,
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,50.82,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,54.14,,,41.44,,,,,,,41.25,,,,39.19,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,32.74,32.81,32.94,33.4,29.63,29.4,28.16,27.8,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,42.73,,,,,,,65.77,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,42.52,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,42.48,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,19.54,,,,19.49,,,,25.81,,,,,,,,29.08,29.84,27.66,28.13,26.86,26,
Slovenia,,,,,,,,,,23.6,,,,,,29.18,,,,,28.41,,,,29.15,30.82,31.15,,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,59.33,,56.59,,,,,57.77,,,,,,67.4,,,63.14,
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,34.66,,,,,,,,,,
Sri Lanka,,,,,,,,32.47,,,,,,32.48,,,,,35.41,,,,,,41.06,,,,,40.26,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.29,
Suriname,,,,,,,,,,,,,,,,,,,,,,52.88,,,,,,,,,,,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,60.65,,,,,,50.68,,,,,,,,,51.49
Sweden,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,33.68,,,,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,35.78,,,,,,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,29.01,,,,32.62,33.61,,,32.55,,30.83,
Tanzania,,,,,,,,,,,,,,,33.83,,,,,,,,34.62,,,,,,,37.58,,,
Thailand,,,,45.22,,,,,,,43.84,,45.27,,47.86,,43.47,,42.9,,41.46,43.09,42.84,,41.98,,,,42.35,,40.51,40.02,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,39.52,,,,,,31.93,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.41,,,,
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,42.6,,,,40.27,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,,43.43,,,,,40.24,,,,,41.66,,,,,40.81,,,,,41.42,,,,,
Turkey,,,,,,,,,,43.57,,,,,,,41.53,,,,,,,,42.71,43.42,42.67,42.56,40.34,39.26,38.95,,
Turkmenistan,,,,,,,,,,,26.39,,,,,35.38,,,,,40.77,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,44.36,,,42.62,,,,37.13,,,43.07,,,45.77,,,,42.62,,,44.3,
Ukraine,,,,,,,,,,,23.31,,,,25.71,,,39.29,35.12,,,28.96,,,28.28,28.05,28.11,28.21,29.65,29.56,27.51,26.44,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,35.97,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,40.81,,,,,,,,,,
Uruguay,,,,43.65,,,,,,,,42.37,,,40.08,,,42.11,42.66,42.73,43.81,,44.39,46.17,46.66,46.22,47.13,45.87,47.2,47.63,46.27,46.28,45.32
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,24.95,,,,,,,,,,45.28,,,,34.55,36.72,,,,,,,
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,55.61,,,,,,53.45,,43.84,,,42.1,,,47.21,,,48.06,47.76,,47.23,49.01,48.1,47.5,49.46,44.77,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.65,,35.5,
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,35.68,,,,,35.52,,,,37.55,,36.81,,35.75,,35.57,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,33.44,,,,,,,37.69,,,,,
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,52.61,,,49.79,,53.44,,,,,42.08,50.74,,54.63,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,50.1,,,,,,,,,,,,,,,
Åland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.53,
Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
