Hourly compensation (US$),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Greece,3.720000029,3.650000095,4.099999905,3.769999981,3.730000019,3.650000095,4.059999943,4.599999905,5.139999866,5.420000076,6.690000057,6.849999905,7.659999847,7.059999943,7.590000153,9.050000191,9.529999733,9.149999619,8.880000114,8.600000381,7.670000076,7.960000038,6.429999828,11.85999966,14.64999962,15.31000042,16.10000038
"Hong Kong, China",1.5,1.549999952,1.649999976,1.50999999,1.580000043,1.730000019,1.879999995,2.099999905,2.410000086,2.809999943,3.220000029,3.569999933,3.910000086,4.28000021,4.599999905,4.800000191,5.119999886,5.380000114,5.400000095,5.369999886,5.449999809,5.739999771,5.659999847,5.539999962,5.510000229,5.650000095,5.78000021
Hungary,,,,,,,,,,,,,,,2.700000048,2.690000057,2.710000038,2.680000067,2.720000029,2.75999999,2.74000001,3.130000114,3.930000067,4.789999962,5.679999828,6.130000114,6.289999962
Ireland,6.440000057,5.96999979,6.070000172,6,5.900000095,6.21999979,8.390000343,9.720000267,10.43000031,10.01000023,12.10999966,12.36999989,13.60000038,12.38000011,12.89999962,14.14000034,14.48999977,14.25,14.18000031,14.32999992,13.27999973,14.15999985,15.85000038,19.79000092,22.67000008,24.14999962,25.95999908
Israel,3.410000086,3.75,3.980000019,4.380000114,4.179999828,3.650000095,4.670000076,5.690000057,6.880000114,6.900000095,7.690000057,7.900000095,8.119999886,7.869999886,8.199999809,9.409999847,10.10999966,10.80000019,10.85999966,10.56999969,11.40999985,12.18000031,11,11.61999989,12.01000023,12.34000015,12.97999954
Italy,8.090000153,7.519999981,7.380000114,7.639999866,7.300000191,7.559999943,10.36999989,12.89000034,13.85000038,14.34000015,17.68000031,18.73999977,19.63999939,15.97999954,16.09000015,16.53000069,18.06999969,16.95000076,16.72999954,16.31999969,14.47000027,14.56000042,16.09000015,20.29000092,23.56999969,24.22999954,25.06999969
Japan,5.460000038,6.019999981,5.550000191,5.96999979,6.170000076,6.269999981,9.130000114,10.68000031,12.5,12.39000034,12.59000015,14.51000023,16.12999916,18.86000061,20.97999954,23.46999931,20.44000053,18.97999954,17.62000084,20.44000053,21.93000031,19.35000038,18.62999916,20.31999969,21.95000076,21.54000092,20.20000076
"Korea, Rep.",0.9499999881,1.00999999,1.080000043,1.139999986,1.200000048,1.230000019,1.299999952,1.590000033,2.200000048,3.160000086,3.700000048,4.610000134,5.210000038,5.710000038,6.340000153,7.289999962,8.210000038,7.860000134,5.670000076,7.360000134,8.229999542,7.699999809,8.770000458,9.68999958,10.81000042,12.73999977,14.72000027
Luxembourg,11.47999954,9.420000076,8.220000267,7.769999981,7.400000095,7.429999828,10.31999969,12.71000004,13.52999973,13.22999954,15.89999962,16.27000046,18.12999916,18.04000092,19.87999916,23.45000076,22.45000076,19.65999985,19.59000015,19.5,17.40999985,17.06999969,18.52000046,22.82999992,26.18000031,27.26000023,27.73999977
Mexico,2.200000048,2.809999943,1.960000038,1.409999967,1.559999943,1.590000033,1.090000033,1.039999962,1.24000001,1.419999957,1.570000052,1.830000043,2.160000086,2.359999895,2.74000001,1.700000048,1.629999995,1.730000019,1.649999976,1.809999943,2.069999933,2.339999914,2.49000001,2.440000057,2.440000057,2.640000105,2.75
Netherlands,12.05000019,9.890000343,9.770000458,9.479999542,8.68999958,8.729999542,12.21000004,15.14000034,15.78999996,14.93000031,17.97999954,18.05999947,20.01000023,19.79000092,20.84000015,24.03000069,23.10000038,20.72999954,21.29000092,21.36000061,19.35000038,19.87999916,22.14999962,27.52000046,30.81999969,31.79999924,32.34000015
New Zealand,5.440000057,5.809999943,5.739999771,5.300000191,4.730000019,4.550000191,5.590000153,6.869999886,8.300000191,7.920000076,8.479999542,8.520000458,8.050000191,8.050000191,9.090000153,10.35000038,11.31000042,11.31999969,9.380000114,9.449999809,8.380000114,7.96999979,9.100000381,11.68999958,13.64999962,14.97000027,14.47000027
Norway,11.80000019,11.21000004,11.02999973,10.44999981,10.17000008,10.47000027,13.35999966,16.93000031,18.60000038,18.5,21.76000023,21.95000076,23.47999954,20.59000015,21.39999962,24.84000015,25.45999908,24.12000084,24.43000031,24.72999954,22.55999947,23.51000023,27.93000031,32.72999954,36.40999985,39.16999817,41.04999924
Philippines,,,,,,,,,,,,0.6700000167,0.7799999714,0.75,0.8899999857,0.9399999976,1.00999999,0.9599999785,0.7200000286,0.8000000119,0.7699999809,0.75,0.7900000215,0.7900000215,0.8399999738,0.9200000167,1.070000052
Poland,,,,,,,,,,,,,,,,,,2.789999962,3,2.890000105,2.809999943,3.190000057,3.289999962,3.519999981,3.839999914,4.510000229,4.989999771
Portugal,1.99000001,1.970000029,1.820000052,1.570000052,1.399999976,1.480000019,2,2.430000067,2.680000067,2.849999905,3.609999895,4.050000191,4.929999828,4.300000191,4.400000095,5.139999866,5.329999924,5.130000114,5.199999809,5.059999943,4.489999771,4.579999924,5.039999962,6.179999828,6.960000038,7.269999981,7.650000095
Singapore,1.539999962,1.860000014,2.019999981,2.279999971,2.529999971,2.549999952,2.230000019,2.299999952,2.74000001,3.150000095,3.779999971,4.309999943,4.909999847,5.210000038,6.230000019,7.650000095,8.25,8.100000381,7.429999828,7.019999981,7.300000191,7.03000021,6.739999771,7.230000019,7.46999979,7.300000191,8.550000191
Spain,5.860000134,5.519999981,5.260000229,4.539999962,4.449999809,4.639999866,6.210000038,7.579999924,8.489999771,8.899999619,11.30000019,12.18999958,13.39000034,11.48999977,11.39000034,12.69999981,13.32999992,12.07999992,11.94999981,11.92000008,10.65999985,10.88000011,12.05000019,15.14000034,17.25,17.92000008,18.82999992
Sri Lanka,0.2199999988,0.2099999934,0.2399999946,0.25,0.25,0.2800000012,0.2899999917,0.3000000119,0.3100000024,0.3100000024,0.349999994,0.400000006,0.400000006,0.4199999869,0.4499999881,0.4799999893,0.4799999893,0.4600000083,0.4699999988,0.4600000083,0.4799999893,0.4499999881,0.4900000095,0.5099999905,0.5199999809,0.5400000215,
Sweden,12.39999962,11.69999981,9.989999771,8.819999695,9.100000381,9.579999924,12.31000042,15,16.68000031,17.37000084,20.75,22,24.40999985,17.46999931,18.57999992,21.62000084,24.29000092,22.37000084,22.39999962,22.06999969,20.68000031,19.06999969,21.17000008,26.42000008,30.07999992,30.45999908,31.79999924
Switzerland,10.96000004,10.01000023,10.31000042,10.32999992,9.520000458,9.550000191,13.61999989,16.89999962,17.80999947,16.54000092,20.62999916,21.43000031,22.95000076,22.36000061,24.62000084,28.88999939,27.94000053,23.85000038,24.04000092,23.22999954,20.95000076,21.53000069,23.77000046,27.79000092,30.20999908,30.5,30.67000008
Taiwan,1.029999971,1.220000029,1.25,1.309999943,1.460000038,1.50999999,1.730000019,2.25999999,2.799999952,3.5,3.910000086,4.340000153,5.119999886,5.159999847,5.510000229,5.989999771,5.980000019,6.090000153,5.389999866,5.78000021,6.190000057,6.050000191,5.639999866,5.690000057,5.980000019,6.420000076,6.429999828
United Kingdom,7.519999981,7.269999981,6.869999886,6.449999809,5.989999771,6.21999979,7.590000153,9.010000229,10.52000046,10.40999985,12.46000004,13.42000008,13.97999954,12.27000046,12.82999992,13.71000004,14.11999989,15.68999958,16.97999954,17.34000015,16.84000015,16.90999985,18.43000031,21.29000092,24.81999969,25.71999931,27.10000038
United States,9.630000114,10.61999989,11.43000031,11.84000015,12.27000046,12.71000004,12.98999977,13.30000019,13.60999966,14.03999996,14.81000042,15.52000046,15.94999981,16.37000084,16.78000069,17.17000008,17.73999977,18.20000076,18.52000046,18.89999962,19.64999962,20.52000046,21.60000038,22.47999954,23.12999916,23.80999947,23.81999969
