"20-39 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Tajikistan,435000,520000,631000,675000,682000,796000,956000,1265000,1534000,1697000,1809000,1870000,2196000,2582000,2921000,3117000,3163000,3241000,3347000,3428000,3416000
Tanzania,2101000,2401000,2750000,3167000,3679000,4268000,4965000,5821000,6834000,8172000,9439000,10930000,12777000,14792000,16968000,19646000,22938000,26686000,30368000,33607000,36258000
Thailand,5776000,6735000,7849000,8797000,9855000,11435000,13507000,16847000,19647000,21366000,21171000,21942000,21462000,21016000,20512000,19967000,19542000,19113000,18922000,18700000,18353000
Timor-Leste,129000,139000,148000,159000,174000,191000,182000,212000,234000,268000,180000,245000,309000,387000,481000,545000,627000,729000,839000,969000,1072000
Togo,369000,397000,427000,462000,567000,642000,720000,863000,1029000,1201000,1489000,1776000,2090000,2406000,2710000,3008000,3289000,3559000,3790000,3968000,4110000
Tonga,12000,15000,18000,22000,27000,24000,23000,24000,27000,26000,27000,30000,29000,28000,31000,36000,39000,40000,39000,38000,35000
Trinidad and Tobago,184000,191000,217000,231000,242000,281000,331000,390000,398000,420000,433000,457000,481000,472000,439000,381000,338000,328000,327000,323000,307000
Tunisia,1007000,1070000,1138000,1164000,1145000,1376000,1666000,2091000,2508000,2783000,3078000,3407000,3735000,3882000,3765000,3515000,3261000,3138000,3159000,3203000,3156000
Turkey,5811000,6769000,8028000,8832000,9570000,10901000,12626000,14806000,17192000,19901000,22507000,24662000,25865000,26544000,26831000,26495000,26542000,26206000,25667000,25308000,24747000
Turkmenistan,343000,381000,467000,500000,521000,614000,750000,962000,1140000,1316000,1433000,1570000,1777000,1959000,2012000,2031000,1983000,1938000,1965000,1931000,1857000
Uganda,1482000,1695000,1840000,2107000,2416000,2759000,3267000,3841000,4599000,5338000,6253000,7592000,9198000,11062000,13206000,15653000,18513000,21626000,24887000,28014000,30710000
Ukraine,11853000,12003000,14313000,14370000,13572000,14265000,13891000,14844000,14788000,14511000,13744000,13645000,13918000,13263000,11848000,10076000,8760000,8370000,8555000,8613000,8205000
United Arab Emirates,19000,22000,26000,50000,86000,255000,524000,671000,818000,1116000,1560000,2174000,2500000,2407000,2295000,2344000,2511000,2614000,2687000,2738000,2793000
United Kingdom,14835000,13953000,13859000,13832000,14321000,14857000,15648000,16714000,17022000,17134000,16748000,16393000,16359000,16824000,17232000,17198000,17120000,17095000,17425000,17900000,18068000
United States,48828000,48245000,48210000,49597000,54478000,63653000,74156000,81886000,84726000,84870000,84215000,83989000,86481000,90596000,93677000,95683000,97407000,98357000,99910000,100801000,100666000
Uruguay,684000,726000,776000,794000,795000,753000,782000,829000,860000,915000,959000,933000,950000,968000,976000,991000,982000,956000,928000,905000,879000
Uzbekistan,1705000,1987000,2480000,2682000,2763000,3311000,4068000,5311000,6242000,7079000,7734000,8417000,9535000,10582000,11112000,11034000,10523000,10069000,10043000,10127000,10000000
Vanuatu,12000,15000,18000,20000,24000,28000,33000,37000,43000,50000,55000,64000,75000,86000,99000,109000,119000,128000,136000,141000,146000
Venezuela,1453000,1735000,2047000,2355000,2768000,3537000,4497000,5428000,6267000,6968000,7776000,8499000,9307000,10051000,10545000,10915000,11144000,11366000,11517000,11539000,11434000
Vietnam,8525000,8993000,9254000,9367000,9758000,11219000,13264000,16814000,20208000,22628000,25952000,27578000,29119000,30906000,31506000,31743000,30567000,28683000,28039000,27743000,27350000
Virgin Islands (U.S.),8000,8000,8000,15000,22000,25000,29000,31000,28000,31000,27000,25000,26000,25000,26000,26000,24000,21000,20000,18000,16000
West Bank and Gaza,234000,259000,295000,330000,303000,338000,355000,463000,564000,721000,861000,1013000,1223000,1451000,1756000,2085000,2382000,2661000,2876000,3063000,3227000
Western Sahara,4000,6000,11000,19000,27000,20000,52000,62000,75000,88000,111000,165000,199000,228000,249000,240000,233000,236000,249000,260000,264000
"Yemen, Rep.",1180000,1266000,1365000,1486000,1598000,1730000,2097000,2576000,3147000,3887000,4648000,5726000,7106000,8663000,10172000,11490000,12834000,14162000,15495000,16714000,17518000
Zambia,649000,736000,838000,959000,1105000,1282000,1488000,1781000,2126000,2496000,2891000,3215000,3713000,4284000,5004000,5832000,6733000,7668000,8525000,9279000,9885000
Zimbabwe,780000,879000,981000,1127000,1248000,1502000,1784000,2303000,2915000,3283000,3548000,3697000,4137000,5240000,6011000,6193000,6236000,6311000,6588000,6913000,7084000
