Income share held by lowest 20%,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
South Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,6.969745695,,,,,,,
Sri Lanka,,,,,,,,8.29,,,,,,8.72,,,,,8.01,,,,,,6.75,,,,,
Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,2.98,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,2.74,,,,,,4.45,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,9.119416208,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,7.554921007,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,8.03,,,,7.92,7.71,,,
Tanzania,,,,,,,,,,,,,,,7.43,,,,,,,,7.33,,,,,,,
Thailand,,,,5.42,,,,,,,6.12,,,,5.62,,,,5.9,,,5.99,,,6.22,,6.07,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,4.9,,,,5.51,,,,,,,,,,,,,,,
Tunisia,,,,,,,,5.53,,,,,5.86,,,,,5.6,,,,,5.93,,,,,,,
Turkey,,,,,,,,,,5.91,,,,,,,5.8,,,,,,,,5.64,,,5.18,,
Turkmenistan,,,,,,,,,,,10.49,,,,,6.89,,,,,6.04,,,,,,,,,
Uganda,,,,,,,,,,,,4.94,,,6.04,,,,7.32,,,5.99,,,5.78,,,6.08,,
Ukraine,,,,,,,,,,,10.31,,,,9.54,,,,7.16,,,8.8,,,8.92,,,8.97,,
