Urban population growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Aruba,2.130125145,2.208285704,1.386837786,0.8042289938,0.5556374901,0.5487325712,0.58178675,0.5539444563,0.5471201024,0.5455023597,0.5489724435,0.5994815893,0.6573758711,0.6178180587,0.443602947,0.1844945732,-0.1372976455,-0.3988165888,-0.4584018886,-0.243279194,0.1680917408,0.7501352296,1.244128983,1.363198604,0.9691358464,0.2824851169,-0.6428596547,-1.339693987,-1.268615595,-0.1006305545,1.790051645,3.315006295,4.858984121,5.459829679,4.978707346,3.897625859,2.513858119,1.632251977,1.075085131,0.9731130563,1.169475787,2.246902596,2.344734912,2.336472372,2.172113385,1.905456101,1.759767544,1.539159654,1.316356101,1.099634997,0.8940206361,0.8072769965
Australia,2.783581409,2.468421798,2.917040703,2.391958954,2.43425939,2.429405378,2.70870168,1.685991206,2.186085208,2.513176819,2.388584779,3.534048492,1.991665175,1.682100507,2.684269253,1.384001,0.9651749498,1.089175314,1.125373827,1.043116762,1.181403115,1.516865397,1.597499545,1.180462991,1.062087418,1.297162425,1.624946224,1.506942011,1.622160069,1.678518219,1.465927481,1.439780621,1.378321348,1.142995681,1.222897161,1.37213834,1.559493164,1.363797477,1.286708369,1.386381629,1.435555455,1.581437045,1.453100494,1.465993893,1.39081241,1.550715301,1.670994556,1.989046818,2.196432346,2.280765588,1.767557993,1.591706033
Austria,0.596972371,0.6383577817,0.7027005518,0.7320867981,0.7561919007,0.7392932831,0.7773544013,0.8233258523,0.5950973284,0.421117235,0.4249471439,0.4716798408,0.6066181444,0.579462727,0.1956206349,-0.239911001,-0.1613691292,0.05369130793,-0.06566256843,-0.1551675149,0.01539976209,0.3085280976,0.1251982665,-0.1081483199,0.04712920061,0.1003465465,0.1242327744,0.1239311779,0.2021810661,0.5110874017,0.822538444,1.009061496,1.111194547,0.835269069,0.3955095424,0.1637451245,0.1350198337,0.1133166083,0.1097283681,0.1945631533,0.2404666524,0.6056511992,0.7143367438,0.708996848,0.8417849383,0.9021500867,0.7709664134,0.6634363894,0.7090629579,0.6133639323,0.5655528781,0.6636474317
Azerbaijan,4.28278669,2.758918583,2.7727259,2.715176033,2.575285119,2.383548183,2.31569516,2.133903581,1.972053615,1.839644547,1.729638409,2.842729039,2.736807942,2.638915485,2.548879266,2.467954174,2.044474726,1.975252722,1.926979817,1.96549283,1.820869902,1.865678386,1.808530536,1.815502733,1.837008267,1.872117523,1.729758766,1.761383946,1.691116731,1.243373994,1.132484056,0.9765479301,0.9359375763,0.936639604,0.7658038995,0.5623149107,0.6952134502,0.649046106,0.6325111156,0.5599659568,0.5028750994,1.164384641,1.134280147,1.144257074,1.260544511,1.405905358,1.48418284,1.517970596,2.482499362,2.457334998,1.569526925,1.703091024
Bahamas,6.106470262,6.182125629,6.257093897,6.212809923,6.046896518,5.79558895,5.49327981,5.248170307,4.928840305,4.529152666,4.097577495,3.603426664,3.226935498,2.98441741,2.913465649,2.960979839,2.986197882,3.031586028,3.067351215,3.076634596,3.065872472,3.19363384,3.19415254,3.152714763,3.062036475,2.940254095,2.695520345,2.576688675,2.509699717,2.510130184,2.55122689,2.105828875,2.14724248,2.121103362,2.008986856,1.84411748,1.650374853,1.504437468,1.424557403,1.431971819,1.500453764,1.571514189,1.632199435,1.678859231,1.701968315,1.705922364,1.702963282,1.707741188,1.687408411,1.635707605,1.563971086,1.473906979
Bahrain,5.25097546,3.298681243,3.057425638,2.834424386,2.641560926,2.497976761,2.633393712,2.576548723,2.690553521,3.007936386,3.463066204,3.834809115,4.18179776,4.661615074,5.279044175,5.897258078,6.508875638,6.882989638,6.744501877,6.067170643,5.120800232,4.112518707,3.342907115,2.911796095,2.91251769,3.187279688,3.509024318,3.714159426,3.757343384,3.587979207,3.292536415,2.816403728,2.5916783,2.464163436,2.46272081,2.544493765,2.791135949,3.091411958,3.027777543,2.505068847,1.803286579,0.6847998291,-0.05786972721,0.8008748211,3.740772285,7.611059629,11.33180908,13.22622068,12.86533572,10.60581106,7.637323031,4.851975165
Bangladesh,3.856251352,6.918637826,6.710550016,6.580487427,6.544300986,6.54890343,7.571023247,7.503526749,7.195943932,6.593272668,5.83379575,7.177326113,6.32718838,5.83523509,5.812431955,6.116079022,11.77388511,11.40125898,10.99824112,10.46735591,9.863475136,6.263654943,6.086913463,5.94005042,5.83968334,5.766686273,5.329102597,5.254275477,5.148868134,5.006108815,4.841080789,4.241330182,4.10146489,3.985510594,3.901516181,3.838562591,3.790830023,3.719811573,3.644400368,3.561906139,3.472967957,3.518644364,3.435091725,3.323244817,3.175408952,3.00907184,2.994282732,2.836266119,2.738682722,2.720389458,2.7562649,2.967541359
Barbados,0.441147975,0.5191177268,0.5921374952,0.6287483892,0.6064604084,0.5436390913,0.4861703653,0.4384627068,0.4375029384,0.5005255476,0.6053426471,1.095985436,1.196127152,1.230171049,1.173525541,1.056409639,0.8533326466,0.7396057883,0.6784292501,0.6962314389,0.7670009642,-1.470259704,-1.437083812,-1.42912453,-1.461096413,-1.522534147,-1.390216285,-1.442860808,-1.499674503,-1.557990333,-1.618284262,2.001839575,1.948296621,1.906952732,1.881433775,1.865832511,1.913192085,1.898284351,1.873530073,1.835279333,1.787406925,1.722024008,1.677828913,1.639965225,1.612793358,1.592135655,1.512524301,1.494155624,1.47953083,1.466039904,1.454027109,1.37375725
Belarus,3.16156329,4.362562033,4.32790991,4.263978223,4.17138821,4.050911864,4.038929264,3.969614305,3.872002912,3.746985126,3.595372816,3.78952566,3.673954693,3.53243916,3.365425777,3.173158397,2.76706531,2.79781182,2.850460929,2.767676723,2.718626292,2.56335236,2.513999862,2.486478743,2.449895788,2.394439493,2.012148755,1.990035097,1.58456039,1.576939456,1.451952651,0.636893029,0.7999779307,0.8058858671,0.4603780619,0.251131157,0.2668186824,0.173189848,0.1181916181,0.252023355,0.2873997116,0.3304123185,0.2186902435,0.1536630042,0.1621488319,0.1615737378,0.1812614163,0.3053049999,-0.4206941628,-0.382697916,0.4289125881,0.364154696
Belgium,0.666383731,0.478540529,0.5441755448,0.8935144874,1.092172512,1.053620017,0.8269533888,0.7079062319,0.5444233324,0.4339741305,0.2491910753,0.3179136635,0.5270686945,0.4499582452,0.449750332,0.4239125097,0.3692209882,0.3136637971,0.2831230979,0.2793460437,0.299316373,0.1124139031,0.08774195858,0.1068424595,0.1131536131,0.1443104357,0.1287984063,0.1783150087,0.4109025868,0.4561379616,0.3910394766,0.4545660901,0.4886176323,0.4734739803,0.3909639758,0.2921352932,0.2658396466,0.3123887632,0.2838750065,0.2994870062,0.3127664761,0.3797774376,0.4840823442,0.454442136,0.4685760638,0.5858307207,0.69326548,0.7680267379,0.8236614023,0.8382727867,0.9491276817,1.05478931
Belize,2.83419717,2.875725226,2.996029708,2.962054922,2.722054411,2.37090428,2.082793429,1.818304622,1.555277229,1.298579687,1.06737223,1.136086431,0.9069031022,0.8617585658,1.079778366,1.45079468,1.788005506,2.134838736,2.361917873,2.405637204,2.341512546,2.243806122,2.215622467,1.62825564,2.740956407,2.176718317,2.100834552,2.381552607,2.193712935,1.473761378,2.715681658,2.619119979,2.552671504,2.978519738,2.89281909,2.581244413,2.584048853,3.615501358,3.704252123,1.985552495,2.793910532,2.389280441,2.451966821,2.579355861,2.621174559,2.621435988,2.648467699,2.713469224,2.755521358,2.793824333,2.795342676,2.978151747
Benin,7.020827606,8.053916895,7.715600283,7.420577654,7.159347653,6.927871406,8.122108155,7.795617296,7.520363642,7.291720452,7.100173503,8.115586068,7.849017368,7.616506054,7.411049088,7.228246687,7.258482425,7.094880465,6.94656519,6.810759693,6.685519435,5.178218096,5.166927093,5.137623748,5.085919449,5.025410206,5.09192933,5.024451975,5.030246781,5.125869649,5.268009984,4.625829281,4.76350039,4.781308777,4.654338926,4.443539936,3.831685003,3.659258407,3.583418947,3.632019981,3.757238985,4.458308067,4.536992861,4.56552608,4.528607073,4.448144254,4.644698365,4.564802188,4.483342337,4.403201402,4.325560141,4.245375358
Bermuda,1.350920844,2.447285652,2.388821517,2.333085676,2.484599859,2.424361161,1.780462463,1.941808586,1.904819497,1.869213301,1.834913867,-0.7299302482,-0.7352974305,-0.7407441278,-0.7462721202,-0.7518832414,0.3766482795,0.3752349619,0.3738322111,0.3724399091,0.3710579397,0.7380107298,0.7326040092,0.7272759329,0.7220247973,0.7168489479,1.59436504,1.569343455,1.545095116,1.521584724,1.498779097,0.8230499137,0,0,0.4905978769,0.6504087969,0.1619433552,0.1616815227,0.1614205355,0,0.1611603894,0.6420567803,0.4788516732,0.3179652917,0.4750602759,0.4728141196,0.3139720005,0.3129893009,0.3120127336,0.3110422414,-0.2534264438,0.7181832834
Bhutan,7.102415695,8.51421739,8.200827141,7.942444226,7.733975676,7.567584041,8.674688655,8.427353431,8.258606903,8.170344973,8.128357315,9.298802374,9.123890591,8.91207465,8.649760303,8.352735523,9.207003388,8.836325392,8.444231421,8.023103294,7.596554256,8.14840547,7.606792343,7.273999078,7.196431213,7.24882028,8.397544552,8.371378312,7.854237875,6.728236098,5.259057459,4.445290894,3.002660274,2.188113991,2.319789093,3.196763698,5.01821447,5.904843459,6.548236991,6.789883688,6.736358925,7.168460637,7.107766782,6.927861246,6.62371699,6.244199357,4.749591841,4.423461619,4.167905831,4.014457094,3.930383692,3.883458235
Bolivia,3.021590383,3.028693475,3.030580542,3.03556083,3.04481557,3.057161232,3.079044434,3.087388021,3.1020331,3.124632898,3.150191364,3.183555335,3.1989148,3.202304672,3.191117373,3.168629412,4.388588577,4.33288242,4.26363926,4.178432113,4.085957053,4.393031583,4.29581568,4.225101983,4.187281721,4.172663989,4.157163214,4.141581853,4.130778079,4.123566239,4.116172903,3.673014482,3.673761126,3.654841403,3.611809847,3.552080435,3.022936525,2.968860383,2.919138912,2.877012039,2.838923666,2.778220251,2.738187413,2.686001435,2.618590703,2.542833537,2.420434961,2.352724839,2.301222343,2.270770265,2.255564842,2.200376143
Bosnia and Herzegovina,4.428512694,5.307425524,5.136496693,4.95348078,4.748420266,4.533476008,4.832957771,4.608828248,4.429893838,4.306817116,4.223891011,3.951694971,3.899425222,3.82670799,3.721736921,3.597720773,3.572288146,3.456244964,3.376758262,3.345284208,3.345954165,2.059700155,2.007757428,2.051683958,2.223109319,2.434462593,2.629651944,2.884081495,2.487732573,1.255690896,-0.5077794532,-2.663530635,-4.702780753,-5.797256911,-5.160597193,-2.959066802,0.1756705837,2.759673525,4.303692082,4.366272974,3.465027077,2.504802538,1.756212516,1.195323716,0.9683747629,0.9848801445,1.102393075,1.007622758,0.9347939914,0.8806816976,0.8414222053,0.9140628163
Botswana,3.569664374,7.331640186,7.200295224,7.088609217,6.987234177,6.896540145,21.75458595,18.84014742,16.74593754,15.16840934,13.94092025,13.07453273,12.24702515,11.59908302,11.10562375,10.71560745,11.24832497,10.83062161,10.40562794,9.949484025,9.48425496,15.33521852,13.99158946,12.90157371,12.01333038,11.27413161,14.02279966,12.90745155,11.98206496,11.20139667,10.52870355,6.24305389,6.064018334,5.86903442,5.653612877,5.424824467,4.088038834,3.929894313,3.747481178,3.535606337,3.31207179,3.026978156,2.823238465,2.694741755,2.663524,2.698269587,2.604178224,2.643496006,2.642020662,2.580794811,2.478838089,2.219096596
Brazil,4.927170585,5.102284768,5.084676628,5.027300499,4.920501015,4.783163666,4.633457804,4.510441668,4.400987656,4.310365968,4.23486439,4.164213863,4.093525926,4.038418912,4.000969098,3.975257139,3.884329009,3.856945434,3.83148812,3.807206446,3.780552039,3.669333697,3.637427622,3.581543169,3.496511668,3.392343439,3.191775709,3.09507533,3.00128885,2.912985676,2.831028798,2.647443782,2.570997333,2.516545642,2.489366265,2.480028467,2.448261273,2.436203643,2.413265561,2.374570985,2.323586509,1.799484598,1.756530322,1.699252857,1.62470556,1.54016683,1.416063539,1.334558612,1.274442514,1.243230702,1.232382673,1.190111582
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,8.938978072,8.587109766,8.373262986,8.214114384,8.106478118,8.031876543,7.89367681,7.812396151,7.741418948,7.672058153,7.598997163,4.729008668,4.706041781,4.640003886,4.525650933,4.379725604,3.455171114,3.312094117,3.134392804,2.920379828,2.692176514,3.954182294,3.757886656,3.624198882,3.56694854,3.561590938,3.951874315,3.937364531,3.929124961,3.92235137,3.914839926,3.678402706,3.670316561,3.636570993,3.57178631,3.486573609,3.313133981,3.231035676,3.149216286,3.070221289,2.99385264,2.870602698,2.796490498,2.732708537,2.682106673,2.639548082,2.525759977,2.48538043,2.442272554,2.394111304,2.34303587,2.2237728
Bulgaria,3.625321487,5.51834859,5.236536137,4.989370324,4.827429253,4.588524596,3.475431422,3.373090407,3.382053507,3.369154879,3.189449813,2.542255675,2.418556001,2.436550122,2.547865675,2.327948562,1.997596789,2.059434205,1.628773224,1.629311554,1.874787759,1.132002803,1.088217521,1.035721619,1.014014797,0.7725317764,0.5252913933,0.6958921876,0.6581601218,-0.6272135803,-1.263856149,-0.5679801307,-0.6531844416,-0.3787593139,0.07757294918,-0.02997246154,-0.1866857981,-0.2808324232,-0.3404098646,-0.2348204967,-0.1691268787,-1.480767998,-1.541520884,-0.2042678146,-0.1765865995,-0.1662303853,0.1364959598,0.1504733768,0.1813750688,0.1498267216,-0.02375903362,-0.01074948565
Burkina Faso,3.745739202,3.621073854,3.582960143,3.569093088,3.587480697,3.627376481,3.862993036,3.893729739,3.910516648,3.907485544,3.891905198,4.055758339,4.039605322,4.032205759,4.036276799,4.048544923,9.646139021,9.174772248,8.770830914,8.421574186,8.11684053,10.12708289,9.617245148,9.177743653,8.794115988,8.456300021,4.965845422,4.938167824,4.910704286,4.883409636,4.856185275,4.596249652,4.579841578,4.560805925,4.538693752,4.515216489,6.290664498,6.179478956,6.079522267,5.991005271,5.911859741,6.898260266,6.757666502,6.630513305,6.515657542,6.410549759,6.704276045,6.584621585,6.470748008,6.361114088,6.255487707,6.213580046
Burundi,2.806263958,3.449644635,3.39453446,3.368863679,3.381558092,3.411375484,3.464679476,3.507042815,3.420928073,3.171202795,2.830669331,7.813599939,7.119533426,6.670118229,6.523057513,6.596579318,8.407005123,8.337716117,8.290349983,8.229333943,8.149477354,7.020905032,7.028160696,6.978327078,6.863580586,6.696042327,7.140930324,6.903800863,6.60560827,6.238622505,5.83291608,5.113808482,4.790444885,4.458378235,4.116453903,3.79216997,3.705416013,3.421591066,3.356061436,3.570486399,3.975225981,4.648190299,5.008470436,5.270755737,5.392436513,5.403601666,5.695152757,5.672905671,5.542900062,5.292834074,4.971390815,4.920308497
Cambodia,-2.596286535,3.43503196,3.412098199,3.434927118,3.516776596,3.615079123,11.78156922,11.05627091,10.28779599,9.418252687,8.491260463,-14.18650578,-17.43487241,-22.16801492,-29.62744565,-42.98969803,17.02470654,13.26282217,11.00823768,10.30034953,10.71655309,12.48125847,13.13819037,13.325359,12.82308961,11.90175474,6.382605011,6.053569497,5.796004514,5.662942034,5.601638771,5.712593837,5.559144011,5.36414392,5.12073167,4.848857135,4.022318861,3.79001174,3.57066844,3.369364274,3.185542638,2.2780275,2.129139071,2.006385908,1.91425615,1.847653138,1.843554443,1.793714933,1.768107366,1.76929219,1.788755387,2.123117882
Cameroon,5.73051122,6.265616071,6.160388782,6.062451357,5.96788119,5.878372834,6.343177973,6.236565096,6.142282084,6.059648624,5.98757412,9.263792848,8.889649427,8.580398367,8.331565611,8.124748197,6.289527906,6.251075214,6.178446488,6.06272241,5.922124649,5.579411405,5.459411863,5.372797157,5.328773705,5.310128187,4.814963601,4.800603818,4.76478209,4.701818601,4.619623023,4.285462456,4.214111016,4.129825518,4.031484236,3.926801867,3.844813101,3.748353204,3.673569635,3.626008156,3.597631996,3.587787896,3.562029212,3.536469222,3.508978786,3.48039904,3.440914604,3.415070279,3.390887392,3.368542039,3.346629598,3.283855065
Canada,3.287581658,3.104466776,2.951191937,2.942368644,2.953708318,2.866874297,2.617790146,2.54867567,2.357154611,2.098038809,2.130676645,1.485232449,1.584000193,1.682767937,1.781535681,1.880303424,1.336348759,1.188893168,1.017270599,1.011417354,1.306991057,1.423080804,1.387708312,1.184633335,1.143225657,1.110609735,1.064583391,1.371436053,1.350697593,1.843187296,1.553154862,1.645545089,1.511647862,1.377755227,1.243867145,1.109983578,1.540332436,1.518047792,1.324530302,1.28418953,1.337741427,1.17144792,1.058795753,1.157636283,1.163177877,1.146787965,0.9217188776,1.187450986,1.283021416,1.332201323,1.275955062,1.173251713
Cape Verde,4.597450574,3.935189514,4.170567882,4.317442813,4.345411155,4.293431181,4.268867339,4.151190071,4.124259818,4.220869782,4.362902662,4.973505541,5.070865921,4.774030848,3.996722235,2.944928987,1.958324949,0.9424570589,0.4493220276,0.7260355144,1.575097087,7.460061415,7.960840694,8.107533351,7.727847088,7.019850349,9.006620046,8.110368562,7.53478579,7.371756564,7.488784668,4.213556512,4.5612984,4.731295301,4.668309997,4.448910495,4.203537962,3.996878005,3.819253975,3.692826684,3.599525822,3.36090406,3.25790799,3.128879219,2.965471486,2.78392559,2.558562072,2.395896829,2.283016726,2.236153774,2.236030442,2.118966801
Cayman Islands,,2.26046646,1.689168645,1.251344389,1.027086527,1.028138208,0.983539493,0.9964978848,1.420843951,2.349432908,3.507635322,4.696755584,5.607492691,6.157481985,6.343820927,6.255573938,6.182212746,6.099712744,5.775105662,5.224117725,4.556306561,3.856810716,3.322415574,3.183494432,3.488848118,4.077655303,4.69187788,5.126254797,5.345919411,5.297026874,5.103469599,4.925074605,4.805375827,4.641551697,4.432453206,4.219904004,3.899549215,3.642944256,3.727622303,4.214631339,4.871055545,5.578499529,5.973151055,5.808028218,5.012875586,3.891617546,2.725211111,1.784328323,1.120276506,0.8428078486,0.8339855291,0.8835121521
Central African Republic,4.638790227,5.042123077,5.014777881,4.988278202,4.960805392,4.929803246,5.231312348,5.187257958,5.109576911,4.989319886,4.846799748,5.283331561,5.133508015,5.034619025,4.99977203,5.011629662,3.355919172,3.422412234,3.524002149,3.665618009,3.819524208,3.841187429,3.971429332,3.976179539,3.82946932,3.593031247,3.118101485,2.905779906,2.804524163,2.850180434,2.988417295,2.662942018,2.767750374,2.808247642,2.763247462,2.659581917,2.557593076,2.470236277,2.364027319,2.238821276,2.107488976,1.980158503,1.863535368,1.802399038,1.812072115,1.871271862,2.128758232,2.188254206,2.240802681,2.279002567,2.305537021,2.576009881
Chad,5.757230978,7.104367624,6.901836949,6.700341308,6.491970655,6.285544419,9.342782544,8.823597631,8.407098385,8.093871109,7.852127481,9.026902898,8.693187229,8.336757684,7.930197884,7.505089738,6.147295427,5.892387365,5.710750885,5.620243535,5.597619157,3.266123494,3.354540066,3.469979952,3.61259816,3.765438097,3.967818902,4.103813243,4.1748501,4.166990588,4.109790345,3.659675179,3.620980129,3.606811358,3.626468496,3.669537064,3.195495347,3.216279153,3.274099503,3.375764801,3.492514868,3.618511567,3.697842807,3.675035006,3.531669198,3.31683864,3.105106465,2.916984398,2.785179169,2.727860596,2.721138165,3.037130936
Channel Islands,0.167642031,0.2144628651,0.2754215077,0.3210382456,0.3491596787,0.3560821043,0.3644032729,0.3577558667,0.3433944583,0.3233029714,0.2927590227,-0.0657272423,-0.0998795238,-0.1858474152,-0.3370214205,-0.5241416797,-0.777728086,-0.9547950891,-1.033653525,-0.9792131259,-0.8271632508,0.3440370388,0.4990200742,0.6299533818,0.7150873203,0.7617709632,0.7783957996,0.8252791846,0.7878151119,0.6450684234,0.4369303324,-0.08098949844,-0.292956217,-0.4169710376,-0.4168270976,-0.3286264535,0.324128916,0.4206931416,0.4818721848,0.489549325,0.4613170774,0.5759456407,0.5505428846,0.551944174,0.5938767379,0.6580617163,0.8986856002,0.9525337972,0.9532075185,0.8804674506,0.759447501,0.7860553421
Chile,3.849295638,3.671020851,3.658453311,3.61023056,3.520907968,3.404622552,3.18855404,3.073045714,2.969537342,2.884312358,2.812241804,2.650909409,2.5876979,2.5161667,2.432597586,2.345684471,2.181445805,2.112752514,2.081614412,2.097646817,2.146583142,1.845372928,1.901784582,1.947758966,1.976357915,1.992452133,1.822856505,1.833831837,1.85472938,1.889421751,1.928312968,2.078713963,2.100990021,2.081203656,2.009122235,1.902307456,1.896904745,1.791235599,1.702541928,1.639479933,1.595379014,1.578126944,1.533583424,1.494117373,1.459508196,1.428826598,1.319532352,1.294082408,1.270072293,1.246894661,1.224275356,1.135129247
