,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Bahrain,,,,,,,,,,,,,,,,,,,,,11834.04794,11683.35573,11544.81095,10784.87831,17751.54285,18689.85985,19705.99138,21461.01631,19649.88013,18995.62363,18494.38026,17413.02926,17761.95719,17623.76997,17160.09614,15659.57832,15594.60307,15566.23635,16443.10574,16659.60378,17191.3688,16362.65497,17099.27646,19595.72483,15801.35223,16906.1956,16865.34494,16889.00142,17048.2884,18054.55524,18652.15053,19093.7379,18882.95044,19560.60039,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,1289.455048,1325.275414,1232.745757,1331.222749,1294.286032,1350.272483,1373.59389,1350.763801,1347.091902,1332.015659,1335.235447,1385.300594,1401.830735,1386.72949,1420.955303,1441.625109,1505.731769,1548.710096,1581.227463,1608.963569,1612.597825,1678.660824,1658.459236,1615.394824,1713.056054,1767.272359,1770.798658,1800.090685,1851.156233,1982.871796,2049.276853,2154.597501,
Barbados,,,,,,,,,,,6961.443435,7327.52374,7777.839152,7467.257442,7624.058694,8093.486238,8287.333822,9163.402547,9376.520082,10597.21354,11616.22507,12031.88107,12280.03706,12120.71302,12397.58904,11529.34546,11298.74158,11769.67755,12405.45908,13401.29768,13484.30428,12886.96658,12657.81572,12863.71666,13580.05188,13446.94775,14361.86791,14819.69412,15028.42847,15170.42128,14576.11872,14334.80508,13739.96872,13273.04827,13587.51728,14020.47893,14237.51766,14539.56611,15050.4672,15537.0871,16085.99973,15497.75569,15450.67166,15707.70911,15940.5791
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7047.316491,7100.043064,8080.286079,8551.204152,9317.01252,10005.06687,10957.20948,11772.82113,12564.18356,
Belgium,6290.079958,6503.801776,6622.231752,6794.607985,7064.582035,7298.114124,7482.130757,7581.532359,7469.401766,7671.391099,8051.344323,8404.111897,8816.529625,9198.375225,9780.807371,10037.98387,10311.59654,10666.21431,11091.05404,11772.84474,12468.60484,12881.61145,13506.32443,14330.34142,14910.61938,14648.82458,15457.02089,15554.45735,16001.28676,16373.70634,17062.17431,16927.47156,17017.11011,17038.04317,17490.82607,17755.81225,18072.4402,18479.07624,19379.82871,20036.53752,20644.90672,20926.87743,21179.3515,20887.794,21493.39857,21936.72401,22093.78101,22786.20997,23163.2195,23793.33378,24661.91379,24821.92398,25105.98472,25262.25225,25883.84738
Belize,,,,,,,,,,,,,,,,,,,,,3440.609855,3626.826708,3735.474791,3857.082633,3967.277042,4029.735281,3930.417432,4067.941323,4879.943214,5142.296134,5897.022759,5233.539621,5465.247553,5154.328243,4664.92989,3927.198165,4186.732623,4342.408732,4454.525386,4758.278197,5169.18939,5028.82671,5416.403546,5658.948452,5924.986314,6036.423841,5933.125773,5888.516606,5929.312239,5950.306882,6014.446555,6288.517432,6831.07461,7146.535962,6822.309867
Benin,,,,,,,,,,896.7060438,958.0128789,947.8187596,883.5183517,911.5694843,967.6612028,1018.401825,1043.742147,1043.858003,1066.293655,1099.904548,1102.284266,1108.247055,1240.646658,1229.503474,1251.853924,1159.487384,1182.686165,1022.432332,988.1633025,1070.344284,1123.750241,1090.113044,1168.869651,1079.186979,1139.696196,1191.981928,1177.079772,1124.474395,1122.680316,1077.430314,1085.578373,1112.944629,1125.066928,1126.114363,1123.977131,1129.702365,1168.070914,1188.383155,1208.684095,1222.064558,1251.473506,1273.867149,1311.525927,1345.421499,
Bermuda,,,,,,,,,,,,,,,,,,,,,21617.67524,22198.76495,22502.03157,22710.27182,22838.16264,24690.36697,26242.02335,26478.12567,27068.01806,28947.78563,29965.77361,28520.02269,29170.94063,29337.01835,29240.02722,30392.18565,31154.58736,32386.97928,32866.09343,32678.21927,31620.34682,31116.27299,30168.62598,30966.07693,31266.96629,32155.92926,33009.23186,33668.73435,34197.92439,36487.54282,34031.56689,33600.49851,33957.43749,35750.17753,
Bhutan,,,,,,,,,,,,,,,,,,,,,229.7316593,235.5427882,237.7434865,252.8791363,255.9483292,266.5686755,274.6138788,288.1888303,277.4418361,334.2936145,403.8953581,410.6729702,417.3262355,448.939468,477.401779,457.6003861,498.0826076,588.6126356,558.0706581,589.3582141,586.2030784,597.9632557,592.569729,598.4547409,616.4254287,659.5550624,686.5608246,787.4263322,789.3483452,813.6213499,828.163126,830.8335591,846.4619176,933.46029,
Bolivia,2855.807538,2995.248709,2965.14668,2555.810206,2508.346648,2584.360189,2423.590443,2400.674021,2383.595754,2384.996867,2405.939677,2456.338779,2424.335966,2565.033899,2615.679321,2752.651565,2860.918812,3004.274451,2562.613371,2589.440612,2538.793799,2580.378305,2653.965662,2783.964932,2847.893459,2952.462977,3107.386199,3193.371962,3130.522125,3137.970314,3078.365463,3050.348285,2914.880408,2680.022766,2635.868943,2562.440744,2444.815828,2503.487145,2524.691648,2556.769844,2582.208648,2617.864974,2602.431149,2650.699559,2713.936528,2763.791697,2798.404063,2845.554395,2878.939431,2915.314016,2929.186347,2955.521976,2971.376575,3005.922433,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640.397638,1443.699454,1077.225723,848.6591838,993.6785145,1661.144179,2209.746495,2795.707025,2958.453855,3061.5558,3037.182029,3365.324309,3490.884576,3492.415585,
Botswana,,,,,,,,,,,,,,,,,,,,,1184.108958,1358.391925,1552.936746,1683.812908,1876.057155,2167.764163,2235.169501,2451.049885,2573.367037,2726.119412,2764.322107,2620.32055,3074.110489,3384.215931,3384.210509,3825.482347,3918.48928,4294.641731,4456.980956,5222.064001,5394.531795,5713.82788,5966.816461,5829.15456,5903.361259,5928.15957,6106.201558,6513.094156,6607.961982,6319.155932,7256.446419,7788.266869,7726.136903,8053.53843,9050.001904
Brazil,1803.065013,1826.89369,1942.769307,2036.33789,2100.314406,2179.869309,2213.885327,2349.510455,2427.551123,2534.220153,2670.007309,2943.116647,2995.90988,3099.79669,3116.672901,3198.156726,3224.795158,3320.67762,3569.280849,3709.181686,3975.750949,4250.076351,4603.879277,5068.851986,5276.862116,5481.901359,5903.092867,5975.799922,6038.386223,6325.714671,6669.414855,6293.290725,6270.183501,5964.556531,6055.773475,6515.006934,6919.12198,7214.947369,7078.873696,7336.617164,6834.025956,6787.520951,6665.429068,6773.74815,6976.585083,6895.109995,6953.959452,7029.998564,6964.300379,7017.695324,7193.597435,7108.208774,6949.558368,7204.395668,
Brunei,,,,,,,,,,,,,,,,,,,,,30936.41096,31193.34451,32528.01489,34241.57301,35586.81652,34683.59685,40130.23273,43225.15065,44754.70227,52917.14857,47123.49196,36018.70021,35268.41465,34916.86078,33995.40947,32394.1582,30482.41693,30079.40949,29451.49704,28259.34272,28167.78494,28456.46263,27338.31006,26704.63993,26444.70065,26245.68154,26757.49627,26861.81047,26745.77142,24971.04593,25111.92367,25317.57293,25593.23422,26239.19368,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8215.492236,7921.555219,7591.360181,7126.079792,7572.870862,6791.596882,6562.48859,6681.055259,6766.463103,7257.503219,7454.433459,7905.320479,8207.210802,8619.093459
Burkina Faso,,,,,,,,,,777.6882437,775.4393791,661.6684006,684.4961672,664.6955464,665.9324217,643.6094563,632.0806638,676.831241,695.5297256,691.3362143,691.2332553,669.3548057,713.6400869,691.7927024,701.0316934,693.6594017,693.736499,727.2945692,703.2420733,716.8583833,748.4729046,794.0543202,804.8214004,767.2151737,741.4148233,785.6727887,812.1790753,865.0638866,886.6345521,876.3582595,829.4350933,866.992386,856.7782517,831.4716533,854.526829,825.0709368,820.2491962,843.830669,837.5410633,910.1543749,933.2079754,945.3586483,987.5582376,1073.262379,1075.346496
Burundi,,,,,,,,,,,663.6035826,556.9105203,596.0366766,637.0491665,610.623532,638.0458496,629.9677126,689.858393,680.6654486,639.8310932,805.9327295,805.7164128,782.2401564,825.7089273,794.2891754,800.7508204,852.4694764,922.0096133,914.0555044,911.3702924,894.7219001,933.1980331,905.5668302,881.2670534,857.5961307,924.1707195,936.6760734,939.6086069,1052.770052,975.7157983,1065.681572,1101.045235,1103.798459,922.6633814,848.2228195,850.0293695,767.7394192,759.1611141,780.1253084,823.5713719,698.8437419,715.2604053,760.5297634,763.7006001,
Cambodia,,,,,,,,,,,,,,,,,,,,,1086.875152,1019.624558,953.016753,763.0629024,713.1677897,693.4034977,684.3134031,577.0368527,571.2775994,493.055698,458.2281667,456.6020805,434.455137,413.5986493,399.5228276,379.6278963,355.9676896,346.8063099,397.7947298,389.7434145,388.4304318,413.0392677,435.7852191,447.3860877,468.5658641,444.4900836,462.9356671,477.3694323,471.5623916,476.7379535,513.9064538,544.3320686,561.517896,580.0330661,
Cameroon,,,,,,,,,,,1932.673353,1917.986487,1926.93332,1945.616105,1983.712534,1981.025274,2003.241807,1797.947106,1852.510158,1966.240864,1948.858829,1894.581478,1896.947052,1942.456412,2010.065824,1988.984055,2008.98816,2055.954399,2068.269137,2216.414153,2371.713294,2603.402233,3088.267835,3273.940781,3302.421842,3536.687072,3505.870612,3103.657896,2974.65858,2702.349942,2695.784512,2537.708792,2393.020673,2286.065765,2151.460982,2128.393405,2150.185067,2281.069999,2353.261841,2395.686165,2471.726881,2516.377934,2618.083036,2712.712376,
Canada,9215.933828,9504.667067,9993.477704,10137.62083,9679.883074,10141.20402,10719.98438,10574.63369,10491.06918,10608.0627,10576.77483,10621.99333,11150.58277,11549.87195,12158.36555,12692.72425,13233.71138,13241.38666,13630.09054,14107.78644,14169.17679,14758.10425,15274.58784,16090.11944,16366.72887,16557.03389,17205.53493,17674.63077,18105.98053,18568.08604,18688.6284,19004.15718,18206.48389,18642.04198,19544.07259,20226.03676,20505.89658,21157.09064,21793.92343,22092.07226,21771.73633,20932.8761,20903.29456,21238.74075,22157.5094,22607.82296,22779.715,23707.99302,24454.71929,25669.13411,26820.73374,26950.81091,27513.10088,27844.62407,28398.72133
Cape Verde,,,,,,,,,,,1372.732417,1495.612187,1403.770984,1325.527113,1434.137115,1374.249097,1641.069395,1961.831447,2055.993408,1958.94839,2098.473402,2091.439306,2155.52336,1997.399399,2079.74153,1848.78075,1889.093023,1898.972092,1899.002158,1921.607789,1929.565582,2054.654503,2108.067437,2371.582841,2492.6207,2719.552703,2764.546307,2751.166599,2932.769618,2966.365863,2861.372257,2943.722594,2966.137334,3174.492336,3110.636664,3489.627704,3522.847142,3890.475573,4175.783033,4486.572768,4983.355543,4810.014456,4939.023748,5119.675927,
Central African Republic,,,,,,,,,,,,,,,,,,,,,1118.202402,980.3592604,941.8898746,962.2027247,981.7368743,991.427694,1021.00952,1089.247385,1218.550933,1152.754545,1070.660333,1061.013307,1061.621772,963.8334387,1026.082245,1022.467267,1033.309606,989.7197475,1011.238401,1019.800033,1005.607937,975.6540123,786.8297406,765.9781287,781.1838767,811.0498436,770.7252819,799.8650548,823.1857093,925.4773011,945.1020937,954.7441879,917.8137434,887.7465606,
Chad,,,,,,,,,,,1125.830047,1141.976346,1283.945991,1152.160218,1139.306418,1164.559923,1068.81872,990.2969123,967.6772638,955.9847974,991.1900414,990.4175503,899.9505365,832.2703218,900.3547123,992.2838165,955.3455663,874.4555095,854.5207483,664.5790951,624.7725023,616.839944,619.3124828,688.6597586,718.4252758,867.2453059,834.6095319,787.1642366,880.8591624,899.1669108,833.551513,873.9911384,901.8839812,876.6279994,859.5196195,899.158729,849.3092488,831.0835951,873.6544414,881.3449188,829.5051264,755.6689121,717.0299835,883.5184561,
Chile,,4291.348154,4436.399656,4836.439346,4431.945032,4583.478003,4508.905841,4728.107496,4863.257358,4665.506402,5021.619743,5062.657543,5187.946275,5329.69867,5348.850016,5294.479206,5767.513266,5795.179451,5939.5397,6098.655889,6164.950957,6634.46766,6526.158548,6118.713465,6128.655712,5212.813986,5246.923079,5648.594451,6017.830395,6443.487682,6674.927882,6936.255752,5900.853672,5616.45875,5807.37035,5795.416369,5981.437699,6201.058144,6516.970303,7041.377376,7143.194365,7551.964291,8313.80197,8745.908011,9120.005173,9910.517176,10517.08736,11048.90166,11247.19798,11137.42589,11430.18773,11660.9583,11784.1017,12141.27924,12681.06225
China,,,334.23247,350.9617251,349.3795368,362.7047695,393.6929317,402.1519868,438.0139284,441.1214534,444.8651034,377.741472,371.6727252,390.4809998,425.6788902,462.3032736,484.8935881,457.499187,432.284926,466.6626481,500.0271403,533.942076,536.3144247,561.9195345,561.4897769,588.9156938,591.6757816,615.990986,667.8202215,723.6089813,751.028049,802.670298,888.5338867,944.4605884,1061.048957,1134.687457,1292.786078,1413.60976,1488.539419,1497.327099,1677.784363,1797.987617,1982.709687,2131.49111,2453.273032,2702.226562,2924.515252,3229.387282,3474.651136,3690.910554,4001.823818,4281.000208,4630.361813,4970.452017,5333.391662
Colombia,2464.958996,2469.2025,2553.987207,2644.565548,2716.295812,2739.311652,2732.105959,2688.611783,2676.562716,2766.046854,2805.795946,2865.617282,2943.675722,2958.285056,3070.838235,3035.661597,3087.428071,3139.130852,3217.72301,3352.533885,3468.5821,3621.6574,3782.442312,3934.744122,4039.50952,4077.341561,4191.438468,4268.295943,4553.392559,4720.43231,4822.59084,4818.166577,4763.46713,4722.815207,4786.819456,4840.111861,4984.01327,5125.381435,5232.758562,5327.170859,5442.257542,5458.703786,5524.009425,5596.231223,5724.84987,5901.038748,6047.601751,6186.143553,6167.066535,6045.013434,6079.677924,6022.101515,6044.553802,6094.796812,
Comoros,,,,,,,,,,,1347.961234,1444.523005,1459.212719,1725.53906,1750.788471,1530.058609,1670.260918,1858.722003,1979.105325,1892.545458,1660.496091,1650.876391,1809.769564,1638.954581,1645.43652,1923.970157,1856.94314,1764.460994,1783.946287,1871.869794,1888.338679,1938.607327,2011.272682,1995.175622,1909.575484,2019.358466,2087.489023,2060.851187,2101.754804,2044.50824,1973.028391,1965.486452,1862.664817,1853.846687,1795.875281,1664.354479,1642.21726,1576.020643,1498.514642,1435.634905,1358.780231,1358.326941,1353.833746,1278.461969,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,1419.181048,1493.052184,1452.781992,1537.349148,1479.129064,1372.498932,1213.785565,1167.691884,1137.426818,1165.550743,1154.015155,1098.534535,931.401329,988.1776091,958.9449112,954.8411032,986.1574527,958.8450445,927.6938624,884.2574329,973.7313246,892.0426606,694.5899254,560.3714768,546.220974,498.0945318,488.3015273,479.7756907,466.2224016,409.1700685,359.147178,348.0943109,338.0589019,435.5084695,419.7909744
"Congo, Rep.",,,,,,,,,,,953.9288899,1014.043612,1061.422505,1015.332425,1026.811847,1044.473695,1029.685619,1038.017622,1102.839913,1172.733157,1234.780337,1406.769059,1392.791281,1461.330416,1386.4801,1513.615845,1586.84152,1586.558407,1672.913354,1889.809623,2089.188414,2555.17349,2812.854735,2829.54433,2902.574634,2807.200793,2534.621323,2439.323964,2422.598677,2402.363463,2645.99784,2368.311711,2511.962829,2106.931171,1955.644183,2160.945221,2193.250012,2238.254247,2548.265716,1512.239364,1286.190218,1405.143263,1477.025829,1421.146651,
Costa Rica,3136.974376,3130.650314,3384.388815,3871.587241,3906.331313,4145.787306,3906.310759,4010.747039,4385.229752,4272.202613,4484.238491,4250.928443,4377.473972,4511.59212,4626.557295,4920.926783,5033.195414,5128.01845,5323.589385,5396.739664,5661.535079,5734.484148,5990.709031,6155.616204,6312.246128,6359.678307,6432.115183,6840.568964,7039.980216,7112.894797,6973.754322,6635.742431,6028.75805,5972.179573,6201.670969,6130.454459,6163.678685,6182.741606,6232.629555,6330.732283,6351.213144,6288.502791,6595.463532,6903.312303,7103.066506,7267.743144,7264.482174,7414.445675,7727.935104,8323.981739,8341.469826,8105.488278,8153.507199,8586.551628,8739.138861
Cote d'Ivoire,,,,,,,,,,,1297.569678,1320.325298,1364.505514,1488.147592,1637.648511,1518.94946,1637.529927,1652.407247,1800.627363,1853.355622,1913.069383,2015.807551,2011.21309,1963.942975,1891.614571,2066.436786,2171.371123,2153.018914,2321.439676,2358.393476,2065.130034,2064.186797,2319.356443,2195.364465,2176.111799,2221.834657,2336.842283,2301.858422,2277.867819,2574.131771,2353.038781,2209.901508,2182.923728,2081.604736,1955.005111,2007.189899,2066.766209,2085.625356,2132.510727,2174.930713,2171.658713,2108.556482,2059.718262,2018.909109,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10722.03457,8420.44495,7354.529984,6654.613953,7042.497658,7418.264768,7735.822912,8159.280996,8531.460282,8611.254985,8979.601282,9214.543778,9502.260228,9778.302739,10131.75126
Cuba,,,,,,,,,,,,,,,,,,,,,2674.664619,2811.554604,2868.037116,2895.98566,2867.051886,3131.903695,3276.83695,3657.511941,3900.02899,3967.35549,3749.064846,4471.050214,5017.282163,5233.938022,5344.932849,6941.282427,7086.160713,7133.982896,7240.3442,7227.085536,6725.649221,6589.14226,5747.78058,4948.185738,5007.973832,4979.136349,5165.058197,5092.580189,5164.368473,5474.786843,5698.617724,5892.47345,6031.048101,6288.175847,
Cyprus,,,,,,,,,,,,,,,,,,,,,5317.650586,5886.375077,6186.20827,6263.440917,5245.597085,4625.576962,5629.977935,6599.288444,7228.930057,7761.766762,8289.168541,8570.467974,8971.359155,9460.128128,9935.847555,10374.21613,10811.49889,11741.19527,12934.07291,13602.33114,14628.06874,14631.78785,15415.86574,15153.7163,15802.50298,17297.93831,17633.15128,18130.88913,18873.66919,19844.4025,20456.78021,21400.7404,21654.35117,22009.95886,22383.39862
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13497.78743,11917.77675,11786.59245,11890.03067,12070.60467,12514.09118,13000.16129,13034.14042,12933.56893,13210.0602,13616.58209,13963.45556,14180.28348,14641.99763,15102.06433
Denmark,8795.877812,8448.876628,8548.446089,9058.756928,9424.415243,9257.467705,9430.46399,9766.559313,9877.23141,10720.76899,11353.75313,12007.41468,12638.44661,12603.82043,13675.98021,14162.38826,14480.65039,14904.01544,15321.43276,16176.39151,16468.13025,16774.90511,17444.80843,17970.15957,17602.56325,17201.21962,18265.74648,18396.66558,18659.58823,19193.08355,19018.98407,18576.55614,19098.05481,19456.15975,20191.00019,20932.78004,21805.87011,21776.53525,22025.17584,22031.53456,22201.03133,22420.72329,22793.32187,22632.17569,23855.48893,24542.40678,25124.13614,25890.48021,26365.39308,26899.95586,27827.28096,27875.00072,27883.32041,27970.43552,28451.0741
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4809.067348,4649.899805,4213.609175,4086.45282,3853.119682,4166.113413,3820.752679,4239.186941,4290.636764,4078.926128,3996.535768,3847.560613,2984.062428,3083.349178,3238.662884,2860.173613,3401.633737,3243.783066,3097.885798,3012.304108,4492.745385,4375.841501,4545.276137,4441.138007,4323.915025,
Dominica,,,,,,,,,,,,,,,,,,,,,4385.199677,4573.923259,4583.799863,4319.852037,3827.58862,3570.118027,3851.038671,3968.201778,4126.997982,3640.527624,3437.827253,4293.497263,4643.237089,4896.165221,4881.954348,5022.395958,5568.953964,5896.738477,6067.64689,5752.423577,6183.347091,6105.581561,6957.719959,7060.176316,6992.549781,6997.246061,7337.135415,7545.831939,8090.259602,8305.972923,8196.848442,7692.100367,7907.317016,7565.9031,
Dominican Republic,,1724.879863,1732.706272,1671.459923,1723.161487,1760.619702,1888.687922,1954.569275,2012.926686,2043.087571,2125.19663,2043.029913,2481.360866,2629.976702,2716.601415,2412.759853,2522.042756,2427.330449,2344.566056,2452.03558,2761.195969,2875.140907,3016.621259,3231.877049,3402.597175,3354.584305,3426.189909,3511.466851,3553.45063,3613.018238,3922.23966,4209.869671,4330.942071,4404.194916,4337.274175,4197.209938,4269.275651,4326.938146,4328.429222,4374.006078,4134.824331,4187.506161,4584.402113,4781.038798,4921.304071,4994.186441,5324.63114,5588.600258,5935.935832,6172.455943,6497.367414,6803.427472,7157.779232,6899.200569,
Ecuador,,1911.846177,2014.759181,2041.297453,2100.37708,2116.474204,2138.264366,2181.848533,2154.356362,2218.108928,2338.880351,2313.361571,2327.70133,2355.928021,2469.457528,2460.290783,2425.863367,2502.109293,2537.205182,2546.305915,2661.264969,2686.512366,2972.469927,3610.664954,3874.643439,4034.693788,4320.872008,4569.312789,4704.014497,4822.575812,4939.223257,5014.126642,4924.225684,4679.06199,4690.283516,4680.118763,4684.30119,4254.67582,4595.025443,4445.632091,4453.014475,4500.705227,4505.97495,4461.699309,4510.707874,4524.504644,4532.170187,4582.834782,4492.021046,4339.851036,4314.442253,4318.703298,4297.118897,4329.706032,4515.932454
"Egypt, Arab Rep.",1231.586388,1307.341745,1343.547283,1362.663872,1293.013028,1263.488961,1277.829108,1300.054394,1375.533934,1378.64957,1450.9578,1498.400811,1472.649879,1446.779668,1695.503796,1724.338936,1677.9918,1707.624389,1799.999261,1848.157328,1892.104462,1907.65517,1978.462182,1873.158787,1899.977223,1828.598988,2041.908371,2227.760658,2239.336263,2335.012362,2572.337842,2549.811973,2608.039983,2714.48954,2788.960732,2862.06427,2957.031615,3080.981187,3123.645065,3265.717632,3384.466933,3499.103221,3565.673472,3586.854124,3667.40035,3756.726199,4103.210357,4094.780537,4252.267682,4425.004919,4535.83187,4609.478769,4688.409131,4759.309992,
El Salvador,2610.439313,2622.430905,2745.97365,2881.72747,2884.23257,2943.607013,3004.626946,3047.367989,3031.707518,3041.123029,2979.140837,2974.695897,3209.380159,3225.597921,3349.500505,3465.478722,3587.691977,3677.954854,3692.476162,3696.241635,3700.737149,3693.288391,3829.688408,3931.685944,3988.060332,4144.366646,4281.499095,4369.729707,4508.452025,4289.403014,3993.605324,3773.87713,3653.32054,3610.208083,3671.054608,3737.831959,3706.900053,3721.395803,3708.72169,3660.093707,3717.838918,3762.121424,3921.228035,4111.403133,4268.676566,4471.9231,4532.12749,4611.002942,4631.482609,4709.046939,4732.1276,4744.28081,4768.666496,4751.554668,
Equatorial Guinea,,,,,,,,,,,955.5953424,948.9192742,959.2587549,1009.533243,1035.310648,1049.030718,1097.150979,1162.942511,1191.821539,1219.001124,1212.514047,1225.711991,1244.023511,1434.953403,1552.182036,2051.3302,2498.502983,2734.767033,2537.868638,2170.477803,1969.138038,1886.386226,1887.34777,1794.702444,1741.963936,1723.118141,1580.818517,1446.641515,1569.445496,1489.560143,1602.743527,1567.277124,1825.720076,1558.029384,936.5943695,1031.971601,1626.160378,3678.733206,4472.691257,5322.459162,6494.539087,9087.651043,13301.87313,11600.34552,
