Dependency ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Dominican Rep.,96.94962792,97.95812593,101.1759265,103.8137748,100.9023819,93.00465083,83.75191677,76.83810055,72.306664,70.4365382,66.49935954,62.8000446,59.27991116,58.39621702,58.62263832,60.07689612,60.47033215,61.66941833,62.89560299,64.10880256,65.57164945
Eastern Africa,84.90833885,87.11714642,89.56743349,91.98724682,94.02949088,95.75891896,96.24368029,95.88874626,95.69347352,94.26636192,92.86713554,90.40493589,87.87721263,87.10204391,87.63090286,88.95738503,88.91583048,88.44473046,88.52050895,89.39545382,90.57272277
Eastern Asia,62.62664964,70.10875563,74.03028428,74.91341566,73.44468604,72.93437937,63.94489318,53.48923295,48.93524693,49.59515161,47.72047692,42.67674249,40.33950283,42.63153484,48.2702306,52.75445795,55.95002483,60.30475811,64.6774035,66.59614638,69.07051346
Eastern Europe,51.58317483,49.40028444,54.50410659,54.65600916,50.64019607,47.53754001,47.74855721,47.06369662,47.62147557,50.17134224,45.15011059,41.95535906,40.01612677,44.61474909,51.43565015,57.50945875,58.51243715,57.81668947,60.05164695,65.60356611,72.4209695
Ecuador,80.19398569,86.41413017,91.79266447,95.43724638,93.42414277,90.65747634,86.95034195,81.26772464,74.60404404,69.26953203,65.50536669,62.61579172,59.45198854,56.91324853,57.31938835,59.38464974,60.07066323,61.04512108,61.94657609,63.14485908,64.65755037
Egypt,73.17276116,79.85043431,88.63009555,87.7998247,86.22750097,83.57250745,83.51823821,83.12000885,84.55977204,78.38749989,69.96058736,60.82055819,58.13720614,58.72041584,58.76013498,58.52579938,57.38161208,57.09514067,57.7206801,59.84331716,62.68785955
El Salvador,86.75270621,88.04279489,94.39075817,98.40012497,98.27308134,94.88149442,92.995594,90.42271881,81.91454253,77.46990889,75.70129004,71.48697639,63.52470139,58.75746291,60.30820172,62.95406265,61.89073518,59.81970672,57.87280971,57.48120589,58.18603127
Equatorial Guinea,65.4706702,68.82658122,71.90111516,75.13780402,75.56789929,99.78664013,97.76973482,66.58886349,75.24303847,89.00123356,91.10322599,83.26520169,77.29188081,76.6733232,80.00417726,85.15394874,88.5026914,89.70789992,88.90857956,87.41648929,87.43184301
Eritrea,93.57252168,91.30500759,90.10841922,89.33552092,91.11272426,91.43841828,102.4903109,102.4962303,95.20427136,97.69531775,89.13709023,79.30069426,78.55175358,79.99098745,79.25740208,77.1314564,73.94631869,72.69480341,74.36276288,77.39941016,78.96020748
Estonia,53.85570918,49.03069636,47.29501538,48.24482891,48.16645586,48.38250459,48.71141758,46.99663941,47.22212856,52.08905673,49.68878898,46.71428447,47.96253931,54.4830982,61.95273376,66.60811906,65.46067569,62.78741762,63.27840659,67.44761621,73.61212051
Ethiopia,88.68938019,87.19667715,85.44770489,85.05735786,87.38786818,89.40037166,89.70943716,89.69420162,91.48223858,94.80686028,95.25237337,91.87901282,86.4862299,84.50014918,85.48532828,87.82703025,88.31717467,87.67173566,87.14983813,87.39029641,88.29682169
Europe,50.76165799,50.02507233,53.15585416,53.87148197,53.28327746,51.63704261,49.67995197,46.14289378,45.57305057,49.82348543,47.75181835,46.62286172,46.30840345,50.47654185,55.93395576,61.64015113,65.05014291,67.15322399,69.47509659,72.79350843,76.430117
Fiji,97.05205479,101.2626506,101.0748718,96.09766649,84.46255659,73.42192691,71.63646341,70.91536123,68.75310226,63.50195878,60.18914636,58.89615523,55.92074877,54.4780863,55.07162561,57.49002388,58.88633204,58.44729506,57.20328932,57.82817797,60.05343857
Finland,56.65354331,58.80574452,58.79160637,52.29110512,49.29531301,46.46936476,44.97025441,43.50071435,44.3864604,49.80112748,49.34453872,50.00396152,50.9118949,58.92118159,66.71435698,73.27669918,76.36241701,76.16783047,73.46424434,73.43652352,74.84411933
France,49.31851278,53.34197814,57.97160872,57.00100479,56.69611175,55.91307671,52.50612794,47.0065366,46.17227695,53.54491732,53.78536415,53.58904524,54.68518328,60.33580757,65.31172516,70.38098078,74.33192066,76.81886813,78.52575305,78.34521428,78.60808304
French Guiana,55.8289757,68.00781019,78.5187649,77.0273899,76.34794845,75.17670074,62.33784918,58.520912,62.09294175,66.39716908,65.74743096,66.0416444,60.73225304,58.96870842,59.5488203,62.722326,65.59502618,67.11864804,67.53952117,66.79971706,67.00168509
French Polynesia,88.82826141,88.81889334,88.83057398,93.25671617,93.25204814,80.76002854,74.52173913,67.65686455,62.12179274,60.23463895,55.65127907,48.15612179,46.88588592,46.6583605,49.92859101,53.12651927,55.24802895,57.26526086,57.96086878,58.87091567,61.35348745
Gabon,54.30763876,56.35281185,58.7171908,62.59939936,65.68237517,71.12352616,77.29469359,83.57224315,87.01742176,89.2485184,84.20871841,75.56243669,66.40776979,63.04877401,63.44986628,65.1305087,65.08907725,64.22913837,63.76731888,64.17482878,65.30983445
Gambia,77.56530236,73.63874836,69.31398304,68.51291812,74.23412391,77.74036161,81.8825896,84.41287812,83.64767729,83.90332298,84.14480273,83.9289997,81.59858184,79.61091503,78.89007674,80.39174253,81.46568909,81.89625118,81.9546842,82.12061368,82.47834337
Georgia,56.36260038,52.82912301,58.16791535,63.0652127,60.65059702,55.80812524,51.08081113,48.76774,48.63159021,54.86667885,52.44240378,48.96289193,44.8740796,48.02738388,53.8934691,59.97273918,64.12250813,63.76253068,64.40873593,66.67116083,69.85513558
Germany,47.55541993,44.92829259,46.45796644,52.00366027,55.42611821,53.72193701,47.51388734,39.41168258,39.56121026,46.34293589,46.99510485,49.66279388,51.11114332,52.57178031,57.46209222,65.18873019,74.03821935,80.70004344,80.9475957,81.08921309,83.28331639
Ghana,90.40548236,88.27430422,88.07342786,88.72305896,92.95003398,95.01745618,94.55192335,92.08319733,88.53860842,85.14296904,80.51487484,75.90335896,71.82554528,70.41652099,70.28038104,71.25307315,71.51350965,71.54775751,71.90907356,72.86142873,74.15936672
Greece,53.31695332,49.60106383,51.1961214,49.97329535,53.0961183,53.26784092,52.48127601,49.25994907,44.60164326,47.21356865,46.50200588,47.81217673,48.20882092,51.81879957,55.77419822,60.45329691,63.61131049,68.31777844,73.12979849,79.04874868,83.01828656
Grenada,109.7944277,103.2304579,115.5817158,119.0892761,118.2597954,93.82530757,87.01409109,77.76618142,85.7639975,85.15471921,74.25919868,59.96379356,52.42867369,51.88736446,55.49367725,59.1390507,59.18389869,53.8037765,53.36532512,56.57181572,64.28234689
Guadeloupe,77.11864407,83.671875,92.21598878,93.07443366,89.14728682,89.50437318,65.38112778,57.53026024,47.48999028,50.81008336,51.40800847,55.32875488,54.22823489,56.51530511,59.2237047,64.64274812,70.39459816,74.28876551,75.653543,73.57426842,76.38070794
Guam,39.5674181,54.88777318,72.83934763,71.65390019,70.24879198,65.09225989,59.99879496,55.12417704,50.90686774,55.21219876,55.91385964,56.06217713,52.50080534,52.08204934,54.26115089,58.64839115,61.67681317,63.09566703,63.08104444,62.42288934,62.17652835
Guatemala,88.64556716,91.87456082,93.34506518,91.66207704,89.86402823,90.42277733,92.77961839,94.50478264,94.18015865,94.34869855,92.6712651,90.261409,84.97605533,81.89208481,80.40073105,80.57507023,79.48147153,78.0201735,77.21776075,77.42955663,78.24937867
Guinea,79.76041978,82.54067665,81.83240385,83.53283308,84.46609791,85.63662302,87.44611708,89.77951223,91.19461174,91.41113166,89.36341685,86.82673264,84.92216301,84.71174197,85.79133198,87.57770054,88.14753449,88.15831483,88.36796299,88.99323719,89.88103728
Guinea-Bissau,73.15432643,81.92324775,79.54212166,79.7570009,67.11009098,79.14938349,83.47603418,89.93321688,80.72835131,80.16233305,82.84749794,84.89688094,85.42743716,85.07369128,86.75036502,87.54174089,88.30975272,88.16605635,90.44323473,91.34867704,91.7348164
Guyana,82.91304348,95.12096774,106.6763955,101.0338346,103.8078453,90.80243882,80.60081097,74.93338265,68.82708278,61.71683204,55.64439615,57.91841452,54.48204504,50.69949592,51.24603642,57.72677343,63.31470735,66.26149597,66.46050816,65.65002075,66.87910445
Haiti,75.46563599,74.93900869,76.36246644,81.51668259,82.83739231,81.7406228,81.55337786,85.16966631,87.81711939,86.54607156,79.43676204,73.01218735,67.49827992,64.22840204,64.30812606,65.75553656,65.83470851,64.92619634,63.9828639,64.74960977,67.61413899
Honduras,84.42297087,90.29175947,96.28530861,100.2611303,102.6362506,101.8951921,99.81770221,96.65760544,94.49771326,91.88594661,86.27206568,78.44517141,69.77432781,65.36788412,64.66062515,65.40657859,64.76876741,63.88485792,63.61545712,64.65303627,66.5036987
Hungary,46.85370106,49.76923077,50.67907828,48.50237429,45.63462765,46.65913243,51.44183459,47.79022871,46.72346162,47.99829546,46.74624337,45.31371057,45.16279093,48.77706287,55.18758853,59.53880057,58.99954393,59.3272275,62.07485265,68.23335644,72.21699376
Iceland,60.22727273,65.95744681,72.27722772,72.72727273,67.56693675,61.48099518,56.10111133,53.764395,51.36558078,55.42281388,53.49267717,51.11728846,47.20524662,49.56530874,54.7724362,60.51336146,64.01845678,65.42830238,67.30796604,71.10700867,75.67006439
India,67.80076448,72.36442762,77.24274097,81.20032931,78.5920414,76.24193011,74.39982985,72.79481148,70.73447375,68.60481431,64.70822466,60.45992699,55.58662192,53.17760107,53.17718127,54.45938242,54.77282985,54.80397879,55.37335409,56.87714359,58.77537548
Indonesia,75.23428314,73.33815526,75.90446391,80.71243395,82.89830906,81.41905963,77.73048324,71.82948421,64.91784052,59.52244115,54.34058568,51.3170652,48.71110414,47.46988006,47.24797356,49.23633765,50.96674936,53.29609997,55.70030034,58.55535824,61.4894623
Iran,78.98712629,86.61037762,91.6388209,92.40979772,92.28609814,91.69913791,91.77708603,91.34821305,92.22813135,79.36981762,57.81029353,45.83565179,40.15206286,43.01534388,46.01961696,47.28486773,46.20863133,46.11947756,48.66489547,54.61069776,63.68519269
Iraq,66.73459039,78.60301461,84.94487083,95.15025219,94.68515111,100.1056952,101.7217431,96.96853104,94.80270804,89.7687915,86.40612213,82.5840277,78.29978892,71.27414747,70.69270714,71.40462657,71.98076081,72.19308933,72.13425343,72.60430726,73.5317975
Ireland,63.04347826,66.26157407,69.86552567,70.18708509,70.14916608,69.79257117,67.34446703,64.29531623,59.64145203,55.52873997,48.94822906,45.8360515,47.34715829,52.06614501,55.11151961,56.7815271,57.06554876,58.45220919,62.58329137,68.53785187,72.71939863
Israel,54.77297691,63.68124689,68.48942235,67.17848991,64.59552337,66.82267152,69.74181369,68.01610498,64.70257962,64.17667866,61.78124671,61.32494416,60.76267586,62.46294917,63.79308414,64.86768671,64.96202646,65.9059959,67.73571424,69.14133879,69.81662525
Italy,51.74166986,49.59929242,50.48380305,50.42287337,52.8446371,54.39939697,51.82336709,44.27220591,40.96575387,46.83850244,48.66783879,51.14859107,52.93241599,57.15792098,60.16210536,63.99802101,69.33841893,76.28582031,83.23474898,87.50290701,88.68949651
Jamaica,65.94331792,69.27996471,84.17045455,93.7900962,109.0191657,102.5222728,85.8179086,76.80476692,70.94993413,69.96219653,67.6356927,64.25795789,57.91175851,55.40295797,57.16007936,61.06472877,63.84570992,64.64949135,64.27609217,63.50838066,63.74778882
Japan,66.83858484,62.5036998,55.02441074,45.8423444,43.80490094,45.90238702,46.3860954,44.12866439,40.05818557,43.77700512,46.71022639,50.85016177,55.68490551,64.30913139,70.11397072,73.92201994,76.67358377,80.61461858,87.71388029,92.94486914,100.1052004
Jordan,101.3498881,97.43732524,93.53050028,93.26136707,95.18220154,99.46093761,109.7353185,101.5489553,98.86587662,77.72193295,73.40098316,68.53421128,60.35168207,59.19097839,58.12202974,57.29193662,56.66018717,57.5539926,59.56044451,62.03218477,64.91162779
Kazakhstan,67.86279542,60.36584367,70.85431898,77.53649097,73.78152744,66.03413516,61.03992335,58.835343,57.75518739,58.53930352,52.58731987,47.44036981,44.48178338,49.03474732,54.22454278,55.18797231,53.74420491,52.28913589,53.75087496,56.65377714,59.26316343
Kenya,76.99373458,86.72907786,99.82672502,107.5855576,109.7782176,111.5203442,111.9766555,111.0504873,106.0310229,96.37277887,88.54860872,83.49019858,83.34806236,84.49813576,84.85301082,84.13715848,83.19950004,82.96081528,83.65120619,84.86117252,85.98190872
Kuwait,63.78663793,65.18635607,58.70211549,65.87782156,81.68421826,84.5817885,71.03397139,61.80767607,60.54699844,42.92706167,37.6769026,34.26555726,34.46141722,35.63948348,37.20403447,39.75181689,42.26106905,46.81523642,52.58561364,58.6544793,62.34697563
Kyrgyzstan,57.36376265,58.68231131,75.01843283,89.89396907,89.96425284,82.5566639,73.2356299,71.07700559,72.41965899,75.45876993,67.92417277,59.02776361,51.7474539,51.10669012,53.90940489,54.91044752,54.42949628,53.64331103,54.81121494,56.70196075,59.16063035
Laos,73.93938254,78.67571062,81.97642237,83.31129963,82.24317831,83.121798,89.92709293,90.04484838,88.72550145,89.33765611,87.34226809,78.05791179,68.06013207,62.16547679,63.95815215,66.44294173,66.43144849,64.73020425,63.5662867,63.86267655,65.72250565
