,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Ukraine,,,,,,,,430000,380000,350000,518500,466800,453400,449400,428000,420400,419800,414800,403000,271000,273000,215000,215000,215000,,
United Arab Emirates,43000,,,,43000,66000,66000,55000,55000,60000,71000,65500,65500,65500,65500,66000,66000,41500,50500,50000,51000,51000,51000,51000,,
United Kingdom,334000,,,,318000,308000,301000,293000,271000,257000,233000,221000,218000,218000,218000,212500,211400,210400,212600,205000,217000,181000,160000,160000,,
United States,2151600,,,,2240000,2180000,2120000,1920000,1820000,1720000,1635600,1572100,1533300,1594000,1575000,1454800,1420700,1467000,1480000,1473000,1546000,1498000,1555000,1540000,,
Uruguay,31900,,,,27000,25000,25000,25000,25000,25000,26500,26520,26050,26520,26520,24600,24800,24800,24900,24920,24920,,25900,25900,,
Uzbekistan,,,,,,,,40000,41000,20000,41700,46000,86000,100000,94000,79100,72000,72000,72000,75000,91000,87000,87000,87000,,
Venezuela,49000,,,,75000,75000,73000,75000,75000,75000,80000,79000,79000,79000,79000,79000,105300,105300,105300,82000,82000,,115000,115000,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,0,56000,56000,56000,56000,,
Vietnam,1027000,,,,1250000,1050000,1040000,857000,857000,700000,622000,622000,557000,524000,524000,524000,524000,524000,524000,,495000,495000,495000,495000,,
"Yemen, rep.",64100,,,,62000,127000,127000,64000,64000,69000,69500,112000,146300,136300,136300,136300,124000,136500,136700,136000,138000,138000,138000,138000,,
Zambia,16200,,,,17000,16000,16000,16000,16000,16000,23000,23000,23000,23000,23000,23000,23000,23000,19500,16000,16000,16000,16000,16000,,
Zimbabwe,41000,,,,51000,45000,45000,48000,48000,43000,67800,64800,60800,60800,60800,61800,60800,57800,50800,50000,51000,51000,51000,51000,,
