"Total GDP, PPP",1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Dominica,13256292,13256292,13256292,13256292,13256292,13256292,13256292,13256292,13256292,13256292,13256292,13256292,13256292,13256292,13256292,13256292,13256292,13256292,13256292,13256292,13256292,13398066,13541808,13686864,13833928,13982338,14132105,14283241,14436458,14591076,14747817,14905992,15065614,15226694,15389974,15555480,15721764,15890309,16061143,16232787,16406757,16583081,16760250,16940582,17121788,17364971,17611409,17861933,18115798,18373043,18633706,18898641,19167084,19439076,19715488,19995541,20279276,20567583,20859669,21156435,21457077,21761638,22074545,22392402,22714382,23041428,23372704,23708257,24049959,24396059,24746606,25102581,25360169,25621008,25884187,26150679,26418603,26690859,26964587,27241747,27521392,27804537,27886307,27968950,28051468,28134874,28217132,28301314,28384337,28468268,28552069,28636796,29033143,29434552,29841081,30253875,30671917,31096370,31526203,31961478,32404504,32851990,33599315,34363118,35144791,35944599,36762808,37598510,38454328,39328173,40222705,41138232,41762052,42394772,43391962,44411977,45455313,46523777,47617944,48738402,49883032,51056466,52358821,53695750,55065214,56469416,57910658,59388336,60903304,62457991,64051782,65685591,67361975,69080314,70843256,72650176,74503815,76405293,78353980,80352767,82402848,84505442,86661799,88873192,91140926,93466332,95850772,98812427,101865720,105013090,108259155,110780386,113316646,116016640,118980403,122269803,125892658,129806477,133924881,138126901,142285958,146339230,150296277,154289808,158520633,163115875,168175280,173610464,179103018,184201802,188578514,201976202,216032015,232499950,245442809,250829782,266141654,271279615,301520631,244554181,278625219,311557884,324015831,332781825,351156749,355803320,381043484,410224266,445967873,444366146,468539958,469788903,490014203,489887641,497541402,507119955,523631202,534440295,548543666,549384403,550949781,529232954,507673781,518520548,551685464,570789599,590223615,611523033,656995794,649976354,653526826,665727351,658024445,663395274
Dominican Rep.,59572722,59572722,59572722,59572722,59572722,59572722,59572722,59572722,59572722,59572722,59572722,59572722,59572722,59572722,59572722,59572722,59572722,59572722,59572722,59572722,59572722,60884169,62224051,63593397,64993255,66423316,67885332,69379700,70906821,72467098,74062351,75692304,77358099,79060894,80801148,82579323,84397344,86254240,88152696,90093228,92076356,94102607,96174014,98290382,100453784,102664802,104924791,107233587,109594116,112006241,114471382,118021153,121680526,125454146,129344336,133355060,137490351,141754306,146149458,150681660,155354392,160172015,165138964,170259745,175538937,180982890,186594652,192380742,198346929,204497344,210838794,217357181,224075940,231003045,238144826,245506826,253096466,260921296,268987170,277302775,285875106,294713116,303824055,313216215,322898965,332881827,343172586,353781055,364718162,375993097,387617128,399599766,411953606,424688504,437817438,451352606,465305409,479690438,494519505,509807650,525568124,543734904,563110389,582675513,602431739,623428319,645683352,668156239,690848661,714832419,740126186,765667378,792545071,819685511,851152339,884519736,918711926,953746383,990820471,1028809075,1068947647,1126129504,1186070687,1248861800,1314595875,1383368432,1455277539,1530423871,1610284734,1692239401,1779166445,1869804627,1964269621,2062680123,2165157918,2268770311,2359533541,2455703666,2554273103,2655292895,2762115104,2873269623,2988890168,3109113940,3234081704,3363937874,3498830599,3638911845,3786201698,3937160282,4574502003,5126657184,5555437567,5494468500,5817787653,6185870804,6815201235,7250699664,7640439127,7686783036,8067336846,7887005380,9229547086,9828118329,10481348855,9174325604,10401573065,10744733131,10757700205,11927288107,13186418504,14580114171,16381854642,18359205667,19414458938,20340019971,21703105983,22751470490,23270966304,24260517312,25721788041,26772366778,27244935810,28447360396,28530137668,27813962167,28648327930,30801305375,31009266895,34957163703,33304182343,33589634547,35780461475,36574785623,38231037366,40005333702,42906778872,46479356460,49870391599,53854770657,58685777890,60807586934,63495268312,65265283510,69364468628,75248275385,82994406910,89689126646,94022606522,96849261461,103870799969,107986460052,111601228930,115524924435
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,679445974,679445974,679445974,679445974,679445974,679445974,679445974,679445974,679445974,679445974,679445974,679445974,679445974,679445974,679445974,679445974,679445974,679445974,679445974,679445974,679445974,694952898,710814470,727038463,743632776,760605433,777964589,795721368,813881382,832457496,851458475,870891770,890767865,911098893,931894241,953163443,974917679,997169832,1019928449,1043206783,1067016783,1091370594,1116279003,1141757668,1167816216,1194470756,1221732894,1249617628,1278138591,1307309640,1337148130,1360146054,1383540454,1407336402,1431542380,1456163632,1481208858,1506685188,1532598133,1558958458,1585771890,1613045970,1640790111,1669010323,1697716257,1726915919,1756617428,1786830834,1817562684,1848825128,1880623099,1912916721,1945762774,1979173970,2013159436,2047728419,2082890296,2118656511,2155036731,2192040759,2229680504,2267968060,2306911705,2346523834,2386817029,2427802030,2469489718,2511895249,2555027800,2598900823,2643527979,2688921013,2735091830,2782056778,2829828157,2878420604,2927846786,2978121737,3029260714,3081276977,3134186195,3198860123,3266487754,3334836713,3403913383,3476033851,3548923862,3622590224,3697039800,3774647545,3853082044,3934748384,4017286177,4100703133,4160576160,4221038092,4282093954,4346238068,4408512614,4471396508,4539967529,4606669653,4674028967,4742051083,4810741661,4880106405,4952784122,5023530970,5097635598,5172471143,5248043853,5419437881,5603706126,5762562726,5923188580,6116236498,6303061398,6480705022,6683028135,6887630323,7342121709,7379447088,7689028177,8663879265,8778051014,8813180783,9862682630,10958292299,12455698700,12681846588,13855222056,14003380142,15732125336,16064808010,17362935029,17816905356,18473839245,19308484336,19875875331,20944657392,22305664510,22866387279,24083510374,24699039423,26440875926,28991199017,29752678982,31327664785,33060722000,34868115719,37311142129,39457534193,41882609207,47098986035,49850050827,52467811593,57545447650,61190036086,65444668365,68989234739,72147920811,75088452068,75911022510,74309364650,77314792749,80549802994,82861747464,77582733755,85747729163,85718375423,87918395503,92542939060,95411033276,97486016069,101705916303,104588245301,106355755082,109543439387,109615883678,101480077733,86827348103,91362399566,92302407784,96140859225,104392628997,109844281710,114802304416,117371762704,124836709398,126081369206,130107983741,140345413171,147102264057,152865472535
Egypt,5594108505,5590812920,5587518670,5584225756,5580935494,5577646568,5574360296,5571075358,5567791756,5564510807,5561232511,5557955551,5554679925,5551406953,5548136634,5544866332,5541600002,5538333688,5535070027,5531809020,5528549348,5621205040,5715413585,5811201317,5908593592,6007618837,6108303161,6210675781,6314763574,6420595177,6528201034,6637610622,6748853834,6861960982,6976964242,7093894808,7212785767,7333667752,7456576231,7581544229,7708608215,7837800689,7969157606,8102716958,8238514228,8376586930,8516974658,8659714467,8804847052,8952412124,9102449950,9255002962,9410112595,9567820864,9728172000,9891212506,10056982971,10225532811,10396908840,10571155176,10748321604,10928458630,11111614068,11297839837,11487185136,11679705072,11875450298,12074477456,12276840462,12482593988,12691795264,12952152642,13217852104,13489000398,13765711656,14048100158,14336280284,14630372173,14930498070,15236780430,15549345758,15868322765,16193842391,16526041826,16865052663,17211020830,17564084696,17924393180,18292091633,18667332055,19050271189,19441066415,19839875710,20246868343,20662210096,21086071786,21518629390,21960057529,22410544964,22870270338,23339428895,23818210215,24306814024,24805438911,25314293886,25833589283,26363534352,26904351477,27456264547,28019498927,28594286314,29180864888,29779476985,30390369155,30871303096,31359847219,31856122238,32360253995,32872360936,33392571643,33921017331,34457824325,35003126593,35557058234,36119755985,36691356713,37272004949,37861842848,38461015218,39069667002,39687953337,40316024478,40954033341,41602138018,42260501782,42929283031,43608645350,44298762548,44999798530,45711929949,46435331111,47170179007,47916655840,48674949027,49445238603,50227719908,51022583421,51830027379,52650247681,53483447989,54329834687,55358613929,56471879715,57559575346,58728666360,59976667146,63004668872,66169702485,69523437852,73061700396,76779855644,81965524561,87673063074,93844951224,100258295488,106994989809,107807033230,106769911520,108921884385,116978730132,125035013420,130871210755,133901215916,137978778775,143442770820,158249544248,182944781128,205779852180,219656292237,235221851835,258164796992,265130594951,290742215641,311093817665,327977038381,347404992005,354378901949,363687036475,379175197633,390453816586,397920874537,382944241571,394198756546,398843368381,412799084323,429975356811,449295052981,471679323309,496334532616,524507378116,551359912874,569723926157,587410663909,606017432886,630935913685,659592010470,704613834890,744257963805,794567995332,827780732308,865469774202,877262472733,888918239341,904821359864
El Salvador,254361104,254361104,254361104,254361104,254361104,254361104,254361104,254361104,254361104,254361104,254361104,254361104,254361104,254361104,254361104,254361104,254361104,254361104,254361104,254361104,254361104,259815099,265386793,271078131,276890027,282827661,288893114,295087411,301415951,307878751,314481350,321224941,328112974,335148969,342335369,349675808,357173993,364833709,372656433,380648440,388810113,397147894,405663463,414363462,423248445,432323969,441594444,451064368,460737033,470615777,480707925,491909574,503373219,515103334,527105819,539389415,551958931,564820629,577983699,591451877,605234634,619338780,633771246,648539094,663652457,679117240,694942427,711137188,727709357,744666905,762019499,779748888,797891201,816455069,835452474,854889205,874780866,895133592,915960192,937272082,959079222,981393440,1004226796,1027591589,1051500354,1075965871,1100999402,1126615965,1152829095,1179652589,1207098680,1235183494,1263921633,1293329849,1323421463,1354211922,1385720807,1417962312,1450952825,1484711005,1519255888,1563827878,1611049989,1658946708,1709575818,1758862602,1810932114,1865844295,1921541460,1978032843,2037481562,2097778918,2161124476,2225374979,2292767054,2361122321,2430452108,2505331308,2578982988,2656001957,2736458114,2755249217,2907733680,3045207664,3247663850,3016997083,3559928743,3148545556,3662633276,3692512230,3785552865,3417866531,3109600814,3557767865,3702738302,4108162637,4048612171,4469673334,4189223950,4532420348,4966972887,4903219204,5342733289,5880556225,5598346723,5417646195,5556465589,7057264857,9031610961,8239402644,8214982370,8301932652,8856925585,9425130710,9474505814,9905728696,10625487104,11137121788,11333494001,11807594377,12267056341,12683838672,14214374135,14835331359,16238847984,17097784074,18210633021,19123666961,19609625546,20122715086,20493438135,21385541955,22698029771,23723056191,25271092115,26572086155,27460965237,28913992730,30625005717,29919486567,27489977232,25928811265,25080080961,25335692811,25866992899,26378606694,26517257527,27055362402,27414340289,27589218484,28339177697,29084405141,31161419369,33077495076,34929774477,36865419366,37203272510,38382855573,39344142340,40143055581,40460450755,40566826861,40865514421,40993474551,41127879396,41687355292,43346509881,44984054895,45548017323,44172210915,44835022853,45787053784,46646999174,47494206990
Equatorial Guinea,32150800,32188690,32226626,32264606,32302630,32340700,32378814,32416973,32455177,32493426,32531721,32570060,32608445,32646875,32685350,32723870,32762436,32801047,32839704,32878407,32917155,33065423,33214405,33364104,33514521,33665246,33817105,33969688,34122583,34276206,34430557,34586055,34741871,34898423,35055295,35213322,35372090,35531602,35691440,35852443,36013776,36176279,36339115,36502706,36667474,36832580,36998446,37165075,37332469,37501053,37669982,37839683,38010156,38181404,38353430,38526235,38699821,38874190,39049345,39225288,39402020,39579544,39757862,39936977,40116889,40297602,40479118,40661438,40844999,41028936,41213684,41399245,41586057,41773252,41961704,42150541,42340641,42531129,42722885,42915473,43108895,43303154,43498251,43694188,43890969,44088595,44287511,44486835,44687454,44888485,45090817,45294008,45498062,45702980,45909211,46115865,46323839,46532686,46741962,46952565,47164500,47479957,47797454,48117457,48439526,48763672,49089908,49418245,49749158,50081736,50416917,50754251,51093750,51435896,51780236,52126308,52475069,52826537,53179774,53535746,53893990,55905252,57991902,60156577,62401459,64730709,67146576,69652319,72252224,74948645,77745951,80647567,83657458,84137336,84619494,85104952,85593224,86083815,86577758,87074047,87573207,88075769,88580719,92007530,95566386,99263215,103102964,107091166,111233946,115536441,120005979,127132726,131136862,135616256,141955776,145206208,150477716,154981688,159702041,168576685,185481815,202779497,225483132,258906583,298713064,341411575,359111928,387866417,405218268,392595686,375386659,333143196,277231238,275522144,277566743,303901955,327053129,316935884,333922379,326762297,321063500,326612314,348886539,366346172,370051330,417807116,408069886,426174875,437490934,432113392,422347802,417959277,563139293,625296662,729630022,857425909,1428039503,3569410232,4418136793,5552794850,6565758135,10725571953,12812479868,14601222952,20152560099,22122647023,22398304902,25338028570,28441489175,26142080650,25796579789,27081028168,27946176561,26570494834
Eritrea,114805600,114805600,114805600,114805600,114805600,114805600,114805600,114805600,114805600,114805600,114805600,114805600,114805600,114805600,114805600,114805600,114805600,114805600,114805600,114805600,114805600,116611060,118445352,120308654,122200579,124122436,126074978,128057826,130072306,132118044,134195803,136306357,138450483,140628390,142839706,145086377,147368623,149686663,152040717,154432179,156861279,159328250,161834506,164379697,166965249,169591411,172258434,174967763,177720259,180515587,183354614,186238211,189167862,192143246,195165251,198234775,201352719,204519383,207736294,211003761,214322713,217693467,221117580,224595381,228127824,231715869,235360484,239062018,242822707,246641655,250521115,254461461,258463701,262528854,266657945,270852005,275112077,279439209,283834459,288298890,292832929,297438950,302117397,306868715,311695313,316598309,321577518,326635383,331773046,336991662,342291729,347675740,353143548,358698336,364339974,370070336,375891314,381803466,387808704,393908279,400103450,406396847,412788393,419281428,425875891,432574467,439377798,446288599,453308225,460438038,467680110,475035826,482507285,490096600,498889477,507839581,516950697,526225236,535666354,545276526,555058978,565017704,575154564,585472901,595976834,606669060,617553048,628633060,639911164,651391704,663078329,674973970,687083883,699410330,711958672,724732025,737734315,750969518,764442442,778157169,792117834,806329414,820795356,835521550,850511549,865770562,881303055,897114361,913209063,929592624,946270575,974776958,1005213760,1067048938,1071420791,1133968609,1177079097,1174185908,1219321969,1259283969,1331514544,1388732007,1445438967,1508642618,1566222216,1672057298,1761185277,1882668625,1988353642,2065650150,2038267025,2128156638,2215177657,2261467115,2268567156,2180873479,2209516852,2242194069,2150224955,2414545494,2493983847,2566747716,2584679080,2769416913,2685498660,2363326076,2580216321,2926870307,2926725469,2880535131,2900573826,3224389028,3575976009,4036927066,4880545660,4992406104,5445587569,5870387251,5980197626,5986112204,5240643126,5694978972,5860582763,5700020595,5777700021,5921348881,5865716897,5944011443,5357859308,5561261240,5679638070,6169206061,6586954453,6655432111
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,324158367,324496317,324834619,325173274,325512282,325851643,326191358,326531427,326871850,327212629,327553763,327895252,328237098,328579300,328921859,329264774,329608048,329951679,330295668,330640016,330984724,336149944,341395398,346723080,352134009,357629210,363210751,368878666,374635055,380481011,386418691,392449230,398573773,404793480,411110604,417526347,424041926,430659674,437379743,444205623,451137500,458177810,465327891,472589096,479963945,487453842,495061372,502786816,510632805,518602015,526694773,534913803,543261872,551739359,560350308,569095137,577975495,586995548,596155767,605459144,614907445,624503740,634248565,644146342,654198965,664408344,674776412,685306454,696001810,706863175,717893949,729096220,740474849,752030638,763765767,775685247,787789946,800083564,812569859,825249774,838128583,851207289,864491279,877981620,891683816,905598995,878646636,1036865147,1006617893,944625591,949407015,877648891,969647649,1108971324,1272484193,1188373222,1320914299,1310776278,1358036304,1454345841,1436213854,1485611117,1629231341,1530796913,1708462357,1526124094,1472036204,1427522947,1573328992,1648538363,1775272080,1655277545,1804940259,1913620615,1844190177,1915501124,1718714648,1522936315,1229576281,1141634307,1497799568,1738341978,2017514823,2178631891,2236155234,2362444802,2449357599,2642774580,2823700570,2859808755,2831787231,2766712009,2758842221,2950115788,3293283595,3439619307,3680214352,3898094824,4103512830,3931636179,3749794059,3713328335,3677219784,3641458515,3606048966,3570981420,3536253298,3965309835,4521252341,4983669243,5447918533,5442801429,5759702897,5970341065,6216334649,6692026893,7269434444,7354293212,7839806352,7689452544,8354522517,8774952884,8971825020,8743030249,9859470032,10417203223,10926675991,11418001418,12100998501,12288353749,13252011228,13615068040,13698611014,14856053426,15363850035,15468126214,16240667643,16657521847,17105324726,17061747024,17135395741,17353411507,17846133931,18488225650,18791749553,19046261247,19941178974,20328268347,20870039943,21265488357,20673302332,18540325694,15988728557,14698077090,14400458649,14993453001,15641981724,17258006652,18149105154,18139887877,19563906133,20844462165,22405221195,23629807387,25697757696,28449556038,31345608245,33721931219,32340003763,27789138628,28710320170,31072703161,33417683860,33881448770
Ethiopia,1592454600,1592454600,1592454600,1592454600,1592454600,1592454600,1592454600,1592454600,1592454600,1592454600,1592454600,1592454600,1592454600,1592454600,1592454600,1592454600,1592454600,1592454600,1592454600,1592454600,1592454600,1615382548,1638640368,1662233658,1686166395,1710443102,1735069927,1760051401,1785392597,1811098055,1837173938,1863625333,1890457872,1917676109,1945286767,1973294949,2001705763,2030526488,2059761699,2089417599,2119500939,2150017393,2180972636,2212373977,2244227644,2276539870,2309316894,2342566045,2376294115,2410507899,2445214201,2480419827,2516132678,2552359570,2589107873,2626385502,2664199838,2702558808,2741469803,2780941308,2820980727,2861597101,2902797845,2944592015,2986987581,3029994159,3073619187,3117872839,3162763658,3208300740,3254493188,3301351202,3348883902,3397100411,3446011499,3495626851,3545956161,3597010222,3648799834,3701334715,3754625682,3808684654,3863521372,3919147772,3975575253,4032815222,4090879094,4149778842,4209526994,4270134994,4331615936,4393981830,4457245791,4521420942,4586519324,4652555723,4719542748,4787494112,4856423538,4926345859,4997274272,5069224728,5142210446,5216247400,5291350479,5367534583,5444815722,5523209368,5602731556,5683398883,5765227957,5848234851,5932436750,6017851400,6111579469,6206767605,6303438372,6401614441,6501319700,6602578150,6705413350,6809850641,6915913814,7023629558,7133023020,7244120020,7356947624,7471531905,7587901304,7706083276,7826105967,7947997659,8071787895,8197506362,8325182320,8454847435,8586531822,8720267445,8856085851,8994019874,9134101938,9276365762,9420845796,9567575511,9716590831,9867927276,10021620536,10177707623,10336225724,10497212782,10660706920,10989333255,11327312560,12007743380,12032257644,12702487636,13148284855,13077652804,13541518730,13948205782,14713749555,15315878846,15915954665,16590770345,17205890917,18351877339,19309763104,20615815627,21749297595,22584264799,22291409613,23313539282,24327775537,24863728382,24866539583,23700940647,23660683007,23551643672,22129223090,24428762083,24961427582,25601041061,25847944158,27877135277,27235607593,24128129363,26467040680,30139195533,30313476582,30175593384,30962169792,28725978065,26204515865,29611139792,30518130394,32351208881,36334049698,37435291531,36097602208,37898738421,40109883220,43314873457,43821557467,42710721706,48308353417,53785951386,59347306456,65839528225,72596606422,78608982194,88051996694,97514189306,105569102697,115506377880
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905985261,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77208476,,,,,,,,
Fiji,111013554,111194703,111375852,111557000,111739000,111920999,112103849,112285848,112468697,112652397,112836098,113019798,113204348,113388899,113573449,113758000,113943401,114129653,114315054,114501305,114688407,115248561,115811143,116376164,116944494,117515289,118089425,118666050,119245175,119827686,120412723,121000295,121591298,122184864,122781002,123380617,123982831,124588554,125196904,125807891,126422433,127039640,127659522,128283007,128301549,128320704,128339555,128359031,128378212,128397098,128415691,128517684,128620873,128723377,128826139,128928212,129031500,129134099,129236966,129340105,129443518,129547211,129650212,129753494,129857060,129960914,130064073,130167522,130271265,130375306,130479650,130583296,130688252,130792513,130896073,131000959,131105146,131209651,131314478,131419633,131524086,131628867,131418919,131209348,130999123,130790350,130581998,130373028,130165565,129957507,129749926,129542838,129843224,130145272,130447913,130751147,131053887,131358306,131664415,131970028,132276237,132705797,135204809,137750931,140345665,142988288,145681438,148424399,151219839,154068188,156968740,159925345,162294391,164697834,170759745,177044739,183561990,190317262,197322857,204585083,212115758,219923081,228932912,238313126,248076535,258240958,268820304,279833755,291299733,303234019,315658107,328590905,342053844,356067368,370654590,385841563,401649450,423056940,445605416,469355319,494372276,520720624,548474750,577708044,608497419,640931061,675091364,710494958,747756645,786973917,828246130,870129180,917782764,970154304,1026433616,1086110058,1149042260,1215467100,1286006381,1361563537,1443032560,1494320317,1548705923,1647658125,1728444851,1682135549,1682436241,1907349548,2058588437,2112262234,2380823155,2545085130,2735851423,3053900882,3133776368,3150969694,3237934946,3430053949,3495044240,3923563099,3861882282,4107628214,3863268265,3711457960,4024325203,3840054419,4139293651,3867135482,3905966427,4198783441,4304517698,4430171421,4572990800,4694644809,4937637136,5065579181,5315280625,5205988522,5279684178,5744644042,5638756712,5732839352,5888718329,5917536326,6205949499,6236605969,6338578896,6285243421,6361613136,6293601556,6316922931,6460862618,6593506164,6814443236
Finland,1233055469,1246232043,1259548416,1273007726,1286610591,1300358902,1314253288,1328296932,1342490477,1356835852,1371334996,1385988572,1400798534,1415766846,1430895484,1446185140,1461639101,1477256778,1493042778,1508996527,1525121357,1555257353,1584344880,1615015317,1644627623,1675840317,1705985132,1771556333,1802415353,1834911191,1873186805,1896623534,1911926984,1928732276,1944258077,1959892557,1981301329,2005725483,2031779277,2056609806,2083087575,2115595358,2155684856,2194662731,2236935594,2278102063,2318142012,2357035100,2396266905,2437353767,2477278173,2511501467,2539862664,2569995412,2598818487,2627870927,2655584840,2686670320,2719592043,2751188431,2784641075,2806356933,2656016383,2869834054,2933311175,2913265768,2945004329,2709470800,2976742889,3190560560,3339230660,3361840208,3479237802,3682015466,3767395535,3842103095,4055553267,3959500689,3884793129,3927483164,3948828181,3842103095,4215640896,4375728525,4407746050,4514471136,4738593817,4813301377,4994734023,5165494161,5453651893,5400289350,5240201721,5442979384,5869879728,6190054986,6595610313,6915785571,7214615811,7043855674,7374703440,7289323371,7139908251,7620171138,7908328870,8036398973,8356574231,8644731963,8740784541,9124994850,9327772513,9594585228,10128210658,10672508597,10202918218,9690637806,9818707909,8249849145,7150580760,8634059455,9658620280,9978795538,11035373889,11846484542,12155987292,12849700350,13340635746,14386541588,15357739871,15539172517,15357739871,14984202070,14920167018,15912710318,17716364270,18474112381,19722795887,20843409289,21921332657,20982151901,19893556024,20544579048,20608614100,22977911008,22988583517,21654519943,23415483861,23959781799,25859488330,27428347093,28483584220,30925401359,31976572948,32185520884,34999995898,36764161282,37847606383,39617206834,39857779610,42242032441,46105267830,49638085981,51193033838,52834013018,55483297516,58472569486,59813939801,60842696851,62030410798,68141830256,73685312503,75403883427,81054018949,86447362598,89040856864,90045503388,89685511879,89885765728,91715738032,98110122050,103383168218,105331364306,108712281910,111608939166,114977087574,118919613613,121825951700,126860829650,133071893391,140615497186,140490184781,131394977879,126347579361,124848206688,129858053402,134407059030,139550851063,148188515300,156543799250,162592470609,170852686326,175361590315,178166156224,181442728178,188342117850,194212157767,202789547537,213649752789,214281882946,195990650034,202474015805,207877052800,205497298836,202343166618
France,49177982595,49536693068,49898019926,50261982420,50628598232,50997890287,51369874834,51744573381,52122004140,52502187175,52885146186,53270896308,53659459774,54050858993,54445111225,54842240948,55242267477,55645212045,56051094232,56459937361,56871763122,60935773142,56926910960,57151164993,56241101957,57042583721,59179328741,59939171452,56584155311,60138857308,59398584547,59241882127,63885981606,64090946089,63609095474,67243717910,68910575704,70142776648,72054896851,71330421635,77206585343,75398829494,74303241518,77481555234,80185231545,83478987966,89107228159,97534743934,76425601670,76559891655,80739878574,79686373167,90534216449,101073268816,113837020493,120531913000,125403563368,121362305905,113529383510,114025850963,121707594793,124674703109,129704095699,134123901087,137120717174,135447928010,141475395186,140044810442,150262915948,143273000306,136935213440,140900956291,148460636096,147528250257,154620609669,152467485252,151566802480,151926879480,144384826425,143728174813,153211931559,163967183078,170504356735,163972482021,156311972703,152407528339,151223776385,152890941878,156891787550,158023241673,164209295428,166210328844,170110626761,164108902265,180636180845,177489202033,183890356990,179601157322,191174874393,198663631901,201845829191,192422020540,190741855256,197769788161,202370731588,207999939291,205690702217,222633650282,222768619607,230589839120,220452344959,242974341377,263010854077,260975760378,218547246253,187496546178,211372896970,205926375714,172823216964,191046493248,205358509600,195980965106,235581519382,249030500713,278769969191,282179473846,293105541600,286985978925,304126433856,330735267259,321591161452,308584212218,280959704978,288913603119,278725127388,271301605360,274463518869,280465354928,273181946311,283600773864,218648997123,203960608122,203973616745,201064182818,153318030134,192181079705,260010714488,276124958453,312448812752,331654382050,358597446283,377218434662,385685932209,396107152874,416538194565,440242093305,464718209958,493428097083,508672134734,524161239433,564797007414,596814242533,633620713550,664706531264,709380952867,744261519356,783522653623,819913344068,853956431529,912073596083,961941456495,1005360599919,1048031600636,1103760036307,1137539889209,1134843629542,1183195558387,1219867234094,1258834774808,1301313757934,1322083099861,1338426789577,1374387869694,1403521451428,1425866038530,1454628139790,1490027645381,1524272332013,1594220135420,1647318365304,1688617100248,1707761886258,1734984071393,1713354665242,1746706595847,1783883923177,1801688459597,1840184713988,1902877104112,1963049062928,2040401184175,2077159917651,2094884581829,2109632258850,2157519201236,2181920640287,2233763056863,2283833043228,2282462308573,2211215908348,2249563377410,2288186281431,2289348440774,2297106077738
