Stomach Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Canada,13.58,13.21,13.14,13.46,12.68,11.68,11.57,10.85,10.66,10.3,10.52,9.18,8.92,8.72,8.36,8.01,7.93,7.23,7.16,6.54,7.32,6.72,6.41,6.09,5.82,5.46,5.45,4.81,4.75,4.64,4.32,4.76,4.34,4.17,3.62,3.74,3.96,3.63,3.24,3.5,3.12,3.18,3.13,2.89,2.93,3.03,2.8,2.49,2.44,2.61,2.52,2.17,2.27
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Chile,,,,,,43.2,41.33,44.18,40.53,37.95,41.48,39.09,37.81,39.48,38.64,33.71,31.94,31.68,32.01,33.85,31.45,30.69,28.77,28.04,26.64,24.59,22.12,20.96,19.85,20.36,19.35,17.62,15.83,15.62,14.79,14.38,14.03,13.27,13.67,13.64,13.81,11.92,13.39,12.12,11.74,11.59,10.73,12,11.48,11.04,10.36,9.69,10.29
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1
Colombia,,,,14.36,12.91,11.07,13.72,12.72,13.28,12.93,16.14,14.41,15.17,16.64,17.31,17.17,17.58,17.85,17.96,14.76,,,17.22,,16.66,16.76,16.59,16.54,,,,,,,14.75,15.57,14.24,15.19,13.47,13.51,13.04,13.08,12.39,12.58,11.97,11.87,11.09,10.27,9.99,10.14,,9.67,9.345
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
Costa Rica,,,,,,,,,,,,24.79,22.53,23.69,24.78,22.3,22.97,22.18,23.49,19.88,22.72,23.23,26.22,20.17,19.63,19.2,17.98,14.6,19,19.65,14.06,16.89,14.59,19.75,18.93,20.5,20.78,17.49,18.84,19.4,13.85,17.3,15.42,16.89,15.82,16.7,15.93,12.24,14.24,12.93,11.98,13.41,10.84
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.72,12,11.71,10.82,10.44,10.81,9.58,8.11,8.28,8.11,7.99,7.98,7.93,7.66,6.53,6.74,6.87,7.35
Cuba,,,,,,,,,,,,,,,8.39,,,,6.52,6.17,6.06,6.22,6.15,5.65,5.62,5.17,5.09,4.57,4.76,4.65,4.5,4.29,4.57,4.05,4.19,3.53,3.28,3.53,3.47,3.79,3.52,3.72,3.59,3.44,3.12,3.18,3.25,3.32,3.24,3.71,3.04,3.22,3.02
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.96,9.32,9.36,9.06,8.65,8.26,7.55,7.89,7.38,7.77,6.92,6.79,5.94,5.92,5.78,5.63,5.56
Czechoslovakia,,,,26.86,26.55,25.92,24.72,26.01,25.38,24.41,24.5,23.42,23.69,23.1,22.95,21.98,21.87,20.73,20.9,18.84,18.89,17.78,16.91,17.24,16.06,14.85,14.25,13.78,13.38,12.54,12.5,11.27,11.09,10.38,11.46,9.93,9.51,9.03,8.93,8.9,8.98,7.97,,,,,,,,,,,
Denmark,,22.62,21.57,21.71,23.14,19.72,19.07,19.11,17.55,16.54,16.42,16.46,14.98,14.53,14.14,13.01,11.83,10.26,10.05,9.41,10.04,8.76,8.53,8.2,8.45,7.56,7.04,6.67,7.48,6.2,6.29,5.67,5.19,5.32,5.07,4.5,5.41,4.6,4,4.29,3.86,4.49,3.87,3.4,3.01,3.17,3.01,2.85,2.69,2.83,2.1,2.76,2.725
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
Dominican Rep.,,,,,,,,,,,,,,,,1.6,1.36,2.41,2.42,1.91,1.57,2.56,2.12,1.59,2.11,1.93,1.66,2.1,1.75,2.69,2.15,2.5,2.35,2.92,3.48,3.3,3.26,2.56,2.08,3.06,2.34,2.35,2.44,,2.45,2.02,2.57,3.13,3.34,2.66,2.75,2.68,2.6525
Ecuador,,,,,,,,,,,,10.17,,9.57,11.22,,,,10.79,11.8,13.2,11.75,11.41,12.75,12.09,14.49,,13.6,13.95,15.39,16.19,15.45,17.25,15.26,16.58,16.14,17.39,16.38,17.9,15.55,15.22,14.6,16.42,14.19,13.87,15.41,15.39,14.27,13.55,13.08,11.77,12.08,12.45
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
El Salvador,7.01,9.83,5.17,5.98,6.74,7.57,5.24,6.79,8.45,9.35,8.15,6.92,7.38,7.97,9.19,6.73,5.93,5.74,5.7,5.98,6.22,5.2,5.34,6.24,5.46,,,,,,,4.1,3.48,4.98,4.39,,,,,,8.55,8.43,10.91,9.56,,9.81,10.67,12.03,10.29,9.66,9.71,8.51,8.56
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.22,17.22,,,15.86,16.01,13.37,12.86,15.23,14.37,13.73,13.61,12.81,13.46,10.51,12.64,10.05,11.06,12.05,9.5,9.3,9.48
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
Finland,,,40.36,40.89,37.24,33.81,33.01,31.73,30.81,29.3,27.22,26.52,24.47,22.49,21.19,19.93,20.54,17.74,17.78,16.58,15.97,14.44,14.22,14.06,12.8,12.2,11.3,11.34,11.01,11.13,10.56,10.53,9.09,9.33,9.28,9.04,8.71,8.01,7.34,7.9,6.46,6.14,5.83,5.83,4.64,4.83,5.01,4.93,4.13,3.64,3.86,3.91,4.1
France,15.78,,15.93,15.19,14.68,14.88,14.5,13.64,13.67,13.85,12.74,12.4,11.74,11.77,11.25,10.59,10.28,9.93,9.41,8.99,8.51,8.02,8,7.69,7.23,6.97,6.6,6.25,6.03,5.65,5.5,5.18,5.03,4.77,4.77,4.43,4.08,3.91,3.93,3.62,3.54,3.27,3.18,3.15,2.8,2.7,2.58,2.5,2.47,2.42,2.4,2.23,2.25
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
Germany,,,,,,,,,,,,,,,,,,,,,,,,14.31,13.9,13.58,12.96,12.46,11.81,,10.79,10.55,10.26,9.75,9.26,8.94,8.64,8.39,8.08,7.76,7.63,7.62,7.16,6.96,6.71,6.35,6.35,5.74,5.67,5.18,5.22,4.83,4.72
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Greece,,,,,,,,,,,,9.78,11,9.7,10.6,9.98,9.02,8.58,8.86,7.82,7.86,7.8,8.04,7.08,7.65,8.03,7.77,7.79,6.98,7.02,6.36,6.73,6.09,5.58,5.6,5.45,5.7,5.46,5.14,4.96,4.96,4.76,4.75,4.29,4.27,4.18,4.52,4.22,3.92,3.67,3.76,4.01,3.89
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
Guatemala,,,,,,,,,,,,,,14.53,17.16,11.1,11.27,12.3,11.3,13.75,11.5,9.9,,,12.1,12.92,10.4,10.71,13.38,15.48,14.43,12.42,,,18.19,,13.2,13.08,14.15,15.02,14.56,13.14,14.01,14.37,18.65,16.56,17.17,18.54,17.67,17.91,17.09,16.53,16.97
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
"Hong Kong, China",,,,,,,,,,,10.84,10.12,13.41,10.4,11.84,12.89,11.38,9.43,9,10.35,8.25,7.85,9.18,8.76,8.22,7.6,7.06,6.99,7.52,6.86,6.57,6.95,6.13,7.18,5.4,6.07,7.11,6.6,5.04,5.61,5.54,5.28,5.62,4.92,5.69,5.01,4.42,5.03,4.86,5.04,5.02,4.8,4
Hungary,,,,,,27.38,27.35,26.67,26.76,26.07,27.03,25.1,23.89,22.49,23.01,23.24,22.03,22.65,20.71,21.04,20.78,20.18,18.67,18.16,17.47,16.88,16.72,16.24,15.2,14.54,13.48,13.42,12.88,12.51,11.22,10.92,11.53,10.65,10.44,10.66,9.96,10.03,9.85,9.72,9.47,9.41,8.48,8.61,8.04,7.58,7.34,6.56,6.83
Iceland,,37.25,31.21,26.9,33.18,34.28,35.95,26.66,23.17,28.11,42.04,34.63,24.78,24.3,14.78,21.12,21.42,19.75,14.49,13.77,7.56,8.92,10.43,18.89,13.29,13.36,18.01,12.34,10.17,8.27,5.76,8.84,7.67,8.78,7.24,5.54,6.1,3.54,5.93,12.76,5.7,6.6,5.09,7.92,4.01,4.75,5.43,5.63,3.08,3.32,4.48,1.99,2.04
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
Ireland,22.74,21.54,19.11,18.15,20.01,19.84,17.8,20.07,17.03,18.28,18.03,15.4,15.25,17.06,16.29,15.97,16.41,15,15.57,16.15,14.09,14.39,13.44,12.41,13,12.13,9.87,10.68,10.58,9.52,8.19,8.43,7.15,7.73,7.9,7.04,7.57,5.49,6.31,5.87,5.83,7.06,4.84,5.15,5.49,4.64,4.96,4.52,3.92,4.29,4.15,4.28,3.6
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,7.35,6.42,7.78,7.15,7.31,7.14,6.27,6.25,5.54,4.67,4.67,4.76,4.56,4.04,3.95,6,4.21,4.25,5.16,4.75,5.55,4.47,4.24,4.47,4.12,3.65,4.49
Italy,,21.27,21.25,21.82,20.84,20.59,19.91,19.97,19.43,18.76,19.16,18.18,18.41,18.24,17.89,17.77,17.03,16.31,15.61,15.87,15.02,14.41,14.09,13.53,13.2,12.5,12.21,11.84,11.34,11.25,10.74,10.81,10.37,10.3,10.14,9.7,9.35,8.9,8.88,8.2,7.86,7.63,7.31,7.12,7.13,6.5,6.35,6.1,5.91,5.38,5.41,5.03,5.16
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
Japan,35.44,35.41,36.21,36.1,36.55,36.97,37.63,36.69,36.95,37.27,37.09,36.92,36.39,36.26,35.72,35.36,34.57,34.8,35.05,33.89,32.76,32.32,31.37,31.06,29.61,28.24,27.48,26.83,25.43,25.04,23.96,22.69,21.63,20.69,19.99,19.15,17.83,17.2,16.52,15.95,15.04,14.56,14.03,13.29,12.66,12.82,12.19,11.65,11.42,11.08,10.65,10.17,9.63
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.03,18.16,,,17.69,18.07,18.31,17.61,16.92,17.25,16.02,16.61,15.55,14.47,14.46,13.57,13.25,12.22,12.5,12.27,11.28,11.58
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.34,23.89,22.65,21.75,20.77,19.66,18.63,20.96,20.92,20.02,18.82,17.51,16.71,14.71,14.8,13.93,13.21,12.82
Kuwait,,,,,,,,,,,,,,,,,,,,,,,4.15,,,9.53,4.59,4,4.31,3.77,6.79,4.31,7.57,3.54,3.45,5.22,4.28,1.88,,,,,,2.74,1.92,2.28,2.61,3.77,1.99,3.85,4.68,1.77,2.87
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52,14.69,,,14.97,13.28,13.24,13.73,12.13,12.89,11.39,13.03,11.22,10.67,11.18,9.96,10.51,13.28,10.56,9.59,9.01,8.84
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,14.35,16.22,15.45,15.59,14.6,14.82,13.78,14.19,14.11,14,13.8,11.18,10.78,11.56,12.19,9.07,10.98,9.72,9.79,9.24,9.68,9.22
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.41,14.87,,,14.99,13.43,13.33,12.98,12.08,12.99,12.08,12.09,12.02,9.72,10.61,10.35,9.02,9.44,9.35,9.15,9.07,8.33
Luxembourg,,,,,,,,,,,,,,,,,,13.94,10.49,12.96,13.87,10.72,10.4,12.03,9.95,12.64,9.11,8.04,8.73,8.2,8.47,8.5,6.94,5.87,7.34,4.84,6.2,5.99,3.39,6.68,3.53,3.78,6.15,5.94,4.37,4.16,3.11,5.08,4.05,3.55,1.89,2.42,2.81
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,10.17,9.47,10.66,8.57,10.04,9.76,9.04,7.74,8.52,8.38,7.52
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3
Malta,,,,,,,,,,,,,,,,7.44,,8.51,12.78,7.03,9.29,7.85,10.08,10.61,8.12,6.05,5.7,8.46,8.26,6.99,7.72,5.89,6.12,6.53,7.1,3.77,5.42,6.39,6.74,3.35,5.08,8.46,6.88,6.03,5.49,2.22,6.04,3.73,3.26,3.59,3.89,3.05,5.38
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Mauritius,,,,,,,,,,,,11.15,7.51,10.42,6.85,10.64,14.18,5.48,7.31,8.74,9.17,4.79,7.46,10.82,9.16,7.01,10.48,8.82,9.23,9,6.3,7.53,7.7,11.36,5.91,8.7,6.2,8.8,7.81,5.42,8.25,6.14,6.58,4.21,6.97,6.98,2.92,3.41,6.02,4.05,5.73,5.29,4.97
Mexico,,,,,,6.04,6.48,7.59,8.48,7.68,7.98,8.04,8.05,8.33,8.19,8.09,8.29,7.98,7.98,8.53,8.49,8.42,8.44,7.69,8.18,8.01,7.57,7.44,7.48,7.35,6.86,7.23,7.03,6.89,6.65,7.11,7.19,6.94,7.19,7.19,6.55,6.59,6.96,6.82,6.77,6.21,6.39,5.86,5.49,5.85,5.42,5.4,5.3
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.87,9.75,,,9.14,9.24,9.31,9.58,10.01,9.85,9.63,9.04,8.53,9.39,8.74,7.33,6.18,6.47,5.59,6.17,5.41,6.2
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Netherlands,28.1,26.33,24.87,23.96,24.05,21.7,22.28,20.88,18.89,17.71,16.95,16.43,15.73,15.7,15.83,14.9,14.84,14.37,13.65,12.17,12.21,11.29,10.47,10.81,9.81,9.3,9.26,8.75,8.1,7.6,7.08,7.1,7.07,6.51,6.24,6.06,5.97,5.81,5.24,5.04,4.78,4.96,4.49,4.45,4.43,4.03,4.11,3.83,3.27,3.55,3.74,3.49,3.41
New Zealand,13.57,15.14,12.96,12.86,14.05,13.67,13.42,10.62,11.19,9.71,10.05,9.37,9.73,8.57,8,8.97,8.6,7.42,7.3,6.73,7.26,6.56,6.62,6,7.27,6.5,6.3,5.64,5.27,5.28,5.9,5.41,5.3,6.31,4.27,4.47,4.72,4.13,4.3,4.86,3.86,3.83,3.78,3.29,3.08,3.45,3.66,3.06,3.47,3.57,3.38,2.94,3.05
Nicaragua,,,,,,,,,,,,0.96,0.45,1.28,0.54,0.62,,,2.68,2.44,,,,2.18,1.17,2.15,0.55,1.37,0.42,,,,,,,,,,5.83,8.06,5.06,6.52,5.77,6.9,7.08,,7.6,6.68,6.66,5.77,7.49,7.67,5.12
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
Norway,,28.94,24.56,23.55,21.71,22.01,21.07,19.89,18.81,18.76,17.99,16.96,14.72,15.77,14.94,14.47,13.81,13.29,13.05,13.21,12.56,10.23,10.31,9.44,9.69,9.25,8.16,8.69,8.04,7.11,7.58,7.48,6.86,6.84,7.04,6.23,5.54,6.07,4.93,5.16,4.95,5.23,4.6,3.93,4.68,4.61,4.05,3.69,3.72,4.29,3.21,3.09,3.19
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
Panama,,,,,,6.49,10.69,6.14,7.64,6.42,6.02,7.54,7.38,6.23,7.93,6.72,5.15,3.93,7.77,7.71,6.74,8.73,6.88,7.32,6.31,8.16,7.27,6.72,5.85,6,5.58,8.07,6.9,6.35,6.42,7.27,6.8,5.93,3.88,4.59,,,,,,,5.46,5.76,5.51,4.76,5.85,6.43,5.04
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
Poland,,,,,,,,,,18.55,18.97,20.14,20.51,21.72,21.76,20.86,20.61,19.44,19.85,18.56,17.14,16.06,16.02,15,15.02,14.26,13.43,12.75,12.3,12.05,11.73,11.28,10.79,10.57,10.41,9.74,9.21,8.94,8.87,8.44,7.76,7.91,7.67,7.23,6.97,6.84,6.66,,,5.68,5.8,5.76,5.34
