Median age,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Israel,25.515,24.818,24.332,23.601,23.404,24.027,24.776,25.365,25.801,27.035,27.94,28.826,29.723,30.67,31.671,32.682,33.746,34.945,36.3,37.695,39.106
Italy,28.62,30.221,31.615,32.375,33.09,33.573,34.252,35.585,37.078,38.682,40.272,41.746,43.316,45.134,47.039,48.743,50.081,50.726,50.889,50.824,50.539
Jamaica,22.194,21.918,19.641,18.412,16.712,17.036,19.199,20.274,21.915,23.188,24.328,25.467,26.261,27.352,28.73,30.488,32.342,34.149,35.711,37.234,38.719
Japan,22.293,23.621,25.536,27.322,28.872,30.385,32.621,35.111,37.418,39.607,41.381,43.107,44.747,46.602,48.584,50.648,52.241,53.499,54.408,54.894,55.121
Jordan,17.187,17.28,17.585,17.405,17.062,16.431,15.26,16.247,16.322,18.792,19.73,20.88,22.804,24.116,25.716,27.518,29.363,31.249,33.215,35.131,36.955
Kazakhstan,23.195,23.28,22.862,22.399,21.785,22.258,23.518,24.554,26.012,27.049,27.735,28.801,29.373,30.326,31.887,33.484,34.879,35.203,35.727,36.966,38.376
Kenya,19.988,18.926,17.157,15.836,15.443,15.162,15.007,15.013,15.475,16.572,17.439,18.063,18.377,18.692,19.313,20.309,21.673,23.003,24.297,25.577,26.881
Kuwait,21.537,22.014,22.803,21.395,18.928,18.227,20.495,22.528,22.783,26.781,28.9,29.187,30.592,32.291,34.008,35.459,36.669,37.675,38.516,39.283,40.058
Kyrgyzstan,25.326,25.351,23.976,21.566,19.395,19.504,20.824,21.658,21.591,21.461,22.47,23.807,25.062,26.736,28.508,30.444,32.268,33.828,35.027,36.682,38.347
Laos,19.779,19.256,18.882,18.625,18.605,18.684,17.844,17.793,17.91,18.041,18.242,19.24,20.639,22.197,23.728,25.32,26.609,27.997,29.457,31.006,32.602
